# Date: 20210222
# Operator: RDP
# Notes: New Rig, 77 K, 0.5 quench
# Tap_cm: 5.0
# Sample: DCCPnSn_00
# Fit of Tap:
#	Ic = 144 +/- 0.41 A
#	n = 31.4 +/- 1.8 
#	Vc = 3 uV
#	Vfloor = 1.42 +/- 0.0075 uV
#	R = 0.000453 +/- 0.0001 Ohms
Tap [uV],Shunt [A],Supply [A],Time [S],Hall [A],Cernox [T]
1.200000,0.190000,0.000000,0.033743,37.059260,-4.329268
1.200000,0.230000,0.083333,0.051277,37.230040,-4.332964
1.200000,0.250000,0.166667,0.060598,36.888480,-4.469697
1.300000,0.330000,0.250000,0.072620,37.230040,-4.471545
1.400000,0.410000,0.333333,0.089256,37.400820,-4.471545
1.200000,0.490000,0.416667,0.104857,37.486210,-4.447524
1.300000,0.570000,0.500000,0.121428,37.315430,-4.441981
1.500000,0.670000,0.583333,0.136964,37.230040,-4.414265
1.400000,0.730000,0.666667,0.152497,36.973870,-4.373614
1.300000,0.770000,0.750000,0.169038,37.144650,-4.379157
1.200000,0.930000,0.833333,0.184582,37.144650,-4.353289
1.200000,0.970000,0.916667,0.201110,37.059260,-4.338507
1.600000,1.030000,1.000000,0.216620,37.059260,-4.340355
1.500000,1.110000,1.083333,0.233141,37.059260,-4.347746
1.300000,1.190000,1.166667,0.248766,37.059260,-4.366223
1.300000,1.270000,1.250000,0.265297,37.059260,-4.360680
1.300000,1.310000,1.333333,0.280948,36.888480,-4.386548
1.300000,1.370000,1.416667,0.296879,36.803090,-4.408721
1.200000,1.490000,1.500000,0.312993,36.803090,-4.414265
1.400000,1.530000,1.583333,0.328953,36.803090,-4.436438
1.200000,1.650000,1.666667,0.350151,37.230040,-4.342203
0.800000,1.750000,1.750000,0.361493,36.803090,-4.477088
1.100000,1.770000,1.833333,0.376882,36.717700,-4.504804
1.200000,1.850000,1.916667,0.392893,36.888480,-4.525129
1.400000,1.990000,2.000000,0.408921,36.973870,-4.519586
1.200000,2.010000,2.083333,0.424980,36.803090,-4.525129
1.400000,2.130000,2.166667,0.440871,37.059260,-4.517738
