# Date: 20210222
# Operator: RDP
# Notes: New Rig, 77 K, 0.5 quench
# Tap_cm: 5.0
# Sample: DCCPnSn_00
# Fit of Tap:
#	Ic = 82.4 +/- 0.85 A
#	n = 50 +/- 0.96 
#	Vc = 3 uV
#	Vfloor = 2.92 +/- 1e+76 uV
#	R = 9.42 +/- 8.1e+70 Ohms
Tap [uV],Shunt [A],Supply [A],Time [S],Hall [A],Cernox [T]
1.000000,0.210000,0.000000,0.024603,37.230040,-4.349593
1.500000,0.230000,0.083333,0.040222,36.973870,-4.347746
1.300000,0.270000,0.166667,0.055811,36.803090,-4.349593
1.400000,0.350000,0.250000,0.072349,36.717700,-4.356984
1.200000,0.410000,0.333333,0.087876,36.717700,-4.375462
1.400000,0.490000,0.416667,0.104418,36.546920,-4.379157
1.300000,0.570000,0.500000,0.119953,36.546920,-4.414265
1.400000,0.750000,0.583333,0.136483,36.376140,-4.414265
1.100000,0.730000,0.666667,0.152012,36.546920,-4.449372
1.300000,0.770000,0.750000,0.167555,36.632310,-4.475240
1.000000,0.910000,0.833333,0.184095,36.717700,-4.484479
1.300000,0.950000,0.916667,0.199629,36.888480,-4.514043
1.100000,1.030000,1.000000,0.224487,37.059260,-4.351441
1.200000,1.070000,1.083333,0.232213,36.803090,-4.519586
1.200000,1.230000,1.166667,0.247877,36.973870,-4.517738
1.300000,1.290000,1.250000,0.264463,37.059260,-4.517738
1.100000,1.310000,1.333333,0.280031,37.144650,-4.506652
1.100000,1.430000,1.416667,0.295629,37.230040,-4.469697
1.100000,1.530000,1.500000,0.312186,37.144650,-4.469697
1.400000,1.530000,1.583333,0.327741,37.230040,-4.427199
1.400000,1.590000,1.666667,0.344312,36.973870,-4.429047
1.400000,1.730000,1.750000,0.359850,37.315430,-4.405026
1.200000,1.790000,1.833333,0.376402,37.059260,-4.395787
1.100000,1.910000,1.916667,0.391930,36.973870,-4.364375
1.200000,1.950000,2.000000,0.408501,36.973870,-4.360680
1.300000,2.030000,2.083333,0.424531,36.973870,-4.355137
1.500000,2.110000,2.166667,0.440157,36.888480,-4.349593
1.500000,2.170000,2.250000,0.455706,36.803090,-4.371766
1.300000,2.270000,2.333333,0.472223,36.803090,-4.366223
1.200000,2.330000,2.416667,0.487872,36.632310,-4.395787
1.300000,2.470000,2.500000,0.504499,36.803090,-4.403178
1.400000,2.530000,2.583333,0.520886,36.461530,-4.412417
1.200000,2.590000,2.666667,0.535998,36.546920,-4.443829
1.300000,2.750000,2.750000,0.551598,36.632310,-4.478936
1.400000,2.770000,2.833333,0.568191,36.546920,-4.469697
1.300000,2.790000,2.916667,0.583717,36.803090,-4.502956
1.400000,2.950000,3.000000,0.600286,36.888480,-4.506652
1.200000,2.970000,3.083333,0.616253,36.803090,-4.512195
1.300000,3.050000,3.166667,0.631833,36.888480,-4.512195
1.100000,3.130000,3.250000,0.648438,37.059260,-4.514043
1.500000,3.230000,3.333333,0.663975,37.144650,-4.502956
1.300000,3.370000,3.416667,0.680525,37.059260,-4.499261
1.300000,3.390000,3.500000,0.696115,37.059260,-4.477088
1.300000,3.450000,3.583333,0.713370,37.315430,-4.482631
1.300000,3.570000,3.666667,0.730048,37.059260,-4.491870
1.300000,3.610000,3.750000,0.745780,37.400820,-4.471545
1.200000,3.690000,3.833333,0.762328,37.059260,-4.458610
1.600000,3.770000,3.916667,0.777961,37.059260,-4.432742
1.000000,3.870000,4.000000,0.793504,37.144650,-4.390244
1.300000,3.990000,4.083333,0.810326,37.059260,-4.403178
1.300000,4.010000,4.166667,0.844618,37.144650,-4.423503
1.300000,4.130000,4.250000,0.861337,36.973870,-4.438285
1.200000,4.170000,4.333333,0.876944,36.888480,-4.406874
1.100000,4.270000,4.416667,0.892434,37.144650,-4.381005
1.300000,4.330000,4.500000,0.908625,37.059260,-4.358832
1.500000,4.450000,4.583333,0.923193,36.803090,-4.356984
1.200000,4.530000,4.666667,0.938728,36.376140,-4.368071
1.500000,4.570000,4.750000,0.955284,36.717700,-4.373614
1.300000,4.650000,4.833333,0.970832,36.632310,-4.408721
1.300000,4.690000,4.916667,0.987560,36.717700,-4.403178
1.400000,4.850000,5.000000,1.003190,36.546920,-4.423503
1.400000,4.890000,5.083333,1.019175,36.461530,-4.451220
1.400000,4.930000,5.166667,1.034762,36.803090,-4.466001
1.200000,5.010000,5.250000,1.051339,36.717700,-4.469697
1.200000,5.090000,5.333333,1.066865,36.461530,-4.510347
1.500000,5.170000,5.416667,1.083382,36.803090,-4.512195
1.400000,5.290000,5.500000,1.098956,36.717700,-4.521434
1.200000,5.350000,5.583333,1.119338,36.632310,-4.443829
1.200000,5.470000,5.666667,1.131375,36.888480,-4.519586
1.400000,5.530000,5.750000,1.146973,36.973870,-4.506652
1.200000,5.570000,5.833333,1.163575,37.059260,-4.504804
1.300000,5.730000,5.916667,1.179123,37.230040,-4.473392
1.300000,5.710000,6.000000,1.194699,37.230040,-4.436438
1.300000,5.830000,6.083333,1.214812,36.973870,-4.493718
1.300000,5.870000,6.166667,1.227470,37.144650,-4.423503
1.600000,5.990000,6.250000,1.243113,37.144650,-4.384701
1.300000,6.070000,6.333333,1.258689,36.973870,-4.358832
1.300000,6.170000,6.416667,1.275261,36.803090,-4.366223
1.400000,6.230000,6.500000,1.290811,36.803090,-4.353289
0.900000,6.390000,6.583333,1.307398,37.144650,-4.360680
1.400000,6.370000,6.666667,1.322973,36.888480,-4.369919
1.500000,6.470000,6.750000,1.339508,36.803090,-4.362528
1.400000,6.630000,6.833333,1.355067,36.717700,-4.386548
1.500000,6.650000,6.916667,1.370610,36.461530,-4.412417
1.200000,6.690000,7.000000,1.387136,36.546920,-4.421656
1.300000,6.770000,7.083333,1.402722,36.461530,-4.453067
1.400000,6.870000,7.166667,1.424495,36.973870,-4.347746
1.500000,6.930000,7.250000,1.435181,36.717700,-4.460458
1.400000,7.030000,7.333333,1.450736,36.717700,-4.484479
1.500000,7.110000,7.416667,1.467271,36.717700,-4.491870
1.300000,7.190000,7.500000,1.482891,36.973870,-4.499261
1.400000,7.270000,7.583333,1.499559,36.973870,-4.504804
1.000000,7.370000,7.666667,1.515173,36.888480,-4.512195
1.300000,7.370000,7.750000,1.530719,37.144650,-4.502956
1.300000,7.510000,7.833333,1.547277,37.144650,-4.501109
1.400000,7.630000,7.916667,1.562848,37.230040,-4.469697
1.600000,7.650000,8.000000,1.579396,37.315430,-4.462306
1.600000,7.730000,8.083333,1.594921,37.144650,-4.432742
1.300000,7.870000,8.166667,1.616031,36.973870,-4.506652
1.200000,7.870000,8.250000,1.628730,37.486210,-4.443829
1.400000,8.010000,8.333333,1.645169,37.315430,-4.434590
1.200000,8.090000,8.416667,1.660780,37.059260,-4.406874
1.300000,8.190000,8.500000,1.677240,36.973870,-4.399483
1.000000,8.210000,8.583333,1.692843,37.144650,-4.369919
1.200000,8.350000,8.666667,1.709324,36.888480,-4.360680
1.400000,8.410000,8.750000,1.726727,37.144650,-4.393939
1.300000,8.490000,8.833333,1.739084,36.717700,-4.355137
1.400000,8.490000,8.916667,1.754685,36.632310,-4.375462
1.400000,8.670000,9.000000,1.771261,36.461530,-4.381005
1.400000,8.690000,9.083333,1.786798,36.803090,-4.414265
1.300000,8.770000,9.166667,1.803335,36.803090,-4.430894
1.200000,8.810000,9.250000,1.819460,36.461530,-4.441981
1.300000,8.890000,9.333333,1.835085,36.632310,-4.471545
1.400000,9.010000,9.416667,1.850638,36.803090,-4.499261
1.400000,9.070000,9.500000,1.867174,36.717700,-4.499261
1.300000,9.090000,9.583333,1.882730,36.888480,-4.519586
1.500000,9.250000,9.666667,1.899272,36.973870,-4.506652
1.400000,9.330000,9.750000,1.914817,36.888480,-4.510347
1.300000,9.370000,9.833333,1.931344,37.059260,-4.514043
1.300000,9.450000,9.916667,1.946867,37.059260,-4.499261
