# Date: 20210225
# Operator: RDP
# Notes: 10 Nm
# Tap_cm: 5.0
# Sample: DCC_PbSn_007
# Fit of Tap:
#	Ic = 6.7 A
#	n = 50 
#	Vc = 2.5 uV
#	Vfloor = 0.0957 uV
#	R = 7.61 Ohms
Tap [uV],Shunt [A],Supply [A],Time [S],Hall [A],Cernox [T]
0.000000,0.230000,0.000000,0.024554,8.950000,-4.178253
0.400000,0.210000,0.083333,0.040369,8.910000,-4.162210
0.200000,0.050000,0.166667,0.056294,8.850000,-4.147950
0.400000,0.370000,0.250000,0.072193,8.770000,-4.130125
0.300000,0.370000,0.333333,0.088963,8.870000,-4.131907
0.500000,0.510000,0.416667,0.104871,8.630000,-4.131907
0.300000,0.630000,0.500000,0.120774,8.690000,-4.149733
0.200000,0.690000,0.583333,0.136550,8.730000,-4.153298
0.200000,0.730000,0.666667,0.152353,8.770000,-4.172906
0.500000,0.770000,0.750000,0.168318,8.790000,-4.192513
0.400000,0.870000,0.833333,0.184130,8.790000,-4.231729
0.300000,0.830000,0.916667,0.207960,8.990000,-4.203209
0.300000,0.990000,1.000000,0.216336,8.870000,-4.270945
0.300000,1.070000,1.083333,0.233201,8.890000,-4.260250
0.300000,1.190000,1.166667,0.249032,8.870000,-4.286988
0.500000,1.310000,1.250000,0.264971,8.950000,-4.303030
0.100000,1.350000,1.333333,0.280811,9.050000,-4.326203
0.500000,1.430000,1.416667,0.296596,9.010000,-4.340463
0.700000,1.590000,1.500000,0.312722,8.910000,-4.333333
0.300000,1.550000,1.583333,0.328581,9.070000,-4.324421
0.500000,1.570000,1.666667,0.344346,9.090000,-4.299465
0.400000,1.730000,1.750000,0.360237,9.090000,-4.283422
0.600000,1.810000,1.833333,0.377092,9.090000,-4.285205
0.200000,1.850000,1.916667,0.392845,9.110000,-4.254902
0.200000,2.070000,2.000000,0.408729,8.970000,-4.228164
0.400000,2.030000,2.083333,0.424639,8.990000,-4.196078
0.100000,2.130000,2.166667,0.440738,8.910000,-4.174688
0.500000,2.170000,2.250000,0.456626,8.890000,-4.172906
0.500000,2.250000,2.333333,0.472596,8.750000,-4.158645
0.300000,2.310000,2.416667,0.488438,8.810000,-4.151515
0.500000,2.450000,2.500000,0.506919,8.910000,-4.167558
0.200000,2.490000,2.583333,0.520305,8.710000,-4.174688
0.400000,2.570000,2.666667,0.537093,8.750000,-4.165775
0.200000,2.690000,2.750000,0.552855,8.670000,-4.180036
0.400000,2.750000,2.833333,0.568803,8.770000,-4.194296
0.200000,2.810000,2.916667,0.584664,8.770000,-4.229947
0.400000,2.890000,3.000000,0.600438,8.810000,-4.249554
0.500000,2.810000,3.083333,0.616625,8.890000,-4.265597
0.700000,3.030000,3.166667,0.632496,8.910000,-4.288770
0.200000,3.130000,3.250000,0.648645,8.930000,-4.299465
0.500000,3.290000,3.333333,0.664680,8.990000,-4.320856
0.300000,3.330000,3.416667,0.680529,9.070000,-4.344029
0.500000,3.410000,3.500000,0.696436,9.130000,-4.342246
0.500000,3.390000,3.583333,0.714676,9.070000,-4.324421
0.200000,3.530000,3.666667,0.730979,9.070000,-4.324421
0.500000,3.610000,3.750000,0.747104,9.110000,-4.331551
0.500000,3.690000,3.833333,0.763139,9.190000,-4.324421
0.500000,3.710000,3.916667,0.777771,9.110000,-4.290553
0.300000,3.850000,4.000000,0.794194,9.130000,-4.283422
0.200000,4.010000,4.083333,0.812588,9.270000,-4.322638
0.300000,4.050000,4.166667,0.824674,9.050000,-4.203209
0.300000,4.090000,4.250000,0.840226,8.930000,-4.167558
0.500000,4.210000,4.333333,0.856264,8.890000,-4.151515
0.400000,4.290000,4.416667,0.873074,8.850000,-4.165775
0.500000,4.410000,4.500000,0.888669,8.830000,-4.146168
0.400000,4.410000,4.583333,0.904192,8.770000,-4.158645
0.500000,4.530000,4.666667,0.920960,8.730000,-4.160428
0.300000,4.570000,4.750000,0.936543,8.750000,-4.178253
0.300000,4.650000,4.833333,0.952053,8.770000,-4.187166
0.300000,4.750000,4.916667,0.968758,8.750000,-4.181818
0.200000,4.850000,5.000000,0.984533,8.770000,-4.204991
0.400000,4.910000,5.083333,1.000134,8.830000,-4.240642
0.300000,4.890000,5.166667,1.016784,8.890000,-4.242424
0.200000,5.030000,5.250000,1.032417,8.950000,-4.278075
0.200000,5.150000,5.333333,1.047960,8.990000,-4.311943
0.300000,5.210000,5.416667,1.065035,9.110000,-4.299465
0.300000,5.290000,5.500000,1.080750,9.050000,-4.308378
0.400000,5.370000,5.583333,1.096304,9.130000,-4.311943
0.300000,5.450000,5.666667,1.112455,9.110000,-4.317291
0.600000,5.490000,5.750000,1.128637,9.110000,-4.317291
0.600000,5.550000,5.833333,1.144236,9.110000,-4.290553
0.500000,5.670000,5.916667,1.160754,9.110000,-4.290553
0.300000,5.750000,6.000000,1.176487,9.010000,-4.263815
0.400000,5.850000,6.083333,1.192065,8.950000,-4.221034
0.500000,5.910000,6.166667,1.208577,8.970000,-4.219251
0.200000,6.050000,6.250000,1.224397,8.930000,-4.180036
0.500000,6.010000,6.333333,1.240035,8.930000,-4.160428
0.700000,6.110000,6.416667,1.256580,8.890000,-4.160428
0.200000,6.250000,6.500000,1.273792,8.890000,-4.165775
0.500000,6.310000,6.583333,1.288415,8.810000,-4.135472
0.500000,6.330000,6.666667,1.303946,8.750000,-4.146168
0.500000,6.550000,6.750000,1.320739,8.570000,-4.142602
0.300000,6.530000,6.833333,1.336388,8.790000,-4.156863
0.200000,6.630000,6.916667,1.351925,8.710000,-4.178253
0.200000,6.710000,7.000000,1.368499,8.790000,-4.176471
0.400000,6.810000,7.083333,1.384193,8.710000,-4.226381
0.200000,6.890000,7.166667,1.407248,8.930000,-4.174688
0.400000,6.910000,7.250000,1.416281,8.850000,-4.267380
0.200000,7.030000,7.333333,1.433086,8.850000,-4.256684
0.400000,7.090000,7.416667,1.448695,8.950000,-4.290553
0.500000,7.190000,7.500000,1.464218,9.010000,-4.313725
0.300000,7.250000,7.583333,1.484543,8.750000,-4.221034
0.200000,7.330000,7.666667,1.496171,9.070000,-4.336898
0.500000,7.490000,7.750000,1.514113,9.030000,-4.322638
0.600000,7.510000,7.833333,1.530941,9.030000,-4.320856
0.300000,7.610000,7.916667,1.546534,9.110000,-4.331551
0.400000,7.630000,8.000000,1.561997,9.090000,-4.317291
0.400000,7.710000,8.083333,1.578693,9.070000,-4.319073
0.400000,7.830000,8.166667,1.594261,9.010000,-4.285205
0.200000,7.910000,8.250000,1.609690,9.030000,-4.251337
0.500000,7.970000,8.333333,1.626251,8.930000,-4.249554
0.400000,8.110000,8.416667,1.641921,8.910000,-4.213904
0.500000,8.190000,8.500000,1.658356,8.950000,-4.201426
0.300000,8.190000,8.583333,1.673883,8.810000,-4.165775
0.300000,8.310000,8.666667,1.690686,8.870000,-4.171123
0.500000,8.370000,8.750000,1.716735,8.830000,-4.256684
0.300000,8.370000,8.833333,1.726101,9.190000,-4.258467
0.400000,8.570000,8.916667,1.736266,8.710000,-4.174688
0.500000,8.610000,9.000000,1.752843,8.790000,-4.178253
0.400000,8.710000,9.083333,1.768378,8.750000,-4.199643
