# Date: 20210225
# Operator: RDP
# Notes: 10 Nm
# Tap_cm: 5.0
# Sample: DCC_PbSn_007
# Fit of Tap:
#	Ic = 114 +/- 0.054 A
#	n = 98.3 +/- 5.4 
#	Vc = 2.5 uV
#	Vfloor = 0.445 +/- 0.0077 uV
#	R = 0.00212 +/- 0.00012 Ohms
Tap [uV],Shunt [A],Supply [A],Time [S],Hall [A],Cernox [T]
0.500000,0.170000,0.000000,0.040199,8.850000,-4.247772
0.400000,0.270000,0.083333,0.048649,9.030000,-4.251337
0.100000,0.270000,0.166667,0.057204,8.770000,-4.221034
0.300000,0.310000,0.250000,0.072885,8.850000,-4.245989
0.400000,0.550000,0.333333,0.088576,8.890000,-4.279857
0.400000,0.490000,0.416667,0.105194,8.890000,-4.285205
0.200000,0.570000,0.500000,0.120893,8.970000,-4.310160
0.400000,0.670000,0.583333,0.136495,9.050000,-4.349376
0.300000,0.730000,0.666667,0.153176,9.030000,-4.338681
0.500000,0.710000,0.750000,0.168780,9.090000,-4.336898
0.500000,0.910000,0.833333,0.185449,9.150000,-4.324421
0.400000,0.930000,0.916667,0.201104,9.130000,-4.326203
0.300000,0.990000,1.000000,0.216795,9.330000,-4.306595
0.400000,1.130000,1.083333,0.233192,9.150000,-4.295900
0.500000,1.210000,1.166667,0.248981,9.070000,-4.260250
0.200000,1.290000,1.250000,0.268251,8.990000,-4.327986
0.100000,1.350000,1.333333,0.281360,9.030000,-4.229947
0.300000,1.370000,1.416667,0.297152,8.950000,-4.192513
0.300000,1.450000,1.500000,0.312740,8.850000,-4.181818
0.600000,1.570000,1.583333,0.329412,8.910000,-4.183601
0.100000,1.630000,1.666667,0.345106,8.870000,-4.171123
0.300000,1.730000,1.750000,0.360678,8.790000,-4.171123
0.300000,1.810000,1.833333,0.377352,8.810000,-4.181818
0.300000,1.890000,1.916667,0.393050,8.730000,-4.190731
0.300000,1.970000,2.000000,0.408653,8.770000,-4.196078
0.100000,2.030000,2.083333,0.425364,8.750000,-4.185383
0.200000,2.190000,2.166667,0.441239,8.730000,-4.212121
0.500000,2.150000,2.250000,0.456962,8.810000,-4.242424
0.300000,2.210000,2.333333,0.472664,8.890000,-4.278075
0.300000,2.370000,2.416667,0.489308,8.830000,-4.270945
0.300000,2.430000,2.500000,0.504932,8.870000,-4.299465
0.400000,2.530000,2.583333,0.520536,8.910000,-4.326203
0.300000,2.570000,2.666667,0.537143,8.970000,-4.319073
0.200000,2.710000,2.750000,0.552819,9.050000,-4.342246
0.400000,2.730000,2.833333,0.569153,9.130000,-4.327986
0.200000,2.850000,2.916667,0.585371,9.150000,-4.331551
0.500000,2.890000,3.000000,0.601225,9.150000,-4.327986
0.300000,3.010000,3.083333,0.616813,9.110000,-4.313725
0.400000,3.030000,3.166667,0.633443,9.110000,-4.310160
0.300000,3.150000,3.250000,0.649367,9.030000,-4.285205
0.400000,3.270000,3.333333,0.664950,9.090000,-4.238859
0.300000,3.310000,3.416667,0.680609,8.930000,-4.192513
0.300000,3.370000,3.500000,0.697295,8.970000,-4.188948
0.200000,3.490000,3.583333,0.712941,8.910000,-4.160428
0.200000,3.510000,3.666667,0.728658,8.870000,-4.135472
0.400000,3.510000,3.750000,0.745284,8.930000,-4.135472
0.400000,3.710000,3.833333,0.762646,8.830000,-4.137255
0.300000,3.830000,3.916667,0.778320,8.810000,-4.128342
0.200000,3.850000,4.000000,0.794933,8.710000,-4.122995
0.300000,3.950000,4.083333,0.810454,8.750000,-4.149733
0.400000,4.090000,4.166667,0.826939,8.690000,-4.156863
0.300000,4.110000,4.250000,0.842590,8.710000,-4.178253
0.300000,4.210000,4.333333,0.859984,8.750000,-4.165775
0.200000,4.470000,4.416667,0.875849,8.770000,-4.176471
0.500000,4.330000,4.500000,0.889028,8.910000,-4.278075
0.200000,4.410000,4.583333,0.904878,8.950000,-4.306595
0.300000,4.550000,4.666667,0.920463,9.050000,-4.331551
0.100000,4.570000,4.750000,0.937110,8.990000,-4.326203
0.300000,4.670000,4.833333,0.952816,9.030000,-4.340463
0.200000,4.770000,4.916667,0.968548,9.110000,-4.344029
0.400000,4.910000,5.000000,0.985253,9.110000,-4.342246
0.500000,4.890000,5.083333,1.000950,9.150000,-4.320856
0.500000,4.970000,5.166667,1.016518,9.050000,-4.292335
0.300000,5.050000,5.250000,1.033187,9.110000,-4.285205
0.500000,5.130000,5.333333,1.048826,9.030000,-4.251337
0.300000,5.170000,5.416667,1.064959,9.010000,-4.231729
0.400000,5.310000,5.500000,1.080603,8.990000,-4.180036
0.200000,5.350000,5.583333,1.097322,8.830000,-4.185383
0.300000,5.450000,5.666667,1.113011,8.910000,-4.158645
0.300000,5.690000,5.750000,1.128622,8.790000,-4.139037
0.200000,5.590000,5.833333,1.145258,8.830000,-4.119430
0.500000,5.750000,5.916667,1.168309,9.090000,-4.322638
0.400000,5.770000,6.000000,1.177361,8.870000,-4.155080
0.300000,5.950000,6.083333,1.193354,8.750000,-4.174688
0.400000,6.070000,6.166667,1.209138,8.690000,-4.167558
0.200000,6.010000,6.250000,1.224766,8.750000,-4.201426
0.300000,6.050000,6.333333,1.241422,8.750000,-4.203209
0.300000,6.130000,6.416667,1.257142,8.810000,-4.237077
0.500000,6.190000,6.500000,1.273323,8.850000,-4.249554
0.400000,6.350000,6.583333,1.289021,8.870000,-4.283422
0.100000,6.370000,6.666667,1.304739,8.950000,-4.304813
