# Date: 20210225
# Operator: RDP
# Notes: 10 Nm
# Tap_cm: 5.0
# Sample: DCC_PbSn_001
# Fit of Tap:
#	Ic = 169 +/- 0.081 A
#	n = 298 +/- 43 
#	Vc = 2.5 uV
#	Vfloor = 0.759 +/- 0.01 uV
#	R = 0.0023 +/- 0.00011 Ohms
Tap [uV],Shunt [A],Supply [A],Time [S],Hall [A],Cernox [T]
0.500000,0.250000,0.000000,0.028209,8.910000,-4.151515
0.500000,0.350000,0.166667,0.052479,8.930000,-4.340463
0.500000,0.310000,0.333333,0.059471,8.890000,-4.121212
0.600000,0.490000,0.500000,0.073242,8.830000,-4.199643
0.400000,0.710000,0.666667,0.088890,8.850000,-4.244207
0.200000,0.930000,0.833333,0.105463,8.910000,-4.244207
0.700000,1.070000,1.000000,0.121283,8.930000,-4.278075
0.400000,1.270000,1.166667,0.136944,8.950000,-4.317291
0.400000,1.330000,1.333333,0.152817,8.950000,-4.351159
0.500000,1.310000,1.500000,0.169638,8.890000,-4.338681
0.600000,1.650000,1.666667,0.185296,8.950000,-4.363636
0.400000,1.810000,1.833333,0.200841,8.910000,-4.372549
0.300000,1.890000,2.000000,0.217480,9.090000,-4.379679
0.300000,2.110000,2.166667,0.232997,8.950000,-4.361854
0.500000,2.270000,2.333333,0.248592,8.950000,-4.326203
0.500000,2.410000,2.500000,0.264726,8.970000,-4.295900
0.500000,2.630000,2.666667,0.281511,8.970000,-4.313725
0.600000,2.790000,2.833333,0.297121,8.930000,-4.258467
0.600000,2.870000,3.000000,0.312720,8.870000,-4.231729
0.500000,3.070000,3.166667,0.329566,8.890000,-4.229947
0.400000,3.230000,3.333333,0.346037,8.950000,-4.215686
0.200000,3.370000,3.500000,0.361157,8.930000,-4.151515
0.200000,3.510000,3.666667,0.376945,8.890000,-4.139037
0.600000,3.670000,3.833333,0.392552,8.890000,-4.147950
0.600000,3.790000,4.000000,0.409097,8.910000,-4.142602
0.400000,4.030000,4.166667,0.424869,8.870000,-4.162210
0.700000,4.210000,4.333333,0.441027,8.850000,-4.187166
0.600000,4.330000,4.500000,0.456838,8.850000,-4.219251
0.300000,4.530000,4.666667,0.473718,8.830000,-4.221034
0.500000,4.670000,4.833333,0.489369,8.830000,-4.249554
0.200000,4.870000,5.000000,0.505127,8.890000,-4.306595
0.400000,4.930000,5.166667,0.520978,9.110000,-4.319073
0.400000,5.110000,5.333333,0.536660,8.910000,-4.351159
0.500000,5.190000,5.500000,0.553237,8.970000,-4.347594
0.700000,5.410000,5.666667,0.568847,8.930000,-4.372549
0.300000,5.610000,5.833333,0.585634,8.890000,-4.370766
0.400000,5.770000,6.000000,0.601276,8.910000,-4.376114
0.500000,5.970000,6.166667,0.616820,8.930000,-4.368984
0.500000,6.030000,6.333333,0.633643,8.950000,-4.381462
0.600000,6.290000,6.500000,0.655464,8.850000,-4.258467
0.700000,6.350000,6.666667,0.665129,8.970000,-4.315508
0.500000,6.530000,6.833333,0.680875,8.950000,-4.269162
0.500000,6.670000,7.000000,0.696487,8.930000,-4.228164
0.700000,6.810000,7.166667,0.713052,8.930000,-4.219251
0.600000,7.030000,7.333333,0.728853,8.930000,-4.181818
0.400000,7.190000,7.500000,0.744475,8.890000,-4.140820
0.600000,7.350000,7.666667,0.763121,8.910000,-4.206774
0.300000,7.530000,7.833333,0.779130,8.830000,-4.171123
0.600000,7.690000,8.000000,0.794856,8.930000,-4.139037
0.600000,7.830000,8.166667,0.810430,8.950000,-4.126560
0.600000,7.990000,8.333333,0.827125,8.830000,-4.122995
0.500000,8.130000,8.500000,0.848303,8.950000,-4.281640
0.800000,8.310000,8.666667,0.858423,8.890000,-4.146168
0.500000,8.430000,8.833333,0.873023,8.830000,-4.233512
0.300000,8.650000,9.000000,0.888867,8.830000,-4.283422
0.700000,8.790000,9.166667,0.905491,8.830000,-4.270945
0.500000,8.890000,9.333333,0.921296,8.850000,-4.304813
0.600000,9.090000,9.500000,0.945311,8.870000,-4.185383
0.600000,9.090000,9.666667,0.953376,8.810000,-4.347594
0.700000,9.350000,9.833333,0.968970,8.850000,-4.368984
0.400000,9.570000,10.000000,0.984723,8.890000,-4.379679
0.600000,9.710000,10.166667,1.001660,8.950000,-4.383244
0.600000,9.910000,10.333333,1.017323,8.950000,-4.367201
0.800000,10.010000,10.500000,1.033104,8.970000,-4.349376
0.500000,10.230000,10.666667,1.049190,8.950000,-4.335116
0.900000,10.310000,10.833333,1.065052,8.930000,-4.303030
0.300000,10.470000,11.000000,1.080903,8.950000,-4.270945
0.600000,10.650000,11.166667,1.096555,8.910000,-4.235294
0.500000,10.870000,11.333333,1.113093,8.910000,-4.222816
0.300000,10.990000,11.500000,1.128836,8.710000,-4.178253
0.500000,11.170000,11.666667,1.144503,8.870000,-4.139037
0.500000,11.290000,11.833333,1.161098,8.910000,-4.144385
0.600000,11.390000,12.000000,1.176725,8.910000,-4.124777
0.500000,11.610000,12.166667,1.193569,8.890000,-4.130125
0.400000,11.770000,12.333333,1.209130,8.890000,-4.142602
0.500000,11.950000,12.500000,1.224710,8.790000,-4.174688
0.500000,12.130000,12.666667,1.251231,8.950000,-4.377897
0.400000,12.170000,12.833333,1.257886,8.890000,-4.176471
0.600000,12.430000,13.000000,1.273489,8.830000,-4.237077
0.400000,12.590000,13.166667,1.289238,8.870000,-4.265597
0.500000,12.770000,13.333333,1.304860,8.870000,-4.306595
0.800000,12.870000,13.500000,1.321438,8.890000,-4.301248
0.600000,13.010000,13.666667,1.337187,8.930000,-4.326203
0.700000,13.230000,13.833333,1.352893,8.910000,-4.352941
0.600000,13.370000,14.000000,1.368813,8.890000,-4.372549
0.700000,13.530000,14.166667,1.385604,8.890000,-4.376114
