# Date: 20210225
# Operator: RDP
# Notes: 10 Nm
# Tap_cm: 5.0
# Sample: DCC_PbSn_008
# Fit of Tap:
#	Ic = 167 +/- 0.063 A
#	n = 139 +/- 7.7 
#	Vc = 2.5 uV
#	Vfloor = 0.623 +/- 0.0059 uV
#	R = 0.000827 +/- 6.3e-05 Ohms
Tap [uV],Shunt [A],Supply [A],Time [S],Hall [A],Cernox [T]
0.500000,0.110000,0.000000,0.027744,8.870000,-4.147950
0.400000,0.230000,0.083333,0.039862,8.750000,-4.233512
0.500000,0.290000,0.166667,0.056448,8.710000,-4.233512
0.400000,0.350000,0.250000,0.072667,8.790000,-4.242424
0.400000,0.350000,0.333333,0.088379,8.790000,-4.270945
0.400000,0.510000,0.416667,0.106202,8.770000,-4.245989
0.500000,0.570000,0.500000,0.121002,8.870000,-4.303030
0.400000,0.650000,0.583333,0.136643,8.910000,-4.322638
0.500000,0.750000,0.666667,0.152240,8.950000,-4.336898
0.300000,0.850000,0.750000,0.168296,8.970000,-4.331551
0.500000,0.890000,0.833333,0.184002,9.050000,-4.317291
0.500000,0.950000,0.916667,0.204268,8.850000,-4.301248
0.500000,1.010000,1.000000,0.215866,9.110000,-4.283422
0.500000,1.110000,1.083333,0.232641,9.070000,-4.292335
0.500000,1.190000,1.166667,0.248299,9.110000,-4.256684
0.300000,1.310000,1.250000,0.263866,9.050000,-4.201426
0.400000,1.330000,1.333333,0.280732,9.070000,-4.222816
0.200000,1.370000,1.416667,0.296363,8.970000,-4.190731
0.400000,1.530000,1.500000,0.312626,8.990000,-4.178253
0.600000,1.550000,1.583333,0.328061,8.890000,-4.142602
0.500000,1.650000,1.666667,0.343821,8.850000,-4.160428
0.400000,1.710000,1.750000,0.360388,8.810000,-4.155080
0.400000,1.830000,1.833333,0.376192,8.770000,-4.158645
0.600000,1.850000,1.916667,0.391808,8.710000,-4.180036
0.400000,1.950000,2.000000,0.409147,8.730000,-4.169340
0.500000,2.050000,2.083333,0.424336,8.790000,-4.204991
0.500000,2.110000,2.166667,0.440006,8.730000,-4.229947
0.400000,2.190000,2.250000,0.456542,8.750000,-4.233512
0.600000,2.290000,2.333333,0.473166,8.790000,-4.244207
0.500000,2.410000,2.416667,0.487854,8.790000,-4.297683
0.600000,2.470000,2.500000,0.504447,8.850000,-4.304813
0.300000,2.510000,2.583333,0.520079,8.850000,-4.324421
0.600000,2.610000,2.666667,0.535891,8.970000,-4.333333
0.400000,2.630000,2.750000,0.552494,8.930000,-4.335116
0.400000,2.770000,2.833333,0.568063,8.990000,-4.338681
0.300000,2.830000,2.916667,0.584889,9.050000,-4.340463
0.400000,2.950000,3.000000,0.613899,8.990000,-4.208556
0.700000,2.950000,3.083333,0.620512,8.890000,-4.301248
0.600000,3.030000,3.166667,0.632307,9.090000,-4.263815
0.700000,3.130000,3.250000,0.647919,8.990000,-4.229947
0.400000,3.250000,3.333333,0.664498,9.030000,-4.229947
0.700000,3.310000,3.416667,0.680321,8.970000,-4.197861
0.300000,3.370000,3.500000,0.695938,8.910000,-4.153298
0.600000,3.470000,3.583333,0.715300,9.010000,-4.242424
0.300000,3.530000,3.666667,0.731620,9.050000,-4.231729
0.600000,3.630000,3.750000,0.746412,8.910000,-4.171123
0.500000,3.670000,3.833333,0.761946,8.830000,-4.151515
0.500000,3.770000,3.916667,0.779552,8.910000,-4.160428
0.600000,3.890000,4.000000,0.794308,8.790000,-4.135472
0.500000,3.990000,4.083333,0.811238,8.890000,-4.149733
0.400000,3.990000,4.166667,0.823837,8.710000,-4.224599
0.600000,4.110000,4.250000,0.840608,8.710000,-4.217469
0.200000,4.250000,4.333333,0.856258,8.770000,-4.238859
0.500000,4.290000,4.416667,0.871799,8.790000,-4.278075
0.500000,4.330000,4.500000,0.888634,8.830000,-4.269162
0.500000,4.430000,4.583333,0.909101,8.750000,-4.155080
0.500000,4.490000,4.666667,0.920129,8.890000,-4.315508
0.400000,4.550000,4.750000,0.935941,8.930000,-4.327986
0.500000,4.690000,4.833333,0.952564,8.910000,-4.317291
0.500000,4.730000,4.916667,0.968128,9.070000,-4.324421
0.500000,4.850000,5.000000,0.983918,9.070000,-4.311943
0.400000,4.910000,5.083333,1.004123,8.870000,-4.295900
0.600000,4.990000,5.166667,1.016077,9.090000,-4.278075
0.600000,5.030000,5.250000,1.032429,9.130000,-4.256684
0.600000,5.130000,5.333333,1.048108,9.050000,-4.229947
0.300000,5.230000,5.416667,1.063698,8.990000,-4.190731
0.500000,5.250000,5.500000,1.081316,9.050000,-4.229947
0.500000,5.390000,5.583333,1.096031,8.930000,-4.167558
0.600000,5.470000,5.666667,1.112574,8.930000,-4.167558
0.600000,5.530000,5.750000,1.128777,8.910000,-4.149733
0.600000,5.610000,5.833333,1.144603,8.870000,-4.135472
0.400000,5.690000,5.916667,1.160157,8.770000,-4.124777
0.600000,5.750000,6.000000,1.175694,8.710000,-4.149733
0.600000,5.790000,6.083333,1.192488,8.750000,-4.146168
0.700000,5.870000,6.166667,1.214589,9.050000,-4.221034
0.500000,6.010000,6.250000,1.224261,8.730000,-4.212121
0.300000,6.070000,6.333333,1.240040,8.750000,-4.238859
0.500000,6.150000,6.416667,1.255641,8.810000,-4.274510
0.700000,6.270000,6.500000,1.272269,8.790000,-4.272727
0.500000,6.350000,6.583333,1.288082,8.850000,-4.310160
0.700000,6.370000,6.666667,1.303739,8.890000,-4.327986
0.600000,6.450000,6.750000,1.320565,8.870000,-4.319073
0.800000,6.570000,6.833333,1.337190,8.910000,-4.319073
0.500000,6.670000,6.916667,1.351805,8.990000,-4.336898
0.200000,6.730000,7.000000,1.368375,9.010000,-4.336898
0.700000,6.790000,7.083333,1.384703,9.030000,-4.327986
0.600000,6.850000,7.166667,1.404997,8.810000,-4.301248
0.500000,6.930000,7.250000,1.416594,9.070000,-4.303030
0.700000,7.050000,7.333333,1.433006,9.030000,-4.244207
0.500000,7.090000,7.416667,1.447742,9.050000,-4.206774
0.600000,7.210000,7.500000,1.464341,9.030000,-4.203209
0.600000,7.250000,7.583333,1.479898,9.010000,-4.174688
0.300000,7.390000,7.666667,1.496689,8.990000,-4.183601
0.400000,7.410000,7.750000,1.514480,9.010000,-4.213904
0.500000,7.510000,7.833333,1.530255,8.970000,-4.176471
0.400000,7.570000,7.916667,1.546239,8.930000,-4.156863
0.500000,7.610000,8.000000,1.561859,8.850000,-4.147950
0.700000,7.770000,8.083333,1.578387,8.830000,-4.140820
0.500000,7.830000,8.166667,1.594314,8.750000,-4.146168
0.600000,7.970000,8.250000,1.615093,8.870000,-4.247772
0.500000,7.970000,8.333333,1.623824,8.750000,-4.231729
0.500000,8.090000,8.416667,1.641262,8.730000,-4.213904
0.500000,8.170000,8.500000,1.655877,8.770000,-4.262032
0.500000,8.210000,8.583333,1.672396,8.830000,-4.276292
0.700000,8.310000,8.666667,1.688731,8.830000,-4.288770
0.500000,8.390000,8.750000,1.704470,8.850000,-4.315508
0.600000,8.510000,8.833333,1.720057,8.930000,-4.320856
0.500000,8.550000,8.916667,1.737713,8.970000,-4.301248
0.400000,8.650000,9.000000,1.752379,9.010000,-4.311943
0.500000,8.750000,9.083333,1.768169,9.070000,-4.310160
0.700000,8.770000,9.166667,1.783843,9.130000,-4.301248
0.500000,8.870000,9.250000,1.814295,9.050000,-4.212121
0.600000,8.870000,9.333333,1.820908,8.930000,-4.319073
0.500000,8.930000,9.416667,1.832480,9.070000,-4.272727
0.600000,9.090000,9.500000,1.848261,9.030000,-4.240642
0.500000,9.210000,9.583333,1.863860,9.010000,-4.208556
0.500000,9.250000,9.666667,1.880404,8.990000,-4.197861
0.300000,9.350000,9.750000,1.896185,8.870000,-4.176471
1.000000,9.410000,9.833333,1.911780,8.890000,-4.165775
0.600000,9.470000,9.916667,1.928658,8.850000,-4.156863
0.300000,9.510000,10.000000,1.944575,8.830000,-4.151515
0.600000,9.670000,10.083333,1.960225,8.830000,-4.165775
0.600000,9.690000,10.166667,1.975750,8.750000,-4.192513
0.800000,9.790000,10.250000,1.992900,8.750000,-4.181818
0.400000,9.890000,10.333333,2.008465,8.710000,-4.196078
0.500000,9.990000,10.416667,2.024118,8.790000,-4.231729
0.600000,10.070000,10.500000,2.040818,8.750000,-4.233512
0.600000,10.130000,10.583333,2.056564,8.770000,-4.263815
0.700000,10.230000,10.666667,2.072179,8.850000,-4.301248
0.400000,10.290000,10.750000,2.087741,8.890000,-4.313725
0.800000,10.390000,10.833333,2.109178,8.770000,-4.181818
0.500000,10.410000,10.916667,2.120190,8.930000,-4.329768
0.600000,10.530000,11.000000,2.135734,9.010000,-4.336898
0.500000,10.610000,11.083333,2.152520,9.010000,-4.336898
0.600000,10.690000,11.166667,2.168124,9.030000,-4.320856
0.500000,10.750000,11.250000,2.183687,9.010000,-4.299465
0.600000,10.890000,11.333333,2.205150,8.870000,-4.288770
0.600000,10.910000,11.416667,2.217795,9.130000,-4.260250
0.700000,10.990000,11.500000,2.232536,9.070000,-4.269162
0.600000,11.110000,11.583333,2.248322,9.070000,-4.231729
0.700000,11.250000,11.666667,2.263932,8.970000,-4.188948
0.500000,11.250000,11.750000,2.280596,8.970000,-4.178253
0.400000,11.330000,11.833333,2.297013,8.990000,-4.183601
0.800000,11.430000,11.916667,2.311674,8.850000,-4.131907
0.500000,11.490000,12.000000,2.329937,8.850000,-4.146168
0.700000,11.610000,12.083333,2.346483,8.850000,-4.153298
0.700000,11.630000,12.166667,2.362215,8.850000,-4.137255
0.700000,11.710000,12.250000,2.377668,8.790000,-4.131907
0.800000,11.850000,12.333333,2.394294,8.770000,-4.135472
0.800000,12.010000,12.416667,2.428123,8.930000,-4.147950
0.800000,11.950000,12.500000,2.443828,8.770000,-4.140820
0.700000,12.070000,12.583333,2.459609,8.710000,-4.172906
0.600000,12.110000,12.666667,2.475250,8.690000,-4.194296
0.900000,12.230000,12.750000,2.491771,8.710000,-4.194296
0.600000,12.290000,12.833333,2.507511,8.750000,-4.224599
0.600000,12.270000,12.916667,2.523378,8.750000,-4.251337
0.400000,12.450000,13.000000,2.540021,8.770000,-4.245989
0.700000,12.530000,13.083333,2.555763,8.810000,-4.288770
0.800000,12.590000,13.166667,2.571368,8.850000,-4.308378
0.400000,12.690000,13.250000,2.587941,8.850000,-4.313725
0.500000,12.750000,13.333333,2.604728,8.830000,-4.313725
0.700000,12.870000,13.416667,2.619333,8.970000,-4.336898
0.600000,12.870000,13.500000,2.635858,8.970000,-4.338681
0.800000,12.990000,13.583333,2.651609,9.010000,-4.320856
0.700000,13.070000,13.666667,2.667264,9.070000,-4.290553
0.600000,13.110000,13.750000,2.683849,9.070000,-4.299465
1.000000,13.270000,13.833333,2.706898,8.750000,-4.242424
0.800000,13.290000,13.916667,2.715846,9.050000,-4.247772
0.500000,13.370000,14.000000,2.731918,9.030000,-4.224599
0.500000,13.490000,14.083333,2.747508,8.990000,-4.176471
0.600000,13.530000,14.166667,2.763270,8.950000,-4.160428
0.500000,13.630000,14.250000,2.779947,8.950000,-4.169340
0.900000,13.670000,14.333333,2.795541,8.910000,-4.158645
0.900000,13.790000,14.416667,2.812294,8.870000,-4.153298
0.600000,13.890000,14.500000,2.828152,8.850000,-4.146168
0.800000,13.910000,14.583333,2.843817,8.790000,-4.144385
0.600000,13.930000,14.666667,2.859560,8.730000,-4.171123
0.400000,14.090000,14.750000,2.875225,8.770000,-4.199643
0.700000,14.230000,14.833333,2.891771,8.770000,-4.196078
0.500000,14.250000,14.916667,2.907500,8.710000,-4.240642
0.500000,14.350000,15.000000,2.923099,8.830000,-4.263815
0.400000,14.450000,15.083333,2.939638,8.790000,-4.258467
0.600000,14.470000,15.166667,2.955449,8.790000,-4.276292
0.800000,14.570000,15.250000,2.971091,8.910000,-4.299465
0.900000,14.670000,15.333333,2.987659,8.930000,-4.308378
0.600000,14.710000,15.416667,3.016642,9.130000,-4.267380
0.700000,14.770000,15.500000,3.023320,8.790000,-4.254902
0.700000,14.930000,15.583333,3.035946,9.030000,-4.317291
0.900000,14.970000,15.666667,3.051549,9.030000,-4.295900
0.700000,15.070000,15.750000,3.067261,9.050000,-4.283422
0.700000,15.070000,15.833333,3.083823,9.070000,-4.286988
0.700000,15.210000,15.916667,3.099379,9.030000,-4.238859
0.700000,15.270000,16.000000,3.116189,9.090000,-4.249554
0.600000,15.170000,16.083333,3.133288,9.010000,-4.265597
0.800000,15.490000,16.166667,3.148857,8.990000,-4.222816
0.500000,15.530000,16.250000,3.165583,9.010000,-4.235294
0.300000,15.590000,16.333333,3.181138,8.930000,-4.188948
0.600000,15.690000,16.416667,3.197574,8.930000,-4.181818
0.800000,15.730000,16.500000,3.217822,9.050000,-4.304813
