# Date: 20210119
# Operator: RDP
# Notes: PbSn 15 Nm
# Tap_cm: 5.0
# Sample: DCC-PbSn-10
# Fit of Tap:
#	Ic = 173 +/- 0.14 A
#	n = 49.1 +/- 2 
#	Vc = 5 uV
#	Vfloor = 1.11 +/- 0.014 uV
#	R = 0.00281 +/- 0.00015 Ohms
Tap [uV],Shunt [A],Supply [A],Time [S],Hall [A],Cernox [T]
1.100000,0.210000,0.000000,0.027038,12.723110,-4.791205
1.000000,0.350000,0.250000,0.044124,12.979280,-4.815225
0.900000,0.490000,0.500000,0.057203,12.808500,-4.728381
0.800000,0.690000,0.750000,0.072759,12.979280,-4.702513
0.800000,0.970000,1.000000,0.089318,12.723110,-4.702513
0.900000,1.250000,1.250000,0.104854,12.893890,-4.684035
0.900000,1.410000,1.500000,0.121396,12.893890,-4.682188
1.000000,1.690000,1.750000,0.136939,12.637720,-4.678492
0.800000,1.870000,2.000000,0.153470,12.808500,-4.676644
0.900000,2.090000,2.250000,0.169042,12.552330,-4.682188
0.900000,2.370000,2.500000,0.184577,12.552330,-4.715447
1.000000,2.610000,2.750000,0.201084,12.466940,-4.717295
0.900000,2.890000,3.000000,0.216601,12.466940,-4.746859
0.700000,3.090000,3.250000,0.233132,12.466940,-4.741316
1.000000,3.330000,3.500000,0.248696,12.381550,-4.781966
1.000000,3.570000,3.750000,0.265230,12.466940,-4.794900
1.100000,3.810000,4.000000,0.280864,12.466940,-4.817073
1.000000,4.010000,4.250000,0.297445,12.466940,-4.811530
0.900000,4.290000,4.500000,0.313007,12.552330,-4.818921
0.900000,4.550000,4.750000,0.328555,12.723110,-4.817073
0.900000,4.770000,5.000000,0.345141,12.808500,-4.824464
1.000000,5.010000,5.250000,0.360800,12.893890,-4.811530
0.900000,5.210000,5.500000,0.377358,12.979280,-4.817073
0.900000,5.430000,5.750000,0.392912,12.808500,-4.789357
0.900000,5.710000,6.000000,0.409437,12.723110,-4.780118
1.000000,5.950000,6.250000,0.424956,12.723110,-4.752402
0.900000,6.150000,6.500000,0.440789,12.723110,-4.726534
1.100000,6.370000,6.750000,0.457366,12.808500,-4.726534
1.000000,6.630000,7.000000,0.472937,12.466940,-4.695122
1.000000,6.930000,7.250000,0.489496,12.723110,-4.691426
0.800000,7.110000,7.500000,0.505043,12.637720,-4.674797
0.800000,7.390000,7.750000,0.520671,11.783820,-4.678492
1.100000,7.650000,8.000000,0.537306,12.808500,-4.671101
1.000000,7.850000,8.250000,0.552841,12.723110,-4.682188
1.300000,8.070000,8.500000,0.569376,12.637720,-4.687731
1.000000,8.310000,8.750000,0.584918,12.552330,-4.708056
1.100000,8.570000,9.000000,0.601480,12.552330,-4.711752
0.900000,8.810000,9.250000,0.617011,12.637720,-4.748707
1.000000,8.990000,9.500000,0.632534,12.381550,-4.774575
1.000000,9.310000,9.750000,0.654173,12.723110,-4.680340
0.900000,9.450000,10.000000,0.664820,12.552330,-4.800443
0.900000,9.770000,10.250000,0.681550,12.466940,-4.805987
0.900000,9.970000,10.500000,0.697160,12.381550,-4.822616
1.000000,10.190000,10.750000,0.712701,12.723110,-4.813378
1.200000,10.470000,11.000000,0.729242,12.723110,-4.826312
0.900000,10.690000,11.250000,0.746451,12.637720,-4.831855
1.000000,10.910000,11.500000,0.762973,12.637720,-4.831855
1.100000,11.170000,11.750000,0.778637,12.808500,-4.831855
1.100000,11.450000,12.000000,0.795238,12.893890,-4.826312
0.800000,11.710000,12.250000,0.810753,12.723110,-4.787509
1.000000,11.870000,12.500000,0.827211,12.979280,-4.778271
1.000000,12.210000,12.750000,0.845793,12.637720,-4.804139
1.000000,12.330000,13.000000,0.857381,12.723110,-4.695122
1.000000,12.650000,13.250000,0.872951,12.723110,-4.680340
1.100000,12.870000,13.500000,0.889477,12.808500,-4.682188
0.900000,13.090000,13.750000,0.905024,12.637720,-4.671101
1.100000,13.290000,14.000000,0.920571,12.637720,-4.672949
0.900000,13.570000,14.250000,0.945126,12.723110,-4.817073
1.200000,13.670000,14.500000,0.953186,12.637720,-4.676644
1.000000,14.050000,14.750000,0.968748,12.466940,-4.684035
1.100000,14.250000,15.000000,0.985294,12.296160,-4.696970
1.000000,14.490000,15.250000,1.000806,12.381550,-4.724686
1.100000,14.730000,15.500000,1.017330,12.466940,-4.739468
