# Date: 20210119
# Operator: RDP
# Notes: PbSn 15 Nm
# Tap_cm: 5.0
# Sample: DCC-PbSn-12
# Fit of Tap:
#	Ic = 168 +/- 0.13 A
#	n = 50.9 +/- 2.2 
#	Vc = 5 uV
#	Vfloor = 1.03 +/- 0.014 uV
#	R = 0.00252 +/- 0.00016 Ohms
Tap [uV],Shunt [A],Supply [A],Time [S],Hall [A],Cernox [T]
0.900000,0.210000,0.000000,0.027453,12.381550,-4.776423
0.900000,0.330000,0.250000,0.041271,12.552330,-4.728381
0.900000,0.510000,0.500000,0.056863,12.552330,-4.696970
1.100000,0.730000,0.750000,0.073379,12.637720,-4.700665
0.900000,0.970000,1.000000,0.088945,12.637720,-4.676644
0.700000,1.230000,1.250000,0.105209,12.552330,-4.669254
1.000000,1.490000,1.500000,0.121244,12.637720,-4.663710
0.900000,1.630000,1.750000,0.136889,12.210770,-4.648928
0.900000,1.910000,2.000000,0.153422,12.039990,-4.647081
1.100000,2.110000,2.250000,0.168953,12.125380,-4.648928
0.900000,2.410000,2.500000,0.185491,12.039990,-4.654472
0.600000,2.610000,2.750000,0.204766,13.491620,-4.667406
0.800000,2.810000,3.000000,0.217431,11.869210,-4.691426
0.900000,3.090000,3.250000,0.233034,11.869210,-4.713599
0.900000,3.370000,3.500000,0.249605,11.954600,-4.713599
0.700000,3.530000,3.750000,0.265140,11.783820,-4.746859
0.700000,3.850000,4.000000,0.280693,11.954600,-4.756098
1.000000,4.010000,4.250000,0.297230,11.869210,-4.763489
0.600000,4.250000,4.500000,0.312771,11.869210,-4.774575
0.800000,4.530000,4.750000,0.329328,12.381550,-4.783814
1.000000,4.810000,5.000000,0.344871,12.381550,-4.787509
0.900000,5.030000,5.250000,0.361419,12.381550,-4.794900
0.900000,5.190000,5.500000,0.376971,12.381550,-4.789357
0.700000,5.470000,5.750000,0.404765,12.381550,-4.665558
0.900000,5.550000,6.000000,0.411361,12.296160,-4.793052
0.900000,5.930000,6.250000,0.424903,12.637720,-4.745011
0.900000,6.150000,6.500000,0.441437,12.552330,-4.741316
1.100000,6.310000,6.750000,0.457081,12.466940,-4.711752
0.900000,6.690000,7.000000,0.472714,12.466940,-4.685883
0.900000,6.910000,7.250000,0.489275,12.723110,-4.672949
0.700000,7.130000,7.500000,0.504833,12.296160,-4.660015
0.900000,7.370000,7.750000,0.521377,12.552330,-4.663710
1.000000,7.610000,8.000000,0.536936,12.381550,-4.647081
0.900000,7.810000,8.250000,0.553476,12.210770,-4.645233
1.000000,8.150000,8.500000,0.569008,12.039990,-4.645233
0.900000,8.390000,8.750000,0.585544,12.039990,-4.634146
0.800000,8.550000,9.000000,0.601579,11.869210,-4.637842
0.800000,8.810000,9.250000,0.617171,11.954600,-4.669254
1.000000,8.990000,9.500000,0.632730,11.954600,-4.695122
0.800000,9.310000,9.750000,0.649261,11.954600,-4.700665
0.800000,9.470000,10.000000,0.664790,12.039990,-4.730229
1.000000,9.730000,10.250000,0.681315,12.039990,-4.728381
0.900000,9.990000,10.500000,0.699747,11.869210,-4.680340
0.800000,10.170000,10.750000,0.712904,11.954600,-4.770880
0.900000,10.470000,11.000000,0.729605,12.125380,-4.770880
0.900000,10.730000,11.250000,0.746996,12.125380,-4.772727
1.000000,10.950000,11.500000,0.762529,12.125380,-4.781966
1.000000,11.210000,11.750000,0.779120,12.296160,-4.780118
1.000000,11.450000,12.000000,0.802194,11.954600,-4.656319
0.900000,11.590000,12.250000,0.810690,12.552330,-4.794900
0.800000,11.910000,12.500000,0.827283,12.466940,-4.794900
1.000000,12.110000,12.750000,0.841456,12.552330,-4.752402
0.900000,12.370000,13.000000,0.857013,12.466940,-4.724686
0.900000,12.610000,13.250000,0.873559,12.466940,-4.706208
0.900000,12.810000,13.500000,0.889091,12.552330,-4.678492
0.900000,13.090000,13.750000,0.904653,12.552330,-4.656319
0.800000,13.350000,14.000000,0.921182,12.552330,-4.660015
1.100000,13.590000,14.250000,0.936732,12.296160,-4.654472
0.800000,13.830000,14.500000,0.953287,12.296160,-4.650776
1.100000,14.050000,14.750000,0.968961,12.125380,-4.652624
1.100000,14.270000,15.000000,0.985554,12.039990,-4.656319
1.000000,14.510000,15.250000,1.007078,12.637720,-4.733925
0.900000,14.690000,15.500000,1.016755,11.783820,-4.691426
0.900000,15.010000,15.750000,1.034953,11.698430,-4.658167
0.800000,15.230000,16.000000,1.048682,11.869210,-4.719143
0.900000,15.470000,16.250000,1.065271,11.783820,-4.713599
0.900000,15.730000,16.500000,1.080809,11.869210,-4.735772
0.900000,15.910000,16.750000,1.097328,11.869210,-4.746859
1.000000,16.190000,17.000000,1.112835,11.954600,-4.772727
0.800000,16.430000,17.250000,1.129338,11.869210,-4.778271
0.700000,16.710000,17.500000,1.144887,12.296160,-4.794900
1.000000,16.930000,17.750000,1.161400,12.125380,-4.793052
1.000000,17.150000,18.000000,1.177015,12.381550,-4.793052
1.000000,17.410000,18.250000,1.195348,12.125380,-4.787509
0.700000,17.650000,18.500000,1.209007,12.552330,-4.772727
1.100000,17.830000,18.750000,1.224673,12.723110,-4.757945
0.900000,18.090000,19.000000,1.241219,12.552330,-4.759793
1.000000,18.490000,19.250000,1.256755,12.466940,-4.724686
0.900000,18.690000,19.500000,1.273316,12.466940,-4.724686
1.100000,18.830000,19.750000,1.288842,12.466940,-4.689579
0.900000,19.050000,20.000000,1.305185,12.723110,-4.702513
