# Date: 20210202
# Operator: RDP
# Notes: PbSN DCC 10inLb
# Tap_cm: 5.0
# Sample: DCC_PbSn_34
# Fit of Tap:
#	Ic = 175 +/- 0.17 A
#	n = 55.4 +/- 3 
#	Vc = 5 uV
#	Vfloor = 1.17 +/- 0.015 uV
#	R = 0.0044 +/- 0.00017 Ohms
Tap [uV],Shunt [A],Supply [A],Time [S],Hall [A],Cernox [T]
0.900000,0.190000,0.000000,0.027247,37.144650,-4.560237
0.800000,0.210000,0.250000,0.042793,37.315430,-4.578714
0.900000,0.190000,0.500000,0.058277,37.486210,-4.611973
1.400000,0.210000,0.750000,0.083742,38.596280,-4.660015
1.100000,0.330000,1.000000,0.093171,37.315430,-4.556541
0.800000,0.370000,1.250000,0.105195,37.998550,-4.682188
0.900000,0.470000,1.500000,0.120793,38.340110,-4.696970
1.000000,0.710000,1.750000,0.137333,37.998550,-4.709904
1.000000,1.710000,2.000000,0.152856,38.681670,-4.728381
1.200000,3.770000,2.250000,0.169372,38.340110,-4.720990
1.100000,2.870000,2.500000,0.184891,38.340110,-4.702513
0.900000,2.530000,2.750000,0.204115,38.340110,-4.713599
0.900000,2.550000,3.000000,0.216688,38.083940,-4.660015
0.800000,2.850000,3.250000,0.233258,37.998550,-4.645233
1.000000,3.130000,3.500000,0.248868,38.340110,-4.613821
1.000000,3.290000,3.750000,0.265396,38.254720,-4.608278
0.800000,3.430000,4.000000,0.280952,38.083940,-4.560237
1.000000,3.750000,4.250000,0.296491,37.827770,-4.545455
1.100000,3.930000,4.500000,0.313024,37.913160,-4.550998
1.000000,4.230000,4.750000,0.328583,37.400820,-4.539911
1.100000,4.530000,5.000000,0.345110,37.486210,-4.528825
0.900000,4.730000,5.250000,0.360624,37.144650,-4.552846
0.800000,5.010000,5.500000,0.382933,38.340110,-4.643385
1.200000,4.830000,5.750000,0.395113,37.486210,-4.547302
1.000000,5.690000,6.000000,0.408690,37.571600,-4.593496
1.000000,6.350000,6.250000,0.425217,37.571600,-4.599039
0.900000,6.330000,6.500000,0.440766,37.486210,-4.623060
0.900000,6.030000,6.750000,0.457285,37.571600,-4.635994
0.900000,7.030000,7.000000,0.472800,37.742380,-4.667406
1.000000,8.390000,7.250000,0.489473,37.742380,-4.667406
0.800000,6.810000,7.500000,0.505067,38.083940,-4.685883
1.000000,6.950000,7.750000,0.520619,38.425500,-4.709904
0.900000,7.630000,8.000000,0.537164,38.340110,-4.704361
1.000000,7.850000,8.250000,0.552691,38.425500,-4.702513
1.100000,8.410000,8.500000,0.569254,38.596280,-4.696970
1.000000,8.090000,8.750000,0.585265,38.425500,-4.685883
1.100000,8.650000,9.000000,0.600904,38.510890,-4.671101
1.200000,8.870000,9.250000,0.617431,38.596280,-4.669254
1.000000,9.010000,9.500000,0.632948,38.340110,-4.634146
1.200000,10.090000,9.750000,0.648504,38.169330,-4.591648
1.000000,9.210000,10.000000,0.665021,38.169330,-4.593496
1.000000,9.670000,10.250000,0.682222,38.425500,-4.608278
1.000000,9.970000,10.500000,0.697261,38.169330,-4.560237
1.200000,10.030000,10.750000,0.712819,37.913160,-4.543607
0.900000,10.330000,11.000000,0.729366,37.742380,-4.539911
1.200000,10.150000,11.250000,0.745068,37.827770,-4.536216
1.100000,10.950000,11.500000,0.760660,37.400820,-4.560237
1.200000,11.130000,11.750000,0.778585,37.400820,-4.525129
1.100000,11.530000,12.000000,0.794896,37.059260,-4.541759
1.000000,11.750000,12.250000,0.810349,37.400820,-4.547302
1.100000,12.410000,12.500000,0.826792,37.230040,-4.547302
0.900000,11.890000,12.750000,0.842325,37.400820,-4.578714
1.200000,12.170000,13.000000,0.858763,37.486210,-4.584257
1.200000,12.450000,13.250000,0.874205,37.656990,-4.632299
1.200000,12.810000,13.500000,0.890625,37.486210,-4.621212
1.300000,13.050000,13.750000,0.907144,37.998550,-4.623060
1.000000,13.350000,14.000000,0.922794,38.083940,-4.665558
1.000000,13.530000,14.250000,0.938426,38.340110,-4.680340
1.200000,13.790000,14.500000,0.954916,38.340110,-4.702513
1.300000,13.970000,14.750000,0.970361,38.596280,-4.706208
1.000000,14.210000,15.000000,0.999097,38.254720,-4.623060
1.300000,14.350000,15.250000,1.005663,37.913160,-4.676644
1.100000,14.570000,15.500000,1.017174,38.425500,-4.676644
1.100000,14.890000,15.750000,1.032703,38.510890,-4.623060
1.200000,15.490000,16.000000,1.049250,38.340110,-4.632299
0.900000,15.490000,16.250000,1.064765,38.169330,-4.576866
1.000000,15.630000,16.500000,1.081305,37.998550,-4.580562
1.400000,15.870000,16.750000,1.096871,37.998550,-4.550998
1.300000,16.230000,17.000000,1.113404,37.998550,-4.545455
1.400000,16.310000,17.250000,1.128924,37.656990,-4.521434
1.000000,16.410000,17.500000,1.144438,37.315430,-4.532520
1.300000,16.870000,17.750000,1.160945,37.400820,-4.541759
1.200000,17.190000,18.000000,1.177978,37.315430,-4.525129
1.300000,17.330000,18.250000,1.192569,37.400820,-4.563932
1.000000,17.450000,18.500000,1.209080,37.400820,-4.560237
1.200000,17.870000,18.750000,1.224592,37.571600,-4.591648
1.100000,18.050000,19.000000,1.241252,37.400820,-4.586105
1.100000,18.350000,19.250000,1.256868,37.742380,-4.621212
1.100000,18.650000,19.500000,1.279459,37.742380,-4.523282
1.300000,18.690000,19.750000,1.289091,37.827770,-4.654472
1.000000,18.950000,20.000000,1.304677,38.083940,-4.682188
1.200000,19.270000,20.250000,1.321208,38.169330,-4.691426
