# Date: 20210202
# Operator: RDP
# Notes: PbSN DCC 10inLb
# Tap_cm: 5.0
# Sample: DCC_PbSn_34
# Fit of Tap:
#	Ic = 176 +/- 0.15 A
#	n = 50.5 +/- 2.4 
#	Vc = 5 uV
#	Vfloor = 1.21 +/- 0.016 uV
#	R = 0.00326 +/- 0.00017 Ohms
Tap [uV],Shunt [A],Supply [A],Time [S],Hall [A],Cernox [T]
1.200000,0.190000,0.000000,0.026872,37.742380,-4.519586
1.100000,0.250000,0.250000,0.043047,37.656990,-4.501109
1.000000,0.490000,0.500000,0.058331,37.656990,-4.490022
1.200000,0.730000,0.750000,0.074392,37.400820,-4.499261
0.800000,0.910000,1.000000,0.090408,37.486210,-4.514043
0.900000,1.190000,1.250000,0.106481,37.230040,-4.519586
0.800000,1.430000,1.500000,0.120487,37.486210,-4.575018
1.000000,1.690000,1.750000,0.136277,37.315430,-4.606430
1.100000,1.870000,2.000000,0.152121,37.486210,-4.624908
1.000000,2.130000,2.250000,0.168895,37.656990,-4.617517
1.100000,2.390000,2.500000,0.184662,37.827770,-4.650776
0.900000,2.610000,2.750000,0.200436,38.169330,-4.674797
1.000000,2.830000,3.000000,0.216221,38.169330,-4.676644
0.800000,3.130000,3.250000,0.238147,37.230040,-4.545455
1.100000,3.210000,3.500000,0.248324,37.998550,-4.684035
0.900000,3.550000,3.750000,0.264173,38.254720,-4.665558
1.200000,3.790000,4.000000,0.279966,38.510890,-4.645233
0.900000,4.010000,4.250000,0.296732,38.254720,-4.661863
0.900000,4.250000,4.500000,0.312651,38.340110,-4.628603
1.100000,4.490000,4.750000,0.328465,37.998550,-4.597191
0.900000,4.790000,5.000000,0.344268,38.083940,-4.562084
1.000000,5.030000,5.250000,0.360048,37.998550,-4.526977
1.000000,5.210000,5.500000,0.376812,37.913160,-4.526977
0.700000,5.450000,5.750000,0.392598,37.827770,-4.510347
1.000000,5.690000,6.000000,0.408358,37.656990,-4.501109
1.100000,5.930000,6.250000,0.424211,37.486210,-4.497413
1.000000,6.210000,6.500000,0.440359,37.400820,-4.497413
1.300000,6.430000,6.750000,0.456611,37.230040,-4.514043
1.100000,6.630000,7.000000,0.472444,37.315430,-4.550998
1.100000,6.890000,7.250000,0.488234,37.230040,-4.562084
0.900000,7.110000,7.500000,0.503996,37.486210,-4.578714
1.100000,7.350000,7.750000,0.520777,37.315430,-4.576866
1.100000,7.630000,8.000000,0.537159,37.315430,-4.582409
1.100000,8.070000,8.250000,0.552570,37.486210,-4.626755
0.800000,8.130000,8.500000,0.568436,37.571600,-4.647081
1.100000,8.370000,8.750000,0.584249,37.742380,-4.671101
0.900000,8.550000,9.000000,0.600023,37.742380,-4.685883
0.800000,8.810000,9.250000,0.616797,37.742380,-4.680340
1.000000,9.010000,9.500000,0.632956,37.913160,-4.695122
1.100000,9.230000,9.750000,0.648784,37.998550,-4.696970
1.200000,9.510000,10.000000,0.664607,38.340110,-4.689579
1.100000,9.730000,10.250000,0.680408,38.254720,-4.684035
1.100000,9.930000,10.500000,0.696186,38.169330,-4.667406
0.900000,10.210000,10.750000,0.711951,38.169330,-4.623060
0.900000,10.470000,11.000000,0.728714,38.340110,-4.626755
1.100000,10.710000,11.250000,0.744485,38.254720,-4.595344
1.200000,10.970000,11.500000,0.760293,38.169330,-4.556541
0.900000,11.190000,11.750000,0.776062,37.913160,-4.528825
0.800000,11.430000,12.000000,0.792831,37.998550,-4.532520
1.100000,11.670000,12.250000,0.808710,37.998550,-4.521434
1.200000,11.910000,12.500000,0.826547,37.913160,-4.545455
1.200000,12.210000,12.750000,0.861831,38.083940,-4.617517
0.900000,12.410000,13.000000,0.878043,37.913160,-4.587953
1.000000,12.590000,13.250000,0.894127,37.913160,-4.562084
1.100000,12.790000,13.500000,0.910121,37.827770,-4.528825
1.200000,13.110000,13.750000,0.924840,37.656990,-4.508500
1.000000,13.250000,14.000000,0.939639,37.400820,-4.519586
1.100000,13.590000,14.250000,0.956414,37.486210,-4.512195
1.100000,13.790000,14.500000,0.972191,37.486210,-4.541759
1.000000,14.030000,14.750000,0.987953,37.400820,-4.567627
1.000000,14.270000,15.000000,1.003715,37.400820,-4.591648
1.200000,14.510000,15.250000,1.020494,37.486210,-4.580562
0.900000,14.690000,15.500000,1.035847,37.486210,-4.626755
1.200000,14.970000,15.750000,1.051772,38.425500,-4.641537
1.200000,15.230000,16.000000,1.067639,37.827770,-4.660015
1.200000,15.510000,16.250000,1.084412,37.913160,-4.672949
1.100000,15.670000,16.500000,1.100165,37.827770,-4.689579
1.000000,15.950000,16.750000,1.115926,38.169330,-4.687731
0.700000,16.270000,17.000000,1.137790,37.400820,-4.562084
1.100000,16.330000,17.250000,1.148089,38.169330,-4.691426
1.100000,16.650000,17.500000,1.163885,38.340110,-4.678492
0.900000,16.870000,17.750000,1.179663,38.425500,-4.641537
1.200000,17.190000,18.000000,1.196444,38.425500,-4.658167
1.000000,17.350000,18.250000,1.212213,38.254720,-4.624908
1.300000,17.590000,18.500000,1.229553,38.510890,-4.648928
1.000000,17.850000,18.750000,1.244516,38.083940,-4.580562
1.100000,18.110000,19.000000,1.260312,38.254720,-4.547302
1.100000,18.330000,19.250000,1.276072,38.169330,-4.517738
1.200000,18.590000,19.500000,1.291869,37.913160,-4.504804
1.100000,18.790000,19.750000,1.307767,37.742380,-4.491870
1.400000,19.010000,20.000000,1.323575,37.571600,-4.499261
1.300000,19.270000,20.250000,1.340335,37.742380,-4.491870
1.200000,19.530000,20.500000,1.356085,37.400820,-4.517738
1.000000,19.770000,20.750000,1.371866,37.315430,-4.541759
1.400000,19.950000,21.000000,1.387630,37.315430,-4.565780
1.000000,20.190000,21.250000,1.404384,37.315430,-4.556541
0.900000,20.390000,21.500000,1.420152,37.400820,-4.584257
1.200000,20.730000,21.750000,1.443453,37.998550,-4.539911
1.200000,20.830000,22.000000,1.452344,37.742380,-4.643385
1.100000,21.150000,22.250000,1.468126,37.913160,-4.667406
1.300000,21.410000,22.500000,1.483911,37.913160,-4.691426
1.100000,21.630000,22.750000,1.499681,38.169330,-4.695122
1.000000,21.870000,23.000000,1.516453,37.998550,-4.680340
1.400000,22.090000,23.250000,1.532222,38.340110,-4.709904
1.400000,22.370000,23.500000,1.547998,38.340110,-4.696970
0.900000,22.590000,23.750000,1.563889,38.254720,-4.678492
1.200000,22.830000,24.000000,1.579712,38.340110,-4.645233
1.200000,23.030000,24.250000,1.596471,38.510890,-4.658167
1.000000,23.310000,24.500000,1.612233,38.425500,-4.626755
1.400000,23.290000,24.750000,1.631189,38.425500,-4.672949
1.200000,23.730000,25.000000,1.648004,38.340110,-4.680340
1.100000,23.990000,25.250000,1.662215,38.254720,-4.604582
1.200000,24.270000,25.500000,1.678290,37.913160,-4.587953
1.100000,24.430000,25.750000,1.694337,37.913160,-4.549150
1.300000,24.650000,26.000000,1.710351,37.998550,-4.523282
1.600000,24.830000,26.250000,1.726532,37.913160,-4.519586
1.300000,25.150000,26.500000,1.743628,38.254720,-4.543607
1.100000,25.330000,26.750000,1.755919,37.656990,-4.525129
1.200000,25.610000,27.000000,1.771742,37.486210,-4.549150
1.100000,25.830000,27.250000,1.788507,37.315430,-4.547302
1.300000,26.290000,27.500000,1.804371,37.571600,-4.563932
1.100000,26.330000,27.750000,1.820232,37.315430,-4.586105
1.400000,26.570000,28.000000,1.835803,37.486210,-4.623060
1.300000,26.810000,28.250000,1.851634,37.742380,-4.648928
1.200000,27.070000,28.500000,1.868409,37.571600,-4.652624
1.400000,27.310000,28.750000,1.884243,37.998550,-4.661863
1.100000,27.470000,29.000000,1.900030,38.169330,-4.678492
1.300000,27.770000,29.250000,1.915831,38.083940,-4.693274
1.200000,27.930000,29.500000,1.931634,38.340110,-4.687731
1.100000,28.170000,29.750000,1.948694,38.510890,-4.698817
1.300000,28.490000,30.000000,1.964559,38.510890,-4.687731
1.200000,28.750000,30.250000,1.980341,38.681670,-4.671101
1.400000,28.930000,30.500000,1.996098,38.596280,-4.647081
1.100000,29.150000,30.750000,2.011864,38.169330,-4.617517
1.200000,29.490000,31.000000,2.036635,37.400820,-4.576866
1.300000,29.650000,31.250000,2.050473,37.827770,-4.661863
1.200000,29.830000,31.500000,2.060598,38.083940,-4.549150
1.100000,30.110000,31.750000,2.076437,37.998550,-4.521434
1.300000,30.350000,32.000000,2.092211,37.827770,-4.510347
1.500000,30.590000,32.250000,2.107978,37.827770,-4.495565
1.300000,30.830000,32.500000,2.123753,37.400820,-4.499261
1.400000,31.090000,32.750000,2.140564,37.742380,-4.486327
1.400000,31.270000,33.000000,2.156332,37.656990,-4.502956
1.200000,31.490000,33.250000,2.172088,37.486210,-4.530673
1.400000,31.730000,33.500000,2.187855,37.486210,-4.538064
1.100000,31.990000,33.750000,2.203624,37.400820,-4.567627
