# Date: 20210202
# Operator: RDP
# Notes: PbSN DCC 10inLb
# Tap_cm: 5.0
# Sample: DCC_PbSn_34
# Fit of Tap:
#	Ic = 175 +/- 0.25 A
#	n = 53.4 +/- 4.5 
#	Vc = 5 uV
#	Vfloor = 4.87 +/- 3e+19 uV
#	R = 0.00333 +/- 5.1e-05 Ohms
Tap [uV],Shunt [A],Supply [A],Time [S],Hall [A],Cernox [T]
1.100000,0.250000,0.000000,0.027633,37.998550,-4.584257
0.900000,0.330000,0.250000,0.042687,38.169330,-4.615669
1.200000,0.470000,0.500000,0.058106,38.254720,-4.624908
1.200000,0.690000,0.750000,0.072811,38.340110,-4.611973
1.100000,0.890000,1.000000,0.089341,38.425500,-4.599039
1.100000,1.190000,1.250000,0.104872,38.340110,-4.567627
1.100000,1.390000,1.500000,0.120372,38.254720,-4.521434
1.100000,1.670000,1.750000,0.136870,37.998550,-4.519586
1.000000,1.870000,2.000000,0.152407,38.083940,-4.471545
1.100000,2.110000,2.250000,0.168930,38.169330,-4.475240
0.900000,2.350000,2.500000,0.184463,37.827770,-4.454915
1.100000,2.650000,2.750000,0.203648,38.083940,-4.530673
1.000000,2.890000,3.000000,0.225491,38.083940,-4.624908
0.900000,2.930000,3.250000,0.232442,37.486210,-4.445676
1.200000,3.250000,3.500000,0.248976,37.486210,-4.451220
1.000000,3.510000,3.750000,0.264477,37.400820,-4.482631
1.100000,3.830000,4.000000,0.281044,37.486210,-4.480783
1.100000,4.050000,4.250000,0.296646,37.571600,-4.514043
1.200000,4.230000,4.500000,0.313172,37.486210,-4.519586
1.100000,4.450000,4.750000,0.328685,37.486210,-4.556541
1.100000,4.790000,5.000000,0.345185,37.656990,-4.562084
1.000000,4.970000,5.250000,0.360715,37.742380,-4.599039
1.200000,5.170000,5.500000,0.377214,37.742380,-4.600887
0.900000,5.390000,5.750000,0.392921,37.827770,-4.615669
0.800000,5.670000,6.000000,0.408479,38.169330,-4.641537
0.800000,5.950000,6.250000,0.424984,37.998550,-4.635994
1.100000,6.170000,6.500000,0.440482,38.340110,-4.635994
1.100000,6.390000,6.750000,0.456972,38.083940,-4.628603
1.100000,6.610000,7.000000,0.472452,38.510890,-4.608278
1.000000,6.910000,7.250000,0.488943,38.340110,-4.613821
0.800000,7.130000,7.500000,0.504454,38.169330,-4.584257
0.900000,7.370000,7.750000,0.525654,37.656990,-4.630451
1.000000,7.510000,8.000000,0.536769,37.913160,-4.528825
1.000000,7.770000,8.250000,0.553340,38.083940,-4.532520
1.100000,8.070000,8.500000,0.568852,37.742380,-4.495565
0.900000,8.270000,8.750000,0.584718,37.656990,-4.467849
1.000000,8.550000,9.000000,0.601270,37.656990,-4.462306
1.300000,8.750000,9.250000,0.616771,37.486210,-4.441981
1.200000,8.990000,9.500000,0.633274,37.571600,-4.447524
1.200000,9.230000,9.750000,0.648777,37.230040,-4.460458
1.000000,9.490000,10.000000,0.665277,37.230040,-4.453067
1.100000,9.750000,10.250000,0.680805,37.144650,-4.484479
1.000000,9.950000,10.500000,0.697296,37.230040,-4.491870
0.900000,10.190000,10.750000,0.712786,37.315430,-4.526977
1.200000,10.250000,11.000000,0.729536,37.400820,-4.519586
1.300000,10.710000,11.250000,0.745402,37.571600,-4.538064
1.400000,10.950000,11.500000,0.761169,37.742380,-4.575018
1.100000,11.210000,11.750000,0.779980,37.486210,-4.530673
1.200000,11.370000,12.000000,0.795058,37.571600,-4.578714
1.000000,11.650000,12.250000,0.810994,37.827770,-4.606430
1.100000,11.970000,12.500000,0.835287,37.656990,-4.480783
1.000000,12.010000,12.750000,0.844846,37.827770,-4.591648
1.200000,12.290000,13.000000,0.858828,38.169330,-4.632299
1.000000,12.570000,13.250000,0.874060,38.596280,-4.641537
1.300000,12.790000,13.500000,0.888808,38.169330,-4.613821
1.000000,13.090000,13.750000,0.905570,38.254720,-4.621212
1.300000,13.290000,14.000000,0.921306,38.169330,-4.591648
1.300000,13.490000,14.250000,0.937044,38.083940,-4.560237
1.000000,13.770000,14.500000,0.952781,38.083940,-4.519586
1.100000,14.090000,14.750000,0.969191,37.742380,-4.510347
1.000000,14.270000,15.000000,0.984975,37.827770,-4.475240
1.200000,14.510000,15.250000,1.000738,37.742380,-4.460458
1.100000,14.750000,15.500000,1.017469,37.656990,-4.462306
1.200000,14.910000,15.750000,1.033318,37.571600,-4.462306
1.300000,15.250000,16.000000,1.049156,37.742380,-4.464154
1.200000,15.450000,16.250000,1.064898,37.230040,-4.478936
1.300000,15.730000,16.500000,1.080630,37.400820,-4.495565
1.200000,15.990000,16.750000,1.097378,37.400820,-4.506652
1.000000,16.230000,17.000000,1.113112,37.315430,-4.539911
1.100000,16.470000,17.250000,1.129988,37.144650,-4.530673
1.200000,16.630000,17.500000,1.145210,37.486210,-4.567627
1.000000,16.870000,17.750000,1.161749,37.656990,-4.575018
1.200000,17.090000,18.000000,1.177549,37.742380,-4.597191
1.200000,17.410000,18.250000,1.193325,37.827770,-4.615669
1.100000,17.610000,18.500000,1.209066,37.913160,-4.630451
1.300000,17.890000,18.750000,1.224875,38.083940,-4.643385
1.500000,18.110000,19.000000,1.240613,38.510890,-4.639690
1.300000,18.330000,19.250000,1.257335,38.169330,-4.639690
1.300000,18.630000,19.500000,1.273050,38.510890,-4.628603
1.500000,18.790000,19.750000,1.288910,38.340110,-4.602735
1.300000,19.030000,20.000000,1.304716,38.083940,-4.580562
1.200000,19.270000,20.250000,1.321452,38.169330,-4.587953
1.300000,19.550000,20.500000,1.337179,37.998550,-4.541759
1.500000,19.790000,20.750000,1.353625,37.998550,-4.525129
1.000000,19.990000,21.000000,1.369453,37.742380,-4.490022
1.300000,20.170000,21.250000,1.385217,37.998550,-4.467849
1.100000,20.450000,21.500000,1.400942,37.827770,-4.453067
1.100000,20.750000,21.750000,1.425502,38.083940,-4.634146
1.400000,20.790000,22.000000,1.432649,37.315430,-4.447524
1.100000,21.150000,22.250000,1.449415,37.486210,-4.454915
1.100000,21.350000,22.500000,1.465148,37.486210,-4.486327
1.400000,21.650000,22.750000,1.480882,37.059260,-4.499261
1.200000,21.910000,23.000000,1.496607,37.230040,-4.530673
1.300000,22.170000,23.250000,1.513329,37.400820,-4.538064
1.100000,22.330000,23.500000,1.533828,37.827770,-4.458610
1.300000,22.510000,23.750000,1.544658,37.571600,-4.593496
1.000000,22.830000,24.000000,1.561401,37.742380,-4.575018
1.300000,23.070000,24.250000,1.577651,37.827770,-4.632299
1.200000,23.350000,24.500000,1.594629,37.913160,-4.599039
1.200000,23.510000,24.750000,1.611572,37.742380,-4.593496
1.200000,23.730000,25.000000,1.627570,37.571600,-4.621212
1.100000,23.990000,25.250000,1.643532,37.998550,-4.634146
1.300000,24.210000,25.500000,1.659500,38.169330,-4.643385
1.200000,24.430000,25.750000,1.675454,38.254720,-4.660015
1.300000,24.690000,26.000000,1.689474,38.425500,-4.635994
1.400000,24.890000,26.250000,1.705211,38.425500,-4.617517
1.200000,25.190000,26.500000,1.727758,37.656990,-4.617517
1.200000,25.370000,26.750000,1.739316,38.340110,-4.635994
1.400000,25.630000,27.000000,1.753088,38.169330,-4.528825
1.300000,25.870000,27.250000,1.768811,38.083940,-4.493718
1.100000,26.110000,27.500000,1.785749,38.169330,-4.504804
1.300000,26.390000,27.750000,1.801592,37.913160,-4.478936
1.100000,26.570000,28.000000,1.817324,37.742380,-4.471545
1.300000,26.810000,28.250000,1.833043,37.571600,-4.469697
1.200000,26.990000,28.500000,1.848781,37.400820,-4.484479
1.300000,27.290000,28.750000,1.865494,37.571600,-4.475240
1.200000,27.510000,29.000000,1.881218,37.230040,-4.499261
1.000000,27.730000,29.250000,1.896945,37.315430,-4.530673
1.100000,28.030000,29.500000,1.912667,37.230040,-4.545455
1.400000,28.270000,29.750000,1.929310,37.486210,-4.541759
1.300000,28.430000,30.000000,1.945083,37.400820,-4.562084
1.000000,28.710000,30.250000,1.960831,37.656990,-4.593496
1.300000,28.990000,30.500000,1.976584,37.742380,-4.610126
1.400000,29.190000,30.750000,1.993321,37.656990,-4.621212
1.100000,29.410000,31.000000,2.009048,37.913160,-4.621212
1.200000,29.710000,31.250000,2.025948,37.827770,-4.621212
1.100000,29.890000,31.500000,2.041287,38.169330,-4.630451
1.400000,30.170000,31.750000,2.057075,38.510890,-4.632299
1.300000,30.370000,32.000000,2.072812,38.340110,-4.621212
1.400000,30.550000,32.250000,2.088554,38.425500,-4.597191
1.400000,30.850000,32.500000,2.105284,38.596280,-4.597191
1.300000,31.130000,32.750000,2.122002,38.510890,-4.591648
1.500000,31.250000,33.000000,2.136794,38.254720,-4.515891
1.200000,31.530000,33.250000,2.153528,38.340110,-4.521434
1.100000,31.750000,33.500000,2.169291,38.169330,-4.488174
1.100000,31.930000,33.750000,2.185028,37.998550,-4.467849
1.500000,32.210000,34.000000,2.200789,37.571600,-4.440133
1.500000,32.490000,34.250000,2.217519,37.742380,-4.447524
1.400000,32.690000,34.500000,2.233542,37.571600,-4.443829
1.400000,32.930000,34.750000,2.249365,37.571600,-4.454915
1.200000,33.170000,35.000000,2.265105,37.486210,-4.475240
1.400000,33.450000,35.250000,2.280910,37.230040,-4.499261
1.200000,33.650000,35.500000,2.296760,37.144650,-4.525129
1.200000,33.930000,35.750000,2.313506,37.315430,-4.525129
1.100000,34.250000,36.000000,2.336146,38.083940,-4.508500
1.500000,34.330000,36.250000,2.344985,37.486210,-4.576866
1.500000,34.630000,36.500000,2.360743,37.742380,-4.597191
1.400000,34.930000,36.750000,2.377474,37.656990,-4.602735
1.600000,35.070000,37.000000,2.395160,37.571600,-4.580562
1.300000,35.290000,37.250000,2.411093,37.827770,-4.602735
1.500000,35.550000,37.500000,2.427009,37.827770,-4.615669
1.300000,35.830000,37.750000,2.442930,38.083940,-4.623060
1.400000,36.050000,38.000000,2.458850,38.169330,-4.637842
1.400000,36.270000,38.250000,2.474769,38.340110,-4.626755
1.300000,36.510000,38.500000,2.490428,38.596280,-4.611973
1.400000,36.790000,38.750000,2.505171,38.169330,-4.575018
1.300000,37.010000,39.000000,2.521949,38.254720,-4.587953
1.300000,37.270000,39.250000,2.536800,38.083940,-4.525129
1.300000,37.490000,39.500000,2.552605,37.998550,-4.482631
1.400000,37.810000,39.750000,2.569350,37.998550,-4.486327
1.300000,38.010000,40.000000,2.585086,37.827770,-4.466001
1.400000,38.170000,40.250000,2.600837,37.400820,-4.449372
1.500000,38.490000,40.500000,2.623836,38.340110,-4.648928
1.500000,38.570000,40.750000,2.633439,37.656990,-4.456763
1.600000,38.870000,41.000000,2.648640,37.486210,-4.493718
1.400000,39.110000,41.250000,2.665394,37.400820,-4.486327
1.500000,39.390000,41.500000,2.681126,37.315430,-4.510347
1.400000,39.570000,41.750000,2.696854,37.315430,-4.543607
1.200000,39.890000,42.000000,2.712583,37.315430,-4.571323
1.300000,40.130000,42.250000,2.729335,37.315430,-4.567627
1.400000,40.330000,42.500000,2.745234,38.169330,-4.587953
1.500000,40.610000,42.750000,2.761098,37.742380,-4.608278
1.600000,40.830000,43.000000,2.776865,37.827770,-4.637842
1.100000,41.110000,43.250000,2.792771,37.998550,-4.639690
1.400000,41.310000,43.500000,2.808581,38.254720,-4.654472
1.400000,41.510000,43.750000,2.825321,38.083940,-4.665558
1.500000,41.750000,44.000000,2.841060,38.340110,-4.671101
1.500000,41.990000,44.250000,2.856873,38.510890,-4.656319
1.500000,42.230000,44.500000,2.872633,38.340110,-4.634146
1.500000,42.450000,44.750000,2.889377,38.596280,-4.641537
1.500000,42.710000,45.000000,2.905103,38.425500,-4.610126
1.500000,42.970000,45.250000,2.932037,37.400820,-4.484479
1.400000,43.010000,45.500000,2.938811,38.510890,-4.613821
1.300000,43.350000,45.750000,2.953536,38.254720,-4.539911
1.500000,43.610000,46.000000,2.969307,38.083940,-4.512195
1.400000,43.850000,46.250000,2.985047,38.083940,-4.484479
1.600000,44.130000,46.500000,3.000809,37.742380,-4.464154
1.500000,44.330000,46.750000,3.017533,37.827770,-4.464154
1.400000,44.590000,47.000000,3.033350,37.913160,-4.460458
1.500000,44.850000,47.250000,3.049208,37.571600,-4.466001
1.300000,45.050000,47.500000,3.064950,37.230040,-4.491870
1.400000,45.290000,47.750000,3.080691,37.400820,-4.514043
1.400000,45.590000,48.000000,3.097434,37.400820,-4.506652
1.500000,45.730000,48.250000,3.113201,37.400820,-4.526977
1.400000,46.010000,48.500000,3.129235,37.656990,-4.547302
1.500000,46.230000,48.750000,3.145026,37.827770,-4.580562
1.500000,46.410000,49.000000,3.160786,37.742380,-4.610126
1.500000,46.670000,49.250000,3.177542,37.571600,-4.602735
1.600000,46.910000,49.500000,3.193531,37.998550,-4.626755
1.600000,47.150000,49.750000,3.211532,37.827770,-4.604582
1.500000,47.430000,50.000000,3.235959,37.827770,-4.484479
1.700000,47.470000,50.250000,3.245687,37.742380,-4.580562
1.500000,47.770000,50.500000,3.258654,38.425500,-4.661863
1.500000,48.070000,50.750000,3.274612,38.425500,-4.656319
1.400000,48.350000,51.000000,3.291694,38.510890,-4.656319
1.700000,48.510000,51.250000,3.305213,38.340110,-4.611973
1.700000,48.810000,51.500000,3.322175,38.425500,-4.613821
1.400000,49.050000,51.750000,3.336975,38.254720,-4.549150
1.300000,49.270000,52.000000,3.352710,37.998550,-4.517738
1.300000,49.570000,52.250000,3.369486,37.913160,-4.525129
1.300000,49.770000,52.500000,3.385247,37.827770,-4.495565
1.800000,49.970000,52.750000,3.400984,37.913160,-4.482631
1.600000,50.250000,53.000000,3.416710,37.656990,-4.471545
1.600000,50.470000,53.250000,3.433431,37.486210,-4.480783
1.500000,50.690000,53.500000,3.449183,37.400820,-4.502956
1.600000,50.930000,53.750000,3.464935,37.400820,-4.502956
1.500000,51.190000,54.000000,3.480672,37.230040,-4.519586
1.700000,51.430000,54.250000,3.497396,37.315430,-4.519586
1.500000,51.690000,54.500000,3.513140,37.315430,-4.536216
1.500000,51.990000,54.750000,3.535822,37.742380,-4.501109
1.400000,52.010000,55.000000,3.544787,37.400820,-4.597191
1.600000,52.370000,55.250000,3.561548,37.315430,-4.591648
1.700000,52.650000,55.500000,3.577281,37.742380,-4.628603
1.400000,52.890000,55.750000,3.593009,37.913160,-4.652624
1.500000,53.090000,56.000000,3.608740,38.254720,-4.658167
1.400000,53.350000,56.250000,3.625472,37.913160,-4.661863
1.400000,53.610000,56.500000,3.641210,38.254720,-4.665558
1.500000,53.790000,56.750000,3.656945,38.340110,-4.654472
1.600000,54.050000,57.000000,3.672673,38.510890,-4.630451
1.700000,54.230000,57.250000,3.689398,38.340110,-4.628603
1.600000,54.470000,57.500000,3.705134,38.596280,-4.611973
1.600000,54.830000,57.750000,3.722181,38.596280,-4.619364
1.700000,55.010000,58.000000,3.737241,38.254720,-4.573171
1.500000,55.230000,58.250000,3.753088,38.169330,-4.538064
1.500000,55.490000,58.500000,3.768848,38.083940,-4.490022
1.700000,55.710000,58.750000,3.784652,38.083940,-4.486327
1.600000,55.970000,59.000000,3.801475,37.742380,-4.488174
1.500000,56.250000,59.250000,3.826465,37.742380,-4.652624
1.600000,56.310000,59.500000,3.833582,37.827770,-4.482631
1.400000,56.670000,59.750000,3.849339,37.656990,-4.493718
1.600000,56.970000,60.000000,3.865078,37.400820,-4.523282
1.500000,57.210000,60.250000,3.880839,37.400820,-4.534368
1.600000,57.370000,60.500000,3.896559,37.486210,-4.550998
1.700000,57.670000,60.750000,3.913285,37.571600,-4.545455
1.700000,57.850000,61.000000,3.929427,37.400820,-4.554693
1.800000,58.090000,61.250000,3.945201,37.656990,-4.586105
1.700000,58.330000,61.500000,3.960934,37.998550,-4.611973
1.700000,58.570000,61.750000,3.976680,37.998550,-4.637842
1.500000,58.830000,62.000000,3.993529,37.742380,-4.630451
1.600000,59.090000,62.250000,4.011023,37.656990,-4.628603
1.600000,59.310000,62.500000,4.026969,37.913160,-4.650776
1.500000,59.550000,62.750000,4.043078,37.998550,-4.661863
1.500000,59.770000,63.000000,4.059028,38.510890,-4.667406
1.600000,59.990000,63.250000,4.075001,38.340110,-4.658167
1.500000,60.210000,63.500000,4.090924,38.425500,-4.661863
1.400000,60.470000,63.750000,4.106817,38.425500,-4.639690
1.700000,60.830000,64.000000,4.133199,37.656990,-4.469697
1.500000,60.870000,64.250000,4.140000,38.510890,-4.656319
1.500000,61.170000,64.500000,4.152733,38.169330,-4.528825
1.400000,61.370000,64.750000,4.169479,38.083940,-4.523282
1.500000,61.690000,65.000000,4.185216,38.083940,-4.495565
1.800000,61.930000,65.250000,4.200954,37.998550,-4.478936
1.800000,62.170000,65.500000,4.216688,37.827770,-4.471545
1.500000,62.370000,65.750000,4.233412,37.656990,-4.464154
1.600000,62.650000,66.000000,4.249168,37.656990,-4.473392
1.500000,62.910000,66.250000,4.264898,37.400820,-4.499261
1.600000,63.130000,66.500000,4.280625,37.315430,-4.521434
1.700000,63.390000,66.750000,4.297489,37.400820,-4.519586
1.700000,63.570000,67.000000,4.313298,37.486210,-4.538064
1.500000,63.870000,67.250000,4.329601,37.571600,-4.538064
1.500000,64.110000,67.500000,4.345398,37.486210,-4.567627
1.800000,64.310000,67.750000,4.361147,37.742380,-4.597191
1.600000,64.570000,68.000000,4.376929,37.827770,-4.621212
1.400000,64.770000,68.250000,4.392663,37.913160,-4.635994
1.400000,65.030000,68.500000,4.409396,38.083940,-4.647081
1.400000,65.250000,68.750000,4.425923,37.913160,-4.652624
1.700000,65.530000,69.000000,4.441129,38.254720,-4.665558
1.600000,65.710000,69.250000,4.456893,38.510890,-4.650776
1.700000,65.870000,69.500000,4.472706,38.681670,-4.634146
1.200000,66.210000,69.750000,4.489520,38.596280,-4.648928
1.800000,66.430000,70.000000,4.505267,38.254720,-4.621212
1.400000,66.810000,70.250000,4.522555,38.254720,-4.647081
1.700000,66.990000,70.500000,4.537404,38.254720,-4.595344
1.600000,67.170000,70.750000,4.553258,37.998550,-4.554693
1.400000,67.450000,71.000000,4.569009,37.998550,-4.521434
1.600000,67.630000,71.250000,4.584780,37.827770,-4.488174
1.500000,67.890000,71.500000,4.601536,37.913160,-4.488174
1.400000,68.150000,71.750000,4.617280,37.913160,-4.475240
1.700000,68.350000,72.000000,4.633012,37.571600,-4.478936
1.800000,68.590000,72.250000,4.648745,37.486210,-4.495565
1.900000,68.790000,72.500000,4.665482,37.315430,-4.499261
1.500000,69.050000,72.750000,4.681222,37.315430,-4.517738
1.400000,69.270000,73.000000,4.696946,37.571600,-4.554693
1.600000,69.550000,73.250000,4.712671,37.486210,-4.573171
1.600000,69.830000,73.500000,4.735965,38.083940,-4.528825
1.500000,69.910000,73.750000,4.744848,37.571600,-4.619364
1.600000,70.210000,74.000000,4.760576,37.913160,-4.652624
1.500000,70.410000,74.250000,4.777312,37.998550,-4.660015
1.600000,70.710000,74.500000,4.793213,37.913160,-4.676644
1.700000,70.930000,74.750000,4.808997,38.083940,-4.689579
1.500000,71.150000,75.000000,4.826679,37.998550,-4.665558
1.400000,71.390000,75.250000,4.842636,38.254720,-4.676644
1.800000,71.610000,75.500000,4.858628,38.254720,-4.680340
1.600000,71.910000,75.750000,4.874620,38.425500,-4.680340
1.400000,72.090000,76.000000,4.891572,38.254720,-4.672949
1.500000,72.310000,76.250000,4.907548,38.510890,-4.661863
1.600000,72.590000,76.500000,4.928722,37.486210,-4.589800
1.700000,72.650000,76.750000,4.937490,38.169330,-4.576866
1.500000,73.090000,77.000000,4.953239,37.913160,-4.536216
1.900000,73.270000,77.250000,4.968985,37.913160,-4.506652
1.600000,73.510000,77.500000,4.984866,37.998550,-4.480783
1.600000,73.710000,77.750000,5.000616,37.571600,-4.473392
1.500000,74.030000,78.000000,5.026269,37.998550,-4.643385
1.600000,74.110000,78.250000,5.033376,37.571600,-4.464154
1.700000,74.470000,78.500000,5.049282,37.486210,-4.478936
1.600000,74.750000,78.750000,5.065058,37.315430,-4.504804
1.700000,74.890000,79.000000,5.080832,37.486210,-4.519586
1.600000,75.230000,79.250000,5.096579,37.144650,-4.545455
1.600000,75.430000,79.500000,5.113328,37.059260,-4.545455
1.600000,75.670000,79.750000,5.128866,37.400820,-4.580562
1.600000,75.930000,80.000000,5.144637,37.571600,-4.602735
