# Date: 20210222
# Operator: RDP
# Notes: New Rig, 77 K, 0.5 quench
# Tap_cm: 5.0
# Sample: PnSn_10
# Fit of Tap:
#	Ic = 89.9 +/- 1.2 A
#	n = 50 +/- 1.3 
#	Vc = 3.5 uV
#	Vfloor = 3.49 +/- 1.4e+60 uV
#	R = 0.838 +/- 3.7e+51 Ohms
Tap [uV],Shunt [A],Supply [A],Time [S],Hall [A],Cernox [T]
1.100000,0.210000,0.000000,0.026051,37.059260,-4.410569
0.800000,0.270000,0.166667,0.040146,37.144650,-4.510347
1.000000,0.390000,0.333333,0.055722,36.888480,-4.549150
1.000000,0.550000,0.500000,0.072282,37.059260,-4.549150
1.000000,0.670000,0.666667,0.087824,37.059260,-4.584257
0.900000,0.870000,0.833333,0.104423,36.973870,-4.591648
1.100000,1.010000,1.000000,0.119972,36.973870,-4.599039
1.100000,1.170000,1.166667,0.136501,37.144650,-4.597191
1.000000,1.290000,1.333333,0.152027,36.803090,-4.580562
0.900000,1.470000,1.500000,0.168565,36.717700,-4.578714
1.000000,1.670000,1.666667,0.184105,36.888480,-4.552846
1.000000,1.730000,1.833333,0.203412,36.973870,-4.595344
1.100000,1.930000,2.000000,0.216018,36.803090,-4.495565
1.100000,2.090000,2.166667,0.232566,36.888480,-4.497413
1.100000,2.210000,2.333333,0.248213,36.973870,-4.451220
1.300000,2.410000,2.500000,0.269309,36.973870,-4.589800
1.100000,2.530000,2.666667,0.280382,36.803090,-4.410569
1.000000,2.790000,2.833333,0.295979,36.717700,-4.393939
1.000000,2.890000,3.000000,0.312542,36.803090,-4.379157
1.000000,3.050000,3.166667,0.328071,36.888480,-4.360680
0.900000,3.170000,3.333333,0.344622,36.803090,-4.373614
1.400000,3.350000,3.500000,0.360164,36.973870,-4.390244
1.000000,3.510000,3.666667,0.375712,36.973870,-4.419808
1.000000,3.630000,3.833333,0.392843,37.059260,-4.414265
0.900000,3.810000,4.000000,0.408464,36.888480,-4.451220
1.200000,3.990000,4.166667,0.424016,36.973870,-4.510347
1.100000,4.190000,4.333333,0.440579,36.803090,-4.512195
1.100000,4.310000,4.500000,0.456115,36.973870,-4.552846
0.900000,4.490000,4.666667,0.471643,36.973870,-4.582409
1.000000,4.670000,4.833333,0.488274,36.803090,-4.589800
0.900000,4.770000,5.000000,0.503964,36.717700,-4.597191
0.800000,4.970000,5.166667,0.520569,36.888480,-4.595344
1.100000,5.170000,5.333333,0.536115,36.803090,-4.597191
1.200000,5.270000,5.500000,0.551653,36.888480,-4.582409
1.000000,5.430000,5.666667,0.569084,36.803090,-4.589800
0.800000,5.590000,5.833333,0.584681,36.973870,-4.576866
1.000000,5.770000,6.000000,0.600297,37.059260,-4.550998
1.200000,5.910000,6.166667,0.615889,36.888480,-4.514043
1.000000,6.090000,6.333333,0.632429,37.059260,-4.491870
1.200000,6.170000,6.500000,0.647961,36.717700,-4.443829
1.200000,6.370000,6.666667,0.664508,36.888480,-4.438285
1.100000,6.490000,6.833333,0.680053,36.888480,-4.410569
1.100000,6.650000,7.000000,0.696625,36.803090,-4.405026
0.800000,6.870000,7.166667,0.713953,36.803090,-4.406874
1.100000,7.010000,7.333333,0.729460,36.717700,-4.371766
0.800000,7.230000,7.500000,0.746156,37.059260,-4.381005
1.200000,7.310000,7.666667,0.761852,36.973870,-4.369919
1.100000,7.510000,7.833333,0.780904,36.973870,-4.412417
1.200000,7.650000,8.000000,0.793486,36.888480,-4.393939
1.200000,7.830000,8.166667,0.809566,37.315430,-4.405026
1.300000,7.950000,8.333333,0.824138,37.059260,-4.486327
1.000000,8.150000,8.500000,0.839772,36.888480,-4.538064
1.100000,8.350000,8.666667,0.856380,37.230040,-4.539911
1.100000,8.510000,8.833333,0.872473,36.973870,-4.562084
1.100000,8.590000,9.000000,0.888632,37.059260,-4.571323
1.000000,8.770000,9.166667,0.904281,36.803090,-4.593496
1.100000,8.870000,9.333333,0.920053,36.888480,-4.602735
1.000000,9.050000,9.500000,0.935685,36.888480,-4.587953
0.700000,9.290000,9.666667,0.952284,36.632310,-4.595344
0.900000,9.390000,9.833333,0.968416,36.803090,-4.584257
0.800000,9.550000,10.000000,0.984004,36.888480,-4.549150
0.900000,9.650000,10.166667,1.000644,36.803090,-4.554693
1.300000,9.890000,10.333333,1.016247,36.973870,-4.506652
1.300000,10.030000,10.500000,1.031805,36.632310,-4.458610
0.900000,10.170000,10.666667,1.048379,36.717700,-4.458610
1.100000,10.370000,10.833333,1.063949,36.888480,-4.417960
1.300000,10.530000,11.000000,1.080506,36.717700,-4.417960
1.000000,10.650000,11.166667,1.096042,36.717700,-4.390244
1.000000,10.850000,11.333333,1.112573,36.803090,-4.392092
0.700000,11.010000,11.500000,1.128140,36.973870,-4.377310
1.300000,11.170000,11.666667,1.143683,37.059260,-4.399483
1.300000,11.350000,11.833333,1.174442,36.973870,-4.493718
1.000000,11.350000,12.000000,1.181086,36.973870,-4.438285
0.900000,11.630000,12.166667,1.191637,36.888480,-4.477088
1.300000,11.770000,12.333333,1.208207,36.888480,-4.484479
1.300000,11.870000,12.500000,1.223999,37.230040,-4.530673
1.100000,12.150000,12.666667,1.239674,36.973870,-4.560237
1.200000,12.310000,12.833333,1.256352,36.973870,-4.567627
0.900000,12.430000,13.000000,1.271972,37.059260,-4.602735
1.300000,12.570000,13.166667,1.288532,37.144650,-4.600887
1.100000,12.670000,13.333333,1.304092,37.144650,-4.619364
1.300000,12.890000,13.500000,1.319641,37.144650,-4.621212
1.100000,13.030000,13.666667,1.336182,36.803090,-4.619364
1.000000,13.230000,13.833333,1.351740,36.973870,-4.604582
1.100000,13.390000,14.000000,1.367891,36.888480,-4.597191
1.100000,13.570000,14.166667,1.384486,36.803090,-4.586105
1.200000,13.650000,14.333333,1.400026,37.059260,-4.539911
1.000000,13.870000,14.500000,1.416609,36.888480,-4.543607
1.000000,14.010000,14.666667,1.432169,36.803090,-4.493718
1.100000,14.190000,14.833333,1.447708,36.803090,-4.449372
0.900000,14.330000,15.000000,1.468709,36.803090,-4.593496
1.100000,14.450000,15.166667,1.479770,36.973870,-4.412417
1.200000,14.670000,15.333333,1.496418,37.144650,-4.417960
1.200000,14.810000,15.500000,1.512115,36.888480,-4.384701
1.000000,15.010000,15.666667,1.529735,36.717700,-4.397635
0.900000,15.090000,15.833333,1.546233,36.717700,-4.377310
1.400000,15.310000,16.000000,1.565039,36.717700,-4.441981
1.400000,15.430000,16.166667,1.581495,36.717700,-4.430894
1.300000,15.590000,16.333333,1.594078,36.632310,-4.390244
1.400000,15.790000,16.500000,1.609581,36.888480,-4.421656
1.200000,15.910000,16.666667,1.624780,37.144650,-4.471545
1.000000,16.130000,16.833333,1.640372,36.888480,-4.519586
1.300000,16.250000,17.000000,1.655941,36.803090,-4.547302
1.200000,16.410000,17.166667,1.672490,36.888480,-4.549150
1.200000,16.530000,17.333333,1.688080,36.888480,-4.584257
1.100000,16.690000,17.500000,1.704610,37.059260,-4.591648
1.300000,16.870000,17.666667,1.720186,36.803090,-4.611973
1.100000,17.010000,17.833333,1.735738,36.888480,-4.602735
1.000000,17.130000,18.000000,1.752384,36.632310,-4.587953
1.400000,17.390000,18.166667,1.775645,36.888480,-4.434590
1.100000,17.450000,18.333333,1.784389,36.803090,-4.545455
1.300000,17.670000,18.500000,1.799948,36.973870,-4.514043
1.200000,17.830000,18.666667,1.816499,36.973870,-4.504804
1.300000,18.010000,18.833333,1.832041,36.632310,-4.460458
1.200000,18.150000,19.000000,1.848574,36.803090,-4.454915
1.200000,18.270000,19.166667,1.864119,36.717700,-4.432742
1.200000,18.430000,19.333333,1.879635,36.803090,-4.405026
1.100000,18.650000,19.500000,1.896170,36.973870,-4.399483
1.400000,18.710000,19.666667,1.911713,36.803090,-4.375462
0.900000,18.930000,19.833333,1.928282,36.973870,-4.373614
1.700000,19.050000,20.000000,1.943819,37.144650,-4.386548
1.400000,19.330000,20.166667,1.965216,36.973870,-4.456763
1.300000,19.390000,20.333333,1.975860,37.144650,-4.429047
1.500000,19.630000,20.500000,1.992406,36.973870,-4.427199
1.300000,19.750000,20.666667,2.008070,36.973870,-4.469697
1.000000,19.890000,20.833333,2.023675,37.144650,-4.512195
1.300000,19.990000,21.000000,2.040299,36.888480,-4.517738
1.300000,20.190000,21.166667,2.055898,36.717700,-4.560237
1.300000,20.370000,21.333333,2.072196,36.888480,-4.569475
1.100000,20.510000,21.500000,2.088383,36.888480,-4.575018
1.300000,20.650000,21.666667,2.103954,36.803090,-4.595344
1.300000,20.770000,21.833333,2.120516,36.888480,-4.595344
1.200000,20.970000,22.000000,2.136056,36.973870,-4.576866
1.100000,21.110000,22.166667,2.152578,36.803090,-4.580562
1.000000,21.310000,22.333333,2.167883,36.973870,-4.545455
1.200000,21.350000,22.500000,2.184465,36.973870,-4.550998
1.300000,21.590000,22.666667,2.200021,37.059260,-4.506652
1.000000,21.790000,22.833333,2.216611,37.059260,-4.495565
1.300000,21.970000,23.000000,2.232149,37.059260,-4.454915
1.200000,22.090000,23.166667,2.248037,36.888480,-4.421656
1.100000,22.270000,23.333333,2.263708,36.803090,-4.393939
1.400000,22.430000,23.500000,2.280286,36.888480,-4.393939
1.200000,22.590000,23.666667,2.295876,36.888480,-4.371766
1.200000,22.730000,23.833333,2.312444,36.888480,-4.373614
1.200000,22.730000,24.000000,2.329012,36.973870,-4.360680
1.400000,23.010000,24.166667,2.345536,37.059260,-4.358832
0.800000,23.210000,24.333333,2.387517,36.973870,-4.593496
1.100000,23.310000,24.500000,2.404208,36.888480,-4.586105
1.100000,23.510000,24.666667,2.419901,36.888480,-4.573171
1.100000,23.610000,24.833333,2.434122,36.888480,-4.536216
1.300000,23.810000,25.000000,2.449679,36.888480,-4.493718
1.400000,23.930000,25.166667,2.466241,36.717700,-4.491870
1.300000,24.070000,25.333333,2.481797,36.888480,-4.449372
1.400000,24.270000,25.500000,2.498441,36.717700,-4.443829
1.200000,24.390000,25.666667,2.514113,36.717700,-4.410569
1.200000,24.570000,25.833333,2.529693,36.973870,-4.379157
1.100000,24.770000,26.000000,2.546251,36.888480,-4.381005
