# Date: 20210222
# Operator: RDP
# Notes: New Rig, 77 K, 3.5 quench
# Tap_cm: 5.0
# Sample: PnSn_012
# Fit of Tap:
#	Ic = 153 +/- 0.13 A
#	n = 47.1 +/- 1.7 
#	Vc = 3.5 uV
#	Vfloor = 1.53 +/- 0.0069 uV
#	R = 0.000359 +/- 8.6e-05 Ohms
Tap [uV],Shunt [A],Supply [A],Time [S],Hall [A],Cernox [T]
1.600000,0.250000,0.000000,0.027001,37.059260,-4.499261
1.600000,0.350000,0.083333,0.042059,37.144650,-4.460458
1.500000,0.310000,0.166667,0.056675,37.059260,-4.414265
1.600000,0.490000,0.250000,0.073227,37.059260,-4.403178
1.400000,0.390000,0.333333,0.088803,37.059260,-4.360680
1.200000,0.470000,0.416667,0.105335,37.059260,-4.358832
1.600000,0.530000,0.500000,0.120877,37.059260,-4.340355
1.100000,0.650000,0.583333,0.137444,36.973870,-4.345898
1.500000,0.730000,0.666667,0.153223,37.144650,-4.344050
1.500000,0.770000,0.750000,0.168836,36.888480,-4.362528
1.300000,0.930000,0.833333,0.188231,37.230040,-4.351441
1.300000,1.010000,0.916667,0.204830,36.973870,-4.355137
1.400000,1.030000,1.000000,0.217479,36.803090,-4.416112
1.500000,1.110000,1.083333,0.233034,36.803090,-4.451220
1.500000,1.170000,1.166667,0.248580,36.888480,-4.482631
1.400000,1.310000,1.250000,0.265275,36.888480,-4.478936
1.300000,1.330000,1.333333,0.280886,36.803090,-4.515891
1.400000,1.370000,1.416667,0.297491,36.717700,-4.521434
1.500000,1.490000,1.500000,0.313034,36.632310,-4.549150
1.400000,1.530000,1.583333,0.328586,36.803090,-4.558389
1.200000,1.610000,1.666667,0.345180,36.632310,-4.552846
1.600000,1.770000,1.750000,0.360721,36.717700,-4.541759
1.500000,1.850000,1.833333,0.377281,36.803090,-4.536216
1.300000,1.910000,1.916667,0.394081,36.803090,-4.521434
1.200000,1.950000,2.000000,0.408677,37.059260,-4.473392
1.300000,2.050000,2.083333,0.425277,36.888480,-4.477088
1.400000,2.190000,2.166667,0.440821,37.059260,-4.436438
1.400000,2.190000,2.250000,0.457346,36.973870,-4.429047
1.400000,2.270000,2.333333,0.472926,37.144650,-4.382853
1.300000,2.370000,2.416667,0.488919,36.803090,-4.371766
1.500000,2.470000,2.500000,0.504963,36.717700,-4.342203
1.300000,2.410000,2.583333,0.520732,36.632310,-4.327421
1.200000,2.570000,2.666667,0.537395,36.803090,-4.355137
1.600000,2.670000,2.750000,0.552971,36.973870,-4.368071
1.500000,2.490000,2.833333,0.568538,36.973870,-4.390244
1.600000,2.890000,2.916667,0.585578,36.888480,-4.386548
1.300000,2.910000,3.000000,0.601164,36.803090,-4.410569
1.300000,2.970000,3.083333,0.616785,36.803090,-4.441981
1.600000,3.030000,3.166667,0.633367,36.717700,-4.449372
1.500000,3.110000,3.250000,0.648915,36.973870,-4.488174
1.500000,3.250000,3.333333,0.665451,36.888480,-4.478936
1.400000,3.330000,3.416667,0.680999,36.632310,-4.510347
1.600000,3.390000,3.500000,0.696525,38.169330,-4.545455
1.400000,3.470000,3.583333,0.713050,36.973870,-4.541759
1.400000,3.510000,3.666667,0.728581,36.888480,-4.539911
1.500000,3.650000,3.750000,0.745621,36.973870,-4.532520
1.300000,3.750000,3.833333,0.763315,36.717700,-4.541759
1.500000,3.770000,3.916667,0.778964,36.973870,-4.539911
1.400000,3.910000,4.000000,0.813086,37.144650,-4.543607
1.500000,3.970000,4.083333,0.828768,37.827770,-4.550998
1.400000,4.050000,4.166667,0.845208,37.059260,-4.523282
1.400000,4.090000,4.250000,0.859880,37.144650,-4.495565
1.600000,4.210000,4.333333,0.875459,37.315430,-4.447524
1.500000,4.310000,4.416667,0.891041,36.973870,-4.421656
1.300000,4.370000,4.500000,0.907600,37.230040,-4.421656
1.500000,4.450000,4.583333,0.923150,36.973870,-4.377310
1.300000,4.210000,4.666667,0.939697,37.144650,-4.381005
1.400000,4.590000,4.750000,0.955260,37.059260,-4.327421
