# Date: 20210222
# Operator: RDP
# Notes: New Rig, 77 K, 3.5 quench
# Tap_cm: 5.0
# Sample: PnSn_032
# Fit of Tap:
#	Ic = 138 +/- 0.12 A
#	n = 109 +/- 8.8 
#	Vc = 3.5 uV
#	Vfloor = 1.66 +/- 0.01 uV
#	R = 0.00224 +/- 0.00013 Ohms
Tap [uV],Shunt [A],Supply [A],Time [S],Hall [A],Cernox [T]
1.500000,0.210000,0.000000,0.025208,37.315430,-4.419808
1.500000,0.210000,0.166667,0.041221,37.230040,-4.410569
1.500000,0.370000,0.333333,0.057021,36.973870,-4.388396
1.300000,0.590000,0.500000,0.072806,37.144650,-4.358832
1.500000,0.710000,0.666667,0.089630,37.059260,-4.368071
1.200000,0.850000,0.833333,0.105494,37.059260,-4.355137
1.500000,0.990000,1.000000,0.121271,37.230040,-4.364375
1.700000,1.190000,1.166667,0.137039,37.059260,-4.384701
1.500000,1.350000,1.333333,0.152823,36.973870,-4.408721
1.500000,1.490000,1.500000,0.169752,36.888480,-4.399483
1.400000,1.650000,1.666667,0.185585,37.059260,-4.423503
1.300000,1.770000,1.833333,0.204041,36.973870,-4.375462
1.600000,1.890000,2.000000,0.224174,37.059260,-4.401330
1.600000,2.050000,2.166667,0.233239,37.144650,-4.482631
1.500000,2.250000,2.333333,0.249530,36.973870,-4.495565
1.400000,2.390000,2.500000,0.265421,36.803090,-4.510347
1.500000,2.570000,2.666667,0.281217,36.888480,-4.526977
1.400000,2.730000,2.833333,0.297031,36.973870,-4.534368
1.500000,2.930000,3.000000,0.312829,36.973870,-4.532520
1.500000,3.010000,3.166667,0.329598,36.803090,-4.532520
1.500000,3.190000,3.333333,0.345408,37.230040,-4.523282
1.600000,3.350000,3.500000,0.361175,36.973870,-4.502956
1.400000,3.510000,3.666667,0.376941,37.144650,-4.495565
1.600000,3.650000,3.833333,0.394008,37.230040,-4.506652
1.500000,3.830000,4.000000,0.408841,37.315430,-4.451220
1.400000,3.990000,4.166667,0.425728,37.230040,-4.453067
1.600000,4.190000,4.333333,0.441564,37.059260,-4.425351
1.500000,4.310000,4.500000,0.457351,37.059260,-4.388396
1.600000,4.490000,4.666667,0.473141,37.230040,-4.371766
1.300000,4.630000,4.833333,0.488926,37.059260,-4.368071
1.400000,4.830000,5.000000,0.504728,36.973870,-4.368071
1.600000,4.950000,5.166667,0.525863,37.144650,-4.445676
1.800000,5.050000,5.333333,0.537110,37.059260,-4.386548
1.800000,5.250000,5.500000,0.552902,36.888480,-4.412417
1.300000,5.410000,5.666667,0.568685,36.973870,-4.438285
1.500000,5.570000,5.833333,0.585868,36.717700,-4.408721
1.700000,5.790000,6.000000,0.600731,36.803090,-4.473392
1.600000,5.970000,6.166667,0.617512,36.717700,-4.469697
1.300000,6.050000,6.333333,0.633310,37.144650,-4.493718
1.600000,6.170000,6.500000,0.649094,36.973870,-4.515891
1.700000,6.350000,6.666667,0.664943,36.888480,-4.528825
1.600000,6.530000,6.833333,0.680803,36.888480,-4.543607
1.600000,6.670000,7.000000,0.697593,36.888480,-4.543607
1.500000,6.890000,7.166667,0.713367,36.973870,-4.549150
1.300000,7.030000,7.333333,0.731150,36.973870,-4.536216
1.400000,7.150000,7.500000,0.747210,36.973870,-4.525129
1.500000,7.290000,7.666667,0.763283,37.059260,-4.519586
1.300000,7.470000,7.833333,0.782511,36.717700,-4.508500
1.700000,7.650000,8.000000,0.795575,37.230040,-4.501109
1.500000,7.790000,8.166667,0.811569,37.144650,-4.484479
1.500000,8.050000,8.333333,0.834021,36.888480,-4.453067
1.500000,8.030000,8.500000,0.841213,37.059260,-4.386548
1.600000,8.270000,8.666667,0.857016,37.059260,-4.366223
1.500000,8.450000,8.833333,0.872795,36.888480,-4.345898
1.500000,8.590000,9.000000,0.889597,37.144650,-4.340355
1.500000,8.750000,9.166667,0.905420,37.059260,-4.355137
1.700000,8.910000,9.333333,0.921356,36.973870,-4.366223
1.500000,9.050000,9.500000,0.937193,36.888480,-4.371766
1.600000,9.230000,9.666667,0.953026,37.059260,-4.403178
1.500000,9.390000,9.833333,0.969221,36.888480,-4.412417
1.700000,9.550000,10.000000,0.985050,36.888480,-4.434590
1.600000,9.690000,10.166667,1.000846,36.973870,-4.466001
1.700000,9.870000,10.333333,1.017618,36.973870,-4.454915
1.600000,10.050000,10.500000,1.033391,36.973870,-4.482631
1.600000,10.190000,10.666667,1.049169,36.888480,-4.506652
1.600000,10.310000,10.833333,1.064940,37.059260,-4.525129
1.700000,10.490000,11.000000,1.080727,36.888480,-4.543607
1.300000,10.670000,11.166667,1.097507,36.888480,-4.534368
1.400000,10.830000,11.333333,1.113264,37.230040,-4.528825
1.300000,11.050000,11.500000,1.130381,36.973870,-4.517738
1.500000,11.150000,11.666667,1.144780,36.973870,-4.497413
1.600000,11.330000,11.833333,1.161176,37.230040,-4.477088
1.600000,11.470000,12.000000,1.177109,37.400820,-4.473392
1.800000,11.610000,12.166667,1.192953,37.230040,-4.440133
1.700000,11.730000,12.333333,1.208727,37.144650,-4.430894
1.400000,11.970000,12.500000,1.225545,37.230040,-4.438285
1.700000,12.090000,12.666667,1.241359,37.230040,-4.405026
1.600000,12.290000,12.833333,1.257139,37.059260,-4.379157
1.700000,12.410000,13.000000,1.272953,36.888480,-4.356984
1.600000,12.570000,13.166667,1.288740,37.059260,-4.362528
