# Date: 20210222
# Operator: RDP
# Notes: New Rig, 77 K, 3.5 quench
# Tap_cm: 5.0
# Sample: PnSn_036
# Fit of Tap:
#	Ic = 68.6 +/- 0.03 A
#	n = 418 +/- 73 
#	Vc = 2.5 uV
#	Vfloor = 1.31 +/- 0.0091 uV
#	R = 0.00182 +/- 0.00023 Ohms
Tap [uV],Shunt [A],Supply [A],Time [S],Hall [A],Cernox [T]
1.200000,0.250000,0.000000,0.038246,36.632310,-4.460458
1.100000,0.190000,0.083333,0.047986,37.400820,-4.528825
1.200000,0.210000,0.166667,0.057225,37.059260,-4.393939
1.400000,0.350000,0.250000,0.073000,36.717700,-4.412417
1.300000,0.250000,0.333333,0.089832,36.717700,-4.414265
1.200000,0.470000,0.416667,0.105711,36.461530,-4.429047
1.200000,0.570000,0.500000,0.121533,36.461530,-4.451220
1.200000,0.650000,0.583333,0.137330,36.376140,-4.471545
1.300000,0.690000,0.666667,0.153133,36.546920,-4.486327
1.100000,0.790000,0.750000,0.168909,36.546920,-4.510347
1.200000,0.930000,0.833333,0.185695,36.717700,-4.502956
1.400000,0.990000,0.916667,0.204043,36.461530,-4.466001
1.100000,1.010000,1.000000,0.216870,36.717700,-4.539911
1.400000,1.130000,1.083333,0.233647,36.888480,-4.547302
1.300000,1.230000,1.166667,0.249401,36.973870,-4.532520
1.400000,1.290000,1.250000,0.265155,37.059260,-4.530673
1.400000,1.350000,1.333333,0.280930,37.144650,-4.517738
1.300000,1.390000,1.416667,0.297692,36.973870,-4.530673
1.300000,1.510000,1.500000,0.314079,36.973870,-4.526977
1.300000,1.550000,1.583333,0.329401,37.400820,-4.497413
1.300000,1.650000,1.666667,0.345361,37.400820,-4.466001
1.300000,1.710000,1.750000,0.361186,36.973870,-4.441981
1.300000,1.810000,1.833333,0.376960,36.973870,-4.412417
1.400000,1.890000,1.916667,0.393719,37.059260,-4.416112
1.400000,1.950000,2.000000,0.409648,37.059260,-4.405026
0.900000,2.010000,2.083333,0.425458,36.803090,-4.382853
1.400000,2.150000,2.166667,0.441238,36.888480,-4.379157
1.000000,2.190000,2.250000,0.457007,36.546920,-4.369919
1.300000,2.270000,2.333333,0.473787,36.888480,-4.364375
1.300000,2.370000,2.416667,0.489547,36.803090,-4.384701
1.100000,2.450000,2.500000,0.505310,36.461530,-4.417960
1.300000,2.470000,2.583333,0.521091,36.546920,-4.443829
1.300000,2.590000,2.666667,0.536837,36.803090,-4.462306
1.300000,2.670000,2.750000,0.553584,36.888480,-4.462306
1.300000,2.770000,2.833333,0.569337,36.803090,-4.482631
1.200000,2.810000,2.916667,0.585083,36.803090,-4.499261
1.200000,2.890000,3.000000,0.614104,37.059260,-4.506652
1.200000,2.950000,3.083333,0.620913,36.376140,-4.451220
1.200000,3.050000,3.166667,0.633646,36.973870,-4.521434
1.100000,3.110000,3.250000,0.649402,36.973870,-4.525129
1.300000,3.210000,3.333333,0.665166,37.144650,-4.514043
1.300000,3.310000,3.416667,0.680955,37.400820,-4.497413
1.300000,3.370000,3.500000,0.697712,36.973870,-4.501109
1.300000,3.430000,3.583333,0.713482,37.230040,-4.475240
1.300000,3.470000,3.666667,0.729250,37.230040,-4.454915
1.200000,3.690000,3.750000,0.745011,37.230040,-4.436438
1.200000,3.670000,3.833333,0.763769,37.315430,-4.478936
1.200000,3.770000,3.916667,0.779729,37.144650,-4.462306
1.200000,3.870000,4.000000,0.795718,37.144650,-4.438285
1.100000,3.970000,4.083333,0.814827,37.144650,-4.506652
1.400000,3.970000,4.166667,0.826871,37.144650,-4.382853
1.300000,4.130000,4.250000,0.842943,37.144650,-4.377310
1.200000,4.170000,4.333333,0.858772,36.888480,-4.362528
1.300000,4.290000,4.416667,0.873566,36.888480,-4.390244
1.300000,4.370000,4.500000,0.889333,36.461530,-4.405026
1.300000,4.450000,4.583333,0.908198,36.717700,-4.381005
1.000000,4.490000,4.666667,0.921460,36.632310,-4.438285
1.300000,4.570000,4.750000,0.937345,36.546920,-4.453067
1.300000,4.650000,4.833333,0.953160,36.888480,-4.471545
1.100000,4.790000,4.916667,0.968943,36.632310,-4.490022
1.400000,4.870000,5.000000,0.985731,36.888480,-4.499261
1.200000,4.910000,5.083333,1.003851,36.717700,-4.475240
1.300000,4.970000,5.166667,1.017665,36.973870,-4.534368
1.200000,5.070000,5.250000,1.033644,36.973870,-4.541759
1.200000,5.130000,5.333333,1.049463,36.973870,-4.532520
1.200000,5.170000,5.416667,1.065248,37.315430,-4.525129
1.200000,5.270000,5.500000,1.081034,37.144650,-4.504804
1.600000,5.390000,5.583333,1.097925,37.144650,-4.506652
1.300000,5.430000,5.666667,1.113765,37.400820,-4.486327
1.500000,5.490000,5.750000,1.129733,37.059260,-4.462306
1.400000,5.590000,5.833333,1.145652,37.315430,-4.447524
1.300000,5.670000,5.916667,1.161446,37.315430,-4.414265
1.200000,5.730000,6.000000,1.177290,37.059260,-4.386548
1.300000,5.830000,6.083333,1.193068,37.144650,-4.369919
1.100000,5.930000,6.166667,1.215329,37.230040,-4.528825
1.400000,5.990000,6.250000,1.225191,36.973870,-4.373614
1.200000,6.030000,6.333333,1.240960,36.803090,-4.364375
1.200000,6.090000,6.416667,1.257733,36.888480,-4.358832
1.300000,6.290000,6.500000,1.273518,36.973870,-4.381005
1.100000,6.330000,6.583333,1.289287,36.803090,-4.399483
1.200000,6.390000,6.666667,1.305043,36.717700,-4.410569
1.300000,6.490000,6.750000,1.320810,36.546920,-4.441981
1.200000,6.510000,6.833333,1.337597,36.546920,-4.430894
1.100000,6.670000,6.916667,1.353463,36.973870,-4.466001
1.100000,6.690000,7.000000,1.369244,36.717700,-4.484479
1.300000,6.770000,7.083333,1.385003,36.717700,-4.506652
1.300000,6.870000,7.166667,1.404275,36.461530,-4.449372
1.400000,6.990000,7.250000,1.417104,36.803090,-4.528825
1.200000,7.050000,7.333333,1.432910,36.888480,-4.523282
1.100000,7.090000,7.416667,1.449681,37.144650,-4.521434
1.400000,7.210000,7.500000,1.465453,37.230040,-4.521434
1.500000,7.270000,7.583333,1.481215,37.059260,-4.490022
1.200000,7.330000,7.666667,1.496970,37.144650,-4.477088
1.200000,7.430000,7.750000,1.513614,37.059260,-4.471545
1.200000,7.510000,7.833333,1.529870,37.059260,-4.454915
1.300000,7.570000,7.916667,1.545686,37.144650,-4.438285
1.200000,7.630000,8.000000,1.561531,37.059260,-4.410569
1.200000,7.750000,8.083333,1.579299,37.059260,-4.434590
1.200000,7.830000,8.166667,1.595326,36.973870,-4.416112
1.300000,7.890000,8.250000,1.614932,37.059260,-4.501109
1.500000,7.930000,8.333333,1.626997,37.144650,-4.384701
1.400000,8.090000,8.416667,1.642968,37.144650,-4.371766
1.700000,8.170000,8.500000,1.659001,36.803090,-4.366223
1.300000,8.230000,8.583333,1.673484,36.546920,-4.384701
1.400000,8.290000,8.666667,1.689262,36.632310,-4.417960
1.200000,8.370000,8.750000,1.705035,36.546920,-4.434590
1.300000,8.510000,8.833333,1.720859,36.632310,-4.456763
1.200000,8.510000,8.916667,1.737647,36.546920,-4.453067
1.300000,8.710000,9.000000,1.753413,36.546920,-4.475240
1.300000,8.730000,9.083333,1.769178,36.632310,-4.501109
1.400000,8.770000,9.166667,1.784937,36.717700,-4.530673
1.100000,8.870000,9.250000,1.814108,37.144650,-4.490022
1.100000,8.870000,9.333333,1.820905,36.461530,-4.454915
1.100000,8.930000,9.416667,1.833651,36.888480,-4.530673
1.100000,8.990000,9.500000,1.849529,37.144650,-4.536216
1.400000,9.230000,9.583333,1.865342,36.973870,-4.512195
1.100000,9.250000,9.666667,1.881123,37.230040,-4.482631
1.400000,9.310000,9.750000,1.896886,36.973870,-4.471545
1.400000,9.350000,9.833333,1.913650,37.230040,-4.478936
1.400000,9.450000,9.916667,1.929434,37.230040,-4.445676
1.300000,9.590000,10.000000,1.945201,36.888480,-4.417960
1.400000,9.690000,10.083333,1.960981,37.059260,-4.388396
1.000000,9.710000,10.166667,1.977746,37.059260,-4.392092
1.300000,9.790000,10.250000,1.993492,36.973870,-4.375462
1.200000,9.890000,10.333333,2.009782,37.059260,-4.371766
1.500000,9.950000,10.416667,2.025609,36.717700,-4.375462
1.300000,10.010000,10.500000,2.041404,36.803090,-4.377310
1.400000,10.110000,10.583333,2.057209,36.717700,-4.388396
1.300000,10.170000,10.666667,2.072979,36.546920,-4.412417
1.400000,10.310000,10.750000,2.089802,36.632310,-4.405026
1.300000,10.370000,10.833333,2.108380,36.717700,-4.381005
1.100000,10.430000,10.916667,2.121694,36.461530,-4.449372
1.500000,10.550000,11.000000,2.137493,36.632310,-4.484479
1.200000,10.590000,11.083333,2.153272,36.632310,-4.514043
1.500000,10.690000,11.166667,2.169037,36.632310,-4.528825
1.400000,10.790000,11.250000,2.184838,36.461530,-4.539911
1.300000,10.890000,11.333333,2.204507,36.376140,-4.471545
1.000000,10.890000,11.416667,2.217352,36.888480,-4.549150
1.200000,11.010000,11.500000,2.233161,37.144650,-4.536216
1.400000,11.050000,11.583333,2.248920,37.059260,-4.528825
1.400000,11.170000,11.666667,2.265710,37.059260,-4.541759
1.200000,11.250000,11.750000,2.281473,37.144650,-4.515891
1.400000,11.330000,11.833333,2.297286,36.717700,-4.493718
1.500000,11.450000,11.916667,2.313043,37.144650,-4.467849
1.300000,11.490000,12.000000,2.329793,37.059260,-4.469697
1.300000,11.590000,12.083333,2.345695,37.059260,-4.436438
1.300000,11.670000,12.166667,2.361494,37.059260,-4.410569
1.100000,11.750000,12.250000,2.379025,36.973870,-4.429047
1.200000,11.810000,12.333333,2.395043,36.888480,-4.410569
1.400000,11.910000,12.416667,2.430339,37.059260,-4.464154
1.500000,11.990000,12.500000,2.446474,37.144650,-4.434590
1.400000,12.010000,12.583333,2.462468,37.059260,-4.410569
1.200000,12.250000,12.666667,2.477431,36.973870,-4.377310
1.600000,12.190000,12.750000,2.492228,36.803090,-4.351441
1.400000,12.310000,12.833333,2.508976,36.888480,-4.356984
1.500000,12.410000,12.916667,2.524762,36.717700,-4.373614
1.400000,12.450000,13.000000,2.540528,36.632310,-4.381005
1.300000,12.490000,13.083333,2.556355,36.546920,-4.419808
1.200000,12.630000,13.166667,2.572128,36.803090,-4.430894
1.500000,12.670000,13.250000,2.588912,36.632310,-4.423503
1.200000,12.730000,13.333333,2.604535,36.546920,-4.456763
1.200000,12.790000,13.416667,2.620369,36.546920,-4.473392
1.300000,12.870000,13.500000,2.636399,36.717700,-4.506652
1.400000,12.910000,13.583333,2.652223,36.888480,-4.517738
1.300000,13.070000,13.666667,2.668995,36.717700,-4.506652
1.700000,13.170000,13.750000,2.684778,36.803090,-4.528825
1.300000,13.230000,13.833333,2.708347,36.888480,-4.382853
1.300000,13.190000,13.916667,2.716602,36.973870,-4.539911
1.200000,13.350000,14.000000,2.732426,36.973870,-4.521434
1.200000,13.490000,14.083333,2.748216,36.973870,-4.504804
1.400000,13.550000,14.166667,2.765006,37.230040,-4.501109
1.500000,13.630000,14.250000,2.780788,37.059260,-4.482631
1.400000,13.630000,14.333333,2.796542,37.315430,-4.462306
1.400000,13.770000,14.416667,2.813271,37.230040,-4.467849
1.300000,13.850000,14.500000,2.828080,36.973870,-4.410569
1.300000,13.930000,14.583333,2.844942,36.973870,-4.405026
1.300000,13.990000,14.666667,2.860775,37.059260,-4.397635
1.400000,14.090000,14.750000,2.876542,36.973870,-4.381005
1.600000,14.190000,14.833333,2.892335,36.888480,-4.384701
1.300000,14.250000,14.916667,2.908098,36.717700,-4.379157
1.500000,14.330000,15.000000,2.924887,36.717700,-4.382853
1.400000,14.430000,15.083333,2.940670,36.632310,-4.384701
1.500000,14.510000,15.166667,2.956454,36.546920,-4.414265
1.500000,14.530000,15.250000,2.972226,36.717700,-4.434590
1.500000,14.630000,15.333333,2.988977,36.632310,-4.438285
1.500000,14.810000,15.416667,3.014878,37.144650,-4.512195
1.300000,14.770000,15.500000,3.021721,36.461530,-4.464154
1.200000,14.890000,15.583333,3.036563,36.717700,-4.510347
1.200000,14.970000,15.666667,3.052412,36.888480,-4.517738
1.500000,15.110000,15.750000,3.068190,36.973870,-4.530673
1.500000,15.150000,15.833333,3.084967,36.717700,-4.534368
1.200000,15.210000,15.916667,3.100838,36.973870,-4.538064
1.300000,15.310000,16.000000,3.116642,37.059260,-4.526977
1.200000,15.390000,16.083333,3.132416,37.230040,-4.510347
1.400000,15.530000,16.166667,3.148161,37.400820,-4.493718
1.400000,15.570000,16.250000,3.164925,37.059260,-4.491870
1.400000,15.610000,16.333333,3.181749,36.205360,-4.477088
1.200000,15.690000,16.416667,3.198703,37.144650,-4.495565
1.100000,15.750000,16.500000,3.219135,36.717700,-4.525129
1.500000,15.830000,16.583333,3.230147,36.973870,-4.438285
1.300000,15.970000,16.666667,3.246083,36.973870,-4.419808
1.400000,16.010000,16.750000,3.262140,37.059260,-4.397635
1.400000,16.030000,16.833333,3.278308,36.888480,-4.384701
1.300000,16.150000,16.916667,3.292332,36.888480,-4.373614
1.200000,16.290000,17.000000,3.309079,36.973870,-4.366223
1.400000,16.290000,17.083333,3.324343,36.632310,-4.386548
1.600000,16.370000,17.166667,3.340167,36.546920,-4.390244
1.300000,16.450000,17.250000,3.357031,36.888480,-4.414265
1.200000,16.590000,17.333333,3.372824,36.803090,-4.441981
1.300000,16.610000,17.416667,3.388591,36.546920,-4.460458
1.500000,16.690000,17.500000,3.404292,36.461530,-4.486327
