# Date: 20210217
# Operator: RDP
# Notes: New Rig, 77 K, 2500 uV floor
# Tap_cm: 5.0
# Sample: GrPt_001
# Fit of Tap:
#	Ic = 150 +/- 0.061 A
#	n = 43.6 +/- 1.3 
#	Vc = 5 uV
#	Vfloor = -1.7 +/- 0.016 uV
#	R = 0.00175 +/- 0.0002 Ohms
Tap [uV],Shunt [A],Supply [A],Time [S],Hall [A],Cernox [T]
-1.700000,0.170000,0.000000,0.025431,38.510890,-4.617517
-1.800000,0.230000,0.166667,0.041004,38.596280,-4.635994
-1.900000,0.370000,0.333333,0.056559,38.425500,-4.674797
-1.700000,0.510000,0.500000,0.073079,38.510890,-4.676644
-1.800000,0.690000,0.666667,0.088615,38.596280,-4.735772
-1.700000,0.850000,0.833333,0.105276,38.425500,-4.732077
-1.600000,1.010000,1.000000,0.120842,38.596280,-4.765336
-1.800000,1.130000,1.166667,0.141293,38.681670,-4.639690
-1.900000,1.270000,1.333333,0.153298,38.681670,-4.772727
-1.700000,1.450000,1.500000,0.168909,38.596280,-4.781966
-1.800000,1.590000,1.666667,0.184428,38.425500,-4.787509
-1.900000,1.790000,1.833333,0.200939,38.767060,-4.780118
-1.900000,1.910000,2.000000,0.216484,38.425500,-4.765336
-1.800000,2.050000,2.166667,0.232854,38.510890,-4.761641
-1.800000,2.330000,2.333333,0.248454,38.681670,-4.733925
-1.700000,2.590000,2.500000,0.265027,38.596280,-4.728381
-1.700000,2.570000,2.666667,0.280560,38.681670,-4.687731
-1.700000,2.770000,2.833333,0.297074,38.510890,-4.682188
-1.900000,2.850000,3.000000,0.312600,38.510890,-4.647081
-1.900000,2.990000,3.166667,0.329103,38.596280,-4.635994
-1.900000,3.170000,3.333333,0.344695,38.510890,-4.613821
-1.800000,3.390000,3.500000,0.361301,38.767060,-4.619364
-1.800000,3.510000,3.666667,0.376828,38.510890,-4.611973
-1.600000,3.670000,3.833333,0.392377,38.596280,-4.613821
-1.800000,3.830000,4.000000,0.408939,38.767060,-4.621212
-1.800000,4.010000,4.166667,0.424468,38.510890,-4.635994
-1.800000,4.150000,4.333333,0.443010,38.681670,-4.599039
-1.800000,4.310000,4.500000,0.457017,38.510890,-4.661863
-2.000000,4.470000,4.666667,0.472581,38.425500,-4.696970
-1.700000,4.650000,4.833333,0.489096,38.681670,-4.706208
-1.900000,4.850000,5.000000,0.504610,38.767060,-4.735772
-1.800000,4.950000,5.166667,0.521120,38.767060,-4.730229
-1.800000,5.070000,5.333333,0.536731,38.852450,-4.757945
-1.800000,5.230000,5.500000,0.553578,38.510890,-4.780118
-1.800000,5.410000,5.666667,0.569372,38.596280,-4.785661
-1.800000,5.550000,5.833333,0.585150,38.510890,-4.789357
-1.700000,5.710000,6.000000,0.601051,38.425500,-4.780118
-1.800000,5.910000,6.166667,0.617066,38.169330,-4.759793
-2.000000,6.050000,6.333333,0.633655,38.510890,-4.765336
-1.700000,6.230000,6.500000,0.649471,38.596280,-4.743163
-1.600000,6.370000,6.666667,0.665243,38.596280,-4.720990
-1.800000,6.510000,6.833333,0.681030,38.425500,-4.691426
-1.900000,6.670000,7.000000,0.696797,38.510890,-4.656319
-1.800000,6.850000,7.166667,0.713580,38.681670,-4.660015
-1.500000,7.010000,7.333333,0.731252,38.425500,-4.678492
-1.900000,7.230000,7.500000,0.755816,38.510890,-4.711752
-2.000000,7.270000,7.666667,0.765517,38.596280,-4.715447
-1.900000,7.450000,7.833333,0.779637,38.425500,-4.630451
-1.600000,7.610000,8.000000,0.794565,38.425500,-4.597191
-1.700000,7.810000,8.166667,0.811561,38.681670,-4.599039
-1.700000,7.890000,8.333333,0.827004,39.194010,-4.599039
-1.800000,8.150000,8.500000,0.841596,38.596280,-4.634146
-2.000000,8.290000,8.666667,0.857497,38.596280,-4.654472
-1.700000,8.490000,8.833333,0.873285,38.596280,-4.678492
-1.700000,8.610000,9.000000,0.889084,38.510890,-4.702513
-1.700000,8.730000,9.166667,0.904841,38.596280,-4.728381
-1.900000,8.930000,9.333333,0.920816,38.681670,-4.750554
-1.900000,9.010000,9.500000,0.937584,38.596280,-4.746859
-1.800000,9.250000,9.666667,0.953369,38.681670,-4.770880
-1.700000,9.290000,9.833333,0.969136,38.510890,-4.772727
-1.800000,9.570000,10.000000,0.984929,38.681670,-4.780118
-2.000000,9.710000,10.166667,1.000678,38.425500,-4.757945
-1.800000,9.870000,10.333333,1.017453,38.425500,-4.752402
-1.800000,10.070000,10.500000,1.044467,38.510890,-4.593496
-1.900000,10.110000,10.666667,1.051263,38.510890,-4.763489
-1.600000,10.310000,10.833333,1.065058,38.425500,-4.689579
-2.000000,10.530000,11.000000,1.080835,38.510890,-4.667406
-1.700000,10.650000,11.166667,1.096720,38.425500,-4.637842
-1.800000,10.870000,11.333333,1.113553,38.425500,-4.634146
-1.800000,11.030000,11.500000,1.129323,38.425500,-4.619364
-1.800000,11.150000,11.666667,1.145104,38.510890,-4.600887
-1.800000,11.310000,11.833333,1.160856,38.425500,-4.575018
-1.700000,11.450000,12.000000,1.176656,38.510890,-4.582409
-1.800000,11.670000,12.166667,1.193430,38.681670,-4.593496
-1.700000,11.810000,12.333333,1.209175,38.425500,-4.591648
-1.800000,11.990000,12.500000,1.224963,38.681670,-4.623060
-1.900000,12.090000,12.666667,1.241528,38.681670,-4.619364
-1.900000,12.290000,12.833333,1.257372,38.681670,-4.634146
-1.600000,12.430000,13.000000,1.273116,38.681670,-4.669254
-1.800000,12.530000,13.166667,1.288860,38.596280,-4.702513
-1.900000,12.730000,13.333333,1.304601,38.596280,-4.724686
-1.700000,12.910000,13.500000,1.321350,38.596280,-4.715447
-1.600000,13.050000,13.666667,1.341309,38.425500,-4.623060
-1.700000,13.230000,13.833333,1.353669,38.767060,-4.735772
-1.700000,13.350000,14.000000,1.369471,38.596280,-4.750554
-1.800000,13.570000,14.166667,1.385263,38.681670,-4.756098
-1.900000,13.690000,14.333333,1.401031,38.681670,-4.745011
-1.700000,13.830000,14.500000,1.416776,38.596280,-4.741316
