# Date: 20210217
# Operator: RDP
# Notes: New Rig, 77 K, 2500 uV floor
# Tap_cm: 5.0
# Sample: GrPt_001
# Fit of Tap:
#	Ic = 149 +/- 0.038 A
#	n = 38 +/- 0.73 
#	Vc = 5 uV
#	Vfloor = -1.68 +/- 0.014 uV
#	R = 0.00147 +/- 0.00018 Ohms
Tap [uV],Shunt [A],Supply [A],Time [S],Hall [A],Cernox [T]
-1.900000,0.210000,0.000000,0.055656,38.340110,-4.745011
-1.900000,0.250000,0.166667,0.076128,38.425500,-4.772727
-1.800000,0.310000,0.333333,0.083119,38.425500,-4.604582
-1.900000,0.490000,0.500000,0.096663,38.425500,-4.661863
-1.700000,0.670000,0.666667,0.112180,38.596280,-4.695122
-1.900000,0.870000,0.833333,0.128738,38.510890,-4.695122
-1.800000,0.990000,1.000000,0.144255,38.425500,-4.733925
-1.900000,1.210000,1.166667,0.160773,38.510890,-4.735772
-1.800000,1.330000,1.333333,0.176295,38.681670,-4.772727
-1.700000,1.490000,1.500000,0.192808,38.596280,-4.774575
-1.800000,1.610000,1.666667,0.208318,38.510890,-4.787509
-2.000000,1.830000,1.833333,0.224645,38.767060,-4.772727
-1.700000,1.930000,2.000000,0.240278,38.596280,-4.750554
-1.700000,2.110000,2.166667,0.257550,38.596280,-4.774575
-1.700000,2.230000,2.333333,0.272601,38.596280,-4.746859
-1.800000,2.450000,2.500000,0.288173,38.767060,-4.724686
-1.600000,2.570000,2.666667,0.304727,38.767060,-4.711752
-1.800000,2.690000,2.833333,0.320287,38.596280,-4.672949
-1.700000,2.850000,3.000000,0.336821,38.681670,-4.680340
-1.700000,3.070000,3.166667,0.352362,38.425500,-4.654472
-1.600000,3.190000,3.333333,0.368899,38.510890,-4.654472
-1.900000,3.370000,3.500000,0.384419,38.425500,-4.626755
-2.000000,3.550000,3.666667,0.400975,38.425500,-4.613821
-1.900000,3.690000,3.833333,0.416493,38.510890,-4.610126
-1.900000,3.870000,4.000000,0.432793,38.767060,-4.617517
-1.900000,4.030000,4.166667,0.448378,38.596280,-4.634146
-1.700000,4.170000,4.333333,0.464900,38.510890,-4.639690
-2.000000,4.310000,4.500000,0.480403,38.510890,-4.660015
-1.800000,4.470000,4.666667,0.496933,38.596280,-4.665558
-1.700000,4.610000,4.833333,0.512616,38.510890,-4.698817
-2.000000,4.810000,5.000000,0.528193,38.596280,-4.741316
-1.800000,4.950000,5.166667,0.544720,38.596280,-4.741316
-1.900000,5.130000,5.333333,0.561183,38.340110,-4.741316
-1.800000,5.230000,5.500000,0.576234,38.681670,-4.769032
-1.800000,5.430000,5.666667,0.592783,38.767060,-4.769032
-1.700000,5.570000,5.833333,0.608329,38.425500,-4.780118
-1.700000,5.770000,6.000000,0.624872,38.510890,-4.778271
-1.800000,5.930000,6.166667,0.641243,38.425500,-4.772727
-1.600000,6.030000,6.333333,0.656813,38.596280,-4.770880
-1.700000,6.150000,6.500000,0.672321,38.596280,-4.754250
-1.600000,6.370000,6.666667,0.688841,38.510890,-4.756098
-1.600000,6.530000,6.833333,0.704358,38.510890,-4.706208
-1.800000,6.670000,7.000000,0.720874,38.510890,-4.696970
-1.800000,6.790000,7.166667,0.737668,38.425500,-4.689579
-1.700000,6.990000,7.333333,0.754194,38.425500,-4.689579
-1.800000,7.150000,7.500000,0.770805,38.596280,-4.684035
-1.900000,7.310000,7.666667,0.786232,38.510890,-4.645233
-1.700000,7.510000,7.833333,0.802740,38.425500,-4.654472
-1.900000,7.650000,8.000000,0.818134,38.510890,-4.623060
-1.800000,7.810000,8.166667,0.834607,38.596280,-4.624908
-2.000000,7.990000,8.333333,0.868291,38.425500,-4.615669
-2.100000,8.110000,8.500000,0.884988,38.425500,-4.617517
-1.700000,8.290000,8.666667,0.900436,38.425500,-4.597191
-1.700000,8.450000,8.833333,0.916830,38.425500,-4.600887
-1.900000,8.570000,9.000000,0.932219,38.510890,-4.617517
-1.500000,8.750000,9.166667,0.946951,38.510890,-4.656319
-1.800000,8.890000,9.333333,0.962476,38.596280,-4.693274
-1.700000,9.050000,9.500000,0.979004,38.852450,-4.700665
-1.700000,9.190000,9.666667,0.994557,38.510890,-4.733925
