# Date: 20210217
# Operator: RDP
# Notes: New Rig, 77 K
# Tap_cm: 5.0
# Sample: GrPt_00
# Fit of Tap:
#	Ic = 98.4 +/- 0.24 A
#	n = 18.3 +/- 0.78 
#	Vc = 5 uV
#	Vfloor = -1.63 +/- 0.016 uV
#	R = 0.00215 +/- 0.00036 Ohms
Tap [uV],Shunt [A],Supply [A],Time [S],Hall [A],Cernox [T]
-1.600000,0.250000,0.000000,0.075595,38.340110,-4.600887
-1.700000,0.270000,0.166667,0.096696,38.083940,-4.695122
-1.500000,0.290000,0.333333,0.103903,38.169330,-4.502956
-1.800000,0.490000,0.500000,0.114682,37.998550,-4.676644
-1.500000,0.630000,0.666667,0.130910,38.169330,-4.678492
-1.600000,0.870000,0.833333,0.146829,38.083940,-4.696970
-1.500000,0.990000,1.000000,0.162818,38.083940,-4.691426
-1.700000,1.130000,1.166667,0.178815,37.742380,-4.685883
-1.700000,1.270000,1.333333,0.194847,38.254720,-4.680340
-1.700000,1.430000,1.500000,0.210751,37.998550,-4.660015
-1.600000,1.570000,1.666667,0.227027,38.254720,-4.650776
-1.600000,1.770000,1.833333,0.242926,38.083940,-4.630451
-1.500000,1.890000,2.000000,0.258846,38.083940,-4.604582
-1.600000,2.090000,2.166667,0.274445,38.169330,-4.562084
-1.600000,2.210000,2.333333,0.290629,38.083940,-4.550998
-1.400000,2.390000,2.500000,0.306920,37.998550,-4.543607
-1.700000,2.750000,2.666667,0.322420,38.681670,-4.530673
-1.700000,2.750000,2.833333,0.338971,37.998550,-4.504804
-1.400000,2.890000,3.000000,0.354814,38.169330,-4.499261
-1.800000,2.990000,3.166667,0.370969,38.340110,-4.495565
-1.600000,3.170000,3.333333,0.386874,38.254720,-4.504804
-1.600000,3.310000,3.500000,0.402965,38.083940,-4.512195
-1.500000,3.550000,3.666667,0.418897,38.169330,-4.536216
-1.600000,3.650000,3.833333,0.434920,38.425500,-4.558389
-1.700000,3.910000,4.000000,0.450551,37.913160,-4.593496
-1.700000,3.990000,4.166667,0.466905,37.998550,-4.613821
-1.700000,4.150000,4.333333,0.482940,38.083940,-4.641537
-1.700000,4.330000,4.500000,0.498977,38.254720,-4.658167
-1.900000,4.490000,4.666667,0.515077,37.913160,-4.676644
-1.700000,4.630000,4.833333,0.531115,37.913160,-4.685883
-1.400000,4.810000,5.000000,0.547138,38.083940,-4.702513
-1.500000,4.970000,5.166667,0.563158,38.254720,-4.719143
-1.700000,5.070000,5.333333,0.579151,38.083940,-4.722838
-1.700000,5.210000,5.500000,0.595220,38.425500,-4.708056
-1.600000,5.450000,5.666667,0.618162,38.169330,-4.589800
-1.400000,5.530000,5.833333,0.626158,38.254720,-4.637842
-1.500000,5.730000,6.000000,0.642059,38.340110,-4.624908
-1.700000,5.850000,6.166667,0.658849,38.425500,-4.619364
-1.900000,6.030000,6.333333,0.674646,38.340110,-4.582409
-1.500000,6.150000,6.500000,0.690411,38.083940,-4.550998
-1.600000,6.310000,6.666667,0.706174,38.083940,-4.528825
-1.600000,6.550000,6.833333,0.722936,38.254720,-4.525129
-1.500000,6.670000,7.000000,0.738725,37.998550,-4.514043
-1.900000,6.850000,7.166667,0.754505,38.254720,-4.508500
-1.500000,6.970000,7.333333,0.770352,38.169330,-4.512195
-1.700000,7.150000,7.500000,0.788133,38.083940,-4.510347
-1.500000,7.370000,7.666667,0.809873,37.827770,-4.632299
-1.800000,7.470000,7.833333,0.821003,38.083940,-4.504804
-1.400000,7.630000,8.000000,0.836522,37.998550,-4.532520
-1.600000,7.810000,8.166667,0.852999,38.254720,-4.519586
-1.600000,7.950000,8.333333,0.869161,38.169330,-4.541759
-1.600000,8.130000,8.500000,0.882863,38.340110,-4.639690
-1.700000,8.150000,8.666667,0.905180,38.083940,-4.512195
-1.800000,8.390000,8.833333,0.916826,38.425500,-4.619364
-1.700000,8.570000,9.000000,0.931076,38.254720,-4.689579
-1.800000,8.730000,9.166667,0.946899,38.425500,-4.711752
-1.700000,8.850000,9.333333,0.962755,38.083940,-4.709904
-1.900000,9.050000,9.500000,0.978771,38.254720,-4.689579
-1.900000,9.190000,9.666667,0.994764,38.425500,-4.685883
-1.600000,9.330000,9.833333,1.010987,38.340110,-4.674797
-1.600000,9.550000,10.000000,1.026639,38.340110,-4.654472
-1.500000,9.670000,10.166667,1.042736,38.340110,-4.635994
-1.500000,9.850000,10.333333,1.058710,38.340110,-4.611973
-1.800000,10.030000,10.500000,1.074698,38.169330,-4.578714
-1.800000,10.150000,10.666667,1.090822,38.425500,-4.569475
-1.600000,10.310000,10.833333,1.106754,38.254720,-4.547302
-1.900000,10.450000,11.000000,1.122780,38.083940,-4.534368
-1.600000,10.670000,11.166667,1.138767,38.425500,-4.506652
-1.800000,10.810000,11.333333,1.154793,38.510890,-4.521434
-1.500000,10.950000,11.500000,1.170970,38.340110,-4.510347
-1.600000,11.170000,11.666667,1.186776,38.254720,-4.510347
-1.600000,11.350000,11.833333,1.215620,38.254720,-4.661863
-1.500000,11.490000,12.000000,1.259736,38.083940,-4.647081
-1.600000,11.710000,12.166667,1.315860,38.425500,-4.667406
-1.800000,11.810000,12.333333,1.333581,38.425500,-4.611973
-1.400000,11.770000,12.500000,1.347646,38.510890,-4.700665
-1.500000,12.090000,12.666667,1.363542,38.340110,-4.711752
-1.600000,12.270000,12.833333,1.380338,38.340110,-4.711752
-1.500000,12.430000,13.000000,1.400571,38.425500,-4.615669
-1.800000,12.550000,13.166667,1.411393,38.169330,-4.691426
-1.600000,12.710000,13.333333,1.428179,38.340110,-4.696970
-1.500000,12.890000,13.500000,1.443776,38.510890,-4.650776
-1.600000,13.030000,13.666667,1.459745,37.998550,-4.643385
-1.600000,13.170000,13.833333,1.475591,38.169330,-4.619364
-1.500000,13.370000,14.000000,1.491390,38.169330,-4.580562
-1.600000,13.510000,14.166667,1.507951,38.340110,-4.569475
-1.500000,13.670000,14.333333,1.523827,37.998550,-4.541759
-1.700000,13.830000,14.500000,1.539634,38.083940,-4.514043
-1.700000,13.970000,14.666667,1.555416,38.254720,-4.512195
-1.500000,14.150000,14.833333,1.572192,38.254720,-4.491870
-1.700000,14.270000,15.000000,1.588062,38.340110,-4.499261
-1.600000,14.430000,15.166667,1.604484,38.425500,-4.495565
-1.700000,14.610000,15.333333,1.620300,38.425500,-4.519586
-1.700000,14.750000,15.500000,1.636084,38.254720,-4.534368
-1.300000,14.950000,15.666667,1.651877,38.169330,-4.578714
-1.600000,15.050000,15.833333,1.667641,38.425500,-4.610126
-1.700000,15.230000,16.000000,1.683434,38.425500,-4.639690
-1.700000,15.470000,16.166667,1.700262,38.425500,-4.641537
-1.600000,15.590000,16.333333,1.716031,38.254720,-4.663710
-1.600000,15.730000,16.500000,1.731819,38.254720,-4.672949
-1.500000,15.910000,16.666667,1.747561,38.083940,-4.700665
-1.600000,16.070000,16.833333,1.764306,38.254720,-4.700665
-1.300000,16.210000,17.000000,1.780042,38.340110,-4.708056
-1.600000,16.350000,17.166667,1.804563,38.254720,-4.506652
-1.800000,16.530000,17.333333,1.818212,38.083940,-4.571323
-1.500000,16.650000,17.500000,1.828165,38.254720,-4.685883
-1.700000,16.850000,17.666667,1.844092,38.169330,-4.674797
-1.400000,16.990000,17.833333,1.859946,38.340110,-4.656319
-1.600000,17.190000,18.000000,1.875729,38.340110,-4.617517
-1.700000,17.290000,18.166667,1.891487,38.254720,-4.576866
-1.700000,17.470000,18.333333,1.908248,38.254720,-4.578714
-1.400000,17.650000,18.500000,1.924011,38.254720,-4.554693
-1.800000,17.810000,18.666667,1.939794,37.998550,-4.528825
-1.600000,18.010000,18.833333,1.955584,38.083940,-4.523282
-1.600000,18.170000,19.000000,1.972408,37.998550,-4.525129
-1.600000,18.270000,19.166667,1.988200,37.998550,-4.504804
-1.600000,18.470000,19.333333,2.003559,38.169330,-4.526977
-1.600000,18.650000,19.500000,2.020358,38.425500,-4.519586
-1.700000,18.790000,19.666667,2.036137,38.169330,-4.538064
-1.600000,18.970000,19.833333,2.051903,38.083940,-4.562084
-1.600000,19.050000,20.000000,2.067661,37.998550,-4.589800
-1.800000,19.250000,20.166667,2.083430,38.083940,-4.623060
-1.600000,19.370000,20.333333,2.105389,37.998550,-4.501109
-1.600000,19.570000,20.500000,2.115728,38.083940,-4.660015
-1.500000,19.710000,20.666667,2.131529,38.254720,-4.682188
-1.500000,19.870000,20.833333,2.148307,38.340110,-4.680340
-1.600000,19.970000,21.000000,2.164178,38.083940,-4.687731
-1.600000,20.130000,21.166667,2.179965,38.254720,-4.696970
-1.400000,20.310000,21.333333,2.197418,38.169330,-4.695122
-1.400000,20.450000,21.500000,2.212328,38.254720,-4.689579
-1.600000,20.630000,21.666667,2.228125,38.083940,-4.676644
-1.700000,20.770000,21.833333,2.243892,38.254720,-4.650776
-1.700000,20.990000,22.000000,2.259643,38.083940,-4.634146
-1.400000,21.110000,22.166667,2.275411,37.998550,-4.591648
-1.700000,21.050000,22.333333,2.293310,38.169330,-4.635994
-1.700000,21.410000,22.500000,2.310267,38.083940,-4.647081
-1.700000,21.590000,22.666667,2.326240,38.254720,-4.624908
-1.400000,21.710000,22.833333,2.342326,37.827770,-4.602735
-1.700000,21.870000,23.000000,2.357373,37.998550,-4.539911
-1.800000,22.070000,23.166667,2.374330,37.913160,-4.549150
-1.800000,22.290000,23.333333,2.390215,38.083940,-4.521434
-1.800000,22.470000,23.500000,2.412312,37.998550,-4.695122
-1.600000,22.490000,23.666667,2.420233,38.254720,-4.526977
-1.300000,22.690000,23.833333,2.436006,38.169330,-4.554693
-1.500000,22.830000,24.000000,2.451797,37.998550,-4.571323
-1.500000,23.050000,24.166667,2.467571,38.254720,-4.600887
-1.700000,23.170000,24.333333,2.484510,37.998550,-4.600887
-1.600000,23.330000,24.500000,2.500343,38.254720,-4.635994
-1.700000,23.490000,24.666667,2.516145,38.254720,-4.669254
-1.600000,23.630000,24.833333,2.531926,38.169330,-4.691426
-1.800000,23.770000,25.000000,2.547696,38.340110,-4.698817
-1.500000,23.930000,25.166667,2.563471,38.169330,-4.702513
-1.600000,24.050000,25.333333,2.580279,38.083940,-4.709904
-1.500000,24.290000,25.500000,2.600843,38.169330,-4.621212
-1.600000,24.370000,25.666667,2.611654,38.083940,-4.685883
-1.500000,24.530000,25.833333,2.627409,37.998550,-4.658167
-1.300000,24.710000,26.000000,2.644194,37.998550,-4.665558
-1.400000,24.890000,26.166667,2.659960,38.340110,-4.637842
-1.700000,25.050000,26.333333,2.675738,38.767060,-4.600887
-1.700000,25.210000,26.500000,2.691789,38.254720,-4.578714
-1.300000,25.350000,26.666667,2.708564,38.340110,-4.565780
-1.600000,25.490000,26.833333,2.723871,37.998550,-4.521434
-1.500000,25.650000,27.000000,2.739687,38.169330,-4.499261
-1.600000,25.830000,27.166667,2.755463,37.998550,-4.477088
-1.400000,26.010000,27.333333,2.772246,38.083940,-4.490022
-1.300000,26.170000,27.500000,2.788020,38.254720,-4.484479
-1.400000,26.330000,27.666667,2.803585,38.169330,-4.506652
-1.400000,26.490000,27.833333,2.819396,38.169330,-4.539911
-1.500000,26.610000,28.000000,2.836204,38.083940,-4.554693
-1.700000,26.770000,28.166667,2.852046,38.083940,-4.565780
-1.500000,26.970000,28.333333,2.867819,38.425500,-4.602735
-1.500000,27.130000,28.500000,2.883584,37.998550,-4.630451
-1.700000,27.250000,28.666667,2.900353,38.083940,-4.623060
-1.500000,27.410000,28.833333,2.916142,38.254720,-4.641537
-1.600000,27.550000,29.000000,2.931922,37.913160,-4.667406
-1.300000,27.690000,29.166667,2.947696,38.169330,-4.687731
-1.400000,27.870000,29.333333,2.963466,38.169330,-4.695122
-1.400000,28.030000,29.500000,2.980279,37.998550,-4.696970
-1.700000,28.210000,29.666667,3.010596,38.083940,-4.652624
-1.600000,28.250000,29.833333,3.017390,38.083940,-4.619364
-1.600000,28.430000,30.000000,3.028133,38.083940,-4.682188
-1.700000,28.650000,30.166667,3.043874,37.998550,-4.652624
-1.500000,28.770000,30.333333,3.059639,37.998550,-4.623060
-1.600000,28.950000,30.500000,3.075396,38.083940,-4.586105
-1.500000,29.190000,30.666667,3.092287,37.998550,-4.591648
-1.700000,29.310000,30.833333,3.110120,38.169330,-4.628603
-1.600000,29.410000,31.000000,3.126133,38.083940,-4.589800
-1.400000,29.650000,31.166667,3.142120,38.169330,-4.558389
-1.600000,29.750000,31.333333,3.158135,37.913160,-4.536216
-1.600000,29.930000,31.500000,3.174165,37.998550,-4.523282
-1.800000,30.070000,31.666667,3.190117,38.083940,-4.508500
-1.600000,30.250000,31.833333,3.207832,37.998550,-4.543607
-1.400000,30.410000,32.000000,3.219637,37.998550,-4.532520
-1.600000,30.550000,32.166667,3.235400,37.998550,-4.560237
-1.700000,30.650000,32.333333,3.252160,38.169330,-4.563932
-1.600000,30.910000,32.500000,3.267913,38.254720,-4.604582
-1.500000,31.070000,32.666667,3.283659,37.998550,-4.641537
-1.600000,31.230000,32.833333,3.305648,38.169330,-4.508500
-1.600000,31.310000,33.000000,3.315890,38.169330,-4.680340
-1.600000,31.450000,33.166667,3.331722,37.998550,-4.693274
-1.500000,31.670000,33.333333,3.347616,38.083940,-4.696970
-1.500000,31.830000,33.500000,3.363524,37.998550,-4.698817
-1.600000,31.970000,33.666667,3.380351,38.340110,-4.695122
-1.700000,32.110000,33.833333,3.401108,38.083940,-4.600887
-1.600000,32.310000,34.000000,3.411928,38.083940,-4.680340
-1.500000,32.410000,34.166667,3.427720,38.083940,-4.660015
-1.600000,32.590000,34.333333,3.443513,38.083940,-4.632299
-1.600000,32.730000,34.500000,3.460287,38.083940,-4.635994
-1.700000,32.890000,34.666667,3.476049,38.083940,-4.599039
-1.600000,33.090000,34.833333,3.491840,38.254720,-4.565780
-1.400000,33.290000,35.000000,3.507607,37.913160,-4.539911
-1.500000,33.430000,35.166667,3.523382,37.742380,-4.526977
