# Date: 20210225
# Operator: RDP
# Notes: 10 Nm
# Tap_cm: 5.0
# Sample: DCC_PbSn_022
# Fit of Tap:
#	Ic = 160 +/- 0.064 A
#	n = 135 +/- 7.8 
#	Vc = 2.5 uV
#	Vfloor = 0.639 +/- 0.0061 uV
#	R = 0.00109 +/- 6.9e-05 Ohms
Tap [uV],Shunt [A],Supply [A],Time [S],Hall [A],Cernox [T]
0.400000,0.150000,0.000000,0.035185,8.850000,-4.315508
0.500000,0.230000,0.083333,0.046092,8.950000,-4.233512
0.700000,0.390000,0.166667,0.056906,8.790000,-4.135472
0.500000,0.430000,0.250000,0.073898,8.770000,-4.137255
0.500000,0.410000,0.333333,0.089779,8.750000,-4.160428
0.600000,0.490000,0.416667,0.105575,8.770000,-4.187166
0.500000,0.590000,0.500000,0.121565,8.770000,-4.206774
0.600000,0.650000,0.583333,0.137471,8.770000,-4.235294
0.500000,0.750000,0.666667,0.154845,8.750000,-4.215686
0.600000,0.810000,0.750000,0.169495,8.830000,-4.279857
0.600000,0.890000,0.833333,0.185547,8.830000,-4.308378
0.600000,1.010000,0.916667,0.204821,8.750000,-4.222816
0.500000,0.990000,1.000000,0.217493,9.110000,-4.352941
0.500000,1.150000,1.083333,0.233505,8.950000,-4.347594
0.400000,1.230000,1.166667,0.249519,8.950000,-4.345811
0.600000,1.290000,1.250000,0.265435,8.970000,-4.338681
0.600000,1.370000,1.333333,0.281529,8.990000,-4.322638
0.400000,1.410000,1.416667,0.297376,9.030000,-4.283422
0.600000,1.510000,1.500000,0.313195,8.950000,-4.245989
0.300000,1.570000,1.583333,0.329207,8.990000,-4.235294
0.600000,1.630000,1.666667,0.345068,8.970000,-4.192513
0.500000,1.710000,1.750000,0.360866,8.890000,-4.142602
0.500000,1.890000,1.833333,0.377865,8.970000,-4.160428
0.400000,1.890000,1.916667,0.394160,8.910000,-4.147950
0.600000,1.910000,2.000000,0.409039,8.910000,-4.121212
0.700000,2.210000,2.083333,0.425980,8.910000,-4.121212
0.600000,2.110000,2.166667,0.448987,9.010000,-4.333333
0.900000,2.190000,2.250000,0.457273,8.770000,-4.124777
0.400000,2.250000,2.333333,0.473184,8.810000,-4.146168
0.600000,2.370000,2.416667,0.489163,8.770000,-4.180036
0.700000,2.470000,2.500000,0.504987,8.770000,-4.215686
0.700000,2.570000,2.583333,0.521993,8.630000,-4.204991
0.400000,2.530000,2.666667,0.537184,8.790000,-4.258467
0.400000,2.690000,2.750000,0.553073,8.810000,-4.286988
0.600000,2.790000,2.833333,0.568881,8.910000,-4.315508
0.600000,2.770000,2.916667,0.585557,8.830000,-4.320856
0.600000,2.950000,3.000000,0.601386,8.850000,-4.329768
0.400000,3.030000,3.083333,0.617211,8.910000,-4.336898
0.600000,3.070000,3.166667,0.633256,8.930000,-4.336898
0.500000,3.090000,3.250000,0.649232,8.970000,-4.344029
0.700000,3.250000,3.333333,0.665087,9.010000,-4.326203
0.500000,3.390000,3.416667,0.681066,8.990000,-4.297683
0.400000,3.390000,3.500000,0.696986,8.990000,-4.260250
0.600000,3.450000,3.583333,0.713833,8.950000,-4.278075
0.400000,3.490000,3.666667,0.731777,9.010000,-4.310160
0.500000,3.650000,3.750000,0.756575,8.770000,-4.178253
0.600000,3.710000,3.833333,0.766416,8.970000,-4.338681
0.400000,3.830000,3.916667,0.786214,8.890000,-4.317291
0.200000,3.850000,4.000000,0.795360,8.850000,-4.180036
0.600000,3.990000,4.083333,0.811433,8.890000,-4.149733
0.500000,4.050000,4.166667,0.827441,8.910000,-4.135472
0.600000,4.110000,4.250000,0.841462,8.830000,-4.126560
0.600000,4.230000,4.333333,0.857300,8.810000,-4.144385
0.400000,4.290000,4.416667,0.873106,8.750000,-4.174688
0.500000,4.370000,4.500000,0.889091,8.790000,-4.197861
0.300000,4.430000,4.583333,0.905386,8.770000,-4.208556
0.600000,4.530000,4.666667,0.921203,8.790000,-4.240642
0.400000,4.590000,4.750000,0.937229,8.830000,-4.272727
0.800000,4.670000,4.833333,0.953494,8.850000,-4.285205
0.600000,4.750000,4.916667,0.969861,8.830000,-4.294118
0.600000,4.830000,5.000000,0.985909,8.850000,-4.308378
0.900000,4.910000,5.083333,1.001772,8.850000,-4.326203
0.600000,5.010000,5.166667,1.017574,8.850000,-4.331551
0.500000,4.850000,5.250000,1.033524,8.930000,-4.324421
0.300000,5.170000,5.333333,1.050396,8.970000,-4.319073
0.600000,5.170000,5.416667,1.065707,8.970000,-4.304813
0.600000,5.230000,5.500000,1.081654,9.090000,-4.295900
0.400000,5.330000,5.583333,1.097608,8.970000,-4.278075
0.700000,5.370000,5.666667,1.113452,8.970000,-4.242424
0.700000,5.470000,5.750000,1.129467,8.970000,-4.212121
0.400000,5.590000,5.833333,1.145778,8.990000,-4.194296
0.500000,5.710000,5.916667,1.161247,8.930000,-4.133690
0.500000,5.750000,6.000000,1.177146,8.910000,-4.108734
0.600000,5.850000,6.083333,1.193177,8.810000,-4.101604
0.500000,5.930000,6.166667,1.209027,8.770000,-4.099822
0.400000,6.010000,6.250000,1.225813,8.870000,-4.098039
0.400000,6.050000,6.333333,1.241813,8.790000,-4.099822
0.800000,6.170000,6.416667,1.257696,8.750000,-4.114082
0.600000,6.250000,6.500000,1.273497,8.750000,-4.142602
0.700000,6.310000,6.583333,1.289488,8.810000,-4.162210
0.600000,6.410000,6.666667,1.305367,8.770000,-4.208556
0.500000,6.450000,6.750000,1.321487,8.790000,-4.235294
0.200000,6.530000,6.833333,1.337523,8.830000,-4.251337
0.300000,6.670000,6.916667,1.360075,8.870000,-4.112299
0.500000,6.710000,7.000000,1.368978,8.850000,-4.319073
0.700000,6.910000,7.083333,1.385935,8.850000,-4.319073
0.600000,6.850000,7.166667,1.401960,8.890000,-4.331551
0.300000,6.990000,7.250000,1.417869,8.930000,-4.340463
0.600000,6.990000,7.333333,1.434125,9.010000,-4.347594
0.700000,7.110000,7.416667,1.449043,9.050000,-4.308378
0.600000,7.190000,7.500000,1.464843,9.050000,-4.283422
0.600000,7.250000,7.583333,1.481646,8.990000,-4.294118
0.700000,7.350000,7.666667,1.497647,9.050000,-4.265597
0.500000,7.430000,7.750000,1.513498,9.010000,-4.240642
0.600000,7.510000,7.833333,1.529356,8.990000,-4.192513
0.400000,7.570000,7.916667,1.552568,8.950000,-4.315508
0.600000,7.630000,8.000000,1.563688,8.970000,-4.221034
0.400000,7.770000,8.083333,1.579813,8.950000,-4.192513
0.600000,7.870000,8.166667,1.596138,8.910000,-4.169340
0.600000,7.910000,8.250000,1.611312,8.910000,-4.121212
0.600000,7.970000,8.333333,1.627497,8.830000,-4.121212
0.500000,8.130000,8.416667,1.650786,8.990000,-4.342246
0.600000,8.150000,8.500000,1.658048,8.790000,-4.121212
0.500000,8.230000,8.583333,1.672854,8.790000,-4.180036
0.600000,8.490000,8.666667,1.689780,8.810000,-4.165775
0.600000,8.450000,8.750000,1.705695,8.770000,-4.199643
0.300000,8.510000,8.833333,1.721531,8.790000,-4.231729
0.400000,8.530000,8.916667,1.737658,8.830000,-4.270945
0.600000,8.630000,9.000000,1.753302,8.890000,-4.295900
0.700000,8.750000,9.083333,1.769143,8.870000,-4.320856
0.600000,8.750000,9.166667,1.784936,8.850000,-4.329768
0.700000,8.870000,9.250000,1.801927,8.910000,-4.324421
0.700000,8.910000,9.333333,1.817839,8.970000,-4.327986
0.600000,9.030000,9.416667,1.833636,8.970000,-4.333333
0.500000,9.070000,9.500000,1.849609,8.970000,-4.329768
0.600000,9.150000,9.583333,1.865488,9.050000,-4.297683
0.600000,9.210000,9.666667,1.881298,8.990000,-4.269162
0.600000,9.290000,9.750000,1.897539,8.990000,-4.235294
0.700000,9.370000,9.833333,1.913400,8.970000,-4.206774
0.700000,9.450000,9.916667,1.929199,8.910000,-4.172906
0.700000,9.570000,10.000000,1.955164,8.830000,-4.226381
0.800000,9.610000,10.083333,1.961987,8.890000,-4.153298
0.600000,9.710000,10.166667,1.977815,8.890000,-4.117647
0.600000,9.610000,10.250000,1.993778,8.890000,-4.103387
