# Date: 20210225
# Operator: RDP
# Notes: 10 Nm
# Tap_cm: 5.0
# Sample: DCC_PbSn_022
# Fit of Tap:
#	Ic = 159 +/- 0.094 A
#	n = 93.6 +/- 5.1 
#	Vc = 2.5 uV
#	Vfloor = 0.732 +/- 0.0064 uV
#	R = 0.000529 +/- 7.3e-05 Ohms
Tap [uV],Shunt [A],Supply [A],Time [S],Hall [A],Cernox [T]
0.500000,0.230000,0.000000,0.040241,8.770000,-4.176471
0.700000,0.230000,0.083333,0.049539,9.010000,-4.297683
0.500000,0.270000,0.166667,0.058970,8.810000,-4.108734
0.700000,0.390000,0.250000,0.074349,8.830000,-4.139037
0.500000,0.390000,0.333333,0.089279,8.850000,-4.199643
0.300000,0.470000,0.416667,0.104896,8.850000,-4.238859
0.300000,0.550000,0.500000,0.121403,8.810000,-4.251337
0.600000,0.650000,0.583333,0.137131,8.870000,-4.274510
0.600000,0.650000,0.666667,0.152729,8.910000,-4.313725
0.600000,0.830000,0.750000,0.169276,8.850000,-4.306595
0.200000,0.870000,0.833333,0.184984,8.930000,-4.319073
0.300000,1.010000,0.916667,0.201572,8.970000,-4.324421
0.700000,1.070000,1.000000,0.217132,8.990000,-4.331551
0.500000,1.130000,1.083333,0.233663,9.010000,-4.327986
0.700000,1.230000,1.166667,0.249310,9.070000,-4.319073
0.600000,1.290000,1.250000,0.264951,9.070000,-4.270945
0.600000,1.290000,1.333333,0.281229,8.890000,-4.253119
0.800000,1.410000,1.416667,0.297370,9.030000,-4.231729
0.600000,1.470000,1.500000,0.312961,8.930000,-4.190731
0.800000,1.550000,1.583333,0.329559,8.950000,-4.172906
0.500000,1.570000,1.666667,0.345263,8.910000,-4.146168
0.400000,1.770000,1.750000,0.360808,8.890000,-4.112299
0.400000,1.870000,1.833333,0.377355,8.890000,-4.112299
0.600000,1.850000,1.916667,0.393052,8.850000,-4.098039
0.300000,1.910000,2.000000,0.408627,8.850000,-4.117647
0.600000,2.110000,2.083333,0.425152,8.750000,-4.108734
0.600000,2.170000,2.166667,0.441185,8.770000,-4.121212
0.800000,2.190000,2.250000,0.456780,8.790000,-4.171123
0.600000,2.290000,2.333333,0.473330,8.790000,-4.160428
0.500000,2.390000,2.416667,0.489041,8.790000,-4.204991
0.400000,2.430000,2.500000,0.504692,8.870000,-4.242424
0.500000,2.530000,2.583333,0.521284,8.830000,-4.253119
0.700000,2.530000,2.666667,0.537124,8.890000,-4.292335
0.600000,2.710000,2.750000,0.552755,8.910000,-4.324421
0.600000,2.790000,2.833333,0.577039,8.830000,-4.115865
0.800000,2.990000,2.916667,0.585162,8.890000,-4.335116
0.600000,2.870000,3.000000,0.601071,8.910000,-4.329768
0.700000,2.990000,3.083333,0.616667,8.970000,-4.313725
0.900000,3.050000,3.166667,0.633299,9.030000,-4.319073
0.600000,3.130000,3.250000,0.649240,9.010000,-4.279857
0.500000,3.210000,3.333333,0.664848,9.050000,-4.254902
0.900000,3.290000,3.416667,0.681371,9.010000,-4.249554
0.500000,3.390000,3.500000,0.697075,8.970000,-4.217469
0.700000,3.450000,3.583333,0.712664,8.930000,-4.163993
0.600000,3.610000,3.666667,0.729174,8.850000,-4.151515
0.400000,3.650000,3.750000,0.744920,8.890000,-4.112299
0.400000,3.710000,3.833333,0.761609,8.910000,-4.122995
0.800000,3.750000,3.916667,0.777213,8.870000,-4.110517
0.800000,3.870000,4.000000,0.794700,8.890000,-4.117647
0.600000,3.970000,4.083333,0.811232,8.890000,-4.117647
0.800000,4.010000,4.166667,0.826656,8.830000,-4.103387
0.400000,4.110000,4.250000,0.843431,8.870000,-4.105169
0.700000,4.210000,4.333333,0.862232,8.890000,-4.121212
0.400000,4.270000,4.416667,0.884787,9.030000,-4.319073
0.700000,4.350000,4.500000,0.891973,8.810000,-4.110517
0.500000,4.470000,4.583333,0.905608,8.770000,-4.222816
0.400000,4.530000,4.666667,0.921118,8.810000,-4.272727
0.500000,4.570000,4.750000,0.936709,8.870000,-4.329768
0.800000,4.630000,4.833333,0.953431,8.930000,-4.303030
0.500000,4.770000,4.916667,0.968994,8.910000,-4.320856
0.700000,4.850000,5.000000,0.985560,8.910000,-4.324421
0.600000,4.890000,5.083333,1.001322,9.110000,-4.322638
0.500000,4.970000,5.166667,1.016992,8.970000,-4.320856
0.600000,5.090000,5.250000,1.033571,8.930000,-4.329768
0.400000,5.130000,5.333333,1.049286,8.970000,-4.294118
0.300000,5.150000,5.416667,1.065355,8.950000,-4.279857
0.500000,5.290000,5.500000,1.080935,8.950000,-4.228164
0.600000,5.350000,5.583333,1.097642,8.990000,-4.233512
0.800000,5.450000,5.666667,1.113265,8.990000,-4.185383
0.600000,5.530000,5.750000,1.128780,8.970000,-4.144385
0.500000,5.630000,5.833333,1.145601,8.910000,-4.142602
0.600000,5.670000,5.916667,1.161184,8.890000,-4.115865
0.700000,5.690000,6.000000,1.177398,8.850000,-4.101604
0.500000,5.830000,6.083333,1.193575,8.870000,-4.108734
0.600000,5.930000,6.166667,1.209204,8.810000,-4.103387
