# Date: 20210225
# Operator: RDP
# Notes: 10Nm
# Tap_cm: 5.0
# Sample: GrPt_003
# Fit of Tap:
#	Ic = 90.9 +/- 0.96 A
#	n = 50 +/- 0.9 
#	Vc = 2.5 uV
#	Vfloor = 2.33 +/- 6.7e+94 uV
#	R = 0.749 +/- 3.2e+83 Ohms
Tap [uV],Shunt [A],Supply [A],Time [S],Hall [A],Cernox [T]
1.000000,0.270000,0.000000,0.023910,8.830000,-4.188948
1.100000,0.270000,0.083333,0.040702,8.890000,-4.185383
1.100000,0.270000,0.166667,0.056384,8.730000,-4.183601
1.000000,0.370000,0.250000,0.071921,8.730000,-4.192513
0.900000,0.430000,0.333333,0.088510,8.750000,-4.188948
0.900000,0.470000,0.416667,0.104269,8.770000,-4.210339
0.900000,0.630000,0.500000,0.119882,8.810000,-4.229947
1.000000,0.670000,0.583333,0.136421,8.810000,-4.240642
1.000000,0.690000,0.666667,0.152233,8.850000,-4.269162
1.100000,0.890000,0.750000,0.177197,8.990000,-4.247772
1.100000,0.770000,0.833333,0.184149,8.990000,-4.304813
0.800000,0.970000,0.916667,0.199989,8.990000,-4.322638
0.800000,1.090000,1.000000,0.215649,9.050000,-4.342246
1.000000,1.070000,1.083333,0.231917,9.110000,-4.338681
0.900000,1.290000,1.166667,0.248696,9.070000,-4.342246
0.900000,1.310000,1.250000,0.264345,9.130000,-4.342246
0.900000,1.390000,1.333333,0.280852,8.910000,-4.349376
0.800000,1.410000,1.416667,0.296811,9.110000,-4.324421
0.800000,1.530000,1.500000,0.312702,9.130000,-4.313725
1.000000,1.570000,1.583333,0.328641,9.030000,-4.297683
1.000000,1.770000,1.666667,0.344767,8.910000,-4.274510
0.700000,1.770000,1.750000,0.360694,9.050000,-4.258467
0.900000,1.810000,1.833333,0.377129,8.950000,-4.249554
1.000000,1.850000,1.916667,0.392626,8.910000,-4.201426
0.700000,1.970000,2.000000,0.409507,8.910000,-4.233512
0.900000,2.070000,2.083333,0.424174,8.830000,-4.197861
