# Date: 20210226
# Operator: RDP
# Notes: 10Nm
# Tap_cm: 5.0
# Sample: GrPt_004
# Fit of Tap:
#	Ic = 164 +/- 0.37 A
#	n = 41.6 +/- 2.7 
#	Vc = 2.5 uV
#	Vfloor = 0.456 +/- 0.0063 uV
#	R = 0.000677 +/- 7.5e-05 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
0.300000,0.050000,0.000000,-8.800000,0.037728,8.790000,-4.210339
0.500000,0.210000,0.083333,-8.800000,0.073757,8.950000,-4.249554
0.200000,0.270000,0.166667,-8.400000,0.089893,8.930000,-4.240642
0.300000,0.210000,0.250000,-9.200000,0.106196,8.910000,-4.229947
0.200000,0.410000,0.333333,-9.200000,0.121384,8.830000,-4.206774
0.200000,0.470000,0.416667,-11.400000,0.135679,8.770000,-4.219251
0.200000,0.590000,0.500000,-10.800000,0.151409,8.770000,-4.231729
0.300000,0.670000,0.583333,-12.600000,0.167286,8.830000,-4.256684
0.200000,0.710000,0.666667,-10.800000,0.182982,8.870000,-4.285205
0.300000,0.650000,0.750000,-11.000000,0.199824,8.870000,-4.288770
0.600000,1.030000,0.833333,-11.200000,0.215760,8.870000,-4.313725
0.300000,0.970000,0.916667,-11.000000,0.231836,8.930000,-4.322638
0.200000,0.910000,1.000000,-11.200000,0.250645,8.870000,-4.256684
0.100000,1.110000,1.083333,-11.400000,0.263809,8.990000,-4.345811
0.600000,1.190000,1.166667,-11.400000,0.279541,9.110000,-4.363636
0.000000,1.310000,1.250000,-11.000000,0.295193,9.170000,-4.370766
0.300000,1.350000,1.333333,-10.800000,0.310979,9.130000,-4.370766
0.600000,1.290000,1.416667,-10.600000,0.327652,9.130000,-4.365419
0.200000,1.550000,1.500000,-10.800000,0.343247,9.110000,-4.342246
0.400000,1.530000,1.583333,-10.800000,0.359012,9.090000,-4.310160
0.300000,1.610000,1.666667,-11.000000,0.375682,9.070000,-4.313725
0.400000,1.670000,1.750000,-11.400000,0.391269,9.050000,-4.276292
0.400000,1.790000,1.833333,-11.000000,0.407053,9.010000,-4.254902
0.400000,1.870000,1.916667,-10.800000,0.423697,8.990000,-4.256684
0.500000,1.950000,2.000000,-10.800000,0.439371,8.910000,-4.233512
0.400000,2.010000,2.083333,-11.200000,0.455227,8.890000,-4.204991
0.400000,2.190000,2.166667,-13.200000,0.471103,8.850000,-4.192513
0.100000,2.190000,2.250000,-11.600000,0.487753,8.830000,-4.188948
0.300000,2.110000,2.333333,-11.400000,0.503504,8.790000,-4.187166
0.300000,2.390000,2.416667,-11.200000,0.519241,8.690000,-4.199643
0.200000,2.490000,2.500000,-11.000000,0.534928,8.850000,-4.226381
0.300000,2.570000,2.583333,-12.800000,0.552534,8.830000,-4.203209
0.300000,2.550000,2.666667,-10.800000,0.567795,8.770000,-4.228164
