# Date: 20210226
# Operator: RDP
# Notes: 10Nm
# Tap_cm: 5.0
# Sample: GrPt_004
# Fit of Tap:
#	Ic = 161 +/- 0.095 A
#	n = 121 +/- 7.9 
#	Vc = 2.5 uV
#	Vfloor = 0.456 +/- 0.0063 uV
#	R = 0.00176 +/- 7e-05 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
0.400000,0.250000,0.000000,-11.600000,0.038491,9.070000,-4.306595
0.400000,0.210000,0.083333,-11.400000,0.046052,8.810000,-4.226381
0.300000,0.270000,0.166667,-11.400000,0.057679,9.090000,-4.342246
0.400000,0.350000,0.250000,-11.200000,0.074197,9.130000,-4.345811
0.400000,0.390000,0.333333,-11.200000,0.089760,9.070000,-4.340463
0.300000,0.470000,0.416667,-11.000000,0.106169,9.110000,-4.342246
0.200000,0.550000,0.500000,-11.600000,0.121496,9.090000,-4.297683
0.500000,0.490000,0.583333,-11.600000,0.137994,9.110000,-4.297683
0.200000,0.690000,0.666667,-11.400000,0.153469,9.050000,-4.253119
0.300000,0.830000,0.750000,-11.400000,0.169808,9.050000,-4.245989
0.500000,0.890000,0.833333,-12.800000,0.186220,8.910000,-4.237077
0.400000,0.990000,0.916667,-11.400000,0.201666,8.890000,-4.219251
0.100000,1.030000,1.000000,-11.600000,0.231305,8.810000,-4.206774
0.500000,0.890000,1.083333,-11.000000,0.238814,9.110000,-4.322638
0.400000,1.210000,1.166667,-11.600000,0.250269,8.870000,-4.196078
0.400000,1.270000,1.250000,-11.400000,0.265585,8.790000,-4.196078
0.200000,1.350000,1.333333,-11.600000,0.281902,8.790000,-4.204991
0.200000,1.410000,1.416667,-11.400000,0.298406,8.810000,-4.208556
0.200000,1.530000,1.500000,-11.400000,0.313816,8.790000,-4.226381
0.100000,1.590000,1.583333,-11.400000,0.330265,8.790000,-4.221034
0.500000,1.610000,1.666667,-11.400000,0.345824,8.850000,-4.254902
0.100000,1.710000,1.750000,-11.600000,0.362561,8.890000,-4.260250
0.400000,1.810000,1.833333,-11.400000,0.378047,8.930000,-4.292335
0.100000,1.890000,1.916667,-11.400000,0.393566,8.950000,-4.319073
0.400000,1.950000,2.000000,-11.200000,0.409966,8.990000,-4.324421
-0.100000,2.090000,2.083333,-11.600000,0.426434,8.970000,-4.335116
0.200000,2.150000,2.166667,-11.400000,0.441966,9.050000,-4.356506
0.400000,2.210000,2.250000,-11.200000,0.457401,9.110000,-4.358289
0.500000,2.230000,2.333333,-11.400000,0.473734,9.110000,-4.358289
0.400000,2.430000,2.416667,-12.600000,0.490295,9.130000,-4.360071
0.100000,2.470000,2.500000,-11.400000,0.505730,9.090000,-4.336898
0.200000,2.550000,2.583333,-11.200000,0.524505,9.110000,-4.361854
0.400000,2.570000,2.666667,-11.600000,0.538472,9.210000,-4.336898
0.300000,2.650000,2.750000,-11.200000,0.553941,9.050000,-4.285205
0.200000,2.770000,2.833333,-11.600000,0.570379,9.070000,-4.274510
0.300000,2.830000,2.916667,-11.400000,0.585781,8.970000,-4.242424
0.400000,2.890000,3.000000,-11.000000,0.602321,8.930000,-4.245989
0.100000,3.010000,3.083333,-11.000000,0.620843,9.090000,-4.285205
0.500000,3.050000,3.166667,-11.400000,0.634201,8.870000,-4.206774
0.200000,3.130000,3.250000,-11.600000,0.649708,8.830000,-4.196078
0.200000,3.270000,3.333333,-11.200000,0.666336,8.850000,-4.188948
0.300000,3.330000,3.416667,-11.600000,0.681777,8.850000,-4.199643
0.400000,3.410000,3.500000,-11.600000,0.698262,8.770000,-4.203209
0.200000,3.470000,3.583333,-11.600000,0.713650,8.830000,-4.226381
0.200000,3.550000,3.666667,-11.400000,0.729994,8.850000,-4.235294
0.200000,3.630000,3.750000,-9.000000,0.747438,8.830000,-4.219251
0.100000,3.730000,3.833333,-9.000000,0.764149,8.810000,-4.212121
0.300000,3.810000,3.916667,-9.200000,0.779645,8.850000,-4.244207
0.200000,3.830000,4.000000,-9.200000,0.796288,8.890000,-4.244207
0.200000,3.990000,4.083333,-9.200000,0.811867,8.890000,-4.281640
0.200000,4.030000,4.166667,-11.400000,0.847022,8.810000,-4.238859
0.500000,4.090000,4.250000,-11.400000,0.862658,8.810000,-4.247772
0.100000,4.170000,4.333333,-11.400000,0.878991,8.850000,-4.260250
0.500000,4.410000,4.416667,-11.200000,0.895527,8.830000,-4.276292
0.300000,4.390000,4.500000,-11.400000,0.911007,8.890000,-4.304813
0.200000,4.490000,4.583333,-11.600000,0.927333,8.950000,-4.308378
0.500000,4.570000,4.666667,-11.800000,0.942837,9.050000,-4.349376
0.400000,4.590000,4.750000,-11.200000,0.959597,9.010000,-4.335116
0.400000,4.710000,4.833333,-11.400000,0.975034,9.110000,-4.344029
0.500000,4.770000,4.916667,-11.000000,0.991351,9.110000,-4.352941
0.600000,4.830000,5.000000,-11.000000,1.006897,9.150000,-4.347594
0.300000,4.890000,5.083333,-11.200000,1.023565,9.170000,-4.349376
0.400000,4.930000,5.166667,-11.200000,1.038906,9.110000,-4.331551
0.300000,5.050000,5.250000,-11.200000,1.055412,9.090000,-4.317291
0.300000,5.070000,5.333333,-11.600000,1.070850,9.130000,-4.269162
0.300000,5.210000,5.416667,-11.400000,1.087274,9.050000,-4.270945
0.100000,5.250000,5.500000,-11.400000,1.102820,9.030000,-4.235294
0.500000,5.370000,5.583333,-11.000000,1.123944,9.130000,-4.340463
0.200000,5.410000,5.666667,-11.400000,1.134765,8.910000,-4.203209
0.300000,5.510000,5.750000,-11.200000,1.151285,8.890000,-4.196078
0.400000,5.590000,5.833333,-11.200000,1.166650,8.830000,-4.172906
0.500000,5.670000,5.916667,-11.600000,1.182965,8.790000,-4.174688
0.500000,5.570000,6.000000,-11.600000,1.199529,8.750000,-4.180036
0.400000,5.810000,6.083333,-11.600000,1.216533,8.770000,-4.178253
0.100000,5.910000,6.166667,-11.000000,1.230738,8.770000,-4.197861
0.600000,6.030000,6.250000,-11.400000,1.247340,8.630000,-4.206774
0.400000,6.070000,6.333333,-11.200000,1.263138,8.790000,-4.233512
0.600000,6.130000,6.416667,-11.400000,1.278677,8.850000,-4.258467
0.400000,6.230000,6.500000,-11.200000,1.295137,8.830000,-4.260250
0.200000,6.350000,6.583333,-11.400000,1.310715,8.910000,-4.299465
0.400000,6.350000,6.666667,-11.400000,1.327225,8.950000,-4.299465
0.600000,6.510000,6.750000,-11.400000,1.342650,9.030000,-4.335116
0.200000,6.510000,6.833333,-11.600000,1.359284,9.050000,-4.335116
0.400000,6.630000,6.916667,-11.400000,1.374655,9.110000,-4.347594
0.300000,6.690000,7.000000,-11.200000,1.391001,9.070000,-4.342246
0.600000,6.770000,7.083333,-11.400000,1.407509,9.130000,-4.344029
0.500000,6.890000,7.166667,-11.200000,1.430635,8.750000,-4.222816
0.500000,6.910000,7.250000,-11.400000,1.439076,9.130000,-4.340463
0.500000,7.010000,7.333333,-11.200000,1.455596,9.110000,-4.324421
0.400000,7.110000,7.416667,-11.200000,1.471040,9.070000,-4.288770
0.500000,7.250000,7.500000,-11.600000,1.487356,9.070000,-4.278075
0.500000,7.250000,7.583333,-11.400000,1.502889,9.010000,-4.245989
0.600000,7.330000,7.666667,-11.200000,1.519309,8.990000,-4.238859
0.100000,7.430000,7.750000,-11.600000,1.534615,8.930000,-4.199643
0.500000,7.590000,7.833333,-9.800000,1.553006,8.950000,-4.251337
0.400000,7.550000,7.916667,-9.800000,1.568955,8.910000,-4.244207
0.300000,7.610000,8.000000,-9.200000,1.584577,8.830000,-4.206774
0.600000,7.710000,8.083333,-9.200000,1.601378,8.910000,-4.213904
0.300000,7.810000,8.166667,-9.600000,1.620103,8.930000,-4.267380
0.100000,7.950000,8.250000,-9.200000,1.639287,9.070000,-4.345811
0.400000,7.970000,8.333333,-9.000000,1.648138,8.830000,-4.219251
0.500000,8.090000,8.416667,-11.400000,1.663647,8.770000,-4.237077
0.500000,8.170000,8.500000,-11.400000,1.679041,8.810000,-4.265597
0.500000,8.210000,8.583333,-11.200000,1.695416,8.810000,-4.279857
0.400000,8.290000,8.666667,-11.400000,1.710909,8.890000,-4.310160
0.400000,8.370000,8.750000,-11.400000,1.727912,8.930000,-4.297683
0.300000,8.490000,8.833333,-11.400000,1.742785,9.010000,-4.335116
0.400000,8.530000,8.916667,-11.400000,1.759367,9.030000,-4.340463
0.400000,8.630000,9.000000,-11.400000,1.774778,9.090000,-4.354724
0.400000,8.750000,9.083333,-11.200000,1.791136,9.110000,-4.347594
0.400000,8.750000,9.166667,-11.000000,1.807661,9.130000,-4.349376
0.300000,8.830000,9.250000,-11.400000,1.823683,9.130000,-4.347594
0.400000,8.870000,9.333333,-11.200000,1.839084,9.210000,-4.331551
0.400000,9.190000,9.416667,-11.000000,1.855597,9.170000,-4.338681
0.200000,9.110000,9.500000,-11.400000,1.871281,9.130000,-4.308378
0.300000,9.130000,9.583333,-11.400000,1.886841,9.010000,-4.265597
0.400000,9.250000,9.666667,-11.200000,1.903486,9.150000,-4.262032
0.400000,9.310000,9.750000,-11.200000,1.918954,8.970000,-4.238859
0.500000,9.370000,9.833333,-11.200000,1.935330,8.950000,-4.219251
0.500000,9.450000,9.916667,-11.000000,1.950687,8.870000,-4.190731
0.300000,9.570000,10.000000,-11.200000,1.967245,8.830000,-4.188948
0.600000,9.650000,10.083333,-11.400000,1.982696,8.810000,-4.199643
0.600000,9.730000,10.166667,-11.400000,1.999079,8.830000,-4.197861
0.500000,9.790000,10.250000,-11.200000,2.023212,9.130000,-4.338681
0.300000,9.830000,10.333333,-11.600000,2.038367,9.050000,-4.306595
0.400000,9.950000,10.416667,-11.400000,2.046853,8.790000,-4.222816
0.400000,10.050000,10.500000,-11.400000,2.063536,8.790000,-4.226381
0.500000,10.090000,10.583333,-11.200000,2.079055,8.830000,-4.260250
0.500000,10.230000,10.666667,-11.200000,2.095450,8.830000,-4.270945
0.400000,10.290000,10.750000,-11.400000,2.111030,8.890000,-4.306595
0.300000,10.330000,10.833333,-11.400000,2.127422,8.970000,-4.311943
0.400000,10.430000,10.916667,-11.200000,2.142756,9.030000,-4.342246
0.400000,10.370000,11.000000,-11.000000,2.159263,9.050000,-4.352941
0.300000,10.630000,11.083333,-11.400000,2.174892,9.110000,-4.374332
0.500000,10.650000,11.166667,-11.400000,2.191263,9.130000,-4.365419
0.300000,10.790000,11.250000,-11.400000,2.206689,9.290000,-4.363636
0.600000,10.870000,11.333333,-11.200000,2.222746,9.170000,-4.340463
0.400000,10.950000,11.416667,-10.800000,2.239107,9.210000,-4.335116
0.500000,10.970000,11.500000,-11.400000,2.255531,9.110000,-4.313725
0.400000,11.130000,11.583333,-11.800000,2.271061,9.070000,-4.299465
0.400000,11.210000,11.666667,-11.400000,2.287403,9.050000,-4.294118
0.400000,11.250000,11.750000,-11.200000,2.302726,9.010000,-4.251337
0.300000,11.370000,11.833333,-11.200000,2.325234,9.130000,-4.352941
0.600000,11.410000,11.916667,-11.200000,2.335051,8.930000,-4.235294
0.300000,11.550000,12.000000,-11.200000,2.351549,8.930000,-4.238859
0.600000,11.530000,12.083333,-9.000000,2.369409,8.950000,-4.262032
0.600000,11.650000,12.166667,-8.800000,2.385018,8.890000,-4.229947
0.300000,11.750000,12.250000,-9.200000,2.400623,8.890000,-4.206774
0.500000,11.830000,12.333333,-9.200000,2.420540,9.110000,-4.279857
0.400000,11.890000,12.416667,-9.200000,2.439862,9.130000,-4.356506
0.400000,11.950000,12.500000,-9.400000,2.449380,8.790000,-4.210339
0.500000,12.030000,12.583333,-11.200000,2.463677,8.810000,-4.231729
0.100000,12.110000,12.666667,-11.400000,2.479359,8.830000,-4.253119
0.600000,12.210000,12.750000,-11.600000,2.494752,8.890000,-4.292335
