# Date: 20210226
# Operator: RDP
# Notes: 10Nm
# Tap_cm: 5.0
# Sample: GrPt_004
# Fit of Tap:
#	Ic = 161 +/- 0.092 A
#	n = 112 +/- 6.7 
#	Vc = 2.5 uV
#	Vfloor = 0.568 +/- 0.006 uV
#	R = 0.000986 +/- 6.7e-05 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
0.400000,0.230000,0.000000,-9.200000,0.043301,8.930000,-4.331551
0.500000,0.230000,0.083333,-11.200000,0.051681,8.930000,-4.251337
0.400000,0.230000,0.166667,-11.400000,0.059346,8.930000,-4.347594
0.500000,0.370000,0.250000,-11.400000,0.074939,8.990000,-4.367201
0.500000,0.410000,0.333333,-11.200000,0.090571,9.090000,-4.372549
0.200000,0.390000,0.416667,-11.000000,0.106387,9.130000,-4.363636
0.500000,0.550000,0.500000,-11.000000,0.122098,9.090000,-4.356506
0.500000,0.650000,0.583333,-11.400000,0.138710,9.050000,-4.354724
0.600000,0.690000,0.666667,-11.200000,0.154487,8.950000,-4.331551
0.400000,0.810000,0.750000,-11.400000,0.170354,9.050000,-4.311943
0.300000,0.870000,0.833333,-11.200000,0.186104,8.990000,-4.274510
0.400000,0.990000,0.916667,-11.400000,0.209865,8.890000,-4.311943
0.300000,0.990000,1.000000,-11.000000,0.219076,8.990000,-4.270945
0.500000,1.110000,1.083333,-11.400000,0.234964,8.990000,-4.245989
0.500000,1.210000,1.166667,-11.200000,0.250609,8.870000,-4.221034
0.300000,1.270000,1.250000,-11.200000,0.266513,8.810000,-4.215686
0.400000,1.350000,1.333333,-11.400000,0.282186,8.770000,-4.213904
0.600000,1.370000,1.416667,-11.600000,0.298866,8.810000,-4.206774
0.300000,1.490000,1.500000,-11.400000,0.314670,8.730000,-4.208556
0.200000,1.590000,1.583333,-11.400000,0.330331,8.710000,-4.226381
0.500000,1.690000,1.666667,-11.400000,0.346942,8.750000,-4.229947
0.300000,1.730000,1.750000,-11.600000,0.362746,8.730000,-4.247772
0.500000,1.770000,1.833333,-11.400000,0.378410,8.770000,-4.272727
0.500000,1.930000,1.916667,-11.400000,0.395229,9.030000,-4.288770
0.300000,1.930000,2.000000,-11.600000,0.410894,8.830000,-4.299465
