# Date: 20210226
# Operator: RDP
# Notes: 
# Tap_cm: 5.0
# Sample: GrPt_008
# Fit of Tap:
#	Ic = 161 +/- 0.19 A
#	n = 72.8 +/- 4.9 
#	Vc = 2.5 uV
#	Vfloor = 0.503 +/- 0.0064 uV
#	R = 0.000995 +/- 7.3e-05 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
0.400000,0.230000,0.000000,-9.200000,0.041395,8.870000,-4.263815
0.400000,0.310000,0.083333,-11.600000,0.050460,9.070000,-4.329768
0.300000,0.250000,0.166667,-12.800000,0.057821,8.850000,-4.254902
0.500000,0.390000,0.250000,-12.000000,0.073417,8.890000,-4.290553
0.600000,0.410000,0.333333,-11.400000,0.089866,8.890000,-4.294118
0.100000,0.490000,0.416667,-11.400000,0.106229,8.930000,-4.311943
0.300000,0.570000,0.500000,-11.400000,0.121760,8.970000,-4.322638
0.200000,0.670000,0.583333,-11.400000,0.138129,8.970000,-4.320856
0.400000,0.690000,0.666667,-11.400000,0.153447,8.970000,-4.344029
0.500000,0.830000,0.750000,-11.400000,0.169990,9.030000,-4.342246
0.300000,0.870000,0.833333,-11.400000,0.185386,9.030000,-4.345811
0.200000,1.010000,0.916667,-11.400000,0.205455,8.870000,-4.306595
0.400000,1.010000,1.000000,-11.200000,0.218028,9.070000,-4.335116
0.400000,1.110000,1.083333,-11.600000,0.233417,9.050000,-4.311943
0.400000,1.170000,1.166667,-11.600000,0.249734,9.050000,-4.286988
0.400000,1.250000,1.250000,-11.400000,0.266288,9.010000,-4.283422
0.300000,1.310000,1.333333,-11.400000,0.281716,8.990000,-4.263815
0.400000,1.390000,1.416667,-11.400000,0.298026,8.970000,-4.249554
0.400000,1.670000,1.500000,-13.600000,0.313654,8.850000,-4.231729
0.700000,1.530000,1.583333,-11.400000,0.330854,8.890000,-4.242424
0.200000,1.610000,1.666667,-11.600000,0.345698,8.890000,-4.203209
0.100000,1.650000,1.750000,-11.400000,0.362183,8.850000,-4.197861
0.400000,1.810000,1.833333,-11.400000,0.377664,8.850000,-4.206774
0.400000,1.930000,1.916667,-11.400000,0.394221,8.770000,-4.199643
0.300000,1.970000,2.000000,-11.400000,0.409610,8.870000,-4.219251
0.200000,2.030000,2.083333,-11.400000,0.426215,8.790000,-4.219251
0.600000,2.150000,2.166667,-11.400000,0.441579,8.830000,-4.247772
0.500000,2.190000,2.250000,-11.600000,0.457894,8.850000,-4.251337
0.400000,2.230000,2.333333,-11.400000,0.474482,8.790000,-4.260250
0.400000,2.310000,2.416667,-11.400000,0.489879,8.910000,-4.283422
0.200000,2.490000,2.500000,-11.600000,0.506240,8.890000,-4.281640
0.300000,2.510000,2.583333,-11.600000,0.521761,8.930000,-4.315508
0.100000,2.610000,2.666667,-11.400000,0.538126,8.930000,-4.320856
0.400000,2.710000,2.750000,-11.400000,0.553438,8.990000,-4.352941
0.400000,2.770000,2.833333,-11.600000,0.570087,9.030000,-4.347594
0.300000,2.790000,2.916667,-11.200000,0.585844,9.030000,-4.342246
0.500000,2.890000,3.000000,-11.400000,0.601219,9.070000,-4.327986
0.200000,3.010000,3.083333,-11.200000,0.625329,8.770000,-4.226381
0.500000,2.990000,3.166667,-11.400000,0.635424,9.050000,-4.336898
0.500000,3.110000,3.250000,-11.400000,0.650252,9.030000,-4.308378
0.200000,3.090000,3.333333,-11.800000,0.665721,9.010000,-4.276292
0.300000,3.310000,3.416667,-11.400000,0.682214,8.990000,-4.267380
0.500000,3.350000,3.500000,-11.000000,0.697580,8.970000,-4.240642
