# Date: 20210226
# Operator: RDP
# Notes: 
# Tap_cm: 5.0
# Sample: DCC_PbSn_025
# Fit of Tap:
#	Ic = 188 +/- 0.17 A
#	n = 31.9 +/- 0.9 
#	Vc = 3 uV
#	Vfloor = 1.11 +/- 0.0059 uV
#	R = 0.0001 +/- 6.2e-05 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
1.300000,0.190000,0.000000,-11.600000,0.025261,9.030000,-4.294118
1.100000,0.210000,0.083333,-11.200000,0.040903,9.010000,-4.272727
1.100000,0.250000,0.166667,-11.600000,0.057688,8.990000,-4.274510
1.000000,0.330000,0.250000,-11.600000,0.073309,8.990000,-4.253119
0.800000,0.430000,0.333333,-11.600000,0.088879,8.930000,-4.219251
0.900000,0.510000,0.416667,-11.600000,0.105837,8.990000,-4.226381
1.100000,0.570000,0.500000,-11.600000,0.121552,8.910000,-4.208556
1.100000,0.590000,0.583333,-11.400000,0.137155,8.910000,-4.181818
1.300000,0.710000,0.666667,-11.400000,0.152938,8.910000,-4.174688
1.200000,0.770000,0.750000,-11.400000,0.169580,8.890000,-4.167558
1.300000,0.910000,0.833333,-11.800000,0.185160,8.870000,-4.178253
1.100000,0.990000,0.916667,-11.600000,0.200889,8.790000,-4.187166
1.200000,1.070000,1.000000,-11.600000,0.217566,8.830000,-4.188948
0.900000,1.130000,1.083333,-11.400000,0.240485,8.930000,-4.281640
1.000000,1.310000,1.166667,-11.800000,0.249300,8.790000,-4.213904
1.000000,1.290000,1.250000,-11.600000,0.264957,8.830000,-4.237077
1.100000,1.310000,1.333333,-11.400000,0.281622,8.830000,-4.238859
1.100000,1.390000,1.416667,-11.200000,0.297331,9.050000,-4.258467
1.100000,1.510000,1.500000,-11.800000,0.313046,8.890000,-4.274510
1.000000,1.590000,1.583333,-11.600000,0.329641,8.890000,-4.276292
1.300000,1.630000,1.666667,-11.400000,0.345203,8.910000,-4.290553
0.900000,1.710000,1.750000,-11.800000,0.361043,8.970000,-4.299465
1.400000,1.830000,1.833333,-11.600000,0.376708,9.010000,-4.313725
1.200000,1.850000,1.916667,-11.600000,0.393283,8.990000,-4.320856
0.900000,1.950000,2.000000,-11.400000,0.409084,9.050000,-4.306595
1.200000,2.070000,2.083333,-11.600000,0.425021,8.970000,-4.292335
1.300000,2.150000,2.166667,-11.400000,0.441626,9.010000,-4.303030
1.000000,2.170000,2.250000,-11.200000,0.457384,8.990000,-4.279857
1.100000,2.250000,2.333333,-11.400000,0.473038,9.010000,-4.251337
1.000000,2.330000,2.416667,-11.400000,0.489605,8.990000,-4.262032
1.000000,2.430000,2.500000,-11.600000,0.505362,8.990000,-4.237077
1.000000,2.510000,2.583333,-11.400000,0.528064,8.910000,-4.303030
1.100000,2.570000,2.666667,-11.400000,0.537194,8.930000,-4.183601
1.200000,2.630000,2.750000,-11.600000,0.552870,8.910000,-4.174688
1.100000,2.730000,2.833333,-11.400000,0.569555,8.910000,-4.183601
1.300000,2.790000,2.916667,-11.600000,0.585165,8.830000,-4.185383
1.000000,2.970000,3.000000,-11.400000,0.600840,8.910000,-4.199643
1.200000,3.010000,3.083333,-11.600000,0.617653,8.830000,-4.190731
1.100000,3.070000,3.166667,-11.600000,0.633625,8.810000,-4.212121
1.200000,3.170000,3.250000,-11.600000,0.649278,8.830000,-4.210339
1.000000,3.190000,3.333333,-11.600000,0.665032,8.810000,-4.238859
1.100000,3.310000,3.416667,-11.400000,0.681644,8.830000,-4.244207
1.100000,3.410000,3.500000,-11.600000,0.697464,8.830000,-4.269162
1.100000,3.470000,3.583333,-9.400000,0.715906,8.830000,-4.226381
1.200000,3.530000,3.666667,-9.400000,0.731006,8.850000,-4.262032
1.000000,3.610000,3.750000,-9.200000,0.747079,8.810000,-4.269162
1.300000,3.710000,3.833333,-9.200000,0.763392,8.910000,-4.279857
1.100000,3.750000,3.916667,-9.400000,0.779477,8.890000,-4.292335
1.000000,3.870000,4.000000,-9.400000,0.795498,8.950000,-4.301248
1.100000,3.970000,4.083333,-11.200000,0.809643,8.950000,-4.335116
1.000000,4.090000,4.166667,-11.800000,0.833705,8.830000,-4.206774
1.300000,4.030000,4.250000,-11.000000,0.841324,8.990000,-4.324421
1.400000,4.250000,4.333333,-11.600000,0.857022,9.050000,-4.308378
1.000000,4.270000,4.416667,-11.400000,0.872722,8.970000,-4.269162
1.000000,4.330000,4.500000,-11.600000,0.889291,9.010000,-4.258467
1.100000,4.450000,4.583333,-11.800000,0.904919,9.090000,-4.238859
1.000000,4.510000,4.666667,-11.600000,0.921604,8.970000,-4.235294
1.300000,4.550000,4.750000,-11.200000,0.937229,8.970000,-4.197861
1.200000,4.630000,4.833333,-11.400000,0.952838,8.930000,-4.180036
0.800000,4.730000,4.916667,-11.400000,0.969632,8.970000,-4.178253
1.300000,4.830000,5.000000,-11.600000,0.985246,8.870000,-4.176471
1.200000,4.890000,5.083333,-11.600000,1.000815,8.810000,-4.190731
1.100000,4.950000,5.166667,-11.600000,1.017621,8.850000,-4.178253
0.900000,5.090000,5.250000,-11.600000,1.033705,8.770000,-4.201426
1.000000,5.170000,5.333333,-11.800000,1.049302,8.810000,-4.213904
1.000000,5.250000,5.416667,-11.800000,1.065073,8.790000,-4.228164
1.200000,5.310000,5.500000,-11.600000,1.080735,8.870000,-4.245989
1.100000,5.350000,5.583333,-11.600000,1.097316,8.830000,-4.249554
1.500000,5.450000,5.666667,-11.600000,1.113188,8.870000,-4.272727
1.300000,5.530000,5.750000,-11.600000,1.130715,8.830000,-4.244207
1.000000,5.610000,5.833333,-11.800000,1.144846,8.890000,-4.310160
0.900000,5.710000,5.916667,-11.400000,1.161624,8.930000,-4.308378
1.100000,5.750000,6.000000,-11.800000,1.177319,8.950000,-4.327986
1.100000,5.830000,6.083333,-11.400000,1.192895,8.950000,-4.322638
1.200000,5.930000,6.166667,-13.200000,1.209585,8.970000,-4.327986
1.000000,6.050000,6.250000,-11.400000,1.225746,8.990000,-4.326203
1.200000,6.070000,6.333333,-11.400000,1.241346,8.970000,-4.324421
1.200000,6.110000,6.416667,-11.400000,1.256964,8.990000,-4.270945
1.000000,6.230000,6.500000,-11.200000,1.273746,8.990000,-4.304813
1.200000,6.350000,6.583333,-11.400000,1.289345,8.970000,-4.262032
1.100000,6.410000,6.666667,-11.800000,1.304904,8.950000,-4.235294
0.900000,6.450000,6.750000,-11.600000,1.321691,8.990000,-4.244207
1.200000,6.570000,6.833333,-11.200000,1.337314,8.950000,-4.217469
1.100000,6.610000,6.916667,-11.400000,1.352894,8.910000,-4.188948
1.100000,6.710000,7.000000,-11.400000,1.369710,8.910000,-4.188948
1.200000,6.730000,7.083333,-11.600000,1.385331,8.890000,-4.174688
