# Date: 20200925
# Operator: DCC
# Notes: Torque wrench used. 40 in/lb 
# Tap_cm: 5.0
# Sample: NS-104
Tap [uV],Shunt [A],Supply [A],Time [S],Hall [T],Cernox [K]
1.500000,0.310000,0.000000,0.078078,21.424242,247.544885
1.200000,0.430000,0.166667,0.100793,21.452763,252.498941
1.600000,0.390000,0.333333,0.108033,21.454545,252.498941
1.200000,0.650000,0.500000,0.139050,21.456328,254.195574
1.500000,0.770000,0.666667,0.171128,21.456328,250.825257
1.300000,1.110000,0.833333,0.204311,21.452763,250.825257
1.700000,1.250000,1.000000,0.235687,21.458111,255.915633
1.400000,1.470000,1.166667,0.267734,21.452763,250.825257
1.300000,1.570000,1.333333,0.299760,21.454545,249.174056
1.300000,1.810000,1.500000,0.336012,21.456328,252.498941
1.500000,1.910000,1.666667,0.363027,21.454545,247.544885
1.400000,2.130000,1.833333,0.395659,21.454545,242.785204
1.300000,2.410000,2.000000,0.427816,21.454545,244.350882
1.600000,2.610000,2.166667,0.459775,21.456328,247.544885
1.400000,2.790000,2.333333,0.494203,21.452763,245.937304
1.200000,2.850000,2.500000,0.523051,21.458111,252.498941
1.500000,3.130000,2.666667,0.555792,21.454545,255.915633
1.400000,3.150000,2.833333,0.587505,21.456328,254.195574
1.500000,3.510000,3.000000,0.619745,21.456328,254.195574
1.400000,3.710000,3.166667,0.652079,21.456328,259.428015
1.500000,3.950000,3.333333,0.683778,21.454545,252.498941
1.200000,4.130000,3.500000,0.715670,21.458111,250.825257
1.500000,4.330000,3.666667,0.747291,21.454545,250.825257
1.400000,4.470000,3.833333,0.779107,21.454545,244.350882
1.300000,4.730000,4.000000,0.812556,21.426025,244.350882
1.500000,4.910000,4.166667,0.845185,21.424242,244.350882
1.500000,5.110000,4.333333,0.876769,21.422460,247.544885
1.600000,5.210000,4.500000,0.910226,21.426025,245.937304
1.300000,5.450000,4.666667,0.941809,21.426025,249.174056
1.200000,5.590000,4.833333,0.973158,21.424242,252.498941
1.400000,5.870000,5.000000,1.004797,21.424242,252.498941
1.700000,6.050000,5.166667,1.037373,21.424242,252.498941
1.400000,6.270000,5.333333,1.068897,21.426025,255.915633
1.400000,6.390000,5.500000,1.101530,21.422460,252.498941
1.500000,6.610000,5.666667,1.133052,21.426025,252.498941
1.600000,6.770000,5.833333,1.165837,21.424242,247.544885
1.400000,7.010000,6.000000,1.197644,21.422460,244.350882
1.400000,7.210000,6.166667,1.242814,21.427807,250.825257
1.300000,7.310000,6.333333,1.261267,21.426025,245.937304
1.500000,7.550000,6.500000,1.292815,21.424242,249.174056
1.500000,7.690000,6.666667,1.325655,21.426025,250.825257
1.300000,7.990000,6.833333,1.357388,21.427807,249.174056
1.400000,8.190000,7.000000,1.388989,21.427807,254.195574
1.500000,8.430000,7.166667,1.420822,21.427807,255.915633
