# Date: 20200930
# Operator: DCC
# Notes: Torque wrench used. 40 in/lb 
# Tap_cm: 5.0
# Sample: NS-108
# Fit of Tap:
#	Ic = 148 +/- 0.032 A
#	n = 34.9 +/- 0.52 
#	Vc = 5 uV
#	Vfloor = 1.23 +/- 0.013 uV
#	R = 0.0001 +/- 0.00017 Ohms
Tap [uV],Shunt [A],Supply [A],Time [S],Hall [T],Cernox [K]
1.100000,0.310000,0.000000,0.075596,20.702317,247.544885
1.200000,0.350000,0.166667,0.106826,20.702317,250.825257
1.200000,0.590000,0.333333,0.141488,20.702317,247.544885
1.300000,0.730000,0.500000,0.174121,20.705882,250.825257
1.000000,0.910000,0.666667,0.209327,20.709447,252.498941
1.300000,1.070000,0.833333,0.237028,20.707665,247.544885
1.100000,1.270000,1.000000,0.269639,20.709447,249.174056
1.100000,1.470000,1.166667,0.301323,20.709447,247.544885
1.100000,1.630000,1.333333,0.333080,20.716578,252.498941
1.000000,1.870000,1.500000,0.365810,20.707665,250.825257
1.400000,2.010000,1.666667,0.399356,20.702317,247.544885
1.100000,2.250000,1.833333,0.428947,20.705882,255.915633
1.200000,2.470000,2.000000,0.474107,20.707665,255.915633
1.200000,2.570000,2.166667,0.493547,20.704100,254.195574
1.000000,2.750000,2.333333,0.525096,20.707665,245.937304
1.100000,2.970000,2.500000,0.557710,20.716578,249.174056
1.100000,3.210000,2.666667,0.590050,20.721925,247.544885
1.100000,3.390000,2.833333,0.621842,20.707665,249.174056
1.000000,3.570000,3.000000,0.653455,20.709447,245.937304
1.200000,3.710000,3.166667,0.685094,20.709447,242.785204
1.200000,3.910000,3.333333,0.717733,20.707665,249.174056
1.200000,4.150000,3.500000,0.749334,20.704100,254.195574
1.300000,4.350000,3.666667,0.803233,20.707665,247.544885
1.200000,4.490000,3.833333,0.822115,20.711230,247.544885
1.300000,4.710000,4.000000,0.845839,20.704100,252.498941
1.200000,4.770000,4.166667,0.877550,20.702317,252.498941
1.200000,5.050000,4.333333,0.907381,20.707665,249.174056
1.300000,5.270000,4.500000,0.939947,20.704100,252.498941
1.200000,5.470000,4.666667,0.971720,20.702317,245.937304
1.300000,5.670000,4.833333,1.003329,20.711230,249.174056
