# Date: 20200930
# Operator: DCC
# Notes: Torque wrench used. 40 in/lb 
# Tap_cm: 5.0
# Sample: NS-109
# Fit of Tap:
#	Ic = 145 +/- 0.04 A
#	n = 28.3 +/- 0.2 
#	Vc = 5 uV
#	Vfloor = 1.52 +/- 0.016 uV
#	R = 0.0001 +/- 1.9e-05 Ohms
Tap [uV],Shunt [A],Supply [A],Time [S],Hall [T],Cernox [K]
1.300000,0.290000,0.000000,0.064706,20.714795,249.174056
1.300000,0.370000,0.166667,0.087475,20.688057,245.937304
1.300000,0.490000,0.333333,0.107141,20.707665,250.825257
1.200000,0.710000,0.500000,0.139203,20.709447,252.498941
1.400000,0.930000,0.666667,0.170849,20.714795,249.174056
1.300000,1.050000,0.833333,0.203893,20.707665,252.498941
1.400000,1.270000,1.000000,0.234544,20.713012,252.498941
1.400000,1.450000,1.166667,0.267087,20.714795,252.498941
1.500000,1.630000,1.333333,0.298701,20.707665,250.825257
1.500000,1.870000,1.500000,0.330350,20.705882,247.544885
1.400000,2.030000,1.666667,0.362967,20.711230,245.937304
1.600000,2.350000,1.833333,0.394806,20.709447,257.659612
1.500000,2.450000,2.000000,0.426375,20.704100,247.544885
1.500000,2.650000,2.166667,0.458967,20.704100,245.937304
1.200000,2.830000,2.333333,0.490654,20.707665,247.544885
1.600000,3.010000,2.500000,0.522258,20.707665,250.825257
1.200000,3.190000,2.666667,0.554968,20.709447,255.915633
1.300000,3.390000,2.833333,0.586706,20.707665,255.915633
1.400000,3.570000,3.000000,0.618280,20.705882,252.498941
1.500000,3.730000,3.166667,0.650825,20.707665,255.915633
1.200000,3.910000,3.333333,0.682358,20.714795,249.174056
1.400000,4.070000,3.500000,0.714907,20.711230,249.174056
1.400000,4.290000,3.666667,0.747062,20.714795,249.174056
1.300000,4.550000,3.833333,0.778869,20.713012,245.937304
1.300000,4.710000,4.000000,0.812610,20.714795,245.937304
1.300000,4.910000,4.166667,0.844178,20.711230,249.174056
1.300000,5.050000,4.333333,0.876685,20.704100,247.544885
1.300000,5.230000,4.500000,0.908176,20.704100,247.544885
1.500000,5.450000,4.666667,0.940621,20.707665,250.825257
1.100000,5.590000,4.833333,0.972964,20.711230,247.544885
1.400000,5.810000,5.000000,1.004565,20.704100,254.195574
1.400000,6.030000,5.166667,1.037211,20.704100,255.915633
1.500000,6.210000,5.333333,1.068907,20.709447,254.195574
1.500000,6.390000,5.500000,1.100478,20.705882,252.498941
1.500000,6.630000,5.666667,1.132024,20.716578,250.825257
1.600000,6.810000,5.833333,1.164379,20.704100,247.544885
1.500000,7.030000,6.000000,1.196026,20.711230,245.937304
1.900000,7.150000,6.166667,1.228510,20.711230,245.937304
1.400000,7.330000,6.333333,1.260048,20.700535,247.544885
1.200000,7.590000,6.500000,1.292504,20.709447,247.544885
1.300000,7.730000,6.666667,1.332531,20.718360,252.498941
1.400000,7.930000,6.833333,1.356539,20.702317,252.498941
1.400000,8.110000,7.000000,1.388158,20.702317,257.659612
1.700000,8.390000,7.166667,1.420661,20.705882,245.937304
1.500000,8.510000,7.333333,1.452165,20.713012,255.915633
1.300000,8.710000,7.500000,1.484619,20.713012,252.498941
1.500000,8.890000,7.666667,1.516220,20.707665,247.544885
1.300000,9.030000,7.833333,1.549205,20.705882,250.825257
1.500000,9.230000,8.000000,1.580941,20.704100,249.174056
1.500000,9.470000,8.166667,1.612474,20.705882,245.937304
1.400000,9.670000,8.333333,1.645038,20.705882,244.350882
1.300000,9.910000,8.500000,1.676562,20.702317,249.174056
1.400000,10.010000,8.666667,1.707995,20.709447,249.174056
1.400000,10.270000,8.833333,1.740351,20.705882,249.174056
