# Date: 20200930
# Operator: DCC
# Notes: Torque wrench used. 40 in/lb 
# Tap_cm: 5.0
# Sample: NS-110
# Fit of Tap:
#	Ic = 142 +/- 0.28 A
#	n = 84.7 +/- 8 
#	Vc = 5 uV
#	Vfloor = 1.29 +/- 0.0099 uV
#	R = 0.000258 +/- 0.00013 Ohms
Tap [uV],Shunt [A],Supply [A],Time [S],Hall [T],Cernox [K]
1.200000,0.350000,0.000000,0.040553,20.704100,247.544885
1.200000,0.490000,0.166667,0.072196,20.702317,247.544885
1.100000,0.490000,0.333333,0.104895,20.705882,254.195574
1.200000,0.770000,0.500000,0.138283,20.704100,255.915633
1.100000,0.970000,0.666667,0.170630,20.705882,252.498941
1.300000,0.990000,0.833333,0.202902,20.707665,252.498941
1.200000,1.110000,1.000000,0.234933,20.709447,255.915633
1.300000,1.290000,1.166667,0.266972,20.705882,245.937304
1.600000,1.710000,1.333333,0.298594,20.707665,249.174056
1.100000,1.950000,1.500000,0.330410,20.707665,247.544885
1.200000,2.090000,1.666667,0.362477,20.705882,247.544885
1.300000,2.330000,1.833333,0.394365,20.711230,249.174056
1.300000,2.430000,2.000000,0.426307,20.704100,250.825257
1.200000,2.610000,2.166667,0.458705,20.711230,250.825257
1.000000,2.930000,2.333333,0.490380,20.709447,249.174056
1.500000,3.010000,2.500000,0.522158,20.713012,252.498941
1.400000,3.130000,2.666667,0.552353,20.709447,250.825257
1.200000,3.350000,2.833333,0.584146,20.705882,252.498941
1.200000,3.590000,3.000000,0.616764,20.707665,252.498941
1.200000,3.750000,3.166667,0.648543,20.707665,249.174056
1.300000,3.910000,3.333333,0.680215,20.679144,245.937304
1.300000,4.070000,3.500000,0.712186,20.680927,249.174056
1.300000,4.530000,3.666667,0.745108,20.705882,242.785204
1.200000,4.470000,3.833333,0.783318,20.713012,249.174056
1.200000,4.730000,4.000000,0.808521,20.691622,250.825257
1.000000,5.070000,4.166667,0.840588,20.704100,247.544885
1.200000,5.070000,4.333333,0.872210,20.716578,249.174056
1.400000,5.250000,4.500000,0.904193,20.684492,249.174056
1.200000,5.430000,4.666667,0.936170,20.688057,250.825257
1.400000,5.630000,4.833333,0.968031,20.705882,254.195574
1.200000,5.870000,5.000000,1.000588,20.705882,250.825257
1.200000,5.990000,5.166667,1.032125,20.711230,247.544885
1.300000,6.250000,5.333333,1.064890,20.707665,250.825257
1.400000,6.410000,5.500000,1.096977,20.705882,245.937304
1.200000,6.630000,5.666667,1.128601,20.704100,244.350882
1.400000,6.790000,5.833333,1.160182,20.709447,244.350882
1.500000,7.010000,6.000000,1.192751,20.709447,249.174056
1.300000,7.210000,6.166667,1.224279,20.704100,250.825257
1.200000,7.350000,6.333333,1.258649,20.709447,249.174056
1.300000,7.570000,6.500000,1.290063,20.707665,252.498941
1.100000,7.710000,6.666667,1.323214,20.702317,252.498941
1.400000,7.990000,6.833333,1.353955,20.705882,252.498941
1.000000,8.130000,7.000000,1.389945,20.705882,252.498941
1.400000,8.370000,7.166667,1.418392,20.705882,249.174056
1.200000,8.530000,7.333333,1.450000,20.707665,245.937304
1.300000,8.730000,7.500000,1.486548,20.713012,254.195574
1.200000,8.830000,7.666667,1.514182,20.705882,247.544885
1.300000,9.170000,7.833333,1.545693,20.707665,245.937304
1.300000,9.270000,8.000000,1.578829,20.709447,247.544885
1.300000,9.470000,8.166667,1.610424,20.716578,247.544885
1.300000,9.590000,8.333333,1.641966,20.698752,250.825257
1.300000,9.850000,8.500000,1.674527,20.713012,250.825257
1.300000,10.090000,8.666667,1.707509,20.704100,252.498941
1.300000,10.230000,8.833333,1.738360,20.709447,254.195574
1.200000,10.390000,9.000000,1.769892,20.711230,252.498941
1.200000,10.530000,9.166667,1.802350,20.700535,252.498941
1.300000,10.790000,9.333333,1.833982,20.709447,252.498941
1.300000,10.950000,9.500000,1.866548,20.709447,249.174056
1.300000,11.230000,9.666667,1.898239,20.707665,249.174056
1.200000,11.370000,9.833333,1.929874,20.704100,250.825257
1.100000,11.550000,10.000000,1.962389,20.716578,245.937304
1.400000,11.770000,10.166667,1.993996,20.702317,245.937304
1.100000,11.950000,10.333333,2.026516,20.707665,247.544885
1.300000,12.150000,10.500000,2.058319,20.711230,249.174056
1.100000,12.370000,10.666667,2.090253,20.705882,252.498941
1.500000,12.510000,10.833333,2.121861,20.709447,255.915633
1.300000,12.730000,11.000000,2.154543,20.705882,254.195574
1.400000,12.850000,11.166667,2.186074,20.705882,257.659612
1.200000,13.170000,11.333333,2.218640,20.711230,252.498941
1.200000,13.310000,11.500000,2.250122,20.700535,247.544885
1.300000,13.510000,11.666667,2.300007,20.702317,247.544885
1.200000,13.610000,11.833333,2.313761,20.709447,249.174056
1.400000,13.810000,12.000000,2.346431,20.707665,247.544885
1.400000,14.090000,12.166667,2.378025,20.711230,249.174056
1.300000,14.190000,12.333333,2.410620,20.704100,250.825257
1.500000,14.510000,12.500000,2.442110,20.709447,247.544885
1.300000,14.650000,12.666667,2.474731,20.705882,252.498941
1.100000,14.790000,12.833333,2.506385,20.705882,252.498941
1.500000,15.070000,13.000000,2.537944,20.707665,252.498941
1.300000,15.230000,13.166667,2.570420,20.709447,254.195574
1.200000,15.430000,13.333333,2.602889,20.704100,249.174056
1.400000,15.570000,13.500000,2.634537,20.707665,252.498941
1.300000,15.750000,13.666667,2.666068,20.705882,252.498941
1.500000,15.990000,13.833333,2.698044,20.705882,247.544885
1.200000,16.130000,14.000000,2.730674,20.709447,252.498941
1.300000,16.450000,14.166667,2.762148,20.709447,245.937304
1.400000,16.590000,14.333333,2.793685,20.704100,245.937304
1.200000,16.770000,14.500000,2.826504,20.709447,247.544885
1.400000,16.950000,14.666667,2.858155,20.704100,247.544885
