# Date: 20201002
# Operator: DCC
# Notes: Torque wrench used. 40 in/lb 
# Tap_cm: 5.0
# Sample: MIT872-3
# Fit of Tap:
#	Ic = 61.3 +/- 1.3 A
#	n = 50 +/- 2 
#	Vc = 5 uV
#	Vfloor = 1.84 +/- 3.3e+93 uV
#	R = 7.74 +/- 1.7e+84 Ohms
Tap [uV],Shunt [A],Supply [A],Time [S],Hall [T],Cernox [K]
1.400000,0.290000,0.000000,0.070423,20.720143,245.937304
1.300000,0.350000,0.166667,0.092989,20.716578,254.195574
1.300000,0.430000,0.333333,0.106091,20.716578,249.174056
1.400000,0.710000,0.500000,0.137786,20.720143,244.350882
1.400000,0.890000,0.666667,0.169413,20.705882,242.785204
1.300000,1.130000,0.833333,0.204430,20.707665,242.785204
1.300000,1.330000,1.000000,0.234035,20.713012,247.544885
1.300000,1.450000,1.166667,0.265646,20.718360,249.174056
1.500000,1.630000,1.333333,0.297339,20.713012,244.350882
1.300000,1.850000,1.500000,0.330025,20.707665,268.655146
1.500000,2.050000,1.666667,0.361482,20.707665,255.915633
1.300000,2.250000,1.833333,0.393540,20.707665,263.040192
1.400000,2.350000,2.000000,0.425438,20.702317,250.825257
1.200000,2.630000,2.166667,0.457411,20.707665,247.544885
1.100000,2.830000,2.333333,0.489364,20.713012,244.350882
1.300000,3.050000,2.500000,0.521437,20.716578,244.350882
1.300000,3.190000,2.666667,0.561079,20.704100,250.825257
1.200000,3.410000,2.833333,0.585512,20.713012,244.350882
1.300000,3.610000,3.000000,0.617386,20.713012,236.721935
1.400000,3.790000,3.166667,0.649680,20.721925,263.040192
1.300000,3.970000,3.333333,0.681466,20.711230,249.174056
1.400000,4.070000,3.500000,0.714341,20.718360,249.174056
1.500000,4.330000,3.666667,0.745292,20.707665,250.825257
1.400000,4.530000,3.833333,0.778193,20.714795,249.174056
1.400000,4.730000,4.000000,0.811513,20.720143,250.825257
1.300000,4.810000,4.166667,0.842974,20.720143,252.498941
1.500000,5.090000,4.333333,0.875731,20.700535,254.195574
1.300000,5.290000,4.500000,0.907342,20.718360,245.937304
1.400000,5.430000,4.666667,0.939886,20.713012,250.825257
1.600000,5.630000,4.833333,0.972193,20.709447,250.825257
1.400000,5.810000,5.000000,1.003694,20.707665,242.785204
1.400000,6.030000,5.166667,1.035167,20.714795,244.350882
1.400000,6.250000,5.333333,1.067589,20.709447,245.937304
1.400000,6.410000,5.500000,1.099078,20.713012,245.937304
1.400000,6.590000,5.666667,1.131684,20.709447,245.937304
1.400000,6.770000,5.833333,1.176279,20.711230,255.915633
1.600000,7.030000,6.000000,1.195001,20.713012,255.915633
1.400000,7.190000,6.166667,1.227478,20.704100,250.825257
1.500000,7.410000,6.333333,1.258946,20.711230,252.498941
1.600000,7.610000,6.500000,1.291391,20.704100,249.174056
1.400000,7.770000,6.666667,1.323813,20.705882,247.544885
1.500000,8.010000,6.833333,1.362942,20.707665,249.174056
1.500000,8.130000,7.000000,1.387594,20.713012,244.350882
1.600000,8.430000,7.166667,1.419154,20.707665,247.544885
1.600000,8.490000,7.333333,1.452042,20.713012,244.350882
1.400000,8.710000,7.500000,1.483548,20.711230,252.498941
1.200000,8.870000,7.666667,1.515182,20.711230,250.825257
1.300000,9.130000,7.833333,1.547855,20.709447,250.825257
1.300000,9.250000,8.000000,1.579255,20.711230,247.544885
1.400000,9.490000,8.166667,1.611860,20.709447,252.498941
1.300000,9.630000,8.333333,1.643494,20.713012,250.825257
1.300000,9.910000,8.500000,1.675124,20.704100,252.498941
1.400000,10.010000,8.666667,1.707606,20.713012,247.544885
1.500000,10.250000,8.833333,1.739110,20.709447,252.498941
1.600000,10.450000,9.000000,1.777463,20.707665,252.498941
1.400000,10.590000,9.166667,1.803109,20.714795,247.544885
1.400000,10.810000,9.333333,1.835540,20.707665,244.350882
1.500000,10.930000,9.500000,1.867041,20.709447,239.714457
1.400000,11.190000,9.666667,1.899698,20.709447,244.350882
1.500000,11.430000,9.833333,1.931269,20.711230,250.825257
1.300000,11.610000,10.000000,1.963584,20.704100,244.350882
1.400000,11.790000,10.166667,1.995184,20.705882,250.825257
1.500000,11.990000,10.333333,2.027643,20.707665,250.825257
1.700000,12.170000,10.500000,2.066457,20.704100,242.785204
1.400000,12.350000,10.666667,2.091824,20.716578,250.825257
1.300000,12.510000,10.833333,2.123546,20.707665,250.825257
1.300000,12.730000,11.000000,2.163143,20.704100,247.544885
1.400000,12.930000,11.166667,2.187719,20.709447,247.544885
1.500000,13.150000,11.333333,2.219276,20.704100,241.239861
