# Date: 20201002
# Operator: DCC
# Notes: Torque wrench used. 40 in/lb 
# Tap_cm: 5.0
# Sample: MIT872-3
# Fit of Tap:
#	Ic = 0.106 +/- 0.84 A
#	n = 10.3 +/- 2e+02 
#	Vc = 5 uV
#	Vfloor = 1.43 +/- 5.5e+35 uV
#	R = 6.99 +/- 3.6e+39 Ohms
Tap [uV],Shunt [A],Supply [A],Time [S],Hall [T],Cernox [K]
1.300000,0.030000,0.000000,0.060595,20.702317,252.498941
1.400000,-0.070000,0.166667,0.075294,20.709447,250.825257
1.200000,-0.010000,0.333333,0.106995,20.721925,245.937304
1.400000,-0.030000,0.500000,0.139617,20.716578,244.350882
1.400000,-0.010000,0.666667,0.171206,20.705882,245.937304
1.200000,-0.070000,0.833333,0.209631,20.704100,250.825257
1.400000,0.010000,1.000000,0.235257,20.718360,247.544885
1.300000,-0.050000,1.166667,0.266803,20.714795,252.498941
1.200000,-0.030000,1.333333,0.299355,20.713012,250.825257
1.300000,0.010000,1.500000,0.330893,20.714795,252.498941
1.300000,-0.030000,1.666667,0.363567,20.711230,252.498941
1.200000,-0.050000,1.833333,0.398237,20.707665,252.498941
1.200000,-0.030000,2.000000,0.426850,20.709447,245.937304
1.400000,0.030000,2.166667,0.459428,20.707665,250.825257
1.300000,-0.050000,2.333333,0.491007,20.711230,245.937304
1.400000,-0.050000,2.500000,0.522991,20.718360,242.785204
1.300000,-0.050000,2.666667,0.555827,20.711230,244.350882
1.400000,-0.010000,2.833333,0.586993,20.714795,244.350882
1.300000,-0.050000,3.000000,0.618982,20.713012,250.825257
1.300000,-0.010000,3.166667,0.650955,20.711230,247.544885
1.300000,-0.010000,3.333333,0.683034,20.705882,250.825257
1.400000,-0.070000,3.500000,0.716710,20.721925,250.825257
1.400000,-0.010000,3.666667,0.749071,20.713012,249.174056
1.300000,-0.030000,3.833333,0.781016,20.714795,252.498941
1.400000,-0.070000,4.000000,0.820660,20.709447,242.785204
1.200000,-0.070000,4.166667,0.845204,20.709447,247.544885
1.300000,-0.050000,4.333333,0.877097,20.705882,247.544885
1.600000,-0.050000,4.500000,0.909081,20.721925,247.544885
1.500000,-0.030000,4.666667,0.941040,20.716578,244.350882
1.400000,-0.050000,4.833333,0.972996,20.714795,245.937304
1.400000,-0.010000,5.000000,1.005012,20.707665,244.350882
