# Date: 20201002
# Operator: DCC
# Notes: Torque wrench used. 40 in/lb 
# Tap_cm: 5.0
# Sample: MIT872-3
# Fit of Tap:
#	Ic = 621 A
#	n = 50 
#	Vc = 5 uV
#	Vfloor = 1.21 uV
#	R = 0.841 Ohms
Tap [uV],Shunt [A],Supply [A],Time [S],Hall [T],Cernox [K]
1.100000,-0.010000,0.000000,0.039945,20.716578,254.195574
1.300000,-0.010000,0.166667,0.071578,20.704100,250.825257
1.300000,0.030000,0.333333,0.104154,20.713012,255.915633
1.200000,-0.030000,0.500000,0.135817,20.711230,250.825257
1.500000,-0.010000,0.666667,0.168423,20.713012,249.174056
1.300000,-0.010000,0.833333,0.204373,20.714795,252.498941
1.400000,-0.050000,1.000000,0.232031,20.716578,244.350882
1.300000,-0.050000,1.166667,0.263618,20.711230,242.785204
1.100000,-0.010000,1.333333,0.296433,20.714795,245.937304
1.600000,-0.050000,1.500000,0.328103,20.705882,250.825257
1.300000,-0.030000,1.666667,0.359710,20.711230,242.785204
1.200000,-0.030000,1.833333,0.392393,20.709447,245.937304
0.900000,0.030000,2.000000,0.424188,20.714795,249.174056
1.100000,-0.010000,2.166667,0.455786,20.716578,252.498941
1.500000,-0.030000,2.333333,0.488318,20.711230,249.174056
1.300000,-0.050000,2.500000,0.519916,20.720143,255.915633
1.400000,-0.030000,2.666667,0.551528,20.713012,247.544885
1.300000,-0.010000,2.833333,0.584079,20.714795,249.174056
1.200000,-0.370000,3.000000,0.615838,20.716578,247.544885
1.300000,-0.030000,3.166667,0.647522,20.713012,239.714457
1.400000,-0.030000,3.333333,0.680111,20.723708,247.544885
1.400000,-0.070000,3.500000,0.711684,20.702317,244.350882
1.200000,-0.030000,3.666667,0.745889,20.709447,241.239861
1.300000,-0.030000,3.833333,0.777426,20.720143,245.937304
1.400000,-0.170000,4.000000,0.820804,20.716578,252.498941
1.200000,-0.050000,4.166667,0.841584,20.707665,247.544885
1.300000,-0.030000,4.333333,0.874287,20.711230,249.174056
1.300000,-0.050000,4.500000,0.905838,20.714795,254.195574
1.500000,-0.070000,4.666667,0.937378,20.716578,249.174056
1.300000,-0.070000,4.833333,0.969874,20.714795,249.174056
1.300000,-0.030000,5.000000,1.004827,20.716578,250.825257
1.500000,-0.030000,5.166667,1.033510,20.714795,252.498941
1.500000,-0.030000,5.333333,1.066033,20.711230,249.174056
1.100000,-0.010000,5.500000,1.108982,20.707665,245.937304
1.400000,-0.030000,5.666667,1.129533,20.716578,244.350882
1.300000,-0.010000,5.833333,1.162233,20.705882,241.239861
