# Date: 20201002
# Operator: DCC
# Notes:
#	
#	Torque wrench used. 40 in/lb 
# Tap_cm: 5.0
# Sample: MIT232-1
# Fit of Tap:
#	Ic = 163 +/- 0.042 A
#	n = 28.4 +/- 0.2 
#	Vc = 5 uV
#	Vfloor = 1.58 +/- 0.015 uV
#	R = 0.00022 +/- 0.00018 Ohms
Tap [uV],Shunt [A],Supply [A],Time [S],Hall [T],Cernox [K]
1.600000,0.250000,0.000000,0.118269,20.709447,249.174056
1.300000,0.310000,0.166667,0.149653,20.707665,252.498941
1.500000,0.510000,0.333333,0.183505,20.711230,250.825257
1.500000,0.730000,0.500000,0.216230,20.721925,249.174056
1.400000,0.910000,0.666667,0.248263,20.707665,249.174056
1.200000,1.070000,0.833333,0.279170,20.705882,247.544885
1.400000,1.250000,1.000000,0.311972,20.711230,249.174056
1.500000,1.450000,1.166667,0.343631,20.707665,244.350882
1.400000,1.650000,1.333333,0.375452,20.711230,241.239861
1.400000,1.850000,1.500000,0.407408,20.702317,249.174056
1.300000,2.030000,1.666667,0.439235,20.702317,249.174056
1.300000,2.230000,1.833333,0.472016,20.713012,249.174056
1.500000,2.450000,2.000000,0.503924,20.709447,249.174056
1.400000,2.590000,2.166667,0.535838,20.705882,249.174056
1.500000,2.810000,2.333333,0.567703,20.705882,247.544885
1.400000,3.030000,2.500000,0.599652,20.714795,249.174056
1.400000,3.210000,2.666667,0.631649,20.711230,245.937304
1.400000,3.290000,2.833333,0.664406,20.709447,241.239861
1.400000,3.650000,3.000000,0.695608,20.709447,249.174056
1.500000,3.790000,3.166667,0.729857,20.713012,247.544885
1.400000,3.910000,3.333333,0.762151,20.707665,247.544885
1.500000,4.090000,3.500000,0.793837,20.709447,244.350882
1.400000,4.370000,3.666667,0.825972,20.707665,245.937304
1.400000,4.490000,3.833333,0.858024,20.709447,244.350882
1.300000,4.730000,4.000000,0.890028,20.709447,249.174056
1.200000,4.850000,4.166667,0.922566,20.704100,247.544885
1.600000,5.030000,4.333333,0.953911,20.711230,250.825257
1.500000,5.250000,4.500000,0.986167,20.702317,250.825257
1.500000,5.510000,4.666667,1.017463,20.707665,250.825257
1.400000,5.610000,4.833333,1.047555,20.700535,245.937304
1.500000,5.850000,5.000000,1.079359,20.718360,250.825257
1.500000,6.010000,5.166667,1.111149,20.711230,242.785204
1.600000,6.250000,5.333333,1.143919,20.705882,242.785204
1.200000,6.450000,5.500000,1.176210,20.709447,245.937304
1.600000,6.650000,5.666667,1.208052,20.713012,245.937304
1.500000,6.870000,5.833333,1.245050,20.713012,245.937304
1.600000,7.050000,6.000000,1.271567,20.707665,249.174056
1.200000,7.190000,6.166667,1.303380,20.704100,250.825257
1.300000,7.390000,6.333333,1.335178,20.713012,254.195574
1.500000,7.590000,6.500000,1.367646,20.711230,250.825257
1.600000,7.670000,6.666667,1.399467,20.709447,252.498941
1.400000,7.970000,6.833333,1.431245,20.707665,245.937304
1.400000,8.170000,7.000000,1.463473,20.709447,249.174056
1.400000,8.390000,7.166667,1.495375,20.709447,236.721935
1.700000,8.530000,7.333333,1.527281,20.707665,244.350882
1.500000,8.730000,7.500000,1.559529,20.711230,244.350882
1.700000,8.890000,7.666667,1.591429,20.696970,247.544885
1.700000,9.070000,7.833333,1.623230,20.713012,247.544885
1.500000,9.210000,8.000000,1.656008,20.702317,249.174056
1.400000,9.510000,8.166667,1.687778,20.707665,247.544885
1.400000,9.570000,8.333333,1.719558,20.707665,254.195574
1.500000,9.850000,8.500000,1.753680,20.713012,254.195574
1.700000,10.050000,8.666667,1.785808,20.714795,250.825257
1.600000,10.250000,8.833333,1.817840,20.716578,245.937304
1.300000,10.470000,9.000000,1.850415,20.709447,250.825257
1.400000,10.550000,9.166667,1.881279,20.709447,245.937304
1.900000,10.830000,9.333333,1.913328,20.705882,252.498941
1.400000,11.010000,9.500000,1.946128,20.707665,247.544885
1.500000,11.230000,9.666667,1.977286,20.714795,242.785204
1.700000,11.410000,9.833333,2.009497,20.704100,241.239861
1.700000,11.650000,10.000000,2.041598,20.713012,242.785204
1.300000,11.870000,10.166667,2.073621,20.705882,247.544885
1.600000,11.930000,10.333333,2.105625,20.707665,247.544885
1.600000,12.150000,10.500000,2.161080,20.702317,244.350882
1.700000,12.190000,10.666667,2.170154,20.711230,257.659612
1.700000,12.530000,10.833333,2.202203,20.709447,254.195574
1.500000,12.670000,11.000000,2.233295,20.700535,250.825257
1.400000,12.930000,11.166667,2.265521,20.713012,247.544885
1.600000,13.070000,11.333333,2.297639,20.707665,250.825257
1.700000,13.270000,11.500000,2.329652,20.707665,245.937304
1.400000,13.470000,11.666667,2.361701,20.711230,247.544885
1.600000,13.710000,11.833333,2.393783,20.705882,244.350882
1.500000,13.770000,12.000000,2.426244,20.707665,244.350882
1.700000,14.050000,12.166667,2.457894,20.709447,244.350882
1.500000,14.250000,12.333333,2.489991,20.705882,249.174056
1.300000,14.450000,12.500000,2.522237,20.705882,247.544885
1.400000,14.590000,12.666667,2.554290,20.711230,250.825257
1.600000,14.850000,12.833333,2.585356,20.711230,245.937304
1.500000,15.050000,13.000000,2.617376,20.713012,255.915633
1.400000,15.250000,13.166667,2.649481,20.702317,244.350882
1.400000,15.410000,13.333333,2.681516,20.704100,254.195574
1.600000,15.590000,13.500000,2.713532,20.702317,247.544885
1.500000,15.870000,13.666667,2.761290,20.707665,245.937304
1.600000,15.950000,13.833333,2.777490,20.709447,244.350882
1.600000,16.130000,14.000000,2.809505,20.707665,245.937304
1.600000,16.370000,14.166667,2.841512,20.709447,244.350882
1.500000,16.570000,14.333333,2.873507,20.709447,249.174056
1.300000,16.790000,14.500000,2.905482,20.705882,249.174056
1.500000,16.950000,14.666667,2.945549,20.709447,242.785204
1.400000,17.210000,14.833333,2.969624,20.709447,252.498941
1.600000,17.270000,15.000000,3.001896,20.709447,250.825257
1.700000,17.490000,15.166667,3.034069,20.707665,249.174056
1.600000,17.710000,15.333333,3.065519,20.702317,244.350882
1.600000,17.890000,15.500000,3.097627,20.698752,247.544885
1.600000,18.050000,15.666667,3.129633,20.707665,241.239861
