# Date: 20201009
# Operator: DCC
# Notes: Torque wrench used. 40 in-lbf 
# Tap_cm: 5.0
# Sample: MIT1052/spl5
Tap [uV],Shunt [A],Supply [A],Time [S],Hall [T],Cernox [K]
-4.600000,0.010000,0.000000,0.046704,20.720143,247.544885
-5.100000,-0.030000,0.166667,0.076031,20.720143,247.544885
-4.900000,-0.010000,0.333333,0.108141,20.709447,250.825257
-5.200000,-0.050000,0.500000,0.140083,20.704100,254.195574
-5.100000,-0.010000,0.666667,0.171958,20.713012,252.498941
-4.900000,-0.030000,0.833333,0.203846,20.718360,254.195574
-5.000000,-0.010000,1.000000,0.235942,20.716578,254.195574
-4.900000,-0.030000,1.166667,0.267987,20.713012,252.498941
-4.900000,-0.010000,1.333333,0.299635,20.716578,250.825257
-5.000000,0.010000,1.500000,0.332223,20.720143,249.174056
-4.900000,-0.050000,1.666667,0.363777,20.720143,249.174056
-4.800000,0.010000,1.833333,0.404073,20.716578,254.195574
-4.900000,-0.030000,2.000000,0.428308,20.714795,249.174056
-4.900000,-0.030000,2.166667,0.459651,20.720143,254.195574
-4.800000,-0.050000,2.333333,0.492247,20.716578,250.825257
-5.200000,-0.010000,2.500000,0.524062,20.714795,254.195574
-5.000000,-0.030000,2.666667,0.555958,20.707665,254.195574
-4.800000,0.010000,2.833333,0.587976,20.718360,259.428015
-4.900000,0.030000,3.000000,0.619680,20.711230,255.915633
-5.100000,-0.090000,3.166667,0.652064,20.718360,250.825257
-4.900000,-0.010000,3.333333,0.683666,20.711230,252.498941
-4.800000,-0.010000,3.500000,0.715851,20.721925,252.498941
-5.100000,-0.030000,3.666667,0.749333,20.711230,238.208608
-4.800000,-0.050000,3.833333,0.782078,20.714795,247.544885
-4.900000,-0.050000,4.000000,0.813621,20.709447,245.937304
-4.900000,0.010000,4.166667,0.846188,20.711230,250.825257
-5.000000,0.010000,4.333333,0.878224,20.711230,247.544885
-4.800000,-0.050000,4.500000,0.909797,20.707665,250.825257
-5.200000,0.030000,4.666667,0.941380,20.709447,254.195574
-4.900000,-0.070000,4.833333,0.973850,20.714795,254.195574
-4.700000,-0.070000,5.000000,1.010666,20.713012,252.498941
-4.800000,-0.030000,5.166667,1.038519,20.709447,259.428015
-4.800000,-0.010000,5.333333,1.069665,20.718360,257.659612
-4.700000,-0.050000,5.500000,1.102238,20.718360,252.498941
-4.800000,-0.050000,5.666667,1.134170,20.713012,250.825257
-5.000000,-0.010000,5.833333,1.165812,20.707665,252.498941
-5.000000,-0.030000,6.000000,1.197400,20.713012,249.174056
-4.800000,-0.030000,6.166667,1.229929,20.705882,250.825257
-4.700000,0.010000,6.333333,1.261515,20.707665,249.174056
-4.800000,0.010000,6.500000,1.293585,20.713012,247.544885
-4.600000,-0.010000,6.666667,1.325758,20.709447,247.544885
-4.900000,-0.070000,6.833333,1.357369,20.716578,255.915633
-4.900000,0.010000,7.000000,1.389884,20.711230,257.659612
-5.000000,-0.010000,7.166667,1.421377,20.711230,257.659612
-5.000000,-0.090000,7.333333,1.453835,20.714795,257.659612
-4.900000,-0.030000,7.500000,1.485952,20.714795,252.498941
-4.700000,-0.030000,7.666667,1.517648,20.713012,247.544885
-4.900000,-0.050000,7.833333,1.549306,20.709447,254.195574
-5.000000,-0.030000,8.000000,1.582091,20.714795,247.544885
-4.800000,-0.070000,8.166667,1.614337,20.718360,247.544885
-4.800000,-0.010000,8.333333,1.646022,20.714795,247.544885
-4.700000,-0.030000,8.500000,1.677574,20.709447,254.195574
-5.000000,-0.030000,8.666667,1.709699,20.714795,254.195574
-4.900000,-0.070000,8.833333,1.741311,20.713012,254.195574
-4.900000,0.010000,9.000000,1.773936,20.713012,257.659612
-5.000000,-0.050000,9.166667,1.805775,20.713012,259.428015
-4.700000,0.010000,9.333333,1.837359,20.713012,255.915633
-5.100000,-0.030000,9.500000,1.869834,20.716578,252.498941
-4.900000,-0.010000,9.666667,1.915236,20.711230,245.937304
-4.600000,-0.030000,9.833333,1.933939,20.718360,250.825257
-4.800000,-0.030000,10.000000,1.965434,20.716578,245.937304
-4.700000,-0.050000,10.166667,1.997917,20.714795,245.937304
-4.900000,-0.010000,10.333333,2.029578,20.714795,245.937304
-4.900000,-0.030000,10.500000,2.062192,20.713012,249.174056
-4.900000,0.010000,10.666667,2.093723,20.713012,252.498941
-4.800000,-0.030000,10.833333,2.125802,20.702317,249.174056
-4.900000,0.010000,11.000000,2.157448,20.713012,250.825257
