# Date: 20201012
# Operator: DCC
# Notes:  15 in/lb on each nut
# Tap_cm: 5.0
# Sample: MIT1052/spl4-2
Tap [uV],Shunt [A],Supply [A],Time [S],Hall [T],Cernox [K]
1.100000,0.290000,0.000000,0.065782,20.707665,247.544885
1.200000,0.330000,0.166667,0.094878,20.705882,252.498941
1.000000,0.510000,0.333333,0.104254,20.711230,245.937304
0.800000,0.750000,0.500000,0.136162,20.714795,245.937304
1.000000,0.870000,0.666667,0.168979,20.707665,250.825257
1.200000,1.130000,0.833333,0.204474,20.693405,249.174056
1.100000,1.290000,1.000000,0.232380,20.714795,249.174056
1.100000,1.450000,1.166667,0.264882,20.711230,249.174056
1.200000,1.630000,1.333333,0.297347,20.707665,249.174056
1.200000,1.850000,1.500000,0.328947,20.714795,255.915633
1.000000,2.070000,1.666667,0.360992,20.711230,255.915633
1.300000,2.270000,1.833333,0.394156,20.714795,252.498941
1.200000,2.410000,2.000000,0.424933,20.704100,252.498941
1.200000,2.590000,2.166667,0.456875,20.707665,249.174056
1.200000,2.810000,2.333333,0.488846,20.711230,254.195574
1.100000,2.990000,2.500000,0.520810,20.709447,247.544885
1.400000,3.170000,2.666667,0.552788,20.709447,245.937304
1.100000,3.390000,2.833333,0.585073,20.711230,245.937304
1.000000,3.530000,3.000000,0.617046,20.707665,244.350882
1.200000,3.690000,3.166667,0.649196,20.714795,249.174056
1.100000,3.970000,3.333333,0.680906,20.709447,249.174056
1.200000,4.150000,3.500000,0.712826,20.711230,257.659612
1.200000,4.350000,3.666667,0.744642,20.707665,255.915633
1.100000,4.470000,3.833333,0.776903,20.704100,252.498941
0.900000,4.730000,4.000000,0.810654,20.714795,255.915633
0.800000,4.910000,4.166667,0.842730,20.705882,255.915633
0.500000,5.090000,4.333333,0.875035,20.705882,247.544885
0.200000,5.270000,4.500000,0.907156,20.713012,247.544885
0.300000,5.430000,4.666667,0.938907,20.720143,241.239861
0.400000,5.670000,4.833333,0.975527,20.705882,254.195574
0.500000,5.870000,5.000000,1.003525,20.714795,244.350882
0.600000,5.970000,5.166667,1.035172,20.707665,241.239861
0.400000,6.230000,5.333333,1.067179,20.713012,244.350882
0.200000,6.450000,5.500000,1.099297,20.716578,245.937304
0.400000,6.630000,5.666667,1.131392,20.714795,249.174056
0.600000,6.870000,5.833333,1.162973,20.711230,245.937304
0.500000,7.010000,6.000000,1.194859,20.716578,245.937304
0.800000,7.170000,6.166667,1.226908,20.707665,247.544885
0.700000,7.370000,6.333333,1.259069,20.705882,244.350882
1.100000,7.570000,6.500000,1.290898,20.709447,245.937304
1.000000,7.730000,6.666667,1.322886,20.711230,242.785204
0.900000,7.970000,6.833333,1.355045,20.720143,245.937304
1.100000,8.110000,7.000000,1.387360,20.705882,254.195574
0.900000,8.350000,7.166667,1.419700,20.707665,257.659612
0.800000,8.450000,7.333333,1.451321,20.705882,250.825257
1.000000,8.710000,7.500000,1.483365,20.709447,255.915633
1.000000,8.930000,7.666667,1.515312,20.704100,255.915633
1.100000,9.130000,7.833333,1.566279,20.709447,250.825257
1.300000,9.210000,8.000000,1.578566,20.707665,255.915633
1.100000,9.410000,8.166667,1.611229,20.705882,257.659612
1.100000,9.670000,8.333333,1.642623,20.711230,254.195574
1.000000,9.870000,8.500000,1.675229,20.707665,255.915633
1.100000,10.070000,8.666667,1.707354,20.713012,261.221364
1.200000,10.310000,8.833333,1.739368,20.713012,252.498941
0.900000,10.430000,9.000000,1.771201,20.711230,250.825257
1.100000,10.590000,9.166667,1.803326,20.714795,254.195574
1.100000,10.790000,9.333333,1.835291,20.702317,249.174056
1.300000,11.010000,9.500000,1.867112,20.709447,249.174056
0.900000,11.250000,9.666667,1.899452,20.714795,249.174056
1.100000,11.370000,9.833333,1.930618,20.709447,249.174056
1.000000,11.630000,10.000000,1.963181,20.705882,255.915633
1.300000,11.830000,10.166667,1.994309,20.709447,257.659612
1.200000,12.050000,10.333333,2.026431,20.714795,252.498941
0.900000,12.190000,10.500000,2.058587,20.714795,252.498941
1.000000,12.330000,10.666667,2.090831,20.709447,249.174056
1.300000,12.550000,10.833333,2.123138,20.709447,252.498941
1.000000,12.770000,11.000000,2.166510,20.711230,249.174056
1.100000,12.910000,11.166667,2.186800,20.718360,244.350882
1.000000,13.110000,11.333333,2.218840,20.707665,247.544885
1.000000,13.310000,11.500000,2.250914,20.700535,249.174056
0.900000,13.490000,11.666667,2.283005,20.707665,252.498941
0.700000,13.670000,11.833333,2.315097,20.709447,249.174056
1.100000,13.850000,12.000000,2.351760,20.700535,249.174056
1.200000,14.070000,12.166667,2.379346,20.709447,261.221364
1.100000,14.210000,12.333333,2.410682,20.709447,255.915633
1.000000,14.470000,12.500000,2.454950,20.709447,247.544885
1.100000,14.610000,12.666667,2.474954,20.711230,252.498941
1.200000,14.790000,12.833333,2.507197,20.718360,249.174056
1.100000,15.070000,13.000000,2.538437,20.711230,250.825257
0.900000,15.210000,13.166667,2.571138,20.716578,245.937304
1.300000,15.390000,13.333333,2.602383,20.713012,244.350882
1.200000,15.650000,13.500000,2.635171,20.714795,249.174056
1.200000,15.870000,13.666667,2.666306,20.711230,247.544885
1.100000,15.990000,13.833333,2.698432,20.709447,250.825257
1.200000,16.150000,14.000000,2.730513,20.711230,254.195574
1.000000,16.410000,14.166667,2.765279,20.714795,250.825257
1.000000,16.510000,14.333333,2.794628,20.713012,257.659612
1.100000,16.770000,14.500000,2.826726,20.705882,252.498941
1.100000,16.970000,14.666667,2.858935,20.718360,250.825257
1.100000,17.210000,14.833333,2.891129,20.709447,249.174056
1.000000,17.270000,15.000000,2.922290,20.713012,250.825257
1.100000,17.470000,15.166667,2.955303,20.709447,250.825257
1.400000,17.710000,15.333333,2.986437,20.707665,247.544885
1.100000,17.910000,15.500000,3.018543,20.713012,245.937304
1.300000,18.070000,15.666667,3.055211,20.709447,249.174056
1.100000,18.290000,15.833333,3.083297,20.713012,249.174056
0.900000,18.470000,16.000000,3.114700,20.707665,249.174056
1.200000,18.690000,16.166667,3.152002,20.713012,247.544885
1.300000,18.950000,16.333333,3.179218,20.709447,254.195574
1.400000,19.010000,16.500000,3.210295,20.711230,249.174056
1.000000,19.310000,16.666667,3.242860,20.707665,254.195574
1.100000,19.410000,16.833333,3.275087,20.709447,252.498941
