# Date: 20201013
# Operator: DCC&JLC
# Notes: sample 1 15 in/lb on each nut
# Tap_cm: 5.0
# Sample: sample 1
# Fit of Tap:
#	Ic = 102 +/- 0.069 A
#	n = 37.6 +/- 1.3 
#	Vc = 5 uV
#	Vfloor = 1.44 +/- 0.015 uV
#	R = 0.000833 +/- 0.00028 Ohms
Tap [uV],Shunt [A],Supply [A],Time [S],Hall [T],Cernox [K]
1.300000,0.330000,0.000000,0.044421,20.709447,250.825257
1.300000,0.390000,0.166667,0.075264,20.711230,245.937304
1.300000,0.590000,0.333333,0.106930,20.711230,244.350882
1.300000,0.710000,0.500000,0.138493,20.709447,252.498941
1.400000,0.930000,0.666667,0.171045,20.702317,249.174056
1.400000,1.130000,0.833333,0.215776,20.713012,255.915633
1.200000,1.210000,1.000000,0.234469,20.707665,254.195574
1.300000,1.490000,1.166667,0.266952,20.705882,254.195574
1.100000,1.670000,1.333333,0.298889,20.714795,254.195574
1.300000,1.850000,1.500000,0.330816,20.709447,252.498941
1.400000,2.030000,1.666667,0.362824,20.704100,250.825257
1.400000,2.290000,1.833333,0.395260,20.709447,235.254074
1.300000,2.430000,2.000000,0.427286,20.702317,236.721935
1.500000,2.650000,2.166667,0.459418,20.698752,228.184748
1.300000,2.810000,2.333333,0.490821,20.709447,249.174056
1.400000,2.950000,2.500000,0.522791,20.713012,252.498941
1.400000,3.170000,2.666667,0.554897,20.702317,250.825257
1.200000,3.370000,2.833333,0.586900,20.716578,250.825257
1.300000,3.570000,3.000000,0.618906,20.709447,257.659612
1.500000,3.770000,3.166667,0.650492,20.711230,252.498941
1.200000,3.950000,3.333333,0.683102,20.716578,257.659612
1.400000,4.090000,3.500000,0.714807,20.709447,255.915633
1.300000,4.330000,3.666667,0.746420,20.711230,252.498941
1.400000,4.490000,3.833333,0.780633,20.705882,249.174056
1.200000,4.710000,4.000000,0.827339,20.714795,245.937304
1.300000,4.810000,4.166667,0.845148,20.709447,250.825257
1.200000,5.010000,4.333333,0.876643,20.711230,250.825257
1.400000,5.270000,4.500000,0.908220,20.704100,247.544885
1.300000,5.410000,4.666667,0.940854,20.707665,244.350882
1.200000,5.630000,4.833333,0.972430,20.704100,254.195574
1.300000,5.890000,5.000000,1.013208,20.709447,250.825257
