# Date: 20201013
# Operator: DCC&JLC
# Notes: sample 3 15 in/lb on each nut
# Tap_cm: 5.0
# Sample: sample 3
# Fit of Tap:
#	Ic = 70.4 +/- 0.77 A
#	n = 50 +/- 1.2 
#	Vc = 5 uV
#	Vfloor = 0.804 +/- 7.8e+54 uV
#	R = 4.91 +/- 2.8e+46 Ohms
Tap [uV],Shunt [A],Supply [A],Time [S],Hall [T],Cernox [K]
0.800000,0.230000,0.000000,0.024288,20.707665,254.195574
0.800000,0.330000,0.083333,0.040121,20.709447,255.915633
1.200000,0.550000,0.166667,0.055897,20.713012,254.195574
1.100000,0.470000,0.250000,0.076547,20.714795,255.915633
0.900000,0.610000,0.333333,0.088933,20.714795,250.825257
1.000000,0.550000,0.416667,0.104901,20.713012,257.659612
1.000000,0.710000,0.500000,0.120749,20.711230,254.195574
0.900000,0.810000,0.583333,0.136522,20.709447,252.498941
1.000000,0.930000,0.666667,0.152307,20.711230,254.195574
1.200000,1.010000,0.750000,0.168108,20.713012,252.498941
1.100000,1.090000,0.833333,0.183887,20.711230,245.937304
1.100000,0.890000,0.916667,0.200691,20.702317,250.825257
1.000000,1.250000,1.000000,0.216523,20.705882,242.785204
0.700000,1.330000,1.083333,0.232052,20.713012,247.544885
1.100000,1.470000,1.166667,0.247869,20.709447,245.937304
1.300000,1.570000,1.250000,0.264649,20.718360,249.174056
0.900000,1.670000,1.333333,0.280483,20.704100,245.937304
1.100000,1.710000,1.416667,0.296256,20.718360,244.350882
1.200000,1.770000,1.500000,0.312037,20.713012,254.195574
0.800000,1.890000,1.583333,0.328279,20.713012,250.825257
1.100000,1.910000,1.666667,0.344252,20.713012,250.825257
1.000000,2.090000,1.750000,0.360242,20.718360,249.174056
0.900000,2.190000,1.833333,0.376243,20.709447,249.174056
1.000000,2.330000,1.916667,0.392241,20.707665,254.195574
0.900000,2.290000,2.000000,0.408249,20.707665,255.915633
0.900000,2.430000,2.083333,0.424414,20.711230,257.659612
1.000000,2.590000,2.166667,0.440294,20.711230,244.350882
1.000000,2.650000,2.250000,0.456818,20.700535,259.428015
1.200000,2.770000,2.333333,0.472646,20.707665,252.498941
1.100000,2.890000,2.416667,0.488066,20.713012,257.659612
1.200000,2.990000,2.500000,0.504119,20.714795,255.915633
1.000000,3.110000,2.583333,0.520229,20.707665,252.498941
0.900000,3.130000,2.666667,0.536204,20.705882,250.825257
0.900000,3.250000,2.750000,0.552345,20.707665,249.174056
1.000000,3.370000,2.833333,0.568102,20.713012,250.825257
1.100000,3.430000,2.916667,0.584093,20.727273,249.174056
1.000000,3.550000,3.000000,0.600229,20.714795,245.937304
1.000000,3.610000,3.083333,0.616138,20.711230,252.498941
0.800000,3.710000,3.166667,0.632154,20.705882,249.174056
1.000000,3.750000,3.250000,0.648446,20.713012,249.174056
1.000000,3.950000,3.333333,0.664134,20.709447,245.937304
1.100000,3.990000,3.416667,0.680565,20.709447,244.350882
1.100000,4.130000,3.500000,0.696894,20.713012,247.544885
1.100000,4.210000,3.583333,0.712778,20.711230,245.937304
1.000000,4.270000,3.666667,0.728569,20.711230,252.498941
1.100000,4.370000,3.750000,0.744378,20.705882,249.174056
0.900000,4.530000,3.833333,0.760199,20.716578,249.174056
1.000000,4.650000,3.916667,0.776014,20.707665,252.498941
1.200000,4.730000,4.000000,0.792804,20.709447,250.825257
1.000000,4.790000,4.083333,0.808602,20.709447,254.195574
1.100000,4.850000,4.166667,0.824421,20.711230,255.915633
1.300000,4.970000,4.250000,0.840359,20.705882,255.915633
1.300000,5.090000,4.333333,0.856584,20.705882,254.195574
1.200000,5.110000,4.416667,0.872388,20.707665,255.915633
0.900000,5.210000,4.500000,0.888157,20.711230,255.915633
1.100000,5.370000,4.583333,0.903911,20.702317,255.915633
1.000000,5.490000,4.666667,0.920675,20.700535,254.195574
0.900000,5.490000,4.750000,0.936438,20.705882,250.825257
1.100000,5.590000,4.833333,0.952200,20.714795,250.825257
1.100000,5.710000,4.916667,0.976934,20.711230,249.174056
1.200000,5.770000,5.000000,0.984198,20.707665,244.350882
1.100000,5.930000,5.083333,1.000181,20.700535,245.937304
1.000000,5.970000,5.166667,1.016092,20.704100,249.174056
0.900000,6.050000,5.250000,1.032157,20.714795,245.937304
1.000000,6.190000,5.333333,1.048039,20.714795,242.785204
1.200000,6.310000,5.416667,1.066028,20.707665,250.825257
1.000000,6.370000,5.500000,1.080219,20.714795,247.544885
1.100000,6.510000,5.583333,1.096261,20.704100,247.544885
1.100000,6.610000,5.666667,1.112114,20.705882,249.174056
1.300000,6.650000,5.750000,1.128046,20.713012,250.825257
1.100000,6.730000,5.833333,1.144061,20.707665,250.825257
1.000000,6.890000,5.916667,1.159884,20.709447,252.498941
0.900000,6.950000,6.000000,1.176679,20.700535,250.825257
0.800000,7.090000,6.083333,1.192463,20.713012,252.498941
1.000000,7.190000,6.166667,1.208245,20.716578,252.498941
1.100000,7.230000,6.250000,1.224018,20.713012,254.195574
1.300000,7.350000,6.333333,1.240799,20.711230,255.915633
1.100000,7.430000,6.416667,1.256575,20.705882,252.498941
1.000000,7.590000,6.500000,1.281615,20.709447,247.544885
1.100000,7.610000,6.583333,1.288420,20.709447,255.915633
1.000000,7.690000,6.666667,1.304159,20.711230,255.915633
1.100000,7.790000,6.750000,1.319932,20.707665,249.174056
1.200000,8.110000,6.833333,1.336757,20.709447,250.825257
0.900000,8.010000,6.916667,1.352609,20.702317,249.174056
1.100000,8.130000,7.000000,1.368397,20.705882,247.544885
1.200000,8.190000,7.083333,1.384153,20.714795,250.825257
1.100000,8.350000,7.166667,1.399921,20.705882,247.544885
1.100000,8.070000,7.250000,1.418185,20.709447,255.915633
1.100000,8.510000,7.333333,1.434318,20.709447,249.174056
1.000000,8.470000,7.416667,1.450520,20.713012,247.544885
1.200000,8.670000,7.500000,1.466619,20.704100,242.785204
1.200000,8.750000,7.583333,1.486163,20.705882,250.825257
1.200000,8.830000,7.666667,1.498178,20.709447,245.937304
1.200000,8.930000,7.750000,1.514105,20.714795,238.208608
1.300000,9.030000,7.833333,1.527926,20.711230,250.825257
1.100000,9.150000,7.916667,1.544800,20.707665,247.544885
1.000000,9.290000,8.000000,1.560239,20.707665,247.544885
1.100000,9.350000,8.083333,1.577134,20.709447,247.544885
1.000000,9.390000,8.166667,1.592571,20.700535,255.915633
1.100000,9.510000,8.250000,1.608413,20.714795,252.498941
1.300000,9.570000,8.333333,1.624202,20.707665,257.659612
1.100000,9.670000,8.416667,1.639988,20.711230,254.195574
1.100000,9.810000,8.500000,1.656151,20.707665,257.659612
1.200000,9.910000,8.583333,1.672616,20.713012,261.221364
1.200000,10.010000,8.666667,1.688446,20.705882,250.825257
1.000000,10.090000,8.750000,1.704118,20.707665,254.195574
1.000000,10.230000,8.833333,1.719998,20.705882,254.195574
1.300000,10.290000,8.916667,1.736818,20.705882,252.498941
1.000000,10.390000,9.000000,1.752588,20.705882,252.498941
1.000000,10.510000,9.083333,1.768027,20.709447,252.498941
1.100000,10.630000,9.166667,1.783854,20.707665,249.174056
1.200000,10.690000,9.250000,1.800175,20.707665,254.195574
1.000000,10.810000,9.333333,1.816010,20.702317,244.350882
1.200000,10.890000,9.416667,1.832808,20.705882,249.174056
1.300000,10.990000,9.500000,1.848700,20.705882,247.544885
1.000000,11.050000,9.583333,1.864551,20.702317,249.174056
0.900000,11.230000,9.666667,1.886262,20.704100,249.174056
1.100000,11.210000,9.750000,1.896150,20.707665,247.544885
1.000000,11.350000,9.833333,1.911944,20.704100,250.825257
1.300000,11.470000,9.916667,1.928759,20.704100,255.915633
1.100000,11.590000,10.000000,1.944579,20.709447,249.174056
1.100000,11.670000,10.083333,1.960422,20.702317,252.498941
1.300000,11.750000,10.166667,1.976205,20.700535,249.174056
1.000000,11.850000,10.250000,1.992000,20.711230,257.659612
1.200000,11.830000,10.333333,2.008772,20.707665,259.428015
1.000000,12.070000,10.416667,2.024564,20.700535,250.825257
1.000000,12.150000,10.500000,2.040432,20.704100,254.195574
1.100000,12.270000,10.583333,2.056450,20.711230,259.428015
1.100000,12.330000,10.666667,2.072003,20.709447,259.428015
1.100000,12.690000,10.750000,2.087900,20.707665,255.915633
1.200000,12.510000,10.833333,2.104831,20.702317,254.195574
1.000000,12.550000,10.916667,2.120647,20.709447,259.428015
1.100000,12.710000,11.000000,2.136139,20.702317,249.174056
1.000000,12.810000,11.083333,2.152007,20.711230,252.498941
0.900000,12.890000,11.166667,2.176744,20.702317,250.825257
1.100000,12.830000,11.250000,2.184014,20.702317,250.825257
1.100000,13.070000,11.333333,2.200883,20.707665,254.195574
1.300000,13.210000,11.416667,2.216710,20.709447,249.174056
1.200000,13.230000,11.500000,2.234372,20.704100,252.498941
1.000000,13.350000,11.583333,2.250707,20.704100,249.174056
1.100000,13.410000,11.666667,2.266522,20.709447,249.174056
1.200000,13.570000,11.750000,2.286600,20.702317,254.195574
1.100000,13.630000,11.833333,2.301814,20.704100,250.825257
1.200000,13.690000,11.916667,2.313898,20.709447,245.937304
1.400000,13.850000,12.000000,2.329549,20.705882,229.563733
1.300000,13.930000,12.083333,2.344498,20.707665,252.498941
1.200000,14.050000,12.166667,2.360359,20.709447,252.498941
1.100000,14.190000,12.250000,2.376139,20.709447,252.498941
1.100000,14.270000,12.333333,2.391974,20.709447,250.825257
1.100000,14.330000,12.416667,2.408771,20.716578,252.498941
0.900000,14.410000,12.500000,2.424558,20.707665,255.915633
1.100000,14.510000,12.583333,2.440367,20.705882,250.825257
1.200000,14.630000,12.666667,2.456129,20.707665,255.915633
1.200000,14.750000,12.750000,2.482963,20.705882,244.350882
