# Date: 20201013
# Operator: DCC&JLC
# Notes: sample 6 15 in/lb on each nut, egg top
# Tap_cm: 6.0
# Sample: sample 6
# Fit of Tap:
#	Ic = 581 A
#	n = 50 
#	Vc = 6 uV
#	Vfloor = 1.68 uV
#	R = 9.44 Ohms
Tap [uV],Shunt [A],Supply [A],Time [S],Hall [T],Cernox [K]
3.000000,0.250000,0.000000,0.024136,20.707665,250.825257
2.800000,0.330000,0.083333,0.039766,20.707665,255.915633
2.700000,0.350000,0.166667,0.056387,20.711230,259.428015
2.600000,0.450000,0.250000,0.071943,20.709447,250.825257
2.700000,0.550000,0.333333,0.088630,20.713012,250.825257
2.600000,0.610000,0.416667,0.104247,20.718360,252.498941
2.900000,0.730000,0.500000,0.120182,20.709447,250.825257
2.800000,0.870000,0.583333,0.136213,20.705882,254.195574
2.800000,0.870000,0.666667,0.152246,20.713012,252.498941
2.800000,0.950000,0.750000,0.168336,20.709447,245.937304
2.900000,1.070000,0.833333,0.184849,20.700535,241.239861
3.000000,1.230000,0.916667,0.214267,20.711230,245.937304
2.700000,1.250000,1.000000,0.224596,20.714795,255.915633
2.900000,1.330000,1.083333,0.234485,20.721925,249.174056
2.700000,1.470000,1.166667,0.248331,20.707665,245.937304
2.800000,1.550000,1.250000,0.264207,20.707665,249.174056
2.800000,1.630000,1.333333,0.280211,20.705882,249.174056
2.800000,1.690000,1.416667,0.296206,20.707665,257.659612
2.800000,1.810000,1.500000,0.312204,20.705882,254.195574
2.800000,1.910000,1.583333,0.328259,20.705882,238.208608
2.700000,1.990000,1.666667,0.344177,20.707665,252.498941
2.700000,2.090000,1.750000,0.360277,20.704100,252.498941
2.500000,2.230000,1.833333,0.376425,20.704100,252.498941
2.700000,2.270000,1.916667,0.392267,20.707665,257.659612
2.800000,2.370000,2.000000,0.408273,20.698752,254.195574
3.000000,2.530000,2.083333,0.424163,20.704100,254.195574
2.700000,2.630000,2.166667,0.439783,20.696970,257.659612
2.900000,2.650000,2.250000,0.456391,20.704100,255.915633
2.500000,2.710000,2.333333,0.471946,20.711230,252.498941
2.600000,2.870000,2.416667,0.488502,20.709447,252.498941
2.800000,2.950000,2.500000,0.508174,20.709447,257.659612
