# Date: 20201016
# Operator: DCC
# Notes: 15 in/lb on each nut. 363-C 463-794-3
# Tap_cm: 6.0
# Sample: 363-C 463-794-3
Tap [uV],Shunt [A],Supply [A],Time [S],Hall [T],Cernox [K]
1.400000,0.330000,0.000000,0.050374,20.713012,254.195574
1.300000,0.350000,0.083333,0.072139,20.696970,244.350882
1.300000,0.330000,0.166667,0.087585,20.711230,247.544885
1.400000,0.430000,0.250000,0.103440,20.713012,250.825257
1.300000,0.510000,0.333333,0.119267,20.713012,249.174056
1.300000,0.630000,0.416667,0.135085,20.709447,252.498941
1.400000,0.750000,0.500000,0.152279,20.711230,244.350882
1.200000,0.810000,0.583333,0.167203,20.713012,250.825257
1.300000,0.890000,0.666667,0.183045,20.713012,252.498941
1.400000,0.950000,0.750000,0.200590,20.709447,250.825257
1.400000,1.170000,0.833333,0.215705,20.713012,254.195574
1.300000,1.210000,0.916667,0.231600,20.709447,252.498941
1.200000,1.250000,1.000000,0.247340,20.713012,250.825257
1.500000,1.350000,1.083333,0.263253,20.698752,250.825257
1.400000,1.470000,1.166667,0.288551,20.711230,245.937304
1.300000,1.410000,1.250000,0.295882,20.711230,255.915633
1.200000,1.650000,1.333333,0.311738,20.718360,249.174056
1.100000,1.730000,1.416667,0.327577,20.709447,249.174056
1.200000,1.770000,1.500000,0.343687,20.720143,249.174056
1.200000,1.910000,1.583333,0.359586,20.714795,247.544885
1.600000,1.970000,1.666667,0.375699,20.714795,244.350882
1.100000,2.130000,1.750000,0.393845,20.718360,232.373366
1.300000,2.190000,1.833333,0.407396,20.709447,245.937304
1.200000,2.310000,1.916667,0.423722,20.718360,245.937304
1.300000,2.350000,2.000000,0.439584,20.707665,244.350882
1.300000,2.490000,2.083333,0.455662,20.711230,245.937304
1.300000,2.590000,2.166667,0.471552,20.714795,247.544885
1.400000,2.590000,2.250000,0.487421,20.705882,244.350882
1.300000,2.730000,2.333333,0.503243,20.716578,249.174056
1.400000,2.830000,2.416667,0.519058,20.711230,247.544885
1.600000,2.930000,2.500000,0.535868,20.714795,249.174056
1.400000,3.110000,2.583333,0.551693,20.713012,254.195574
1.200000,3.130000,2.666667,0.567502,20.716578,250.825257
1.300000,3.110000,2.750000,0.594421,20.707665,250.825257
1.200000,3.310000,2.833333,0.601108,20.714795,250.825257
1.400000,3.410000,2.916667,0.615656,20.716578,254.195574
1.400000,3.510000,3.000000,0.631191,20.718360,250.825257
1.600000,3.530000,3.083333,0.646754,20.714795,252.498941
1.200000,3.710000,3.166667,0.663451,20.713012,252.498941
1.300000,3.830000,3.250000,0.679058,20.714795,250.825257
1.300000,3.890000,3.333333,0.695644,20.713012,250.825257
1.500000,4.010000,3.416667,0.711260,20.714795,247.544885
1.400000,4.050000,3.500000,0.726811,20.713012,247.544885
1.400000,4.170000,3.583333,0.743348,20.711230,249.174056
1.400000,4.310000,3.666667,0.758893,20.711230,245.937304
1.200000,4.410000,3.750000,0.775446,20.713012,245.937304
1.300000,4.510000,3.833333,0.791581,20.707665,249.174056
1.400000,4.550000,3.916667,0.807180,20.716578,244.350882
1.400000,4.690000,4.000000,0.822746,20.709447,250.825257
1.400000,4.810000,4.083333,0.839307,20.713012,247.544885
1.100000,4.910000,4.166667,0.854853,20.716578,247.544885
1.300000,4.930000,4.250000,0.871394,20.716578,245.937304
1.400000,5.030000,4.333333,0.887637,20.714795,247.544885
1.300000,5.170000,4.416667,0.903881,20.718360,249.174056
1.300000,5.190000,4.500000,0.919557,20.716578,249.174056
1.300000,5.350000,4.583333,0.935116,20.716578,247.544885
1.100000,5.390000,4.666667,0.950688,20.718360,252.498941
1.400000,5.510000,4.750000,0.967230,20.713012,250.825257
1.300000,5.610000,4.833333,0.983330,20.716578,252.498941
1.400000,5.670000,4.916667,0.998963,20.714795,252.498941
