# Date: 20201016
# Operator: DCC
# Notes: 15 in/lb on each nut. pp2 top plate spool 5-4
# Tap_cm: 6.0
# Sample: pp2 top plate spool 5-4
# Fit of Tap:
#	Ic = 127 +/- 0.023 A
#	n = 27.7 +/- 0.21 
#	Vc = 6 uV
#	Vfloor = 3.15 +/- 0.012 uV
#	R = 0.0001 +/- 7e-06 Ohms
Tap [uV],Shunt [A],Supply [A],Time [S],Hall [T],Cernox [K]
3.000000,0.290000,0.000000,0.059741,20.707665,254.195574
3.100000,0.310000,0.083333,0.075186,20.704100,250.825257
3.200000,0.410000,0.166667,0.091001,20.707665,247.544885
2.900000,0.390000,0.250000,0.106789,20.709447,245.937304
3.000000,0.470000,0.333333,0.123361,20.711230,232.373366
3.300000,0.550000,0.416667,0.139544,20.702317,230.959832
2.800000,0.690000,0.500000,0.155718,20.713012,230.959832
3.100000,0.810000,0.583333,0.170839,20.709447,244.350882
3.100000,0.890000,0.666667,0.187292,20.709447,238.208608
3.300000,0.990000,0.750000,0.202990,20.713012,245.937304
3.100000,1.070000,0.833333,0.219817,20.711230,229.563733
3.100000,1.170000,0.916667,0.235054,20.714795,245.937304
3.100000,1.210000,1.000000,0.251330,20.707665,238.208608
3.100000,1.410000,1.083333,0.267505,20.711230,233.804667
2.600000,1.430000,1.166667,0.283695,20.709447,228.184748
3.000000,1.530000,1.250000,0.298967,20.709447,255.915633
3.000000,1.630000,1.333333,0.315240,20.714795,245.937304
3.000000,1.710000,1.416667,0.331414,20.714795,238.208608
3.100000,1.770000,1.500000,0.347573,20.705882,230.959832
3.100000,1.850000,1.583333,0.362701,20.711230,255.915633
3.200000,1.970000,1.666667,0.379222,20.707665,245.937304
2.900000,2.050000,1.750000,0.395388,20.705882,233.804667
3.100000,2.130000,1.833333,0.411564,20.705882,233.804667
2.900000,2.270000,1.916667,0.426742,20.714795,252.498941
3.000000,2.390000,2.000000,0.442952,20.707665,250.825257
3.000000,2.470000,2.083333,0.459245,20.704100,239.714457
3.000000,2.590000,2.166667,0.475478,20.711230,232.373366
2.900000,2.650000,2.250000,0.491870,20.711230,236.721935
3.200000,2.810000,2.333333,0.514131,20.709447,254.195574
2.800000,2.830000,2.416667,0.522952,20.716578,245.937304
3.100000,2.930000,2.500000,0.539686,20.713012,233.804667
3.000000,3.010000,2.583333,0.554906,20.707665,245.937304
3.100000,3.130000,2.666667,0.571258,20.711230,236.721935
