# Date: 20201016
# Operator: DCC
# Notes: 15 in/lb on each nut. pp2 top plate spool 5-4
# Tap_cm: 6.0
# Sample: pp2 top plate spool 5-4
# Fit of Tap:
#	Ic = 127 +/- 0.02 A
#	n = 30 +/- 0.21 
#	Vc = 6 uV
#	Vfloor = 3.17 +/- 0.011 uV
#	R = 0.0001 +/- 4.6e-06 Ohms
Tap [uV],Shunt [A],Supply [A],Time [S],Hall [T],Cernox [K]
2.800000,0.290000,0.000000,0.069747,20.713012,249.174056
3.000000,-0.050000,0.083333,0.082520,20.711230,250.825257
3.000000,0.370000,0.166667,0.090639,20.705882,249.174056
2.800000,0.550000,0.250000,0.106236,20.702317,247.544885
2.800000,0.310000,0.333333,0.123218,20.713012,245.937304
3.200000,0.830000,0.416667,0.138550,20.707665,247.544885
3.200000,0.970000,0.500000,0.154556,20.713012,249.174056
3.000000,1.010000,0.583333,0.170474,20.713012,249.174056
3.100000,1.070000,0.666667,0.186420,20.714795,249.174056
3.000000,0.970000,0.750000,0.204236,20.711230,245.937304
3.300000,0.890000,0.833333,0.219293,20.714795,252.498941
3.000000,1.310000,0.916667,0.234237,20.704100,247.544885
3.100000,1.110000,1.000000,0.251180,20.718360,254.195574
3.100000,1.370000,1.083333,0.275078,20.714795,244.350882
3.100000,1.510000,1.166667,0.282225,20.702317,252.498941
3.300000,1.390000,1.250000,0.299142,20.716578,252.498941
3.000000,1.610000,1.333333,0.315072,20.713012,254.195574
3.000000,1.730000,1.416667,0.330977,20.709447,254.195574
3.200000,1.970000,1.500000,0.346860,20.713012,255.915633
3.100000,2.090000,1.583333,0.362802,20.716578,252.498941
2.900000,2.230000,1.666667,0.379087,20.713012,252.498941
3.100000,2.010000,1.750000,0.395071,20.709447,245.937304
3.000000,2.190000,1.833333,0.410992,20.707665,247.544885
2.900000,2.270000,1.916667,0.426858,20.709447,249.174056
3.000000,2.390000,2.000000,0.442453,20.716578,249.174056
3.300000,2.490000,2.083333,0.459013,20.709447,247.544885
3.400000,2.590000,2.166667,0.474552,20.705882,247.544885
3.000000,2.650000,2.250000,0.491072,20.709447,245.937304
3.100000,3.010000,2.333333,0.506703,20.713012,245.937304
3.000000,2.850000,2.416667,0.522564,20.720143,244.350882
2.800000,2.950000,2.500000,0.539108,20.713012,247.544885
3.300000,3.090000,2.583333,0.554691,20.713012,247.544885
3.200000,3.190000,2.666667,0.574950,20.714795,249.174056
3.200000,3.210000,2.750000,0.587090,20.711230,245.937304
