# Date: 20201016
# Operator: DCC
# Notes: 15 in/lb on each nut. pp2 top plate spool 5-4
# Tap_cm: 6.0
# Sample: pp2 top plate spool 5-4
# Fit of Tap:
#	Ic = 100 +/- 0.81 A
#	n = 1e+03 +/- 2.1e+03 
#	Vc = 6 uV
#	Vfloor = 1.75 +/- 0.008 uV
#	R = 0.00175 +/- 0.00014 Ohms
Tap [uV],Shunt [A],Supply [A],Time [S],Hall [T],Cernox [K]
1.800000,0.310000,0.000000,0.028012,20.709447,247.544885
1.900000,0.330000,0.083333,0.043495,20.716578,249.174056
1.700000,0.350000,0.166667,0.057212,20.720143,252.498941
1.700000,0.430000,0.250000,0.073525,20.713012,249.174056
1.500000,0.450000,0.333333,0.089545,20.713012,250.825257
1.700000,0.590000,0.416667,0.105099,20.709447,249.174056
1.500000,0.730000,0.500000,0.121626,20.713012,254.195574
1.600000,0.810000,0.583333,0.137234,20.714795,261.221364
1.600000,0.890000,0.666667,0.153831,20.704100,252.498941
1.700000,1.190000,0.750000,0.169410,20.711230,252.498941
1.700000,1.090000,0.833333,0.185997,20.716578,249.174056
1.900000,1.150000,0.916667,0.201530,20.714795,249.174056
1.600000,1.290000,1.000000,0.217058,20.713012,255.915633
1.600000,1.390000,1.083333,0.233455,20.718360,250.825257
1.800000,1.430000,1.166667,0.249117,20.705882,249.174056
1.600000,1.530000,1.250000,0.265695,20.711230,252.498941
1.700000,1.610000,1.333333,0.281408,20.709447,252.498941
1.700000,1.690000,1.416667,0.297962,20.714795,252.498941
1.900000,1.850000,1.500000,0.313527,20.716578,247.544885
1.300000,1.890000,1.583333,0.329065,20.705882,242.785204
1.900000,1.930000,1.666667,0.345979,20.705882,245.937304
1.500000,2.110000,1.750000,0.361870,20.718360,247.544885
1.500000,2.210000,1.833333,0.378439,20.716578,244.350882
1.700000,2.290000,1.916667,0.393945,20.714795,244.350882
1.800000,2.350000,2.000000,0.409898,20.714795,249.174056
1.800000,2.470000,2.083333,0.425839,20.711230,245.937304
1.700000,2.530000,2.166667,0.441569,20.716578,250.825257
1.700000,2.670000,2.250000,0.457932,20.707665,249.174056
1.700000,2.810000,2.333333,0.473845,20.704100,247.544885
1.700000,2.870000,2.416667,0.489883,20.720143,252.498941
1.800000,2.910000,2.500000,0.505872,20.709447,250.825257
1.600000,3.070000,2.583333,0.521838,20.707665,250.825257
1.600000,3.110000,2.666667,0.537862,20.707665,250.825257
1.700000,3.210000,2.750000,0.553776,20.718360,252.498941
1.800000,3.350000,2.833333,0.569838,20.705882,255.915633
1.800000,3.450000,2.916667,0.585871,20.704100,254.195574
1.600000,3.510000,3.000000,0.601866,20.713012,254.195574
1.400000,3.630000,3.083333,0.617872,20.707665,250.825257
1.700000,3.730000,3.166667,0.633885,20.688057,252.498941
1.600000,3.810000,3.250000,0.649963,20.709447,250.825257
1.600000,3.930000,3.333333,0.673067,20.709447,247.544885
1.700000,3.970000,3.416667,0.681382,20.711230,249.174056
1.600000,4.110000,3.500000,0.697891,20.714795,252.498941
1.800000,4.230000,3.583333,0.713902,20.714795,247.544885
1.700000,4.230000,3.666667,0.729908,20.713012,249.174056
1.600000,4.430000,3.750000,0.745940,20.718360,244.350882
2.100000,4.490000,3.833333,0.763924,20.705882,247.544885
1.600000,4.570000,3.916667,0.779244,20.720143,244.350882
1.600000,4.670000,4.000000,0.795217,20.707665,247.544885
1.400000,4.810000,4.083333,0.811308,20.707665,245.937304
1.600000,4.870000,4.166667,0.827324,20.714795,247.544885
1.400000,4.930000,4.250000,0.843186,20.704100,247.544885
1.800000,5.090000,4.333333,0.861960,20.716578,247.544885
1.700000,5.130000,4.416667,0.873855,20.713012,249.174056
1.800000,5.230000,4.500000,0.889931,20.720143,250.825257
1.600000,5.290000,4.583333,0.905550,20.709447,250.825257
1.800000,5.410000,4.666667,0.921090,20.716578,250.825257
1.600000,5.450000,4.750000,0.937646,20.714795,254.195574
1.700000,5.590000,4.833333,0.953198,20.714795,249.174056
1.600000,5.730000,4.916667,0.972987,20.714795,247.544885
1.500000,5.870000,5.000000,0.986002,20.716578,254.195574
1.900000,5.810000,5.083333,1.001564,20.716578,252.498941
1.700000,5.970000,5.166667,1.017085,20.713012,250.825257
1.600000,6.110000,5.250000,1.033606,20.714795,249.174056
1.700000,6.210000,5.333333,1.049114,20.716578,252.498941
1.600000,6.330000,5.416667,1.065519,20.707665,250.825257
1.800000,6.370000,5.500000,1.081078,20.714795,247.544885
1.800000,6.470000,5.583333,1.097594,20.714795,252.498941
2.000000,6.570000,5.666667,1.113121,20.707665,247.544885
2.000000,6.650000,5.750000,1.129677,20.711230,247.544885
1.700000,6.770000,5.833333,1.145308,20.716578,244.350882
1.800000,6.890000,5.916667,1.161903,20.711230,247.544885
1.500000,6.990000,6.000000,1.177511,20.711230,244.350882
1.600000,7.090000,6.083333,1.193069,20.714795,245.937304
1.900000,7.130000,6.166667,1.209924,20.713012,242.785204
1.700000,7.250000,6.250000,1.225835,20.709447,249.174056
1.700000,7.350000,6.333333,1.241858,20.720143,249.174056
1.700000,7.450000,6.416667,1.257836,20.707665,249.174056
2.000000,7.550000,6.500000,1.279626,20.720143,241.239861
1.800000,7.670000,6.583333,1.289579,20.711230,250.825257
1.700000,7.710000,6.666667,1.305134,20.714795,254.195574
1.600000,7.810000,6.750000,1.321690,20.716578,252.498941
1.700000,7.970000,6.833333,1.337212,20.721925,250.825257
1.800000,8.050000,6.916667,1.353721,20.707665,252.498941
1.600000,8.130000,7.000000,1.369247,20.713012,254.195574
1.700000,8.230000,7.083333,1.385904,20.716578,250.825257
1.800000,8.250000,7.166667,1.401545,20.721925,247.544885
1.800000,8.450000,7.250000,1.417113,20.709447,257.659612
1.600000,8.530000,7.333333,1.433701,20.718360,250.825257
1.500000,8.610000,7.416667,1.449245,20.720143,250.825257
1.700000,8.690000,7.500000,1.468347,20.713012,254.195574
1.600000,8.750000,7.583333,1.481938,20.709447,252.498941
1.900000,8.850000,7.666667,1.497469,20.713012,242.785204
1.700000,9.030000,7.750000,1.512986,20.716578,247.544885
1.600000,9.030000,7.833333,1.529491,20.711230,245.937304
1.500000,9.130000,7.916667,1.544997,20.716578,244.350882
1.800000,9.270000,8.000000,1.561757,20.714795,272.536384
1.900000,9.370000,8.083333,1.583868,20.707665,249.174056
1.600000,9.390000,8.166667,1.595275,20.718360,242.785204
1.700000,9.490000,8.250000,1.611185,20.711230,245.937304
1.800000,9.570000,8.333333,1.627668,20.711230,244.350882
1.600000,9.730000,8.416667,1.643216,20.705882,245.937304
1.700000,9.870000,8.500000,1.659883,20.711230,245.937304
1.800000,9.870000,8.583333,1.673462,20.713012,252.498941
1.700000,10.030000,8.666667,1.689860,20.714795,250.825257
1.600000,10.130000,8.750000,1.705802,20.720143,252.498941
1.600000,10.230000,8.833333,1.721811,20.713012,252.498941
1.700000,10.290000,8.916667,1.737713,20.714795,252.498941
1.700000,10.430000,9.000000,1.753773,20.709447,254.195574
1.500000,10.530000,9.083333,1.769332,20.718360,252.498941
1.700000,10.550000,9.166667,1.785882,20.714795,255.915633
2.000000,10.630000,9.250000,1.801408,20.716578,254.195574
1.600000,10.750000,9.333333,1.817922,20.714795,254.195574
1.600000,10.910000,9.416667,1.833438,20.709447,247.544885
1.500000,11.010000,9.500000,1.849950,20.718360,255.915633
1.800000,11.170000,9.583333,1.877740,20.716578,249.174056
1.600000,11.170000,9.666667,1.884364,20.718360,250.825257
1.700000,11.270000,9.750000,1.897995,20.720143,247.544885
1.700000,11.350000,9.833333,1.913558,20.714795,244.350882
1.800000,11.470000,9.916667,1.929088,20.713012,250.825257
1.700000,11.550000,10.000000,1.945623,20.713012,245.937304
1.700000,11.650000,10.083333,1.961132,20.711230,247.544885
1.900000,11.770000,10.166667,1.977637,20.713012,249.174056
1.900000,11.810000,10.250000,1.993156,20.714795,247.544885
1.600000,12.030000,10.333333,2.009694,20.716578,247.544885
1.800000,12.090000,10.416667,2.025947,20.711230,247.544885
1.800000,12.170000,10.500000,2.041877,20.716578,249.174056
1.500000,12.230000,10.583333,2.057810,20.718360,249.174056
1.800000,12.370000,10.666667,2.073431,20.713012,249.174056
1.600000,12.430000,10.750000,2.089886,20.716578,249.174056
1.900000,12.590000,10.833333,2.105866,20.711230,249.174056
1.600000,12.610000,10.916667,2.121736,20.709447,254.195574
1.600000,12.650000,11.000000,2.137844,20.720143,254.195574
1.800000,12.750000,11.083333,2.154106,20.714795,252.498941
1.800000,12.870000,11.166667,2.172999,20.718360,245.937304
1.600000,12.990000,11.250000,2.186081,20.720143,250.825257
1.400000,13.050000,11.333333,2.202059,20.711230,252.498941
1.600000,13.170000,11.416667,2.218050,20.713012,252.498941
1.600000,13.310000,11.500000,2.234008,20.713012,249.174056
1.800000,13.410000,11.583333,2.250054,20.718360,255.915633
1.900000,13.490000,11.666667,2.268787,20.705882,254.195574
1.700000,13.610000,11.750000,2.282093,20.720143,250.825257
1.800000,13.630000,11.833333,2.298082,20.716578,254.195574
2.000000,13.750000,11.916667,2.314048,20.711230,245.937304
1.700000,13.930000,12.000000,2.329945,20.720143,247.544885
1.800000,13.990000,12.083333,2.345947,20.725490,245.937304
1.700000,14.030000,12.166667,2.361886,20.716578,245.937304
1.900000,14.130000,12.250000,2.380133,20.711230,244.350882
1.900000,14.170000,12.333333,2.395547,20.716578,245.937304
1.600000,14.250000,12.416667,2.411535,20.711230,249.174056
1.800000,14.410000,12.500000,2.428403,20.716578,249.174056
1.700000,14.570000,12.583333,2.444573,20.709447,247.544885
1.900000,14.610000,12.666667,2.460431,20.713012,247.544885
2.000000,14.750000,12.750000,2.485938,20.716578,250.825257
1.900000,14.750000,12.833333,2.492938,20.718360,244.350882
1.900000,14.870000,12.916667,2.505888,20.713012,252.498941
1.700000,14.930000,13.000000,2.521875,20.713012,249.174056
1.800000,15.070000,13.083333,2.538263,20.714795,254.195574
1.800000,15.210000,13.166667,2.553931,20.709447,255.915633
1.700000,15.330000,13.250000,2.569929,20.714795,250.825257
1.900000,15.370000,13.333333,2.585748,20.711230,254.195574
