# Date: 20201016
# Operator: DCC
# Notes: 15 in/lb on each nut. pp2 top plate spool 5-4
# Tap_cm: 6.0
# Sample: pp2 top plate spool 5-4
# Fit of Tap:
#	Ic = 30.7 A
#	n = 352 
#	Vc = 6 uV
#	Vfloor = 1.61 uV
#	R = 0.0036 Ohms
Tap [uV],Shunt [A],Supply [A],Time [S],Hall [T],Cernox [K]
1.700000,0.230000,0.000000,0.057461,20.709447,252.498941
1.400000,0.310000,0.083333,0.083195,20.716578,247.544885
1.600000,0.510000,0.166667,0.095175,20.714795,249.174056
1.600000,0.430000,0.250000,0.102339,20.714795,250.825257
1.600000,0.450000,0.333333,0.116804,20.718360,249.174056
1.500000,0.610000,0.416667,0.132808,20.713012,249.174056
1.500000,0.690000,0.500000,0.148765,20.713012,247.544885
1.600000,0.790000,0.583333,0.164684,20.713012,242.785204
1.700000,0.890000,0.666667,0.180780,20.700535,247.544885
1.700000,1.030000,0.750000,0.196817,20.718360,247.544885
1.400000,1.090000,0.833333,0.212750,20.713012,245.937304
1.600000,1.230000,0.916667,0.228507,20.716578,247.544885
1.400000,1.230000,1.000000,0.244814,20.718360,250.825257
1.400000,1.330000,1.083333,0.260754,20.713012,254.195574
1.700000,1.350000,1.166667,0.277212,20.713012,250.825257
1.600000,1.590000,1.250000,0.292796,20.720143,249.174056
1.600000,1.650000,1.333333,0.308788,20.714795,250.825257
1.300000,1.690000,1.416667,0.324746,20.711230,250.825257
1.700000,1.830000,1.500000,0.340367,20.713012,254.195574
1.700000,1.930000,1.583333,0.356995,20.734403,250.825257
1.500000,2.010000,1.666667,0.378365,20.714795,250.825257
1.600000,2.070000,1.750000,0.388478,20.721925,254.195574
1.700000,2.210000,1.833333,0.405057,20.716578,252.498941
1.500000,2.270000,1.916667,0.420611,20.714795,252.498941
1.700000,2.350000,2.000000,0.436338,20.714795,249.174056
1.700000,2.490000,2.083333,0.452995,20.714795,247.544885
1.600000,2.590000,2.166667,0.468552,20.711230,247.544885
1.500000,2.650000,2.250000,0.485092,20.718360,247.544885
1.500000,2.790000,2.333333,0.500621,20.713012,249.174056
1.600000,2.830000,2.416667,0.516177,20.714795,245.937304
1.600000,3.010000,2.500000,0.532716,20.713012,245.937304
1.600000,3.050000,2.583333,0.548335,20.716578,250.825257
1.600000,3.130000,2.666667,0.565182,20.711230,245.937304
1.600000,3.310000,2.750000,0.580788,20.714795,244.350882
1.600000,3.330000,2.833333,0.596362,20.720143,242.785204
1.600000,3.430000,2.916667,0.613180,20.716578,242.785204
1.600000,3.530000,3.000000,0.628802,20.716578,249.174056
1.600000,3.610000,3.083333,0.644609,20.721925,247.544885
1.700000,3.710000,3.166667,0.660225,20.711230,249.174056
1.600000,3.850000,3.250000,0.677348,20.714795,249.174056
1.400000,3.950000,3.333333,0.692508,20.713012,249.174056
1.700000,4.030000,3.416667,0.709107,20.713012,252.498941
1.600000,4.090000,3.500000,0.724688,20.721925,254.195574
2.000000,4.230000,3.583333,0.740216,20.721925,254.195574
1.800000,4.330000,3.666667,0.756743,20.711230,250.825257
1.600000,4.390000,3.750000,0.772394,20.718360,252.498941
1.600000,4.510000,3.833333,0.788951,20.713012,252.498941
1.700000,4.630000,3.916667,0.806153,20.721925,254.195574
1.600000,4.730000,4.000000,0.822737,20.720143,254.195574
1.700000,4.790000,4.083333,0.838199,20.714795,257.659612
1.500000,4.850000,4.166667,0.859301,20.711230,254.195574
1.700000,4.870000,4.250000,0.869936,20.711230,249.174056
1.700000,5.010000,4.333333,0.886597,20.718360,252.498941
1.500000,5.190000,4.416667,0.901767,20.723708,229.563733
1.600000,5.170000,4.500000,0.916339,20.711230,245.937304
1.800000,5.310000,4.583333,0.932886,20.716578,247.544885
1.500000,5.370000,4.666667,0.948433,20.711230,245.937304
1.500000,5.510000,4.750000,0.964978,20.718360,242.785204
1.600000,5.610000,4.833333,0.981060,20.718360,245.937304
1.800000,5.750000,4.916667,0.996393,20.711230,245.937304
1.700000,5.830000,5.000000,1.013022,20.714795,247.544885
1.700000,5.870000,5.083333,1.028559,20.709447,249.174056
1.500000,5.990000,5.166667,1.045096,20.716578,250.825257
1.600000,6.130000,5.250000,1.063955,20.716578,245.937304
