# Date: 20201016
# Operator: DCC
# Notes: 15 in/lb on each nut. pp2 top plate spool 5-4
# Tap_cm: 6.0
# Sample: pp2 top plate spool 5-4
# Fit of Tap:
#	Ic = 150 +/- 0.03 A
#	n = 33.9 +/- 0.39 
#	Vc = 6 uV
#	Vfloor = 1.54 +/- 0.0083 uV
#	R = 0.000627 +/- 0.00011 Ohms
Tap [uV],Shunt [A],Supply [A],Time [S],Hall [T],Cernox [K]
1.300000,0.410000,0.000000,0.057058,20.714795,254.195574
1.600000,0.310000,0.083333,0.070469,20.716578,252.498941
1.500000,0.370000,0.166667,0.086275,20.716578,252.498941
1.400000,0.470000,0.250000,0.103603,20.716578,257.659612
1.700000,0.510000,0.333333,0.118973,20.716578,254.195574
1.600000,0.610000,0.416667,0.134944,20.714795,252.498941
1.300000,0.670000,0.500000,0.150989,20.720143,249.174056
1.500000,0.850000,0.583333,0.167050,20.711230,247.544885
1.300000,0.850000,0.666667,0.182277,20.713012,249.174056
1.600000,0.890000,0.750000,0.198985,20.720143,250.825257
1.200000,1.110000,0.833333,0.214955,20.716578,245.937304
1.400000,1.190000,0.916667,0.230925,20.714795,242.785204
1.300000,1.290000,1.000000,0.246969,20.711230,249.174056
1.200000,1.330000,1.083333,0.262914,20.714795,247.544885
1.500000,1.430000,1.166667,0.278728,20.713012,247.544885
1.500000,1.510000,1.250000,0.294531,20.711230,247.544885
1.400000,1.630000,1.333333,0.310332,20.720143,250.825257
1.600000,1.730000,1.416667,0.326972,20.723708,250.825257
1.500000,1.830000,1.500000,0.342884,20.714795,249.174056
1.600000,1.910000,1.583333,0.358947,20.711230,249.174056
1.300000,1.970000,1.666667,0.374946,20.716578,252.498941
1.400000,2.110000,1.750000,0.390994,20.716578,255.915633
1.600000,2.230000,1.833333,0.408207,20.718360,252.498941
1.200000,2.270000,1.916667,0.422937,20.716578,254.195574
1.400000,2.350000,2.000000,0.438367,20.713012,254.195574
1.300000,2.490000,2.083333,0.454919,20.709447,250.825257
1.400000,2.630000,2.166667,0.470741,20.716578,255.915633
1.400000,2.690000,2.250000,0.486530,20.716578,254.195574
1.400000,2.750000,2.333333,0.502323,20.711230,252.498941
1.500000,2.850000,2.416667,0.518103,20.709447,252.498941
1.400000,2.950000,2.500000,0.533879,20.714795,250.825257
1.300000,3.030000,2.583333,0.550668,20.713012,249.174056
1.400000,3.190000,2.666667,0.566447,20.713012,249.174056
1.600000,3.310000,2.750000,0.582269,20.711230,247.544885
1.400000,3.330000,2.833333,0.598074,20.713012,249.174056
1.600000,3.410000,2.916667,0.614890,20.714795,245.937304
1.600000,3.550000,3.000000,0.630741,20.716578,228.184748
1.300000,3.630000,3.083333,0.646871,20.713012,244.350882
1.400000,3.750000,3.166667,0.662716,20.711230,247.544885
1.400000,3.770000,3.250000,0.678502,20.718360,249.174056
1.600000,3.990000,3.333333,0.700831,20.718360,249.174056
1.600000,3.970000,3.416667,0.710162,20.716578,252.498941
1.400000,4.130000,3.500000,0.725972,20.713012,249.174056
1.400000,4.230000,3.583333,0.742747,20.707665,245.937304
1.200000,4.370000,3.666667,0.760421,20.714795,250.825257
1.400000,4.330000,3.750000,0.776448,20.720143,244.350882
1.700000,4.510000,3.833333,0.792431,20.713012,249.174056
1.400000,4.570000,3.916667,0.808485,20.709447,247.544885
1.300000,4.670000,4.000000,0.824527,20.713012,255.915633
1.500000,4.770000,4.083333,0.840551,20.716578,252.498941
1.400000,4.890000,4.166667,0.859619,20.720143,254.195574
1.500000,4.930000,4.250000,0.870459,20.723708,250.825257
1.500000,5.030000,4.333333,0.886298,20.721925,254.195574
1.300000,5.190000,4.416667,0.902164,20.702317,249.174056
1.400000,5.310000,4.500000,0.917951,20.713012,247.544885
1.400000,5.330000,4.583333,0.934735,20.716578,249.174056
1.400000,5.350000,4.666667,0.950512,20.714795,250.825257
1.500000,5.510000,4.750000,0.966296,20.713012,247.544885
1.400000,5.590000,4.833333,0.982075,20.716578,247.544885
1.400000,5.750000,4.916667,1.001192,20.716578,252.498941
1.700000,5.810000,5.000000,1.014531,20.713012,245.937304
1.400000,5.870000,5.083333,1.030329,20.718360,249.174056
1.400000,6.090000,5.166667,1.046105,20.723708,249.174056
1.400000,6.090000,5.250000,1.064115,20.721925,244.350882
1.400000,6.250000,5.333333,1.077980,20.711230,247.544885
1.600000,6.270000,5.416667,1.094793,20.723708,244.350882
1.600000,6.430000,5.500000,1.110599,20.716578,247.544885
1.400000,6.490000,5.583333,1.126378,20.721925,250.825257
1.500000,6.590000,5.666667,1.142293,20.714795,250.825257
1.300000,6.710000,5.750000,1.158130,20.718360,250.825257
1.500000,6.810000,5.833333,1.173916,20.716578,250.825257
1.300000,6.850000,5.916667,1.190859,20.714795,255.915633
1.700000,6.950000,6.000000,1.206709,20.720143,249.174056
1.500000,7.070000,6.083333,1.222495,20.709447,257.659612
1.500000,7.170000,6.166667,1.238282,20.718360,257.659612
1.300000,7.230000,6.250000,1.254051,20.714795,254.195574
1.400000,7.330000,6.333333,1.274137,20.714795,250.825257
1.300000,7.470000,6.416667,1.286017,20.721925,250.825257
1.500000,7.570000,6.500000,1.303913,20.716578,254.195574
1.300000,7.670000,6.583333,1.318365,20.721925,250.825257
1.400000,7.750000,6.666667,1.334177,20.716578,252.498941
1.500000,7.890000,6.750000,1.350041,20.716578,250.825257
1.500000,7.950000,6.833333,1.366853,20.716578,249.174056
1.600000,8.030000,6.916667,1.382689,20.716578,287.071330
1.500000,8.090000,7.000000,1.398560,20.714795,245.937304
