# Date: 20201018
# Operator: DCC
# Notes: 15 in/lb on each nut. Flamingo 3
# Tap_cm: 6.0
# Sample: Flamingo 3
Tap [uV],Shunt [A],Supply [A],Time [S],Hall [T],Cernox [K]
1.600000,0.210000,0.000000,0.041291,20.716578,254.195574
1.500000,0.310000,0.083333,0.051697,20.716578,245.937304
1.700000,0.310000,0.166667,0.058281,20.716578,254.195574
1.600000,0.410000,0.250000,0.072837,20.714795,249.174056
1.700000,0.450000,0.333333,0.089383,20.721925,252.498941
1.700000,0.570000,0.416667,0.104938,20.720143,252.498941
1.700000,0.590000,0.500000,0.121519,20.723708,252.498941
1.500000,0.790000,0.583333,0.137072,20.711230,247.544885
1.700000,0.850000,0.666667,0.152987,20.714795,250.825257
1.600000,0.970000,0.750000,0.169079,20.716578,245.937304
1.600000,1.030000,0.833333,0.184883,20.714795,247.544885
1.500000,1.210000,0.916667,0.204851,20.713012,244.350882
1.700000,1.270000,1.000000,0.216807,20.718360,249.174056
1.700000,1.330000,1.083333,0.233237,20.718360,245.937304
1.500000,1.450000,1.166667,0.249669,20.711230,245.937304
1.700000,1.490000,1.250000,0.264875,20.711230,250.825257
1.900000,1.610000,1.333333,0.280961,20.713012,245.937304
1.500000,1.710000,1.416667,0.296893,20.713012,250.825257
1.700000,1.810000,1.500000,0.312910,20.718360,255.915633
1.400000,1.870000,1.583333,0.329002,20.716578,252.498941
1.400000,1.970000,1.666667,0.344872,20.705882,250.825257
1.700000,2.090000,1.750000,0.360865,20.718360,250.825257
1.600000,2.150000,1.833333,0.376921,20.705882,254.195574
1.500000,2.330000,1.916667,0.393848,20.716578,250.825257
1.900000,2.390000,2.000000,0.409283,20.713012,252.498941
1.700000,2.390000,2.083333,0.424980,20.721925,252.498941
1.600000,2.570000,2.166667,0.440991,20.713012,252.498941
1.600000,2.690000,2.250000,0.457070,20.716578,250.825257
1.600000,2.730000,2.333333,0.473155,20.713012,252.498941
1.400000,2.830000,2.416667,0.489003,20.714795,245.937304
1.800000,2.930000,2.500000,0.504864,20.716578,250.825257
1.600000,2.870000,2.583333,0.520875,20.721925,247.544885
1.600000,3.170000,2.666667,0.537702,20.716578,250.825257
1.700000,3.210000,2.750000,0.552928,20.716578,250.825257
1.600000,3.350000,2.833333,0.569614,20.716578,250.825257
1.800000,3.430000,2.916667,0.585301,20.714795,247.544885
1.300000,3.490000,3.000000,0.600936,20.709447,245.937304
1.800000,3.630000,3.083333,0.616888,20.718360,244.350882
1.700000,3.670000,3.166667,0.632884,20.714795,245.937304
1.800000,3.830000,3.250000,0.649570,20.716578,247.544885
1.600000,3.870000,3.333333,0.665207,20.713012,249.174056
1.800000,3.990000,3.416667,0.680805,20.716578,247.544885
1.600000,4.090000,3.500000,0.696927,20.716578,249.174056
1.700000,4.170000,3.583333,0.712890,20.714795,250.825257
1.500000,4.330000,3.666667,0.730703,20.720143,250.825257
1.900000,4.350000,3.750000,0.747163,20.707665,250.825257
1.700000,4.450000,3.833333,0.763142,20.713012,250.825257
1.600000,4.570000,3.916667,0.781569,20.718360,250.825257
1.600000,4.650000,4.000000,0.795115,20.716578,254.195574
1.600000,4.770000,4.083333,0.810555,20.713012,254.195574
1.600000,4.890000,4.166667,0.834270,20.723708,244.350882
1.700000,4.890000,4.250000,0.841209,20.716578,252.498941
1.600000,5.030000,4.333333,0.856824,20.709447,252.498941
1.800000,5.130000,4.416667,0.873370,20.707665,247.544885
1.600000,5.230000,4.500000,0.888966,20.718360,252.498941
1.700000,5.310000,4.583333,0.904884,20.716578,252.498941
1.700000,5.410000,4.666667,0.920973,20.718360,250.825257
1.800000,5.490000,4.750000,0.936867,20.714795,250.825257
1.600000,5.530000,4.833333,0.952865,20.705882,244.350882
1.700000,5.690000,4.916667,0.969616,20.711230,250.825257
1.500000,5.810000,5.000000,0.984876,20.709447,247.544885
1.600000,5.910000,5.083333,1.001499,20.713012,247.544885
2.000000,6.030000,5.166667,1.017093,20.716578,244.350882
1.600000,6.050000,5.250000,1.032679,20.718360,244.350882
1.800000,6.130000,5.333333,1.049221,20.716578,247.544885
1.600000,6.290000,5.416667,1.064749,20.713012,249.174056
1.700000,6.390000,5.500000,1.081329,20.711230,249.174056
1.800000,6.450000,5.583333,1.097132,20.714795,250.825257
1.800000,6.590000,5.666667,1.112760,20.714795,249.174056
1.700000,6.710000,5.750000,1.132177,20.711230,247.544885
1.500000,6.730000,5.833333,1.145589,20.713012,254.195574
1.400000,6.850000,5.916667,1.161671,20.713012,252.498941
