# Date: 20201020
# Operator: DCC
# Notes: 15 in/lb on each nut. Flapjack Outer MIT232-2
# Tap_cm: 6.0
# Sample: Flapjack Outer MIT232-2
Tap [uV],Shunt [A],Supply [A],Time [S],Hall [T],Cernox [K]
1.000000,0.250000,0.000000,0.054895,20.714795,247.544885
0.700000,0.330000,0.083333,0.076070,20.711230,254.195574
0.900000,0.370000,0.166667,0.086669,20.718360,245.937304
0.900000,0.450000,0.250000,0.102024,20.720143,249.174056
0.900000,0.530000,0.333333,0.118001,20.713012,254.195574
1.000000,0.590000,0.416667,0.134948,20.709447,255.915633
0.700000,0.750000,0.500000,0.150345,20.714795,252.498941
0.700000,0.850000,0.583333,0.165972,20.714795,254.195574
0.600000,0.930000,0.666667,0.182898,20.714795,255.915633
0.600000,0.990000,0.750000,0.198864,20.720143,257.659612
0.700000,1.070000,0.833333,0.214889,20.714795,249.174056
0.800000,1.230000,0.916667,0.229984,20.716578,259.428015
0.600000,1.270000,1.000000,0.246917,20.713012,257.659612
0.800000,1.350000,1.083333,0.262881,20.713012,255.915633
0.900000,1.490000,1.166667,0.278848,20.711230,257.659612
0.800000,1.530000,1.250000,0.294866,20.713012,259.428015
1.000000,1.610000,1.333333,0.310749,20.714795,247.544885
0.700000,1.730000,1.416667,0.325978,20.711230,252.498941
0.800000,1.810000,1.500000,0.342971,20.709447,250.825257
0.900000,1.910000,1.583333,0.366336,20.727273,250.825257
0.800000,1.970000,1.666667,0.374838,20.720143,249.174056
0.800000,2.130000,1.750000,0.393983,20.718360,254.195574
1.000000,2.190000,1.833333,0.406929,20.714795,252.498941
1.000000,2.270000,1.916667,0.423002,20.721925,247.544885
0.800000,2.410000,2.000000,0.437851,20.713012,250.825257
1.000000,2.450000,2.083333,0.454708,20.711230,249.174056
1.000000,2.630000,2.166667,0.470564,20.714795,247.544885
0.900000,2.670000,2.250000,0.486370,20.721925,252.498941
0.900000,2.690000,2.333333,0.502186,20.713012,250.825257
1.000000,2.870000,2.416667,0.517987,20.716578,247.544885
0.700000,2.950000,2.500000,0.533867,20.737968,245.937304
0.800000,3.090000,2.583333,0.550806,20.721925,250.825257
0.800000,3.130000,2.666667,0.566635,20.714795,254.195574
0.800000,3.290000,2.750000,0.584667,20.716578,249.174056
0.700000,3.370000,2.833333,0.598526,20.716578,254.195574
0.700000,3.410000,2.916667,0.614339,20.713012,257.659612
1.000000,3.550000,3.000000,0.630157,20.711230,254.195574
1.000000,3.670000,3.083333,0.645958,20.709447,252.498941
0.700000,3.710000,3.166667,0.665696,20.720143,257.659612
1.000000,3.730000,3.250000,0.678013,20.720143,255.915633
0.900000,3.870000,3.333333,0.693879,20.718360,250.825257
0.800000,4.030000,3.416667,0.710693,20.707665,252.498941
0.700000,4.110000,3.500000,0.726485,20.716578,254.195574
0.700000,4.150000,3.583333,0.742303,20.721925,249.174056
0.800000,4.310000,3.666667,0.760146,20.711230,252.498941
0.800000,4.410000,3.750000,0.781363,20.720143,254.195574
0.900000,4.510000,3.833333,0.792600,20.711230,252.498941
1.000000,4.590000,3.916667,0.808743,20.721925,254.195574
0.800000,4.670000,4.000000,0.823878,20.714795,247.544885
0.800000,4.730000,4.083333,0.840041,20.713012,247.544885
0.900000,4.810000,4.166667,0.855604,20.730838,249.174056
0.800000,5.010000,4.250000,0.870448,20.713012,249.174056
0.700000,5.070000,4.333333,0.886258,20.704100,250.825257
0.900000,5.130000,4.416667,0.902066,20.713012,252.498941
0.900000,5.210000,4.500000,0.917872,20.711230,252.498941
0.900000,5.370000,4.583333,0.934705,20.716578,249.174056
0.700000,5.450000,4.666667,0.950549,20.709447,254.195574
0.900000,5.510000,4.750000,0.969093,20.718360,252.498941
0.900000,5.610000,4.833333,0.982283,20.709447,254.195574
1.000000,5.650000,4.916667,0.998106,20.711230,250.825257
1.000000,5.850000,5.000000,1.013945,20.713012,259.428015
0.900000,5.890000,5.083333,1.030741,20.711230,255.915633
0.900000,5.970000,5.166667,1.046657,20.718360,255.915633
0.900000,6.230000,5.250000,1.062761,20.720143,255.915633
1.100000,6.170000,5.333333,1.078622,20.713012,252.498941
0.800000,6.270000,5.416667,1.094428,20.720143,255.915633
0.700000,6.390000,5.500000,1.110263,20.709447,252.498941
0.600000,6.470000,5.583333,1.126067,20.711230,250.825257
0.900000,6.610000,5.666667,1.141874,20.716578,250.825257
1.000000,6.690000,5.750000,1.161255,20.713012,252.498941
1.000000,6.710000,5.833333,1.174095,20.718360,250.825257
0.900000,6.830000,5.916667,1.189896,20.709447,250.825257
1.100000,6.950000,6.000000,1.206706,20.718360,249.174056
0.800000,7.050000,6.083333,1.222519,20.709447,245.937304
0.800000,7.170000,6.166667,1.238315,20.714795,247.544885
1.200000,7.250000,6.250000,1.254103,20.716578,247.544885
0.900000,7.330000,6.333333,1.270305,20.716578,249.174056
0.800000,7.670000,6.416667,1.286664,20.714795,249.174056
0.800000,7.630000,6.500000,1.302568,20.711230,247.544885
1.100000,7.670000,6.583333,1.318409,20.713012,252.498941
0.800000,7.730000,6.666667,1.334214,20.714795,250.825257
0.900000,7.810000,6.750000,1.350037,20.720143,255.915633
0.600000,7.910000,6.833333,1.366296,20.714795,250.825257
0.900000,8.030000,6.916667,1.382199,20.721925,254.195574
0.900000,8.050000,7.000000,1.398011,20.714795,254.195574
0.800000,8.230000,7.083333,1.413835,20.707665,257.659612
1.000000,8.350000,7.166667,1.430680,20.707665,254.195574
1.000000,8.470000,7.250000,1.446473,20.709447,255.915633
1.000000,8.490000,7.333333,1.462327,20.714795,255.915633
0.800000,8.570000,7.416667,1.478135,20.723708,254.195574
0.800000,8.710000,7.500000,1.493925,20.713012,249.174056
1.000000,8.790000,7.583333,1.510705,20.709447,257.659612
0.900000,8.870000,7.666667,1.526481,20.714795,252.498941
1.000000,8.990000,7.750000,1.542420,20.716578,254.195574
0.900000,9.150000,7.833333,1.578238,20.720143,252.498941
0.900000,9.150000,7.916667,1.594617,20.718360,254.195574
0.900000,9.250000,8.000000,1.610783,20.707665,252.498941
0.900000,9.330000,8.083333,1.626881,20.720143,250.825257
1.000000,9.430000,8.166667,1.641977,20.720143,252.498941
0.900000,9.490000,8.250000,1.658062,20.721925,245.937304
0.900000,9.550000,8.333333,1.672562,20.718360,252.498941
1.000000,9.710000,8.416667,1.688373,20.714795,245.937304
0.800000,9.830000,8.500000,1.704183,20.718360,250.825257
1.100000,9.930000,8.583333,1.720082,20.709447,250.825257
0.900000,10.050000,8.666667,1.735884,20.713012,247.544885
0.900000,10.090000,8.750000,1.752663,20.718360,249.174056
1.000000,10.190000,8.833333,1.769019,20.711230,249.174056
0.900000,10.310000,8.916667,1.784919,20.716578,272.536384
1.200000,10.430000,9.000000,1.800816,20.718360,252.498941
0.900000,10.470000,9.083333,1.816634,20.713012,250.825257
1.000000,10.650000,9.166667,1.832418,20.716578,254.195574
0.900000,10.670000,9.250000,1.848231,20.714795,255.915633
0.800000,10.790000,9.333333,1.865551,20.711230,255.915633
1.000000,10.910000,9.416667,1.880872,20.707665,257.659612
1.100000,10.970000,9.500000,1.896698,20.711230,254.195574
1.000000,11.010000,9.583333,1.912500,20.720143,254.195574
0.800000,11.130000,9.666667,1.928304,20.716578,252.498941
0.800000,11.270000,9.750000,1.944078,20.707665,252.498941
0.800000,11.410000,9.833333,1.961456,20.714795,254.195574
0.900000,11.450000,9.916667,1.976306,20.721925,249.174056
1.000000,11.570000,10.000000,1.992107,20.721925,250.825257
0.800000,11.630000,10.083333,2.007891,20.713012,249.174056
0.900000,11.730000,10.166667,2.024720,20.718360,247.544885
1.100000,11.870000,10.250000,2.040666,20.711230,247.544885
0.900000,11.910000,10.333333,2.056507,20.714795,247.544885
0.800000,12.110000,10.416667,2.072316,20.716578,249.174056
1.000000,12.150000,10.500000,2.088160,20.716578,249.174056
1.000000,12.250000,10.583333,2.104041,20.716578,249.174056
1.000000,12.390000,10.666667,2.120861,20.716578,244.350882
0.900000,12.410000,10.750000,2.136655,20.718360,245.937304
1.000000,12.530000,10.833333,2.152449,20.718360,252.498941
1.000000,12.630000,10.916667,2.174912,20.721925,250.825257
1.100000,12.630000,11.000000,2.184814,20.716578,254.195574
1.000000,12.790000,11.083333,2.200609,20.720143,252.498941
0.800000,12.910000,11.166667,2.216410,20.716578,255.915633
0.600000,12.970000,11.250000,2.232222,20.716578,252.498941
0.900000,13.110000,11.333333,2.248014,20.718360,255.915633
0.900000,13.110000,11.416667,2.264800,20.714795,257.659612
0.800000,13.290000,11.500000,2.280608,20.711230,261.221364
1.000000,13.410000,11.583333,2.296517,20.716578,254.195574
0.900000,13.490000,11.666667,2.312358,20.714795,254.195574
1.000000,13.550000,11.750000,2.328160,20.718360,252.498941
0.700000,13.630000,11.833333,2.343957,20.711230,254.195574
0.900000,13.750000,11.916667,2.361466,20.721925,255.915633
1.000000,13.730000,12.000000,2.377812,20.713012,255.915633
0.900000,13.990000,12.083333,2.394878,20.707665,257.659612
1.200000,14.090000,12.166667,2.410100,20.711230,250.825257
1.100000,14.170000,12.250000,2.426138,20.718360,254.195574
1.000000,14.270000,12.333333,2.442716,20.716578,250.825257
0.800000,14.370000,12.416667,2.468435,20.716578,250.825257
0.900000,14.430000,12.500000,2.481567,20.720143,252.498941
0.800000,14.470000,12.583333,2.488786,20.711230,242.785204
0.800000,14.610000,12.666667,2.504705,20.718360,249.174056
0.900000,14.750000,12.750000,2.520551,20.720143,245.937304
0.900000,14.810000,12.833333,2.536498,20.730838,249.174056
1.000000,14.970000,12.916667,2.552455,20.720143,249.174056
0.900000,15.030000,13.000000,2.568420,20.716578,252.498941
0.800000,15.070000,13.083333,2.584254,20.720143,250.825257
0.900000,15.250000,13.166667,2.600062,20.709447,257.659612
0.900000,15.330000,13.250000,2.616858,20.716578,252.498941
1.000000,15.390000,13.333333,2.632670,20.716578,254.195574
0.800000,15.510000,13.416667,2.648486,20.720143,257.659612
0.800000,15.550000,13.500000,2.664279,20.716578,257.659612
