# Date: 20201020
# Operator: DCC
# Notes: 15 in/lb on each nut. Hawk A 351-L 754.54-754.42
# Tap_cm: 6.0
# Sample: Hawk A 351-L 754.54-754.42
Tap [uV],Shunt [A],Supply [A],Time [S],Hall [T],Cernox [K]
1.500000,0.330000,0.000000,0.038368,20.714795,247.544885
1.400000,0.310000,0.083333,0.049704,20.713012,249.174056
1.300000,0.330000,0.166667,0.056221,20.721925,252.498941
1.400000,0.390000,0.250000,0.071764,20.716578,252.498941
1.500000,0.490000,0.333333,0.088313,20.711230,247.544885
1.500000,0.530000,0.416667,0.103870,20.716578,272.536384
1.600000,0.730000,0.500000,0.120510,20.721925,249.174056
1.400000,0.830000,0.583333,0.136075,20.713012,244.350882
1.300000,0.910000,0.666667,0.152671,20.714795,245.937304
1.400000,0.990000,0.750000,0.168226,20.720143,245.937304
1.700000,1.070000,0.833333,0.184046,20.705882,245.937304
1.700000,1.230000,0.916667,0.200654,20.714795,247.544885
1.500000,1.270000,1.000000,0.230764,20.680927,252.498941
1.700000,1.350000,1.083333,0.237508,20.714795,242.785204
1.500000,1.350000,1.166667,0.248380,20.714795,249.174056
1.600000,1.490000,1.250000,0.264271,20.711230,242.785204
1.500000,1.670000,1.333333,0.280211,20.713012,238.208608
1.300000,1.710000,1.416667,0.296612,20.718360,274.520239
1.400000,1.850000,1.500000,0.312747,20.713012,282.759454
1.400000,1.910000,1.583333,0.328698,20.709447,274.520239
1.400000,2.010000,1.666667,0.344587,20.711230,276.533787
1.500000,2.230000,1.750000,0.360600,20.709447,280.652687
1.400000,2.230000,1.833333,0.376528,20.713012,280.652687
1.500000,2.250000,1.916667,0.392438,20.718360,263.040192
1.400000,2.350000,2.000000,0.408276,20.714795,257.659612
1.400000,2.470000,2.083333,0.424832,20.711230,255.915633
1.400000,2.670000,2.166667,0.440426,20.723708,250.825257
1.500000,2.710000,2.250000,0.455961,20.713012,247.544885
1.400000,2.530000,2.333333,0.472583,20.693405,252.498941
1.500000,2.850000,2.416667,0.488201,20.709447,250.825257
1.600000,2.930000,2.500000,0.503757,20.709447,247.544885
1.500000,3.050000,2.583333,0.524392,20.720143,255.915633
1.700000,3.150000,2.666667,0.536465,20.709447,247.544885
1.400000,3.250000,2.750000,0.552103,20.713012,245.937304
1.400000,3.370000,2.833333,0.568691,20.709447,245.937304
1.700000,3.450000,2.916667,0.584245,20.713012,249.174056
1.600000,3.530000,3.000000,0.599769,20.711230,249.174056
1.400000,3.630000,3.083333,0.619546,20.711230,250.825257
1.400000,3.670000,3.166667,0.632152,20.714795,250.825257
1.500000,3.810000,3.250000,0.648754,20.709447,249.174056
1.500000,3.950000,3.333333,0.664306,20.718360,252.498941
1.500000,4.050000,3.416667,0.679839,20.709447,250.825257
1.500000,4.070000,3.500000,0.696639,20.713012,287.071330
1.500000,4.170000,3.583333,0.714197,20.713012,254.195574
1.300000,4.250000,3.666667,0.729617,20.707665,255.915633
1.500000,4.390000,3.750000,0.746101,20.718360,252.498941
1.600000,4.490000,3.833333,0.768443,20.707665,245.937304
1.500000,4.550000,3.916667,0.778124,20.709447,250.825257
1.500000,4.650000,4.000000,0.793576,20.714795,259.428015
1.500000,4.830000,4.083333,0.808332,20.716578,266.756509
