# Date: 20201021
# Operator: DCC
# Notes: 8. 15 in/lb on each nut
# Tap_cm: 6.0
# Sample: 8
Tap [uV],Shunt [A],Supply [A],Time [S],Hall [T],Cernox [K]
1.400000,0.370000,0.000000,0.063419,20.711230,254.195574
1.400000,0.370000,0.083333,0.084284,20.713012,255.915633
1.300000,0.290000,0.166667,0.091698,20.709447,242.785204
1.300000,0.430000,0.250000,0.101893,20.716578,254.195574
1.200000,0.510000,0.333333,0.119927,20.707665,245.937304
1.500000,0.610000,0.416667,0.134070,20.711230,250.825257
1.500000,0.790000,0.500000,0.150358,20.713012,263.040192
1.300000,0.890000,0.583333,0.166557,20.714795,250.825257
1.300000,0.750000,0.666667,0.185669,20.711230,252.498941
1.400000,0.950000,0.750000,0.198151,20.720143,249.174056
1.100000,1.090000,0.833333,0.214263,20.711230,255.915633
1.400000,1.170000,0.916667,0.230298,20.714795,250.825257
1.400000,1.250000,1.000000,0.246438,20.739750,255.915633
1.400000,1.310000,1.083333,0.263819,20.711230,250.825257
1.200000,1.410000,1.166667,0.280365,20.698752,254.195574
1.300000,1.630000,1.250000,0.319354,20.709447,252.498941
1.600000,1.670000,1.333333,0.335288,20.711230,254.195574
1.400000,1.750000,1.416667,0.351488,20.709447,254.195574
1.300000,1.790000,1.500000,0.365192,20.713012,257.659612
1.400000,1.990000,1.583333,0.381898,20.714795,254.195574
1.100000,1.990000,1.666667,0.398688,20.718360,252.498941
1.100000,2.110000,1.750000,0.413166,20.707665,252.498941
1.300000,2.270000,1.833333,0.430519,20.739750,250.825257
1.300000,1.690000,1.916667,0.447133,20.716578,254.195574
1.500000,2.410000,2.000000,0.461866,20.720143,249.174056
1.400000,2.590000,2.083333,0.479654,20.716578,249.174056
1.500000,2.690000,2.166667,0.493887,20.711230,245.937304
1.300000,2.770000,2.250000,0.509909,20.709447,249.174056
1.300000,2.790000,2.333333,0.525356,20.709447,263.040192
1.200000,2.130000,2.416667,0.541140,20.705882,245.937304
1.500000,3.090000,2.500000,0.557918,20.713012,245.937304
1.500000,2.790000,2.583333,0.574437,20.702317,244.350882
1.400000,3.190000,2.666667,0.588963,20.675579,241.239861
1.600000,3.270000,2.750000,0.613123,20.721925,249.174056
1.500000,3.250000,2.833333,0.621762,20.709447,249.174056
1.200000,3.390000,2.916667,0.644201,20.705882,245.937304
1.300000,3.590000,3.000000,0.654681,20.691622,250.825257
1.200000,3.590000,3.083333,0.669202,20.691622,252.498941
1.200000,3.750000,3.166667,0.685857,20.709447,252.498941
1.400000,3.730000,3.250000,0.702203,20.695187,250.825257
1.300000,3.950000,3.333333,0.717775,20.709447,252.498941
1.500000,4.170000,3.416667,0.733116,20.711230,255.915633
1.400000,4.050000,3.500000,0.751362,20.705882,235.254074
1.300000,4.350000,3.583333,0.765295,20.705882,254.195574
1.400000,4.030000,3.666667,0.782437,20.707665,250.825257
1.300000,4.350000,3.750000,0.800411,20.711230,255.915633
1.300000,4.510000,3.833333,0.813059,20.725490,236.721935
1.600000,4.430000,3.916667,0.831445,20.711230,254.195574
1.200000,4.670000,4.000000,0.844929,20.695187,249.174056
1.500000,4.810000,4.083333,0.866423,20.709447,254.195574
1.300000,5.030000,4.166667,0.878093,20.705882,263.040192
