# Date: 20201021
# Operator: DCC
# Notes: PP2-2 Inside Inner Joint. 15 in/lb on each nut
# Tap_cm: 6.0
# Sample: PP2-2 Inside Inner Joint
Tap [uV],Shunt [A],Supply [A],Time [S],Hall [T],Cernox [K]
1.100000,0.410000,0.000000,0.057048,21.459893,247.544885
1.000000,0.310000,0.083333,0.079279,21.461676,255.915633
0.900000,0.330000,0.166667,0.088307,21.459893,247.544885
1.200000,0.490000,0.250000,0.104870,21.463458,245.937304
1.000000,0.530000,0.333333,0.120402,21.467023,245.937304
1.000000,0.610000,0.416667,0.136955,21.465241,250.825257
0.900000,0.690000,0.500000,0.152468,21.461676,245.937304
0.900000,0.890000,0.583333,0.169517,21.488414,249.174056
1.200000,0.850000,0.666667,0.184226,21.461676,242.785204
1.000000,1.010000,0.750000,0.204675,21.465241,247.544885
1.300000,1.050000,0.833333,0.216261,21.477718,250.825257
1.200000,1.190000,0.916667,0.232774,21.458111,250.825257
1.400000,1.270000,1.000000,0.248342,21.461676,245.937304
1.200000,1.370000,1.083333,0.265159,21.467023,249.174056
1.100000,1.510000,1.166667,0.280787,21.461676,254.195574
1.000000,1.590000,1.250000,0.296327,21.465241,249.174056
1.000000,1.630000,1.333333,0.312934,21.459893,254.195574
1.000000,1.790000,1.416667,0.329460,21.493761,255.915633
1.200000,1.810000,1.500000,0.345161,21.463458,254.195574
1.400000,1.930000,1.583333,0.361110,21.463458,257.659612
1.100000,1.990000,1.666667,0.378400,21.463458,230.959832
1.000000,2.110000,1.750000,0.393844,21.461676,252.498941
1.000000,2.210000,1.833333,0.409125,21.461676,254.195574
1.000000,2.250000,1.916667,0.424464,21.465241,250.825257
1.100000,2.370000,2.000000,0.442482,21.465241,255.915633
1.100000,2.490000,2.083333,0.457212,21.461676,249.174056
1.200000,2.610000,2.166667,0.473182,21.461676,245.937304
1.100000,2.710000,2.250000,0.489258,21.463458,247.544885
1.200000,2.770000,2.333333,0.505274,21.461676,247.544885
1.000000,2.870000,2.416667,0.521352,21.463458,245.937304
0.900000,3.010000,2.500000,0.537189,21.461676,245.937304
1.300000,3.050000,2.583333,0.553364,21.461676,245.937304
1.000000,3.170000,2.666667,0.569327,21.461676,249.174056
1.100000,3.170000,2.750000,0.584250,21.461676,245.937304
1.200000,3.390000,2.833333,0.602078,21.458111,247.544885
1.200000,3.410000,2.916667,0.617828,21.461676,247.544885
1.100000,3.510000,3.000000,0.633538,21.467023,245.937304
1.300000,3.650000,3.083333,0.649798,21.461676,249.174056
