# Date: 20201021
# Operator: DCC
# Notes: Flamingo 5. 15 in/lb on each nut
# Tap_cm: 6.0
# Sample: Flamingo 5
# Fit of Tap:
#	Ic = 117 +/- 1 A
#	n = 50 +/- 4.5 
#	Vc = 6 uV
#	Vfloor = 1.18 +/- 3.6e+27 uV
#	R = 8.19 +/- 2.6e+06 Ohms
Tap [uV],Shunt [A],Supply [A],Time [S],Hall [T],Cernox [K]
1.200000,0.290000,0.000000,0.068799,21.449198,254.195574
1.000000,0.330000,0.083333,0.099430,21.463458,254.195574
1.200000,0.330000,0.166667,0.108922,21.463458,250.825257
1.100000,0.330000,0.250000,0.116034,21.461676,255.915633
1.200000,0.470000,0.333333,0.128607,21.463458,254.195574
1.200000,0.590000,0.416667,0.144165,21.463458,252.498941
1.200000,0.690000,0.500000,0.160730,21.461676,250.825257
1.100000,0.810000,0.583333,0.176288,21.465241,278.577704
1.000000,0.950000,0.666667,0.192887,21.488414,252.498941
1.200000,0.970000,0.750000,0.208572,21.461676,249.174056
1.000000,1.090000,0.833333,0.224159,21.463458,244.350882
0.900000,1.210000,0.916667,0.240744,21.463458,250.825257
1.000000,1.290000,1.000000,0.256285,21.463458,245.937304
1.100000,1.410000,1.083333,0.271810,21.465241,249.174056
1.300000,1.470000,1.166667,0.288350,21.461676,247.544885
1.100000,1.630000,1.250000,0.303908,21.467023,249.174056
0.900000,1.650000,1.333333,0.320438,21.465241,250.825257
1.200000,1.770000,1.416667,0.335987,21.458111,250.825257
1.200000,1.870000,1.500000,0.351967,21.461676,249.174056
1.300000,1.570000,1.583333,0.376522,21.463458,250.825257
1.100000,1.930000,1.666667,0.384797,21.463458,252.498941
0.900000,2.110000,1.750000,0.400052,21.465241,252.498941
1.200000,2.410000,1.833333,0.415951,21.467023,254.195574
1.200000,2.250000,1.916667,0.432039,21.465241,250.825257
1.100000,2.350000,2.000000,0.447941,21.465241,257.659612
1.200000,2.450000,2.083333,0.464354,21.465241,257.659612
1.000000,2.590000,2.166667,0.480053,21.467023,254.195574
1.100000,2.650000,2.250000,0.496325,21.463458,255.915633
1.200000,2.750000,2.333333,0.512086,21.463458,255.915633
1.200000,2.890000,2.416667,0.528047,21.467023,250.825257
1.000000,2.970000,2.500000,0.544039,21.465241,254.195574
0.900000,3.090000,2.583333,0.560050,21.465241,249.174056
1.200000,3.130000,2.666667,0.576038,21.465241,250.825257
1.200000,3.210000,2.750000,0.592422,21.461676,254.195574
1.200000,3.350000,2.833333,0.607935,21.461676,250.825257
1.100000,3.430000,2.916667,0.623976,21.463458,249.174056
1.100000,3.570000,3.000000,0.639963,21.459893,249.174056
1.100000,3.670000,3.083333,0.655932,21.459893,245.937304
1.000000,3.750000,3.166667,0.675188,21.463458,252.498941
1.200000,3.830000,3.250000,0.688141,21.461676,245.937304
1.300000,3.890000,3.333333,0.703953,21.465241,247.544885
1.000000,3.950000,3.416667,0.720544,21.461676,250.825257
1.100000,4.130000,3.500000,0.736111,21.459893,250.825257
1.200000,4.210000,3.583333,0.752656,21.461676,252.498941
1.000000,4.310000,3.666667,0.768185,21.463458,254.195574
1.100000,4.470000,3.750000,0.784946,21.429590,250.825257
1.000000,4.550000,3.833333,0.802495,21.427807,249.174056
1.300000,4.550000,3.916667,0.817952,21.433155,254.195574
1.100000,4.630000,4.000000,0.834374,21.431373,249.174056
1.000000,4.770000,4.083333,0.849798,21.431373,249.174056
1.200000,4.890000,4.166667,0.866293,21.431373,254.195574
1.200000,4.990000,4.250000,0.881752,21.431373,257.659612
1.400000,5.050000,4.333333,0.898163,21.433155,254.195574
1.300000,5.130000,4.416667,0.913590,21.427807,250.825257
1.200000,5.230000,4.500000,0.930191,21.431373,254.195574
1.100000,5.310000,4.583333,0.945766,21.427807,252.498941
1.100000,5.470000,4.666667,0.962275,21.426025,250.825257
1.300000,5.570000,4.750000,0.995262,21.463458,252.498941
1.100000,5.590000,4.833333,1.011020,21.459893,249.174056
