# Date: 20201021
# Operator: DCC
# Notes: Flamingo 5. 15 in/lb on each nut
# Tap_cm: 6.0
# Sample: Flamingo 5
# Fit of Tap:
#	Ic = 155 +/- 0.4 A
#	n = 42.7 +/- 2.4 
#	Vc = 6 uV
#	Vfloor = 2.04 +/- 59 uV
#	R = 0.000101 +/- 3.2e-05 Ohms
Tap [uV],Shunt [A],Supply [A],Time [S],Hall [T],Cernox [K]
1.300000,0.390000,0.000000,0.047666,21.458111,245.937304
0.900000,0.250000,0.083333,0.069568,21.499109,255.915633
1.100000,0.330000,0.166667,0.084877,21.463458,250.825257
1.300000,0.450000,0.250000,0.100458,21.461676,245.937304
1.100000,0.490000,0.333333,0.116078,21.461676,249.174056
1.100000,0.570000,0.416667,0.132637,21.461676,247.544885
1.100000,0.750000,0.500000,0.148195,21.461676,245.937304
1.300000,0.850000,0.583333,0.164722,21.459893,245.937304
1.200000,0.910000,0.666667,0.180234,21.465241,249.174056
1.200000,0.990000,0.750000,0.196750,21.467023,247.544885
1.000000,1.070000,0.833333,0.212277,21.467023,249.174056
1.100000,1.210000,0.916667,0.228766,21.465241,247.544885
1.000000,1.270000,1.000000,0.244340,21.463458,249.174056
1.100000,1.390000,1.083333,0.260141,21.463458,252.498941
1.200000,1.470000,1.166667,0.276777,21.461676,254.195574
1.100000,1.550000,1.250000,0.293156,21.467023,250.825257
1.200000,1.670000,1.333333,0.308319,21.465241,255.915633
1.100000,1.730000,1.416667,0.324905,21.465241,252.498941
1.200000,1.830000,1.500000,0.340435,21.465241,254.195574
1.200000,1.910000,1.583333,0.355944,21.461676,255.915633
1.200000,1.950000,1.666667,0.372503,21.465241,257.659612
1.300000,2.130000,1.750000,0.388016,21.463458,255.915633
1.200000,2.230000,1.833333,0.404521,21.463458,254.195574
0.900000,2.270000,1.916667,0.420045,21.463458,254.195574
1.100000,2.390000,2.000000,0.436896,21.461676,252.498941
1.000000,2.450000,2.083333,0.452524,21.467023,250.825257
1.300000,2.590000,2.166667,0.468058,21.465241,250.825257
1.200000,2.670000,2.250000,0.484573,21.463458,247.544885
1.200000,2.790000,2.333333,0.500080,21.461676,247.544885
1.100000,2.850000,2.416667,0.516753,21.461676,252.498941
1.200000,2.970000,2.500000,0.532344,21.465241,247.544885
1.200000,3.070000,2.583333,0.547874,21.461676,249.174056
1.200000,3.170000,2.666667,0.564422,21.465241,245.937304
1.000000,3.270000,2.750000,0.587519,21.463458,249.174056
1.200000,3.330000,2.833333,0.596624,21.467023,247.544885
1.300000,3.390000,2.916667,0.612192,21.465241,250.825257
1.200000,3.550000,3.000000,0.628714,21.465241,254.195574
1.000000,3.630000,3.083333,0.644621,21.465241,250.825257
1.200000,3.730000,3.166667,0.660193,21.467023,250.825257
1.000000,3.830000,3.250000,0.676745,21.465241,254.195574
0.900000,3.930000,3.333333,0.692259,21.465241,255.915633
1.200000,3.990000,3.416667,0.710433,21.431373,255.915633
1.100000,4.130000,3.500000,0.725908,21.429590,257.659612
1.100000,4.190000,3.583333,0.742315,21.429590,254.195574
1.000000,4.330000,3.666667,0.757942,21.433155,250.825257
1.100000,4.430000,3.750000,0.774508,21.433155,255.915633
1.300000,4.490000,3.833333,0.789997,21.431373,252.498941
1.200000,4.470000,3.916667,0.806491,21.429590,255.915633
0.900000,4.710000,4.000000,0.822045,21.431373,254.195574
1.000000,4.830000,4.083333,0.838503,21.427807,254.195574
1.100000,4.910000,4.166667,0.859043,21.433155,254.195574
0.900000,4.950000,4.250000,0.870567,21.431373,250.825257
1.000000,5.110000,4.333333,0.894115,21.429590,250.825257
1.400000,5.110000,4.416667,0.903307,21.431373,252.498941
1.100000,5.230000,4.500000,0.916072,21.465241,244.350882
1.200000,5.350000,4.583333,0.932629,21.461676,242.785204
1.100000,5.450000,4.666667,0.948148,21.463458,245.937304
1.100000,5.530000,4.750000,0.964658,21.463458,245.937304
1.100000,5.610000,4.833333,0.980193,21.467023,252.498941
1.100000,6.050000,4.916667,0.996767,21.491979,249.174056
1.200000,5.810000,5.000000,1.012557,21.467023,249.174056
1.300000,5.870000,5.083333,1.028139,21.465241,250.825257
1.300000,6.010000,5.166667,1.044688,21.463458,250.825257
