# Date: 20201021
# Operator: DCC
# Notes: Flamingo 5. 15 in/lb on each nut
# Tap_cm: 6.0
# Sample: Flamingo 5
# Fit of Tap:
#	Ic = 0.192 +/- 21 A
#	n = 1.21 +/- 29 
#	Vc = 6 uV
#	Vfloor = 1.33 +/- 4 uV
#	R = 7.82 +/- 4e+03 Ohms
Tap [uV],Shunt [A],Supply [A],Time [S],Hall [T],Cernox [K]
1.200000,0.010000,0.000000,0.024962,21.470588,244.350882
1.200000,-0.030000,0.083333,0.040590,21.470588,250.825257
1.100000,-0.070000,0.166667,0.056175,21.472371,254.195574
1.100000,-0.090000,0.250000,0.071779,21.470588,252.498941
1.100000,-0.050000,0.333333,0.088382,21.474153,252.498941
1.000000,-0.010000,0.416667,0.103958,21.465241,254.195574
1.200000,-0.050000,0.500000,0.120487,21.465241,250.825257
1.100000,-0.070000,0.583333,0.137494,21.431373,235.254074
1.000000,-0.010000,0.666667,0.154155,21.433155,252.498941
1.100000,0.010000,0.750000,0.169717,21.431373,255.915633
1.200000,0.030000,0.833333,0.186200,21.431373,257.659612
1.200000,-0.030000,0.916667,0.201660,21.427807,254.195574
1.200000,-0.030000,1.000000,0.218271,21.427807,250.825257
1.200000,0.210000,1.083333,0.236688,21.467023,259.428015
1.200000,0.010000,1.166667,0.248304,21.463458,249.174056
1.000000,-0.010000,1.250000,0.264277,21.463458,252.498941
1.200000,0.010000,1.333333,0.280372,21.465241,257.659612
1.300000,-0.050000,1.416667,0.295954,21.461676,249.174056
1.100000,-0.030000,1.500000,0.312522,21.463458,249.174056
1.200000,-0.030000,1.583333,0.328056,21.465241,249.174056
1.200000,0.030000,1.666667,0.344591,21.461676,245.937304
0.900000,-0.070000,1.750000,0.360116,21.461676,247.544885
1.300000,-0.050000,1.833333,0.376639,21.465241,245.937304
1.100000,-0.050000,1.916667,0.392422,21.461676,236.721935
1.100000,-0.050000,2.000000,0.408104,21.461676,249.174056
1.200000,-0.030000,2.083333,0.424656,21.461676,245.937304
1.100000,-0.010000,2.166667,0.440530,21.463458,250.825257
1.300000,-0.110000,2.250000,0.456126,21.461676,252.498941
1.000000,-0.010000,2.333333,0.472078,21.461676,254.195574
1.000000,0.010000,2.416667,0.487734,21.465241,249.174056
1.200000,-0.010000,2.500000,0.504285,21.465241,252.498941
1.000000,-0.070000,2.583333,0.519821,21.465241,257.659612
0.900000,-0.010000,2.666667,0.536337,21.461676,254.195574
1.200000,0.010000,2.750000,0.558769,21.461676,245.937304
1.100000,-0.050000,2.833333,0.567805,21.461676,252.498941
1.300000,-0.010000,2.916667,0.584386,21.465241,255.915633
1.400000,-0.090000,3.000000,0.599945,21.465241,254.195574
0.800000,-0.010000,3.083333,0.616505,21.463458,255.915633
1.200000,-0.010000,3.166667,0.632035,21.465241,252.498941
1.400000,-0.030000,3.250000,0.647933,21.461676,249.174056
1.100000,-0.010000,3.333333,0.664546,21.465241,250.825257
1.000000,-0.030000,3.416667,0.680106,21.465241,252.498941
1.200000,-0.070000,3.500000,0.696648,21.465241,252.498941
1.300000,-0.050000,3.583333,0.712197,21.461676,249.174056
1.100000,-0.050000,3.666667,0.727735,21.465241,242.785204
1.100000,0.010000,3.750000,0.744267,21.463458,247.544885
1.000000,-0.090000,3.833333,0.759795,21.461676,245.937304
0.800000,-0.010000,3.916667,0.776614,21.465241,250.825257
1.100000,-0.030000,4.000000,0.792228,21.463458,244.350882
1.100000,-0.030000,4.083333,0.807790,21.465241,247.544885
1.000000,0.030000,4.166667,0.824347,21.461676,249.174056
1.400000,-0.010000,4.250000,0.839876,21.465241,252.498941
1.200000,-0.050000,4.333333,0.862420,21.461676,249.174056
1.200000,-0.030000,4.416667,0.872438,21.461676,250.825257
1.300000,-0.050000,4.500000,0.888056,21.463458,241.239861
1.200000,-0.010000,4.583333,0.903740,21.467023,257.659612
1.100000,-0.070000,4.666667,0.920299,21.465241,261.221364
1.200000,-0.070000,4.750000,0.935843,21.465241,257.659612
1.100000,-0.010000,4.833333,0.954179,21.431373,252.498941
1.100000,-0.010000,4.916667,0.969750,21.431373,252.498941
1.200000,0.010000,5.000000,0.986212,21.433155,257.659612
1.200000,0.010000,5.083333,1.001647,21.433155,254.195574
1.100000,-0.050000,5.166667,1.018172,21.431373,255.915633
1.000000,-0.030000,5.250000,1.033614,21.429590,254.195574
0.900000,-0.030000,5.333333,1.050124,21.431373,252.498941
1.200000,-0.010000,5.416667,1.068984,21.431373,249.174056
