# Date: 20201021
# Operator: DCC
# Notes: Flamingo 4. 15 in/lb on each nut
# Tap_cm: 6.0
# Sample: Flamingo 4
# Fit of Tap:
#	Ic = 77.1 +/- 0.97 A
#	n = 50 +/- 1.2 
#	Vc = 6 uV
#	Vfloor = 5.67 +/- 1.3e+83 uV
#	R = 0.00877 +/- 7.3e+77 Ohms
Tap [uV],Shunt [A],Supply [A],Time [S],Hall [T],Cernox [K]
1.000000,0.370000,0.000000,0.042087,21.502674,261.221364
1.100000,0.370000,0.083333,0.061685,21.461676,250.825257
1.100000,0.410000,0.166667,0.078221,21.433155,245.937304
1.300000,0.430000,0.250000,0.094264,21.445633,245.937304
1.300000,0.630000,0.333333,0.110349,21.431373,250.825257
1.100000,0.690000,0.416667,0.126395,21.431373,252.498941
1.400000,0.850000,0.500000,0.143132,21.434938,255.915633
1.200000,0.830000,0.583333,0.158224,21.431373,249.174056
0.900000,0.970000,0.666667,0.173903,21.443850,252.498941
1.100000,0.970000,0.750000,0.188841,21.465241,254.195574
1.100000,1.130000,0.833333,0.204441,21.483066,252.498941
1.200000,1.210000,0.916667,0.220373,21.481283,259.428015
1.100000,1.150000,1.000000,0.238244,21.465241,255.915633
1.300000,1.370000,1.083333,0.252578,21.474153,252.498941
1.200000,1.490000,1.166667,0.268476,21.475936,255.915633
1.100000,1.570000,1.250000,0.284386,21.483066,252.498941
1.300000,1.650000,1.333333,0.300305,21.486631,250.825257
1.000000,1.770000,1.416667,0.317324,21.459893,249.174056
1.100000,1.850000,1.500000,0.332235,21.483066,252.498941
1.200000,1.950000,1.583333,0.349338,21.461676,250.825257
1.200000,2.030000,1.666667,0.364426,21.474153,249.174056
0.900000,2.070000,1.750000,0.380486,21.468806,244.350882
1.000000,2.250000,1.833333,0.396754,21.461676,247.544885
0.900000,2.250000,1.916667,0.412627,21.465241,249.174056
1.200000,2.370000,2.000000,0.428189,21.463458,245.937304
1.300000,2.530000,2.083333,0.444777,21.461676,244.350882
1.200000,2.610000,2.166667,0.460322,21.463458,250.825257
1.100000,2.690000,2.250000,0.476877,21.463458,247.544885
1.200000,2.790000,2.333333,0.492435,21.465241,252.498941
1.200000,3.130000,2.416667,0.509058,21.465241,250.825257
1.100000,2.990000,2.500000,0.524735,21.465241,250.825257
1.200000,3.070000,2.583333,0.541197,21.459893,247.544885
1.200000,3.130000,2.666667,0.556524,21.463458,250.825257
1.000000,3.310000,2.750000,0.573222,21.465241,254.195574
0.800000,3.410000,2.833333,0.589088,21.465241,252.498941
1.000000,3.470000,2.916667,0.604829,21.463458,255.915633
1.100000,3.530000,3.000000,0.620464,21.463458,252.498941
1.200000,3.610000,3.083333,0.637072,21.463458,255.915633
1.200000,3.670000,3.166667,0.652612,21.463458,254.195574
1.300000,3.770000,3.250000,0.668151,21.463458,254.195574
0.800000,3.910000,3.333333,0.684749,21.459893,252.498941
1.200000,3.990000,3.416667,0.700299,21.463458,249.174056
1.000000,4.070000,3.500000,0.716835,21.465241,250.825257
1.200000,4.190000,3.583333,0.732406,21.463458,250.825257
1.100000,4.310000,3.666667,0.748932,21.463458,252.498941
1.300000,4.470000,3.750000,0.764460,21.463458,247.544885
1.200000,4.470000,3.833333,0.780503,21.465241,247.544885
1.300000,4.630000,3.916667,0.797125,21.465241,247.544885
1.000000,4.690000,4.000000,0.812663,21.461676,249.174056
1.200000,4.870000,4.083333,0.835188,21.461676,252.498941
1.000000,4.870000,4.166667,0.844974,21.497326,242.785204
1.100000,4.970000,4.250000,0.860720,21.463458,249.174056
1.200000,5.070000,4.333333,0.876327,21.465241,249.174056
1.200000,5.210000,4.416667,0.894697,21.429590,247.544885
1.000000,5.250000,4.500000,0.910156,21.433155,250.825257
1.200000,5.370000,4.583333,0.926665,21.431373,249.174056
1.100000,5.430000,4.666667,0.942148,21.427807,247.544885
1.100000,5.550000,4.750000,0.958634,21.431373,250.825257
1.200000,5.610000,4.833333,0.977488,21.431373,241.239861
1.100000,5.670000,4.916667,0.988391,21.465241,254.195574
1.100000,5.790000,5.000000,1.004946,21.461676,257.659612
1.000000,5.870000,5.083333,1.020466,21.463458,255.915633
1.100000,6.010000,5.166667,1.037010,21.465241,252.498941
1.200000,6.050000,5.250000,1.052542,21.465241,252.498941
1.100000,6.210000,5.333333,1.069070,21.463458,252.498941
1.000000,6.270000,5.416667,1.084599,21.461676,252.498941
