# Date: 20201022
# Operator: DCC
# Notes: No Name 1. 15 in/lb on each nut
# Tap_cm: 6.0
# Sample: No Name 1
# Fit of Tap:
#	Ic = 31 +/- 0.53 A
#	n = 50 +/- 1.8 
#	Vc = 6 uV
#	Vfloor = 1.5 +/- 1.2e+109 uV
#	R = 1.17 +/- 3.4e+104 Ohms
Tap [uV],Shunt [A],Supply [A],Time [S],Hall [T],Cernox [K]
1.200000,0.370000,0.000000,0.055045,21.456328,242.785204
1.100000,0.330000,0.083333,0.074730,21.465241,242.785204
1.200000,0.330000,0.166667,0.081760,21.459893,254.195574
1.200000,0.410000,0.250000,0.095327,21.458111,254.195574
1.000000,0.470000,0.333333,0.110911,21.456328,255.915633
1.300000,0.610000,0.416667,0.126449,21.458111,250.825257
1.100000,0.670000,0.500000,0.142992,21.456328,249.174056
1.200000,0.810000,0.583333,0.158542,21.458111,249.174056
1.000000,0.870000,0.666667,0.175121,21.459893,247.544885
1.100000,0.990000,0.750000,0.191530,21.456328,242.785204
1.000000,1.130000,0.833333,0.207132,21.459893,245.937304
0.900000,1.250000,0.916667,0.229137,21.458111,232.373366
1.000000,1.270000,1.000000,0.239431,21.456328,247.544885
1.100000,1.370000,1.083333,0.255471,21.456328,250.825257
1.200000,1.450000,1.166667,0.271070,21.458111,249.174056
1.000000,1.470000,1.250000,0.286780,21.458111,252.498941
1.200000,1.610000,1.333333,0.303474,21.459893,247.544885
1.500000,1.730000,1.416667,0.319073,21.456328,249.174056
1.000000,1.850000,1.500000,0.334625,21.465241,255.915633
1.000000,1.930000,1.583333,0.351189,21.458111,257.659612
1.000000,2.010000,1.666667,0.366754,21.458111,254.195574
1.000000,2.150000,1.750000,0.383288,21.461676,259.428015
1.100000,2.210000,1.833333,0.399214,21.458111,254.195574
1.000000,2.270000,1.916667,0.414793,21.458111,255.915633
1.200000,2.370000,2.000000,0.431347,21.459893,257.659612
1.300000,2.470000,2.083333,0.446901,21.458111,252.498941
1.100000,2.610000,2.166667,0.462442,21.458111,252.498941
1.200000,2.650000,2.250000,0.479026,21.459893,259.428015
1.100000,2.770000,2.333333,0.494567,21.461676,250.825257
1.100000,2.870000,2.416667,0.511097,21.456328,250.825257
1.000000,2.930000,2.500000,0.529374,21.465241,255.915633
1.400000,2.990000,2.583333,0.543640,21.458111,252.498941
1.100000,3.170000,2.666667,0.559263,21.459893,247.544885
1.200000,3.270000,2.750000,0.574818,21.459893,247.544885
1.000000,3.370000,2.833333,0.590848,21.456328,249.174056
1.200000,3.470000,2.916667,0.607522,21.458111,249.174056
1.100000,3.470000,3.000000,0.623219,21.458111,249.174056
1.000000,3.630000,3.083333,0.638820,21.458111,247.544885
1.400000,3.770000,3.166667,0.655374,21.459893,247.544885
1.100000,3.770000,3.250000,0.670937,21.456328,247.544885
