# Date: 20201022
# Operator: DCC
# Notes: 248F-1. 15 in/lb on each nut
# Tap_cm: 6.0
# Sample: 248F-1
# Fit of Tap:
#	Ic = 54 +/- 0.61 A
#	n = 50 +/- 5.4 
#	Vc = 6 uV
#	Vfloor = 0.712 +/- 3.8e+32 uV
#	R = 8.25 +/- 1.1e+27 Ohms
Tap [uV],Shunt [A],Supply [A],Time [S],Hall [T],Cernox [K]
1.100000,0.310000,0.000000,0.048256,21.456328,247.544885
1.200000,0.310000,0.083333,0.068309,21.461676,257.659612
1.100000,0.310000,0.166667,0.081174,21.458111,252.498941
0.900000,0.430000,0.250000,0.096409,21.458111,250.825257
1.200000,0.490000,0.333333,0.119970,21.459893,261.221364
1.100000,0.590000,0.416667,0.128267,21.458111,247.544885
1.000000,0.730000,0.500000,0.144492,21.458111,247.544885
1.000000,0.790000,0.583333,0.160453,21.458111,247.544885
1.000000,0.870000,0.666667,0.176433,21.458111,245.937304
1.200000,0.990000,0.750000,0.192435,21.458111,245.937304
1.000000,1.110000,0.833333,0.208427,21.459893,249.174056
1.100000,1.210000,0.916667,0.225702,21.456328,247.544885
1.200000,1.270000,1.000000,0.240450,21.461676,250.825257
1.100000,1.390000,1.083333,0.256419,21.461676,247.544885
1.200000,1.470000,1.166667,0.273690,21.459893,247.544885
1.100000,1.570000,1.250000,0.288700,21.458111,249.174056
1.100000,1.610000,1.333333,0.304421,21.461676,257.659612
1.000000,1.730000,1.416667,0.320423,21.459893,250.825257
1.100000,1.830000,1.500000,0.337047,21.459893,252.498941
1.100000,1.890000,1.583333,0.352605,21.458111,252.498941
1.200000,2.010000,1.666667,0.368154,21.461676,255.915633
1.300000,2.090000,1.750000,0.384689,21.459893,254.195574
1.300000,2.190000,1.833333,0.400248,21.459893,252.498941
1.100000,2.350000,1.916667,0.418721,21.459893,257.659612
1.000000,2.350000,2.000000,0.434216,21.458111,254.195574
1.200000,2.430000,2.083333,0.448443,21.456328,252.498941
1.000000,2.550000,2.166667,0.464466,21.461676,254.195574
1.100000,2.670000,2.250000,0.481054,21.458111,249.174056
1.000000,2.690000,2.333333,0.496607,21.456328,250.825257
1.300000,2.850000,2.416667,0.512205,21.458111,247.544885
1.000000,2.950000,2.500000,0.529970,21.465241,244.350882
1.200000,3.010000,2.583333,0.544748,21.458111,245.937304
1.300000,3.110000,2.666667,0.560330,21.459893,249.174056
1.000000,3.250000,2.750000,0.576926,21.458111,245.937304
1.200000,3.350000,2.833333,0.592484,21.459893,249.174056
1.300000,3.490000,2.916667,0.609044,21.456328,250.825257
1.000000,3.550000,3.000000,0.624635,21.459893,245.937304
1.400000,3.610000,3.083333,0.644738,21.458111,245.937304
1.200000,3.650000,3.166667,0.656384,21.458111,250.825257
1.400000,3.770000,3.250000,0.672977,21.454545,247.544885
1.200000,3.950000,3.333333,0.688507,21.459893,250.825257
1.200000,4.030000,3.416667,0.705042,21.459893,250.825257
0.900000,4.130000,3.500000,0.721373,21.459893,252.498941
1.100000,4.190000,3.583333,0.736416,21.458111,252.498941
1.100000,4.290000,3.666667,0.753040,21.459893,254.195574
1.200000,4.410000,3.750000,0.768591,21.459893,252.498941
1.200000,4.550000,3.833333,0.784236,21.459893,255.915633
1.000000,4.570000,3.916667,0.800892,21.459893,252.498941
1.100000,4.710000,4.000000,0.816452,21.459893,254.195574
1.100000,4.810000,4.083333,0.833054,21.459893,254.195574
1.300000,4.890000,4.166667,0.848602,21.459893,247.544885
1.000000,4.990000,4.250000,0.864941,21.456328,250.825257
0.900000,5.050000,4.333333,0.880520,21.459893,255.915633
1.000000,5.210000,4.416667,0.897067,21.456328,252.498941
1.000000,5.330000,4.500000,0.912615,21.456328,249.174056
1.300000,5.370000,4.583333,0.928163,21.458111,247.544885
1.200000,5.470000,4.666667,0.944722,21.458111,245.937304
