# Date: 20201022
# Operator: DCC
# Notes: 248F-1. 15 in/lb on each nut
# Tap_cm: 6.0
# Sample: 248F-1
# Fit of Tap:
#	Ic = 76.4 +/- 0.8 A
#	n = 50 +/- 1.1 
#	Vc = 6 uV
#	Vfloor = 1.5 +/- 4e+75 uV
#	R = 1.44 +/- 8.5e+66 Ohms
Tap [uV],Shunt [A],Supply [A],Time [S],Hall [T],Cernox [K]
1.000000,0.110000,0.000000,0.042245,21.497326,250.825257
1.100000,0.270000,0.083333,0.070794,21.474153,242.785204
1.200000,0.330000,0.166667,0.087070,21.465241,254.195574
1.000000,0.450000,0.250000,0.102810,21.468806,249.174056
1.000000,0.530000,0.333333,0.118689,21.481283,249.174056
1.100000,0.610000,0.416667,0.138326,21.459893,244.350882
1.200000,0.750000,0.500000,0.151574,21.461676,249.174056
1.100000,0.810000,0.583333,0.167343,21.461676,252.498941
1.000000,0.850000,0.666667,0.183100,21.465241,255.915633
1.100000,1.050000,0.750000,0.203600,21.459893,244.350882
1.000000,1.030000,0.833333,0.215116,21.461676,252.498941
1.200000,1.190000,0.916667,0.230768,21.474153,252.498941
1.300000,1.290000,1.000000,0.247340,21.459893,254.195574
1.300000,1.370000,1.083333,0.262902,21.472371,257.659612
1.200000,1.450000,1.166667,0.279087,21.461676,218.985514
1.400000,1.590000,1.250000,0.294830,21.459893,252.498941
1.100000,1.610000,1.333333,0.310419,21.459893,247.544885
1.100000,1.710000,1.416667,0.327088,21.459893,252.498941
1.100000,1.790000,1.500000,0.342698,21.459893,254.195574
1.000000,1.930000,1.583333,0.359253,21.461676,250.825257
1.100000,1.970000,1.666667,0.374803,21.458111,247.544885
1.100000,2.090000,1.750000,0.392632,21.461676,252.498941
1.100000,2.190000,1.833333,0.407235,21.458111,247.544885
1.200000,2.310000,1.916667,0.429853,21.461676,254.195574
0.900000,2.350000,2.000000,0.438922,21.461676,249.174056
1.200000,2.510000,2.083333,0.455042,21.461676,245.937304
1.200000,2.610000,2.166667,0.470676,21.459893,247.544885
1.200000,2.670000,2.250000,0.487273,21.461676,245.937304
1.200000,2.750000,2.333333,0.502944,21.467023,245.937304
1.200000,2.930000,2.416667,0.519572,21.458111,247.544885
1.200000,2.970000,2.500000,0.535117,21.463458,249.174056
1.100000,3.070000,2.583333,0.550834,21.472371,250.825257
1.000000,3.150000,2.666667,0.567425,21.459893,249.174056
1.000000,3.290000,2.750000,0.583240,21.459893,250.825257
