# Date: 20201022
# Operator: DCC
# Notes: 248F-1. 15 in/lb on each nut
# Tap_cm: 6.0
# Sample: 248F-1
# Fit of Tap:
#	Ic = 191 +/- 1.5e+08 A
#	n = 82.3 +/- 2.2e+08 
#	Vc = 6 uV
#	Vfloor = 1.12 +/- 0.0065 uV
#	R = 0.000203 +/- 8.5e-05 Ohms
Tap [uV],Shunt [A],Supply [A],Time [S],Hall [T],Cernox [K]
0.900000,0.370000,0.000000,0.039331,21.495544,252.498941
1.200000,0.230000,0.083333,0.059351,21.461676,250.825257
1.000000,0.390000,0.166667,0.074165,21.459893,250.825257
1.200000,0.150000,0.250000,0.090563,21.459893,252.498941
1.100000,0.350000,0.333333,0.106396,21.461676,250.825257
0.800000,0.530000,0.416667,0.122342,21.461676,252.498941
1.300000,0.370000,0.500000,0.138626,21.458111,250.825257
1.200000,0.510000,0.583333,0.154501,21.463458,249.174056
1.000000,0.890000,0.666667,0.175694,21.459893,247.544885
1.100000,1.250000,0.750000,0.185894,21.459893,257.659612
1.200000,1.070000,0.833333,0.203702,21.463458,255.915633
1.300000,1.030000,0.916667,0.218319,21.456328,252.498941
1.200000,1.530000,1.000000,0.233941,21.461676,249.174056
1.000000,1.130000,1.083333,0.250800,21.461676,250.825257
1.300000,1.270000,1.166667,0.266683,21.459893,250.825257
1.100000,1.270000,1.250000,0.282669,21.459893,250.825257
1.200000,1.350000,1.333333,0.298559,21.458111,250.825257
1.300000,1.710000,1.416667,0.314459,21.456328,245.937304
1.200000,1.850000,1.500000,0.330036,21.456328,245.937304
1.100000,1.890000,1.583333,0.346565,21.458111,247.544885
1.000000,1.990000,1.666667,0.362094,21.456328,247.544885
1.300000,2.110000,1.750000,0.378617,21.458111,252.498941
1.100000,2.250000,1.833333,0.394514,21.458111,245.937304
1.100000,2.270000,1.916667,0.410089,21.456328,249.174056
1.100000,2.390000,2.000000,0.426620,21.461676,250.825257
1.000000,2.490000,2.083333,0.442162,21.461676,252.498941
1.300000,2.590000,2.166667,0.457970,21.458111,245.937304
0.900000,2.670000,2.250000,0.474149,21.459893,250.825257
