# Date: 20201022
# Operator: DCC
# Notes: 248F-2. 15 in/lb on each nut
# Tap_cm: 5.0
# Sample: 248F-2
# Fit of Tap:
#	Ic = 175 +/- 0.026 A
#	n = 33.1 +/- 0.23 
#	Vc = 5 uV
#	Vfloor = 3.18 +/- 0.0096 uV
#	R = 0.00113 +/- 0.0001 Ohms
Tap [uV],Shunt [A],Supply [A],Time [S],Hall [T],Cernox [K]
2.900000,0.310000,0.000000,0.056862,21.461676,255.915633
2.800000,0.290000,0.083333,0.068939,21.459893,249.174056
2.700000,0.350000,0.166667,0.081018,21.459893,249.174056
2.600000,0.450000,0.250000,0.096619,21.461676,249.174056
2.900000,0.510000,0.333333,0.113164,21.461676,249.174056
2.900000,0.630000,0.416667,0.128672,21.459893,249.174056
2.800000,0.670000,0.500000,0.145217,21.458111,247.544885
2.600000,0.810000,0.583333,0.160946,21.465241,249.174056
2.900000,0.890000,0.666667,0.177683,21.463458,245.937304
2.800000,1.010000,0.750000,0.193708,21.463458,249.174056
3.000000,1.070000,0.833333,0.208702,21.459893,252.498941
2.900000,1.230000,0.916667,0.225336,21.463458,249.174056
2.700000,1.310000,1.000000,0.241337,21.463458,254.195574
2.800000,1.370000,1.083333,0.257285,21.465241,254.195574
2.800000,1.490000,1.166667,0.272922,21.459893,250.825257
2.900000,1.610000,1.250000,0.288962,21.459893,255.915633
2.700000,1.670000,1.333333,0.305229,21.461676,257.659612
2.600000,1.730000,1.416667,0.321195,21.465241,257.659612
2.700000,1.830000,1.500000,0.336871,21.459893,255.915633
2.800000,1.910000,1.583333,0.353362,21.461676,250.825257
2.700000,1.990000,1.666667,0.369284,21.463458,252.498941
2.600000,2.090000,1.750000,0.385390,21.459893,252.498941
2.800000,2.210000,1.833333,0.401310,21.461676,252.498941
2.600000,2.270000,1.916667,0.417363,21.463458,249.174056
2.700000,2.410000,2.000000,0.434202,21.465241,229.563733
3.000000,2.510000,2.083333,0.449086,21.456328,247.544885
2.700000,2.590000,2.166667,0.465383,21.461676,244.350882
2.900000,2.670000,2.250000,0.481267,21.463458,249.174056
2.900000,2.730000,2.333333,0.497339,21.461676,247.544885
2.900000,2.850000,2.416667,0.512908,21.459893,249.174056
2.800000,3.030000,2.500000,0.529428,21.459893,244.350882
2.800000,3.090000,2.583333,0.544957,21.458111,244.350882
2.800000,3.130000,2.666667,0.561474,21.461676,247.544885
2.600000,3.230000,2.750000,0.576989,21.459893,252.498941
2.900000,3.370000,2.833333,0.593327,21.461676,247.544885
2.800000,3.510000,2.916667,0.617630,21.461676,247.544885
2.600000,3.530000,3.000000,0.627411,21.467023,270.581565
2.900000,3.590000,3.083333,0.643916,21.481283,252.498941
2.700000,3.710000,3.166667,0.657446,21.467023,254.195574
3.000000,3.790000,3.250000,0.673313,21.461676,254.195574
2.900000,3.930000,3.333333,0.689681,21.461676,252.498941
2.900000,4.030000,3.416667,0.705489,21.461676,252.498941
2.800000,4.130000,3.500000,0.721282,21.463458,252.498941
2.900000,4.210000,3.583333,0.737413,21.459893,254.195574
2.900000,4.330000,3.666667,0.753633,21.461676,254.195574
2.700000,4.390000,3.750000,0.769585,21.458111,252.498941
2.700000,4.490000,3.833333,0.785758,21.459893,252.498941
2.700000,4.610000,3.916667,0.801291,21.461676,254.195574
2.900000,4.690000,4.000000,0.816950,21.456328,247.544885
3.000000,4.830000,4.083333,0.832966,21.459893,245.937304
2.800000,4.870000,4.166667,0.850365,21.459893,228.184748
2.600000,4.950000,4.250000,0.865364,21.463458,247.544885
2.900000,5.070000,4.333333,0.881023,21.459893,245.937304
2.900000,5.150000,4.416667,0.896928,21.459893,247.544885
3.000000,5.290000,4.500000,0.916891,21.459893,247.544885
3.000000,5.330000,4.583333,0.928943,21.459893,244.350882
2.900000,5.450000,4.666667,0.945692,21.461676,249.174056
2.800000,5.490000,4.750000,0.961020,21.463458,252.498941
3.000000,5.610000,4.833333,0.976969,21.459893,249.174056
2.800000,5.690000,4.916667,0.993389,21.465241,255.915633
2.900000,5.810000,5.000000,1.009714,21.463458,245.937304
