# Date: 20201022
# Operator: DCC
# Notes: Flamingo6. 15 in/lb on each nut
# Tap_cm: 5.0
# Sample: Flamingo 6
# Fit of Tap:
#	Ic = 125 A
#	n = 230 
#	Vc = 5 uV
#	Vfloor = 3 uV
#	R = 0.00406 Ohms
Tap [uV],Shunt [A],Supply [A],Time [S],Hall [T],Cernox [K]
2.800000,0.330000,0.000000,0.048499,21.467023,250.825257
3.000000,0.430000,0.083333,0.065759,21.467023,250.825257
2.600000,0.310000,0.166667,0.080393,21.467023,242.785204
2.600000,0.450000,0.250000,0.096436,21.468806,247.544885
2.600000,0.570000,0.333333,0.113102,21.470588,247.544885
2.700000,0.590000,0.416667,0.128470,21.465241,249.174056
2.600000,0.710000,0.500000,0.144417,21.467023,247.544885
2.700000,0.810000,0.583333,0.160362,21.470588,242.785204
2.900000,0.970000,0.666667,0.176343,21.467023,249.174056
2.800000,0.950000,0.750000,0.192313,21.468806,252.498941
2.800000,1.050000,0.833333,0.208329,21.467023,250.825257
2.700000,1.230000,0.916667,0.224877,21.467023,247.544885
2.900000,1.250000,1.000000,0.239626,21.467023,250.825257
2.700000,1.370000,1.083333,0.256256,21.468806,252.498941
2.700000,1.470000,1.166667,0.271808,21.468806,250.825257
2.800000,1.610000,1.250000,0.288412,21.468806,252.498941
2.800000,1.690000,1.333333,0.304487,21.468806,254.195574
2.700000,1.730000,1.416667,0.320369,21.470588,252.498941
2.700000,1.830000,1.500000,0.337170,21.468806,254.195574
2.800000,1.870000,1.583333,0.352409,21.468806,255.915633
2.800000,1.970000,1.666667,0.368438,21.468806,255.915633
2.500000,2.070000,1.750000,0.384395,21.472371,250.825257
2.700000,2.170000,1.833333,0.409276,21.479501,255.915633
2.700000,2.270000,1.916667,0.416318,21.468806,252.498941
2.600000,2.390000,2.000000,0.434418,21.467023,249.174056
2.800000,2.490000,2.083333,0.448406,21.468806,245.937304
2.800000,2.530000,2.166667,0.464409,21.468806,245.937304
2.700000,2.670000,2.250000,0.480359,21.470588,245.937304
2.800000,2.650000,2.333333,0.496440,21.467023,249.174056
2.700000,2.830000,2.416667,0.512446,21.468806,238.208608
2.800000,2.970000,2.500000,0.528401,21.468806,250.825257
2.700000,3.070000,2.583333,0.544401,21.467023,245.937304
2.800000,3.190000,2.666667,0.560392,21.467023,247.544885
3.000000,3.230000,2.750000,0.576013,21.470588,250.825257
2.600000,3.330000,2.833333,0.591574,21.468806,250.825257
2.700000,3.470000,2.916667,0.608124,21.470588,252.498941
2.900000,3.530000,3.000000,0.623684,21.467023,254.195574
2.800000,3.610000,3.083333,0.644551,21.468806,245.937304
2.700000,3.690000,3.166667,0.656149,21.468806,255.915633
2.800000,3.790000,3.250000,0.685400,21.467023,245.937304
2.700000,3.890000,3.333333,0.692597,21.467023,247.544885
2.700000,4.010000,3.416667,0.708193,21.468806,249.174056
2.700000,4.070000,3.500000,0.720228,21.470588,257.659612
2.900000,4.130000,3.583333,0.735802,21.465241,228.184748
2.800000,4.250000,3.666667,0.752421,21.467023,247.544885
2.600000,4.430000,3.750000,0.768426,21.467023,249.174056
2.800000,4.470000,3.833333,0.784006,21.472371,255.915633
2.800000,4.590000,3.916667,0.799580,21.467023,250.825257
2.800000,4.650000,4.000000,0.816122,21.468806,249.174056
2.600000,4.770000,4.083333,0.831640,21.468806,247.544885
2.900000,4.870000,4.166667,0.848155,21.468806,245.937304
2.800000,4.970000,4.250000,0.864206,21.468806,247.544885
2.600000,5.070000,4.333333,0.879771,21.467023,247.544885
2.600000,5.170000,4.416667,0.896286,21.468806,249.174056
2.600000,4.750000,4.500000,0.911857,21.467023,245.937304
2.900000,5.350000,4.583333,0.927496,21.468806,250.825257
2.900000,5.410000,4.666667,0.944041,21.467023,249.174056
2.700000,5.510000,4.750000,0.959544,21.467023,249.174056
3.100000,5.570000,4.833333,0.976077,21.467023,252.498941
2.900000,5.690000,4.916667,0.991656,21.468806,250.825257
2.800000,5.850000,5.000000,1.008888,21.468806,247.544885
2.700000,5.870000,5.083333,1.023977,21.474153,250.825257
2.700000,5.990000,5.166667,1.039555,21.470588,254.195574
2.700000,6.070000,5.250000,1.056098,21.468806,254.195574
2.700000,6.190000,5.333333,1.072192,21.468806,255.915633
2.900000,6.310000,5.416667,1.087763,21.468806,255.915633
2.900000,6.390000,5.500000,1.104282,21.468806,254.195574
2.800000,6.470000,5.583333,1.119812,21.468806,254.195574
2.900000,6.570000,5.666667,1.136322,21.467023,254.195574
2.700000,6.710000,5.750000,1.151875,21.467023,247.544885
2.600000,6.750000,5.833333,1.167457,21.472371,249.174056
2.800000,6.890000,5.916667,1.184006,21.470588,254.195574
2.800000,6.910000,6.000000,1.199556,21.468806,250.825257
2.800000,7.110000,6.083333,1.216517,21.467023,250.825257
2.600000,7.150000,6.166667,1.232170,21.467023,245.937304
2.900000,7.210000,6.250000,1.247805,21.465241,247.544885
2.900000,7.330000,6.333333,1.263397,21.472371,252.498941
2.700000,7.470000,6.416667,1.280412,21.468806,245.937304
2.800000,7.530000,6.500000,1.296046,21.465241,244.350882
2.700000,7.690000,6.583333,1.312100,21.468806,245.937304
2.800000,7.710000,6.666667,1.328144,21.465241,242.785204
2.900000,7.810000,6.750000,1.343742,21.468806,245.937304
2.900000,7.930000,6.833333,1.360266,21.468806,249.174056
2.600000,8.050000,6.916667,1.375772,21.468806,252.498941
2.700000,8.130000,7.000000,1.392276,21.465241,249.174056
2.800000,8.210000,7.083333,1.407801,21.468806,250.825257
2.800000,8.370000,7.166667,1.425238,21.434938,247.544885
2.800000,8.470000,7.250000,1.441668,21.433155,252.498941
2.800000,8.430000,7.333333,1.457207,21.436720,255.915633
3.100000,8.590000,7.416667,1.473628,21.433155,254.195574
3.000000,8.750000,7.500000,1.493138,21.433155,250.825257
3.100000,8.810000,7.583333,1.505729,21.434938,255.915633
2.900000,8.850000,7.666667,1.521174,21.433155,250.825257
2.900000,8.910000,7.750000,1.535943,21.467023,254.195574
3.100000,9.110000,7.833333,1.551493,21.465241,249.174056
2.800000,9.150000,7.916667,1.568035,21.467023,254.195574
2.900000,9.230000,8.000000,1.583636,21.470588,250.825257
2.600000,9.350000,8.083333,1.608222,21.468806,254.195574
3.000000,9.330000,8.166667,1.616249,21.467023,252.498941
3.000000,9.510000,8.250000,1.631820,21.467023,247.544885
2.700000,9.610000,8.333333,1.647384,21.468806,242.785204
2.800000,9.730000,8.416667,1.663903,21.472371,249.174056
2.700000,9.830000,8.500000,1.679426,21.465241,249.174056
2.700000,9.910000,8.583333,1.695631,21.470588,252.498941
3.000000,9.970000,8.666667,1.712253,21.467023,247.544885
3.000000,10.150000,8.750000,1.727857,21.468806,245.937304
3.000000,10.250000,8.833333,1.743504,21.467023,250.825257
3.000000,10.270000,8.916667,1.760098,21.468806,252.498941
2.800000,10.450000,9.000000,1.775655,21.465241,247.544885
3.000000,10.530000,9.083333,1.792205,21.468806,249.174056
2.900000,10.570000,9.166667,1.807756,21.468806,250.825257
2.900000,10.670000,9.250000,1.824323,21.467023,252.498941
2.800000,10.790000,9.333333,1.839848,21.468806,252.498941
3.100000,10.890000,9.416667,1.855379,21.467023,250.825257
2.900000,10.970000,9.500000,1.871891,21.468806,252.498941
3.100000,11.050000,9.583333,1.887443,21.468806,254.195574
2.900000,11.190000,9.666667,1.914525,21.468806,247.544885
3.100000,11.150000,9.750000,1.921141,21.468806,254.195574
2.800000,11.310000,9.833333,1.935660,21.467023,252.498941
3.000000,11.430000,9.916667,1.952186,21.470588,249.174056
2.900000,11.570000,10.000000,1.967716,21.467023,252.498941
3.100000,11.670000,10.083333,1.984218,21.467023,252.498941
3.100000,11.810000,10.166667,1.999991,21.495544,250.825257
3.000000,11.970000,10.250000,2.015712,21.465241,244.350882
3.000000,11.950000,10.333333,2.032291,21.467023,241.239861
2.900000,12.070000,10.416667,2.047842,21.467023,245.937304
3.000000,12.130000,10.500000,2.064490,21.468806,245.937304
2.800000,12.250000,10.583333,2.080063,21.467023,249.174056
3.000000,12.370000,10.666667,2.095584,21.467023,250.825257
2.900000,12.390000,10.750000,2.111843,21.465241,250.825257
3.000000,12.490000,10.833333,2.127481,21.468806,245.937304
2.900000,12.610000,10.916667,2.144031,21.470588,249.174056
3.000000,12.730000,11.000000,2.159560,21.468806,250.825257
3.100000,12.850000,11.083333,2.176072,21.468806,247.544885
3.100000,12.890000,11.166667,2.191596,21.468806,250.825257
2.900000,12.970000,11.250000,2.208142,21.468806,254.195574
2.900000,13.110000,11.333333,2.224216,21.467023,250.825257
2.900000,13.170000,11.416667,2.241481,21.434938,252.498941
2.800000,13.270000,11.500000,2.258194,21.433155,252.498941
2.800000,13.370000,11.583333,2.273646,21.434938,257.659612
3.000000,13.630000,11.666667,2.291220,21.445633,245.937304
3.100000,13.570000,11.750000,2.312186,21.434938,245.937304
3.000000,13.650000,11.833333,2.321705,21.434938,250.825257
3.000000,13.730000,11.916667,2.336991,21.434938,233.804667
3.000000,13.870000,12.000000,2.351543,21.467023,252.498941
3.100000,13.970000,12.083333,2.368052,21.468806,250.825257
3.100000,14.090000,12.166667,2.383603,21.467023,252.498941
2.900000,14.130000,12.250000,2.400140,21.467023,247.544885
2.900000,14.210000,12.333333,2.415706,21.468806,249.174056
3.000000,14.270000,12.416667,2.432256,21.467023,244.350882
2.900000,14.410000,12.500000,2.447770,21.467023,247.544885
3.000000,14.530000,12.583333,2.464282,21.472371,242.785204
3.100000,14.630000,12.666667,2.479809,21.468806,249.174056
2.800000,14.590000,12.750000,2.496419,21.467023,244.350882
3.100000,14.850000,12.833333,2.518806,21.465241,250.825257
3.100000,14.910000,12.916667,2.527532,21.467023,245.937304
3.100000,14.990000,13.000000,2.544082,21.474153,245.937304
3.000000,15.090000,13.083333,2.559669,21.467023,252.498941
3.100000,15.170000,13.166667,2.576211,21.467023,252.498941
3.100000,15.290000,13.250000,2.591758,21.467023,247.544885
3.100000,15.410000,13.333333,2.608308,21.468806,252.498941
3.000000,15.510000,13.416667,2.623837,21.468806,254.195574
2.800000,15.630000,13.500000,2.640352,21.468806,255.915633
3.100000,15.650000,13.583333,2.655910,21.467023,255.915633
3.200000,15.830000,13.666667,2.671428,21.467023,255.915633
3.100000,15.910000,13.750000,2.687945,21.467023,257.659612
3.100000,16.070000,13.833333,2.704542,21.470588,252.498941
3.000000,16.050000,13.916667,2.720133,21.465241,254.195574
3.000000,16.110000,14.000000,2.735644,21.467023,254.195574
3.000000,16.250000,14.083333,2.752278,21.465241,252.498941
2.900000,16.410000,14.166667,2.767857,21.468806,250.825257
3.200000,16.450000,14.250000,2.783411,21.467023,255.915633
3.100000,16.650000,14.333333,2.808435,21.468806,250.825257
3.100000,16.590000,14.416667,2.815448,21.467023,245.937304
3.300000,16.750000,14.500000,2.832070,21.465241,249.174056
3.100000,16.770000,14.583333,2.847614,21.467023,247.544885
3.200000,16.870000,14.666667,2.864131,21.467023,245.937304
3.000000,17.030000,14.750000,2.879643,21.467023,245.937304
3.000000,17.070000,14.833333,2.896154,21.467023,247.544885
2.800000,17.250000,14.916667,2.912720,21.490196,249.174056
3.200000,17.270000,15.000000,2.928407,21.467023,250.825257
3.200000,17.390000,15.083333,2.943955,21.467023,249.174056
3.200000,17.490000,15.166667,2.959468,21.467023,249.174056
3.100000,17.530000,15.250000,2.976007,21.467023,250.825257
3.100000,17.710000,15.333333,2.991553,21.465241,252.498941
3.200000,17.790000,15.416667,3.008163,21.468806,254.195574
3.000000,17.850000,15.500000,3.023753,21.472371,254.195574
3.100000,17.950000,15.583333,3.040373,21.468806,250.825257
3.000000,18.070000,15.666667,3.057809,21.434938,254.195574
3.100000,18.190000,15.750000,3.073330,21.434938,257.659612
3.400000,18.250000,15.833333,3.089783,21.434938,252.498941
2.900000,18.410000,15.916667,3.126352,21.433155,252.498941
3.000000,18.450000,16.000000,3.142791,21.434938,232.373366
2.900000,18.490000,16.083333,3.156378,21.467023,252.498941
2.900000,18.650000,16.166667,3.172939,21.468806,257.659612
3.200000,18.750000,16.250000,3.188478,21.467023,252.498941
3.100000,18.890000,16.333333,3.205014,21.467023,254.195574
3.000000,18.970000,16.416667,3.220547,21.468806,254.195574
3.100000,19.030000,16.500000,3.237070,21.468806,254.195574
3.200000,19.130000,16.583333,3.252703,21.467023,257.659612
3.000000,19.230000,16.666667,3.269325,21.465241,250.825257
3.100000,19.330000,16.750000,3.284925,21.468806,249.174056
3.200000,19.410000,16.833333,3.304698,21.468806,254.195574
3.000000,19.470000,16.916667,3.316314,21.472371,250.825257
3.400000,19.630000,17.000000,3.332895,21.467023,247.544885
3.300000,19.650000,17.083333,3.348416,21.465241,249.174056
3.400000,19.850000,17.166667,3.364922,21.468806,244.350882
3.200000,19.930000,17.250000,3.380433,21.467023,245.937304
3.000000,20.010000,17.333333,3.396949,21.468806,247.544885
3.000000,20.130000,17.416667,3.413320,21.465241,242.785204
3.200000,20.170000,17.500000,3.428392,21.467023,249.174056
3.300000,20.290000,17.583333,3.444941,21.465241,247.544885
3.100000,20.370000,17.666667,3.460458,21.467023,250.825257
3.300000,20.470000,17.750000,3.476966,21.468806,249.174056
3.100000,20.650000,17.833333,3.492534,21.470588,241.239861
3.200000,20.630000,17.916667,3.509521,21.467023,245.937304
3.100000,20.790000,18.000000,3.525190,21.468806,252.498941
3.000000,20.850000,18.083333,3.540755,21.468806,255.915633
3.100000,20.870000,18.166667,3.556282,21.467023,255.915633
3.100000,21.050000,18.250000,3.572818,21.468806,252.498941
3.100000,21.110000,18.333333,3.588352,21.468806,259.428015
3.100000,21.230000,18.416667,3.604857,21.467023,254.195574
3.300000,21.310000,18.500000,3.620373,21.470588,249.174056
3.200000,21.450000,18.583333,3.637057,21.472371,250.825257
3.200000,21.530000,18.666667,3.652638,21.463458,247.544885
3.100000,21.610000,18.750000,3.669173,21.465241,252.498941
3.100000,21.750000,18.833333,3.684695,21.467023,254.195574
3.300000,21.750000,18.916667,3.715321,21.467023,247.544885
3.200000,21.890000,19.000000,3.721907,21.467023,254.195574
3.400000,21.950000,19.083333,3.732465,21.465241,245.937304
3.400000,22.090000,19.166667,3.749103,21.468806,249.174056
3.200000,22.190000,19.250000,3.764679,21.467023,247.544885
3.100000,22.230000,19.333333,3.781232,21.467023,244.350882
3.200000,22.390000,19.416667,3.796863,21.468806,247.544885
3.200000,22.530000,19.500000,3.812505,21.467023,245.937304
3.300000,22.510000,19.583333,3.829056,21.465241,247.544885
3.000000,22.690000,19.666667,3.844579,21.468806,249.174056
3.200000,22.750000,19.750000,3.862733,21.433155,245.937304
3.300000,22.850000,19.833333,3.878215,21.434938,249.174056
3.300000,22.970000,19.916667,3.894633,21.434938,250.825257
3.000000,23.170000,20.000000,3.917701,21.433155,252.498941
3.100000,23.130000,20.083333,3.926314,21.434938,254.195574
3.200000,23.270000,20.166667,3.942780,21.434938,249.174056
3.200000,23.330000,20.250000,3.957915,21.438503,230.959832
3.200000,23.450000,20.333333,3.972470,21.468806,252.498941
3.100000,23.530000,20.416667,3.988985,21.467023,252.498941
3.200000,23.670000,20.500000,4.007779,21.467023,254.195574
3.500000,23.690000,20.583333,4.020881,21.470588,249.174056
3.300000,23.770000,20.666667,4.036451,21.470588,250.825257
3.300000,23.970000,20.750000,4.052991,21.467023,255.915633
3.100000,24.070000,20.833333,4.068520,21.468806,252.498941
3.200000,24.110000,20.916667,4.085030,21.465241,245.937304
3.100000,24.210000,21.000000,4.105168,21.467023,255.915633
3.000000,24.290000,21.083333,4.116798,21.468806,252.498941
3.400000,24.350000,21.166667,4.132368,21.467023,247.544885
3.400000,24.390000,21.250000,4.148910,21.467023,245.937304
3.100000,24.450000,21.333333,4.164470,21.465241,245.937304
3.500000,24.650000,21.416667,4.180997,21.467023,249.174056
3.300000,24.730000,21.500000,4.196506,21.465241,245.937304
3.300000,24.870000,21.583333,4.213049,21.465241,250.825257
3.300000,24.930000,21.666667,4.228576,21.465241,249.174056
3.400000,25.010000,21.750000,4.245183,21.465241,247.544885
3.100000,25.150000,21.833333,4.260805,21.470588,247.544885
3.200000,25.190000,21.916667,4.276341,21.467023,250.825257
3.300000,25.330000,22.000000,4.292932,21.468806,249.174056
3.400000,25.450000,22.083333,4.315617,21.467023,247.544885
3.300000,25.510000,22.166667,4.325284,21.467023,250.825257
3.200000,25.590000,22.250000,4.340812,21.467023,254.195574
3.300000,25.690000,22.333333,4.356326,21.467023,252.498941
3.200000,25.790000,22.416667,4.372937,21.467023,257.659612
3.200000,25.950000,22.500000,4.388499,21.463458,252.498941
3.400000,26.010000,22.583333,4.405032,21.467023,254.195574
3.400000,26.070000,22.666667,4.420541,21.468806,255.915633
3.200000,26.190000,22.750000,4.437046,21.468806,254.195574
3.300000,26.290000,22.833333,4.452933,21.467023,254.195574
3.400000,26.410000,22.916667,4.468479,21.468806,252.498941
3.000000,26.490000,23.000000,4.484993,21.467023,249.174056
3.200000,26.630000,23.083333,4.505253,21.468806,255.915633
3.300000,26.610000,23.166667,4.516864,21.467023,245.937304
3.200000,26.690000,23.250000,4.532425,21.468806,238.208608
3.400000,26.850000,23.333333,4.548978,21.468806,245.937304
3.300000,26.890000,23.416667,4.564536,21.465241,245.937304
3.000000,27.070000,23.500000,4.581082,21.465241,244.350882
3.200000,27.110000,23.583333,4.596608,21.467023,244.350882
3.100000,27.270000,23.666667,4.612976,21.465241,247.544885
3.600000,27.370000,23.750000,4.628661,21.468806,245.937304
3.400000,27.330000,23.833333,4.645235,21.468806,245.937304
3.300000,27.510000,23.916667,4.660773,21.468806,247.544885
3.300000,27.570000,24.000000,4.678068,21.434938,247.544885
3.400000,27.610000,24.083333,4.694481,21.433155,250.825257
3.300000,27.790000,24.166667,4.715499,21.433155,245.937304
3.000000,27.830000,24.250000,4.726074,21.433155,247.544885
3.200000,27.970000,24.333333,4.742528,21.434938,257.659612
3.200000,27.950000,24.416667,4.758111,21.434938,252.498941
3.100000,28.150000,24.500000,4.772898,21.467023,252.498941
3.100000,28.250000,24.583333,4.788456,21.467023,255.915633
3.300000,28.330000,24.666667,4.804982,21.467023,250.825257
3.200000,28.410000,24.750000,4.820514,21.465241,255.915633
3.400000,28.450000,24.833333,4.837019,21.465241,254.195574
3.100000,28.650000,24.916667,4.852538,21.465241,250.825257
