# Date: 20201022
# Operator: DCC
# Notes: Flamingo6. 15 in/lb on each nut
# Tap_cm: 5.0
# Sample: Flamingo 6
# Fit of Tap:
#	Ic = 159 A
#	n = 445 
#	Vc = 5 uV
#	Vfloor = 3.06 uV
#	R = 0.00244 Ohms
Tap [uV],Shunt [A],Supply [A],Time [S],Hall [T],Cernox [K]
2.800000,0.290000,0.000000,0.049708,21.502674,249.174056
2.800000,0.270000,0.083333,0.077698,21.434938,247.544885
2.800000,0.270000,0.166667,0.086707,21.436720,250.825257
2.800000,0.370000,0.250000,0.096651,21.433155,245.937304
2.800000,0.510000,0.333333,0.112801,21.433155,247.544885
2.800000,0.570000,0.416667,0.129485,21.431373,245.937304
2.900000,0.730000,0.500000,0.145107,21.433155,245.937304
2.700000,0.690000,0.583333,0.159333,21.467023,245.937304
2.800000,0.870000,0.666667,0.175528,21.467023,250.825257
2.700000,0.950000,0.750000,0.191329,21.467023,249.174056
2.800000,1.070000,0.833333,0.207591,21.465241,250.825257
2.700000,1.170000,0.916667,0.231167,21.467023,247.544885
2.500000,1.210000,1.000000,0.239357,21.467023,252.498941
2.700000,1.330000,1.083333,0.254836,21.467023,255.915633
2.600000,1.470000,1.166667,0.271067,21.467023,255.915633
2.800000,1.570000,1.250000,0.287320,21.468806,257.659612
2.900000,1.730000,1.333333,0.303450,21.468806,249.174056
2.700000,1.730000,1.416667,0.319332,21.468806,252.498941
2.700000,1.870000,1.500000,0.335178,21.467023,252.498941
2.700000,1.890000,1.583333,0.350970,21.465241,250.825257
2.900000,1.970000,1.666667,0.366794,21.465241,252.498941
2.600000,2.110000,1.750000,0.382577,21.472371,255.915633
2.700000,2.210000,1.833333,0.399375,21.468806,249.174056
2.600000,2.310000,1.916667,0.418534,21.467023,254.195574
2.700000,2.390000,2.000000,0.431378,21.467023,249.174056
2.700000,2.430000,2.083333,0.447178,21.467023,245.937304
2.800000,2.630000,2.166667,0.463212,21.467023,247.544885
2.800000,2.630000,2.250000,0.479208,21.468806,249.174056
2.500000,2.750000,2.333333,0.495390,21.467023,245.937304
2.600000,2.850000,2.416667,0.511014,21.467023,244.350882
2.800000,2.970000,2.500000,0.528089,21.468806,245.937304
