# Date: 20201022
# Operator: DCC
# Notes: Flamingo6. 15 in/lb on each nut
# Tap_cm: 5.0
# Sample: Flamingo 6
# Fit of Tap:
#	Ic = 132 +/- 0.028 A
#	n = 35 +/- 0.51 
#	Vc = 5 uV
#	Vfloor = 3.1 +/- 0.011 uV
#	R = 0.00196 +/- 0.00016 Ohms
Tap [uV],Shunt [A],Supply [A],Time [S],Hall [T],Cernox [K]
2.700000,0.350000,0.000000,0.063059,21.467023,244.350882
2.900000,0.310000,0.083333,0.075050,21.467023,249.174056
3.000000,0.330000,0.166667,0.086542,21.468806,244.350882
2.800000,0.430000,0.250000,0.102608,21.467023,245.937304
2.800000,0.470000,0.333333,0.118028,21.468806,239.714457
2.600000,0.610000,0.416667,0.134127,21.465241,235.254074
2.700000,0.690000,0.500000,0.150147,21.463458,235.254074
2.700000,0.830000,0.583333,0.166160,21.467023,235.254074
2.700000,0.850000,0.666667,0.182147,21.467023,236.721935
2.700000,0.970000,0.750000,0.198106,21.467023,236.721935
3.000000,1.090000,0.833333,0.213985,21.467023,247.544885
2.900000,1.150000,0.916667,0.229591,21.467023,244.350882
2.800000,1.270000,1.000000,0.246121,21.467023,250.825257
2.800000,1.370000,1.083333,0.261654,21.468806,244.350882
2.800000,1.470000,1.166667,0.278173,21.467023,245.937304
2.600000,1.550000,1.250000,0.296412,21.468806,247.544885
2.900000,1.670000,1.333333,0.309972,21.472371,244.350882
2.600000,1.750000,1.416667,0.325941,21.470588,236.721935
2.800000,1.830000,1.500000,0.341979,21.468806,238.208608
2.800000,1.890000,1.583333,0.358033,21.468806,238.208608
2.900000,2.030000,1.666667,0.374014,21.468806,241.239861
2.800000,2.110000,1.750000,0.394742,21.465241,247.544885
2.500000,2.230000,1.833333,0.405792,21.468806,247.544885
2.600000,2.330000,1.916667,0.421885,21.472371,249.174056
2.600000,2.370000,2.000000,0.437877,21.468806,245.937304
2.500000,2.430000,2.083333,0.453893,21.468806,247.544885
2.800000,2.590000,2.166667,0.469967,21.472371,245.937304
2.800000,2.690000,2.250000,0.486044,21.465241,241.239861
2.700000,2.770000,2.333333,0.502068,21.468806,239.714457
2.900000,2.850000,2.416667,0.517962,21.468806,254.195574
2.600000,2.970000,2.500000,0.533564,21.470588,252.498941
2.700000,3.030000,2.583333,0.550107,21.463458,252.498941
2.900000,3.170000,2.666667,0.565652,21.467023,252.498941
2.700000,3.230000,2.750000,0.582175,21.470588,252.498941
2.900000,3.350000,2.833333,0.603606,21.468806,250.825257
2.700000,3.410000,2.916667,0.614348,21.468806,249.174056
2.700000,3.590000,3.000000,0.629887,21.468806,245.937304
3.000000,3.650000,3.083333,0.646570,21.468806,247.544885
2.700000,3.730000,3.166667,0.662213,21.467023,242.785204
2.600000,3.790000,3.250000,0.677796,21.467023,244.350882
2.800000,3.910000,3.333333,0.694369,21.465241,247.544885
2.800000,4.050000,3.416667,0.709939,21.470588,242.785204
2.800000,4.070000,3.500000,0.725548,21.468806,245.937304
2.700000,4.150000,3.583333,0.742110,21.468806,249.174056
2.600000,4.270000,3.666667,0.758350,21.438503,247.544885
2.600000,4.410000,3.750000,0.775828,21.436720,249.174056
2.800000,4.490000,3.833333,0.798642,21.436720,255.915633
2.900000,4.510000,3.916667,0.808141,21.436720,249.174056
2.800000,4.690000,4.000000,0.823683,21.434938,250.825257
2.800000,4.830000,4.083333,0.840236,21.433155,249.174056
3.000000,4.850000,4.166667,0.855746,21.436720,249.174056
2.900000,4.950000,4.250000,0.869461,21.467023,257.659612
2.800000,5.070000,4.333333,0.886299,21.465241,255.915633
2.800000,5.190000,4.416667,0.902315,21.468806,252.498941
2.700000,5.230000,4.500000,0.918449,21.468806,254.195574
2.800000,5.310000,4.583333,0.934041,21.468806,252.498941
2.500000,5.430000,4.666667,0.949606,21.467023,249.174056
2.700000,5.530000,4.750000,0.966238,21.474153,250.825257
2.800000,5.570000,4.833333,0.981802,21.468806,249.174056
2.700000,5.710000,4.916667,0.997697,21.468806,250.825257
3.100000,5.790000,5.000000,1.014314,21.465241,252.498941
2.800000,5.870000,5.083333,1.029845,21.467023,245.937304
2.800000,5.990000,5.166667,1.047630,21.467023,249.174056
2.700000,6.070000,5.250000,1.062527,21.467023,247.544885
2.800000,6.190000,5.333333,1.078150,21.467023,247.544885
3.000000,6.250000,5.416667,1.093730,21.468806,244.350882
3.100000,6.430000,5.500000,1.110330,21.467023,245.937304
2.800000,6.430000,5.583333,1.125891,21.468806,242.785204
2.900000,6.570000,5.666667,1.142551,21.467023,247.544885
2.900000,6.670000,5.750000,1.158151,21.467023,250.825257
2.900000,6.690000,5.833333,1.173703,21.465241,247.544885
3.000000,6.890000,5.916667,1.201413,21.467023,261.221364
2.900000,6.970000,6.000000,1.208032,21.468806,249.174056
2.800000,7.010000,6.083333,1.221562,21.470588,250.825257
2.800000,7.090000,6.166667,1.238089,21.467023,252.498941
2.900000,7.250000,6.250000,1.253624,21.468806,252.498941
3.000000,7.410000,6.333333,1.270156,21.468806,255.915633
2.800000,7.470000,6.416667,1.285723,21.468806,250.825257
2.600000,7.570000,6.500000,1.302271,21.467023,250.825257
3.000000,7.670000,6.583333,1.317793,21.467023,250.825257
3.000000,7.750000,6.666667,1.334345,21.465241,254.195574
2.800000,7.590000,6.750000,1.350796,21.465241,255.915633
2.600000,7.970000,6.833333,1.366426,21.467023,250.825257
2.700000,8.030000,6.916667,1.381987,21.470588,249.174056
2.800000,8.170000,7.000000,1.398209,21.468806,252.498941
3.000000,8.130000,7.083333,1.413794,21.468806,245.937304
3.200000,8.330000,7.166667,1.430390,21.467023,245.937304
2.900000,8.450000,7.250000,1.445958,21.465241,245.937304
2.900000,8.530000,7.333333,1.461542,21.470588,247.544885
3.000000,8.610000,7.416667,1.478093,21.467023,245.937304
2.800000,8.670000,7.500000,1.495705,21.468806,245.937304
3.000000,8.790000,7.583333,1.509797,21.468806,247.544885
3.000000,8.830000,7.666667,1.526358,21.468806,245.937304
2.900000,8.970000,7.750000,1.541911,21.468806,249.174056
3.000000,9.090000,7.833333,1.558442,21.467023,249.174056
2.900000,9.130000,7.916667,1.575781,21.434938,247.544885
2.900000,9.270000,8.000000,1.599204,21.434938,250.825257
2.800000,9.310000,8.083333,1.608231,21.438503,252.498941
2.700000,9.470000,8.166667,1.624250,21.440285,250.825257
2.900000,9.590000,8.250000,1.641147,21.438503,254.195574
2.600000,9.590000,8.333333,1.656204,21.442068,255.915633
2.900000,9.670000,8.416667,1.671631,21.450980,257.659612
3.000000,9.810000,8.500000,1.686305,21.468806,233.804667
3.100000,9.890000,8.583333,1.702304,21.467023,235.254074
3.000000,9.910000,8.666667,1.718241,21.468806,235.254074
2.800000,10.110000,8.750000,1.734188,21.467023,235.254074
2.900000,10.210000,8.833333,1.750193,21.467023,235.254074
2.800000,10.270000,8.916667,1.766162,21.470588,232.373366
3.100000,10.410000,9.000000,1.782162,21.468806,233.804667
2.800000,10.550000,9.083333,1.804373,21.465241,255.915633
2.700000,10.550000,9.166667,1.814309,21.467023,250.825257
3.100000,10.630000,9.250000,1.829847,21.467023,244.350882
2.900000,10.710000,9.333333,1.846405,21.467023,245.937304
2.900000,10.930000,9.416667,1.861981,21.467023,244.350882
3.100000,10.990000,9.500000,1.877506,21.468806,245.937304
3.000000,11.050000,9.583333,1.894127,21.467023,245.937304
3.000000,11.190000,9.666667,1.909728,21.470588,244.350882
3.100000,11.210000,9.750000,1.926295,21.468806,247.544885
3.000000,11.350000,9.833333,1.941851,21.468806,247.544885
2.900000,11.450000,9.916667,1.958410,21.465241,250.825257
2.900000,11.610000,10.000000,1.973950,21.467023,247.544885
2.900000,11.670000,10.083333,1.992113,21.468806,249.174056
3.100000,11.750000,10.166667,2.005708,21.468806,250.825257
2.800000,11.890000,10.250000,2.022235,21.468806,252.498941
2.800000,11.950000,10.333333,2.037773,21.467023,250.825257
2.900000,12.050000,10.416667,2.054318,21.468806,252.498941
3.000000,12.130000,10.500000,2.069874,21.468806,250.825257
3.000000,12.250000,10.583333,2.086413,21.468806,250.825257
3.200000,12.350000,10.666667,2.102342,21.470588,254.195574
3.200000,12.410000,10.750000,2.118424,21.467023,257.659612
3.200000,12.510000,10.833333,2.133965,21.468806,252.498941
2.700000,12.630000,10.916667,2.149663,21.468806,250.825257
2.900000,12.750000,11.000000,2.166270,21.467023,250.825257
2.800000,12.810000,11.083333,2.181827,21.470588,250.825257
3.200000,12.890000,11.166667,2.197964,21.468806,245.937304
3.100000,12.950000,11.250000,2.213605,21.470588,245.937304
3.100000,13.090000,11.333333,2.230161,21.467023,244.350882
3.000000,13.150000,11.416667,2.245692,21.467023,244.350882
3.000000,13.270000,11.500000,2.262217,21.468806,247.544885
3.000000,13.370000,11.583333,2.277757,21.470588,244.350882
2.900000,13.530000,11.666667,2.294323,21.468806,247.544885
3.000000,13.490000,11.750000,2.309864,21.467023,247.544885
3.000000,13.610000,11.833333,2.326392,21.467023,247.544885
3.100000,13.730000,11.916667,2.341937,21.468806,252.498941
3.000000,13.850000,12.000000,2.357628,21.467023,245.937304
2.900000,14.050000,12.083333,2.374345,21.468806,242.785204
3.100000,14.150000,12.166667,2.414295,21.434938,244.350882
3.200000,14.090000,12.250000,2.431022,21.433155,247.544885
2.900000,14.230000,12.333333,2.446607,21.433155,242.785204
3.200000,14.350000,12.416667,2.462079,21.434938,245.937304
2.900000,14.470000,12.500000,2.477954,21.468806,252.498941
3.100000,14.510000,12.583333,2.492743,21.470588,252.498941
3.000000,14.610000,12.666667,2.509306,21.468806,249.174056
3.100000,14.670000,12.750000,2.524835,21.465241,247.544885
3.100000,14.830000,12.833333,2.540411,21.468806,249.174056
3.000000,14.910000,12.916667,2.557206,21.468806,249.174056
3.000000,14.990000,13.000000,2.572852,21.467023,254.195574
3.100000,15.130000,13.083333,2.592110,21.467023,250.825257
3.300000,15.150000,13.166667,2.604718,21.472371,250.825257
3.100000,15.250000,13.250000,2.621282,21.467023,254.195574
3.000000,15.430000,13.333333,2.636808,21.472371,252.498941
3.100000,15.450000,13.416667,2.652769,21.468806,255.915633
3.200000,15.550000,13.500000,2.668361,21.467023,254.195574
3.200000,15.670000,13.583333,2.684916,21.467023,252.498941
3.100000,15.790000,13.666667,2.701331,21.472371,252.498941
2.800000,15.870000,13.750000,2.716425,21.467023,249.174056
3.000000,16.070000,13.833333,2.733008,21.467023,250.825257
3.000000,16.050000,13.916667,2.748551,21.465241,249.174056
3.200000,16.150000,14.000000,2.765107,21.468806,250.825257
3.100000,16.270000,14.083333,2.780646,21.468806,250.825257
