# Date: 20201022
# Operator: DCC
# Notes: Flamingo6. 15 in/lb on each nut
# Tap_cm: 5.0
# Sample: Flamingo 6
# Fit of Tap:
#	Ic = 27.3 +/- 6.8e+07 A
#	n = 57.1 +/- 2.6e+08 
#	Vc = 5 uV
#	Vfloor = 2.69 +/- 0.021 uV
#	R = 0.0235 +/- 0.0024 Ohms
Tap [uV],Shunt [A],Supply [A],Time [S],Hall [T],Cernox [K]
2.700000,0.370000,0.000000,0.039379,21.467023,250.825257
2.700000,0.330000,0.083333,0.049659,21.465241,252.498941
2.700000,0.270000,0.166667,0.057228,21.467023,250.825257
2.800000,0.450000,0.250000,0.072742,21.463458,250.825257
2.500000,0.550000,0.333333,0.089272,21.465241,244.350882
2.900000,0.650000,0.416667,0.104809,21.468806,252.498941
2.700000,0.670000,0.500000,0.121374,21.468806,254.195574
2.900000,0.810000,0.583333,0.136909,21.468806,252.498941
2.400000,0.910000,0.666667,0.153426,21.468806,252.498941
2.700000,0.970000,0.750000,0.169129,21.467023,250.825257
2.800000,1.090000,0.833333,0.184736,21.467023,252.498941
2.700000,1.190000,0.916667,0.206555,21.468806,252.498941
2.500000,1.250000,1.000000,0.218008,21.468806,254.195574
2.700000,1.350000,1.083333,0.232631,21.468806,252.498941
2.500000,1.470000,1.166667,0.248788,21.468806,250.825257
2.600000,1.550000,1.250000,0.265645,21.467023,250.825257
2.800000,1.650000,1.333333,0.280711,21.467023,254.195574
2.800000,1.730000,1.416667,0.296754,21.467023,247.544885
2.900000,1.810000,1.500000,0.312683,21.467023,249.174056
2.900000,1.930000,1.583333,0.328748,21.468806,247.544885
3.100000,1.990000,1.666667,0.345318,21.467023,249.174056
2.700000,2.130000,1.750000,0.360842,21.468806,247.544885
2.600000,2.190000,1.833333,0.377377,21.467023,249.174056
2.900000,2.290000,1.916667,0.392932,21.468806,244.350882
2.600000,2.430000,2.000000,0.408827,21.467023,245.937304
2.800000,2.510000,2.083333,0.425564,21.468806,247.544885
2.700000,2.530000,2.166667,0.441166,21.468806,250.825257
2.600000,2.670000,2.250000,0.456712,21.467023,249.174056
2.900000,2.770000,2.333333,0.473254,21.467023,249.174056
2.700000,2.870000,2.416667,0.488778,21.465241,250.825257
2.800000,2.990000,2.500000,0.505158,21.465241,249.174056
2.600000,3.070000,2.583333,0.520820,21.468806,254.195574
2.900000,3.130000,2.666667,0.536844,21.470588,252.498941
2.800000,3.250000,2.750000,0.552737,21.472371,257.659612
2.700000,3.390000,2.833333,0.568789,21.468806,255.915633
2.700000,3.450000,2.916667,0.584734,21.465241,252.498941
2.800000,3.550000,3.000000,0.600798,21.468806,255.915633
2.700000,3.610000,3.083333,0.617475,21.468806,254.195574
2.600000,3.750000,3.166667,0.633067,21.465241,254.195574
2.600000,3.790000,3.250000,0.649311,21.468806,247.544885
2.500000,3.870000,3.333333,0.665292,21.467023,245.937304
2.700000,4.070000,3.416667,0.681383,21.467023,250.825257
2.800000,4.130000,3.500000,0.697408,21.467023,250.825257
3.000000,4.210000,3.583333,0.713334,21.467023,244.350882
2.800000,4.290000,3.666667,0.730593,21.433155,249.174056
2.800000,4.430000,3.750000,0.747058,21.433155,245.937304
2.700000,4.490000,3.833333,0.762484,21.434938,247.544885
2.800000,4.570000,3.916667,0.778941,21.436720,241.239861
2.800000,4.690000,4.000000,0.794418,21.434938,249.174056
2.800000,4.850000,4.083333,0.826810,21.447415,247.544885
3.200000,4.830000,4.166667,0.841485,21.468806,250.825257
3.000000,4.950000,4.250000,0.858038,21.468806,247.544885
2.900000,5.070000,4.333333,0.873549,21.467023,250.825257
2.800000,5.190000,4.416667,0.890062,21.465241,247.544885
2.600000,5.290000,4.500000,0.905611,21.470588,249.174056
2.800000,5.310000,4.583333,0.922309,21.468806,249.174056
