# Date: 20201022
# Operator: DCC
# Notes: Hawk B 351-L 754.78-754.66. 15 in/lb on each nut
# Tap_cm: 5.0
# Sample: Hawk B 351-L 754.78-754.66
# Fit of Tap:
#	Ic = 122 +/- 0.026 A
#	n = 28.2 +/- 0.32 
#	Vc = 5 uV
#	Vfloor = 1.63 +/- 0.012 uV
#	R = 0.000586 +/- 0.00019 Ohms
Tap [uV],Shunt [A],Supply [A],Time [S],Hall [T],Cernox [K]
1.500000,0.310000,0.000000,0.075026,21.434938,254.195574
1.200000,0.350000,0.083333,0.093680,21.467023,250.825257
1.200000,0.350000,0.166667,0.104328,21.467023,247.544885
1.600000,0.410000,0.250000,0.120335,21.468806,249.174056
1.400000,0.510000,0.333333,0.136449,21.468806,247.544885
1.800000,0.570000,0.416667,0.152215,21.465241,247.544885
1.500000,0.730000,0.500000,0.167870,21.467023,247.544885
1.500000,0.790000,0.583333,0.184496,21.467023,244.350882
1.600000,0.870000,0.666667,0.200120,21.467023,250.825257
1.500000,0.970000,0.750000,0.216662,21.467023,249.174056
1.400000,1.090000,0.833333,0.232672,21.479501,249.174056
1.700000,1.170000,0.916667,0.248718,21.470588,249.174056
1.900000,1.290000,1.000000,0.264752,21.472371,247.544885
1.700000,1.310000,1.083333,0.280253,21.475936,250.825257
1.600000,1.470000,1.166667,0.296371,21.486631,250.825257
1.400000,1.570000,1.250000,0.312620,21.481283,252.498941
1.400000,1.650000,1.333333,0.328706,21.472371,250.825257
1.700000,1.750000,1.416667,0.344704,21.468806,250.825257
1.300000,1.850000,1.500000,0.360744,21.474153,247.544885
1.400000,1.870000,1.583333,0.376737,21.472371,250.825257
1.700000,1.990000,1.666667,0.392716,21.470588,250.825257
1.200000,2.170000,1.750000,0.416382,21.467023,245.937304
1.700000,2.170000,1.833333,0.424721,21.475936,254.195574
1.600000,2.310000,1.916667,0.440994,21.463458,254.195574
1.600000,2.350000,2.000000,0.455914,21.468806,254.195574
1.500000,2.450000,2.083333,0.472638,21.467023,252.498941
1.500000,2.610000,2.166667,0.488231,21.465241,250.825257
1.600000,2.410000,2.250000,0.504931,21.465241,252.498941
1.400000,2.750000,2.333333,0.520594,21.468806,252.498941
1.500000,2.850000,2.416667,0.536188,21.467023,245.937304
1.600000,3.030000,2.500000,0.552765,21.467023,252.498941
1.500000,3.030000,2.583333,0.568311,21.467023,244.350882
1.500000,3.110000,2.666667,0.583880,21.467023,247.544885
1.400000,3.230000,2.750000,0.600427,21.467023,244.350882
1.700000,3.350000,2.833333,0.615971,21.468806,244.350882
1.400000,3.510000,2.916667,0.632587,21.465241,247.544885
1.600000,3.510000,3.000000,0.648367,21.467023,244.350882
1.600000,3.570000,3.083333,0.663937,21.461676,249.174056
1.500000,3.790000,3.166667,0.680471,21.468806,245.937304
1.600000,3.810000,3.250000,0.696035,21.465241,252.498941
1.400000,3.930000,3.333333,0.716244,21.467023,245.937304
1.400000,3.990000,3.416667,0.728292,21.467023,250.825257
1.800000,4.090000,3.500000,0.743884,21.467023,250.825257
1.600000,4.230000,3.583333,0.760592,21.465241,255.915633
1.700000,4.270000,3.666667,0.776219,21.467023,252.498941
1.200000,4.410000,3.750000,0.794517,21.433155,252.498941
1.300000,4.450000,3.833333,0.810085,21.434938,250.825257
1.600000,4.570000,3.916667,0.825731,21.438503,252.498941
1.500000,4.710000,4.000000,0.842319,21.434938,250.825257
1.500000,4.810000,4.083333,0.860931,21.433155,252.498941
1.600000,4.850000,4.166667,0.874537,21.433155,247.544885
1.300000,4.950000,4.250000,0.889819,21.433155,233.804667
1.400000,5.030000,4.333333,0.904390,21.468806,249.174056
1.800000,5.190000,4.416667,0.919938,21.468806,249.174056
1.600000,5.250000,4.500000,0.936477,21.465241,249.174056
1.500000,5.370000,4.583333,0.952025,21.467023,242.785204
1.500000,5.430000,4.666667,0.968572,21.465241,242.785204
1.500000,5.530000,4.750000,0.984148,21.465241,249.174056
1.500000,5.550000,4.833333,1.000701,21.467023,247.544885
1.500000,5.690000,4.916667,1.016706,21.468806,250.825257
1.600000,5.850000,5.000000,1.032783,21.465241,247.544885
1.500000,5.890000,5.083333,1.048394,21.467023,249.174056
1.700000,6.050000,5.166667,1.064342,21.468806,244.350882
1.800000,6.110000,5.250000,1.079946,21.467023,247.544885
1.500000,6.190000,5.333333,1.096511,21.467023,250.825257
1.500000,6.270000,5.416667,1.112052,21.465241,252.498941
1.500000,6.390000,5.500000,1.128676,21.461676,250.825257
1.500000,6.470000,5.583333,1.144239,21.468806,252.498941
1.300000,6.570000,5.666667,1.159797,21.468806,257.659612
1.500000,6.670000,5.750000,1.176336,21.468806,252.498941
1.700000,6.770000,5.833333,1.191871,21.468806,252.498941
1.500000,6.950000,5.916667,1.208415,21.468806,252.498941
1.400000,6.950000,6.000000,1.223949,21.468806,254.195574
1.500000,7.050000,6.083333,1.240506,21.467023,255.915633
1.900000,7.190000,6.166667,1.256197,21.467023,226.822561
1.500000,7.230000,6.250000,1.273440,21.465241,254.195574
1.600000,7.250000,6.333333,1.288086,21.465241,250.825257
1.500000,7.390000,6.416667,1.304658,21.465241,249.174056
1.500000,7.510000,6.500000,1.320704,21.465241,247.544885
1.500000,7.630000,6.583333,1.336790,21.467023,250.825257
1.300000,7.750000,6.666667,1.352356,21.465241,249.174056
1.500000,8.050000,6.750000,1.368313,21.504456,259.428015
1.700000,7.930000,6.833333,1.384231,21.465241,244.350882
1.500000,8.010000,6.916667,1.399829,21.467023,245.937304
1.600000,8.130000,7.000000,1.416383,21.465241,245.937304
1.500000,8.230000,7.083333,1.431924,21.461676,245.937304
1.800000,8.310000,7.166667,1.448459,21.465241,247.544885
1.200000,8.450000,7.250000,1.464203,21.470588,247.544885
1.500000,8.510000,7.333333,1.483344,21.467023,245.937304
1.400000,8.630000,7.416667,1.495967,21.467023,249.174056
1.800000,8.690000,7.500000,1.512661,21.467023,249.174056
1.400000,8.830000,7.583333,1.528287,21.467023,252.498941
1.400000,8.830000,7.666667,1.543889,21.467023,254.195574
1.400000,9.010000,7.750000,1.560713,21.467023,257.659612
1.500000,9.110000,7.833333,1.576285,21.468806,252.498941
1.600000,9.190000,7.916667,1.591840,21.467023,250.825257
1.600000,9.250000,8.000000,1.622772,21.433155,252.498941
1.400000,9.270000,8.083333,1.632030,21.433155,245.937304
1.800000,9.370000,8.166667,1.641629,21.433155,252.498941
1.500000,9.470000,8.250000,1.658143,21.434938,254.195574
1.400000,9.630000,8.333333,1.673637,21.436720,255.915633
1.500000,9.710000,8.416667,1.693396,21.436720,249.174056
1.700000,9.830000,8.500000,1.707790,21.468806,252.498941
1.200000,9.910000,8.583333,1.720413,21.467023,245.937304
1.500000,10.050000,8.666667,1.735958,21.465241,241.239861
1.600000,10.070000,8.750000,1.752574,21.465241,235.254074
1.500000,10.190000,8.833333,1.768283,21.465241,245.937304
1.600000,10.250000,8.916667,1.783872,21.467023,245.937304
1.500000,10.390000,9.000000,1.800469,21.468806,249.174056
1.500000,10.530000,9.083333,1.816044,21.468806,249.174056
1.600000,10.550000,9.166667,1.832610,21.465241,249.174056
1.600000,10.650000,9.250000,1.848191,21.465241,245.937304
1.700000,10.790000,9.333333,1.864723,21.467023,247.544885
1.400000,10.890000,9.416667,1.880277,21.467023,249.174056
1.800000,10.970000,9.500000,1.895838,21.467023,252.498941
1.500000,11.090000,9.583333,1.917843,21.467023,249.174056
1.700000,11.170000,9.666667,1.928824,21.467023,249.174056
1.400000,11.270000,9.750000,1.944409,21.465241,252.498941
1.300000,11.370000,9.833333,1.959962,21.465241,252.498941
1.600000,11.370000,9.916667,1.976528,21.470588,254.195574
1.400000,11.610000,10.000000,1.992062,21.467023,254.195574
1.400000,11.690000,10.083333,2.008708,21.467023,255.915633
1.600000,11.750000,10.166667,2.024316,21.468806,252.498941
1.700000,11.810000,10.250000,2.039911,21.467023,250.825257
1.500000,11.930000,10.333333,2.056507,21.467023,250.825257
1.600000,12.030000,10.416667,2.072065,21.465241,250.825257
1.400000,12.090000,10.500000,2.088632,21.467023,250.825257
1.700000,12.230000,10.583333,2.104184,21.468806,250.825257
1.500000,12.330000,10.666667,2.120494,21.463458,249.174056
1.800000,12.390000,10.750000,2.136089,21.467023,247.544885
1.600000,12.570000,10.833333,2.152677,21.468806,245.937304
1.600000,12.610000,10.916667,2.168248,21.467023,247.544885
1.700000,12.710000,11.000000,2.184846,21.467023,247.544885
1.500000,12.810000,11.083333,2.200434,21.465241,245.937304
1.600000,12.870000,11.166667,2.216595,21.467023,244.350882
1.500000,13.050000,11.250000,2.232702,21.465241,245.937304
1.800000,13.090000,11.333333,2.248308,21.467023,242.785204
1.300000,13.110000,11.416667,2.263937,21.465241,242.785204
1.600000,13.250000,11.500000,2.280564,21.467023,255.915633
1.600000,13.370000,11.583333,2.296151,21.467023,249.174056
1.500000,13.510000,11.666667,2.312324,21.467023,245.937304
1.600000,13.570000,11.750000,2.327939,21.467023,252.498941
1.400000,13.650000,11.833333,2.344500,21.468806,252.498941
1.500000,13.790000,11.916667,2.360104,21.467023,250.825257
1.400000,13.850000,12.000000,2.376641,21.467023,255.915633
1.800000,13.850000,12.083333,2.392203,21.465241,252.498941
1.600000,14.090000,12.166667,2.409740,21.436720,252.498941
